HOG	OG	Gene Tree Parent Clade	crotalus_tigris	hydrophis_curtus-AG	hydrophis_curtus	hydrophis_cyanocinctus	hydrophis_elegans	hydrophis_major	hydrophis_ornatus	notechis_scutatus	pantherophis_guttatus	protobothrops_mucrosquamatus	pseudonaja_textilis	python_bivittatus	thamnophis_elegans
N10.HOG0000024	OG0000000	n105		FUN_014700-T1, FUN_008902-T1											
N10.HOG0000025	OG0000000	n112		FUN_004418-T1											
N10.HOG0000026	OG0000000	n118		FUN_007567-T1											
N10.HOG0000027	OG0000000	n121		FUN_013700-T1											
N10.HOG0000028	OG0000000	n123		FUN_016964-T1											
N10.HOG0000029	OG0000000	n124		FUN_002534-T1											
N10.HOG0000030	OG0000000	n125		FUN_029202-T1											
N10.HOG0000031	OG0000000	n129		FUN_016204-T1, FUN_007356-T1, FUN_010341-T1, FUN_024983-T1											
N10.HOG0000032	OG0000000	n140		FUN_003208-T1, FUN_015166-T1, FUN_017955-T1											
N10.HOG0000033	OG0000000	n142		FUN_026433-T1											
N10.HOG0000034	OG0000000	n145		FUN_011517-T1, FUN_027188-T1											
N10.HOG0000035	OG0000000	n147		FUN_016623-T1											
N10.HOG0000036	OG0000000	n149		FUN_007460-T1											
N10.HOG0000037	OG0000000	n159		FUN_011280-T1											
N10.HOG0000038	OG0000000	n160		FUN_018243-T1											
N10.HOG0000039	OG0000000	n163		FUN_013413-T1, FUN_029416-T1											
N10.HOG0000040	OG0000000	n165		FUN_010448-T1											
N10.HOG0000041	OG0000000	n167		FUN_014306-T1											
N10.HOG0000042	OG0000000	n180		FUN_019945-T1											
N10.HOG0000043	OG0000000	n185		FUN_026533-T1, FUN_029458-T1											
N10.HOG0000044	OG0000000	n190		FUN_014541-T1, FUN_029351-T1, FUN_028750-T1											
N10.HOG0000045	OG0000000	n192		FUN_014782-T1, FUN_014774-T1											
N10.HOG0000046	OG0000000	n193		FUN_007462-T1											
N10.HOG0000047	OG0000000	n196		FUN_025676-T1											
N10.HOG0000048	OG0000000	n205		FUN_003192-T1, FUN_005611-T1, FUN_009193-T1, FUN_011944-T1, FUN_011708-T1, FUN_014778-T1, FUN_026191-T1, FUN_014105-T1											
N10.HOG0000049	OG0000000	n209		FUN_026492-T1, FUN_015533-T1											
N10.HOG0000050	OG0000000	n215		FUN_014738-T1, FUN_006397-T1, FUN_002403-T1, FUN_026210-T1, FUN_017093-T1, FUN_019487-T1, FUN_006808-T1, FUN_006605-T1, FUN_016759-T1, FUN_015541-T1, FUN_026647-T1, FUN_016461-T1, FUN_003220-T1, FUN_006722-T1											
N10.HOG0000051	OG0000000	n219		FUN_012432-T1, FUN_028872-T1											
N10.HOG0000052	OG0000000	n224		FUN_009893-T1, FUN_005494-T1											
N10.HOG0000053	OG0000000	n226		FUN_019943-T1, FUN_018027-T1, FUN_011352-T1, FUN_010047-T1, FUN_026911-T1											
N10.HOG0000054	OG0000000	n229		FUN_029147-T1, FUN_017949-T1, FUN_002480-T1, FUN_002556-T1, FUN_003682-T1, FUN_014545-T1, FUN_000550-T1, FUN_011222-T1, FUN_012837-T1, FUN_008178-T1, FUN_008870-T1, FUN_009044-T1, FUN_009555-T1, FUN_007261-T1, FUN_012081-T1, FUN_011361-T1, FUN_011013-T1, FUN_010508-T1, FUN_028848-T1, FUN_018325-T1, FUN_015138-T1, FUN_012895-T1, FUN_026905-T1, FUN_026621-T1, FUN_026519-T1, FUN_025591-T1, FUN_028412-T1, FUN_012787-T1, FUN_011707-T1											
N10.HOG0000055	OG0000000	n235		FUN_026863-T1											
N10.HOG0000056	OG0000000	n237		FUN_017460-T1											
N10.HOG0000057	OG0000001	n5			FUN_013913-T1, FUN_002124-T1										
N10.HOG0000058	OG0000001	n13		FUN_026573-T1											
N10.HOG0000059	OG0000001	n14		FUN_026361-T1											
N10.HOG0000060	OG0000001	n16		FUN_024923-T1	FUN_006931-T1										
N10.HOG0000061	OG0000001	n28			FUN_004924-T1, FUN_025135-T1										
N10.HOG0000062	OG0000001	n30			FUN_002490-T1										
N10.HOG0000063	OG0000001	n33			FUN_008079-T1										
N10.HOG0000064	OG0000001	n38			FUN_016055-T1										
N10.HOG0000065	OG0000001	n43		FUN_011716-T1	FUN_009989-T1, FUN_010688-T1										
N10.HOG0000066	OG0000001	n56		FUN_024103-T1											
N10.HOG0000067	OG0000001	n65			FUN_26402-T1										
N10.HOG0000068	OG0000001	n66			FUN_023849-T1, FUN_004850-T1, FUN_26273-T1, FUN_010186-T1										
N10.HOG0000069	OG0000001	n71			FUN_27399-T1										
N10.HOG0000070	OG0000001	n78		FUN_31264-T1											
N10.HOG0000071	OG0000001	n83		FUN_001368-T1, FUN_30629-T1	FUN_26567-T1										
N10.HOG0000072	OG0000001	n89		FUN_30570-T1											
N10.HOG0000073	OG0000001	n93		FUN_30632-T1											
N10.HOG0000074	OG0000001	n96			FUN_024353-T1										
N10.HOG0000075	OG0000001	n100		FUN_30644-T1											
N10.HOG0000076	OG0000001	n101		FUN_31245-T1											
N10.HOG0000077	OG0000001	n109		FUN_001376-T1, FUN_003228-T1											
N10.HOG0000078	OG0000001	n120		FUN_001282-T1											
N10.HOG0000079	OG0000001	n125		FUN_31213-T1											
N10.HOG0000080	OG0000001	n129		FUN_004635-T1											
N10.HOG0000081	OG0000001	n136		FUN_029568-T1											
N10.HOG0000082	OG0000001	n140		FUN_31106-T1											
N10.HOG0000083	OG0000001	n147		FUN_002297-T1											
N10.HOG0000084	OG0000001	n150		FUN_002277-T1											
N10.HOG0000085	OG0000001	n155		FUN_30832-T1, FUN_003285-T1											
N10.HOG0000086	OG0000001	n160		FUN_002300-T1											
N10.HOG0000087	OG0000001	n168		FUN_004376-T1											
N10.HOG0000088	OG0000001	n171		FUN_003487-T1											
N10.HOG0000089	OG0000001	n174		FUN_000927-T1											
N10.HOG0000090	OG0000001	n179		FUN_003320-T1											
N10.HOG0000091	OG0000001	n188		FUN_001553-T1											
N10.HOG0000092	OG0000001	n193		FUN_023022-T1	FUN_001042-T1										
N10.HOG0000093	OG0000001	n197		FUN_002079-T1	FUN_010159-T1										
N10.HOG0000094	OG0000001	n202		FUN_30633-T1											
N10.HOG0000095	OG0000001	n206		FUN_31237-T1											
N10.HOG0000096	OG0000001	n220		FUN_31231-T1											
N10.HOG0000097	OG0000001	n224		FUN_30463-T1											
N10.HOG0000098	OG0000001	n228		FUN_30313-T1											
N10.HOG0000099	OG0000001	n231		FUN_30808-T1											
N10.HOG0000100	OG0000001	n234		FUN_004431-T1	FUN_022843-T1, FUN_27410-T1										
N10.HOG0000101	OG0000001	n240		FUN_021909-T1	FUN_002428-T1										
N10.HOG0000102	OG0000001	n247		FUN_30209-T1											
N10.HOG0000103	OG0000001	n249		FUN_003229-T1											
N10.HOG0000104	OG0000001	n255		FUN_004064-T1											
N10.HOG0000105	OG0000001	n257		FUN_003490-T1											
N10.HOG0000106	OG0000001	n264		FUN_002284-T1											
N10.HOG0000107	OG0000001	n267		FUN_004563-T1											
N10.HOG0000108	OG0000001	n270		FUN_004293-T1											
N10.HOG0000109	OG0000001	n282		FUN_030074-T1											
N10.HOG0000110	OG0000001	n285		FUN_028545-T1											
N10.HOG0000111	OG0000001	n286			FUN_009057-T1, FUN_012351-T1, FUN_001119-T1, FUN_011329-T1										
N10.HOG0000112	OG0000001	n291			FUN_015646-T1										
N10.HOG0000113	OG0000001	n294			FUN_002926-T1										
N10.HOG0000114	OG0000001	n299		FUN_003580-T1											
N10.HOG0000115	OG0000001	n300		FUN_001645-T1	FUN_001565-T1										
N10.HOG0000116	OG0000001	n305			FUN_000599-T1										
N10.HOG0000117	OG0000001	n313		FUN_005601-T1	FUN_014352-T1										
N10.HOG0000118	OG0000001	n318		FUN_005616-T1, FUN_003366-T1	FUN_026148-T1										
N10.HOG0000119	OG0000001	n323			FUN_006954-T1, FUN_006953-T1										
N10.HOG0000120	OG0000001	n327		FUN_021175-T1											
N10.HOG0000121	OG0000001	n333		FUN_026915-T1											
N10.HOG0000122	OG0000001	n336		FUN_029797-T1											
N10.HOG0000123	OG0000001	n339		FUN_003557-T1											
N10.HOG0000124	OG0000001	n342		FUN_004257-T1											
N10.HOG0000125	OG0000001	n345		FUN_001345-T1, FUN_011367-T1											
N10.HOG0000126	OG0000001	n353		FUN_010968-T1											
N10.HOG0000127	OG0000001	n359		FUN_011263-T1											
N10.HOG0000128	OG0000001	n363		FUN_30654-T1											
N10.HOG0000129	OG0000001	n367		FUN_002272-T1	FUN_26896-T1, FUN_26278-T1, FUN_010555-T1										
N10.HOG0000130	OG0000001	n373		FUN_003772-T1											
N10.HOG0000131	OG0000001	n378		FUN_007569-T1											
N10.HOG0000132	OG0000001	n386		FUN_002679-T1	FUN_26229-T1										
N10.HOG0000133	OG0000001	n397		FUN_31182-T1											
N10.HOG0000134	OG0000001	n400		FUN_016781-T1											
N10.HOG0000135	OG0000001	n404		FUN_30741-T1, FUN_008287-T1											
N10.HOG0000136	OG0000001	n408			FUN_27033-T1										
N10.HOG0000137	OG0000001	n417		FUN_30669-T1	FUN_26868-T1, FUN_26661-T1										
N10.HOG0000138	OG0000001	n424		FUN_30649-T1											
N10.HOG0000139	OG0000001	n427		FUN_30775-T1											
N10.HOG0000140	OG0000001	n433		FUN_021919-T1											
N10.HOG0000141	OG0000001	n436			FUN_26287-T1, FUN_016504-T1										
N10.HOG0000142	OG0000001	n439		FUN_027127-T1											
N10.HOG0000143	OG0000001	n446		FUN_003445-T1											
N10.HOG0000144	OG0000001	n447		FUN_30638-T1, FUN_30329-T1	FUN_26623-T1										
N10.HOG0000145	OG0000001	n457		FUN_30923-T1											
N10.HOG0000146	OG0000001	n460		FUN_31193-T1											
N10.HOG0000147	OG0000001	n465		FUN_000865-T1	FUN_27325-T1										
N10.HOG0000148	OG0000001	n469			FUN_26814-T1										
N10.HOG0000149	OG0000001	n471		FUN_30652-T1	FUN_26641-T1										
N10.HOG0000150	OG0000001	n475		FUN_003559-T1, FUN_30213-T1											
N10.HOG0000151	OG0000001	n478			FUN_26339-T1										
N10.HOG0000152	OG0000001	n480		FUN_006119-T1, FUN_30635-T1	FUN_27154-T1										
N10.HOG0000153	OG0000001	n492		FUN_002682-T1											
N10.HOG0000154	OG0000001	n498		FUN_003636-T1											
N10.HOG0000155	OG0000001	n504		FUN_003386-T1											
N10.HOG0000156	OG0000001	n513		FUN_30564-T1											
N10.HOG0000157	OG0000001	n520		FUN_003321-T1											
N10.HOG0000158	OG0000001	n525		FUN_004914-T1											
N10.HOG0000159	OG0000001	n526		FUN_026701-T1											
N10.HOG0000160	OG0000001	n529		FUN_30793-T1											
N10.HOG0000161	OG0000001	n531		FUN_30211-T1	FUN_26472-T1										
N10.HOG0000162	OG0000001	n536		FUN_011787-T1											
N10.HOG0000163	OG0000001	n538		FUN_30437-T1											
N10.HOG0000164	OG0000001	n547		FUN_023029-T1											
N10.HOG0000165	OG0000001	n549		FUN_31217-T1, FUN_30402-T1											
N10.HOG0000166	OG0000002	n1		FUN_002612-T1											
N10.HOG0000167	OG0000002	n6		FUN_014658-T1											
N10.HOG0000168	OG0000002	n14			FUN_023670-T1										
N10.HOG0000169	OG0000002	n16			FUN_025353-T1										
N10.HOG0000170	OG0000002	n21		FUN_011036-T1	FUN_009959-T1										
N10.HOG0000171	OG0000002	n25		FUN_011974-T1	FUN_010331-T1, FUN_010877-T1										
N10.HOG0000172	OG0000002	n32			FUN_013873-T1										
N10.HOG0000173	OG0000002	n37		FUN_011524-T1											
N10.HOG0000174	OG0000002	n40		FUN_001075-T1											
N10.HOG0000175	OG0000002	n45		FUN_017082-T1											
N10.HOG0000176	OG0000002	n46		FUN_012688-T1											
N10.HOG0000177	OG0000002	n55		FUN_30747-T1	FUN_009853-T1										
N10.HOG0000178	OG0000002	n59			FUN_024499-T1										
N10.HOG0000179	OG0000002	n61		FUN_30664-T1											
N10.HOG0000180	OG0000002	n65		FUN_009581-T1	FUN_008543-T1, FUN_024487-T1										
N10.HOG0000181	OG0000002	n72		FUN_004518-T1	FUN_003155-T1										
N10.HOG0000182	OG0000002	n83			FUN_008250-T1, FUN_025034-T1										
N10.HOG0000183	OG0000002	n97		FUN_004532-T1											
N10.HOG0000184	OG0000002	n100		FUN_007972-T1											
N10.HOG0000185	OG0000002	n102		FUN_028522-T1											
N10.HOG0000186	OG0000002	n106		FUN_004477-T1											
N10.HOG0000187	OG0000002	n109		FUN_007396-T1	FUN_013967-T1										
N10.HOG0000188	OG0000002	n115		FUN_009389-T1	FUN_26832-T1										
N10.HOG0000189	OG0000002	n123		FUN_011091-T1	FUN_27353-T1										
N10.HOG0000190	OG0000002	n129		FUN_011898-T1											
N10.HOG0000191	OG0000002	n131		FUN_010918-T1	FUN_26629-T1										
N10.HOG0000192	OG0000002	n146			FUN_002296-T1										
N10.HOG0000193	OG0000002	n148		FUN_002593-T1											
N10.HOG0000194	OG0000002	n153		FUN_011903-T1											
N10.HOG0000195	OG0000002	n170		FUN_017096-T1											
N10.HOG0000196	OG0000002	n175		FUN_003036-T1											
N10.HOG0000197	OG0000002	n178		FUN_012007-T1											
N10.HOG0000198	OG0000002	n181		FUN_006747-T1	FUN_009883-T1										
N10.HOG0000199	OG0000002	n188		FUN_003348-T1											
N10.HOG0000200	OG0000002	n191		FUN_030061-T1, FUN_010936-T1											
N10.HOG0000201	OG0000002	n198		FUN_011950-T1											
N10.HOG0000202	OG0000002	n199		FUN_016519-T1											
N10.HOG0000203	OG0000002	n205		FUN_012357-T1	FUN_001581-T1										
N10.HOG0000204	OG0000002	n210		FUN_009282-T1	FUN_008287-T1										
N10.HOG0000205	OG0000002	n216		FUN_012683-T1											
N10.HOG0000206	OG0000002	n220		FUN_002640-T1											
N10.HOG0000207	OG0000002	n227		FUN_027049-T1	FUN_024769-T1										
N10.HOG0000208	OG0000002	n244		FUN_008865-T1											
N10.HOG0000209	OG0000002	n246		FUN_011145-T1											
N10.HOG0000210	OG0000002	n259			FUN_024041-T1										
N10.HOG0000211	OG0000002	n262		FUN_028257-T1, FUN_004921-T1											
N10.HOG0000212	OG0000002	n278			FUN_024991-T1										
N10.HOG0000213	OG0000002	n279		FUN_028831-T1	FUN_024996-T1										
N10.HOG0000214	OG0000002	n284			FUN_27389-T1										
N10.HOG0000215	OG0000002	n288		FUN_026190-T1											
N10.HOG0000216	OG0000002	n291		FUN_026684-T1											
N10.HOG0000217	OG0000002	n294		FUN_026526-T1											
N10.HOG0000218	OG0000002	n301		FUN_026456-T1	FUN_008787-T1										
N10.HOG0000219	OG0000002	n305		FUN_015056-T1											
N10.HOG0000220	OG0000002	n315		FUN_016963-T1											
N10.HOG0000221	OG0000002	n324		FUN_009439-T1											
N10.HOG0000222	OG0000002	n328		FUN_016368-T1											
N10.HOG0000223	OG0000002	n331		FUN_31175-T1											
N10.HOG0000224	OG0000002	n334		FUN_025220-T1											
N10.HOG0000225	OG0000002	n346		FUN_026195-T1											
N10.HOG0000226	OG0000002	n349		FUN_017768-T1											
N10.HOG0000227	OG0000002	n353		FUN_013502-T1											
N10.HOG0000228	OG0000002	n358		FUN_002675-T1											
N10.HOG0000229	OG0000002	n365		FUN_001508-T1, FUN_017009-T1											
N10.HOG0000230	OG0000002	n369			FUN_014810-T1										
N10.HOG0000231	OG0000002	n372		FUN_009753-T1											
N10.HOG0000232	OG0000002	n377		FUN_010055-T1											
N10.HOG0000233	OG0000002	n385		FUN_003575-T1											
N10.HOG0000234	OG0000002	n388		FUN_006750-T1											
N10.HOG0000235	OG0000002	n391		FUN_003329-T1											
N10.HOG0000236	OG0000002	n396		FUN_016497-T1											
N10.HOG0000237	OG0000002	n398		FUN_026974-T1											
N10.HOG0000238	OG0000002	n402		FUN_026147-T1											
N10.HOG0000239	OG0000002	n406		FUN_007726-T1											
N10.HOG0000240	OG0000002	n411		FUN_000392-T1											
N10.HOG0000241	OG0000002	n414		FUN_016578-T1											
N10.HOG0000242	OG0000002	n418		FUN_025873-T1											
N10.HOG0000243	OG0000002	n424			FUN_003856-T1										
N10.HOG0000244	OG0000002	n426		FUN_30990-T1											
N10.HOG0000245	OG0000002	n436		FUN_009947-T1											
N10.HOG0000246	OG0000002	n438		FUN_026968-T1	FUN_024701-T1										
N10.HOG0000247	OG0000002	n443		FUN_005766-T1											
N10.HOG0000248	OG0000002	n448		FUN_007088-T1											
N10.HOG0000249	OG0000002	n451		FUN_014771-T1											
N10.HOG0000250	OG0000002	n460		FUN_016875-T1	FUN_015340-T1										
N10.HOG0000251	OG0000002	n465		FUN_026741-T1											
N10.HOG0000252	OG0000002	n469		FUN_026833-T1											
N10.HOG0000253	OG0000002	n472		FUN_004898-T1											
N10.HOG0000254	OG0000002	n476		FUN_006753-T1											
N10.HOG0000255	OG0000002	n479		FUN_016460-T1											
N10.HOG0000256	OG0000002	n481		FUN_007554-T1											
N10.HOG0000257	OG0000002	n485		FUN_011020-T1											
N10.HOG0000258	OG0000003	n47		FUN_005528-T1											
N10.HOG0000259	OG0000003	n64		FUN_005567-T1											
N10.HOG0000260	OG0000003	n77		FUN_005623-T1											
N10.HOG0000261	OG0000003	n79		FUN_005626-T1											
N10.HOG0000262	OG0000003	n93			FUN_26465-T1										
N10.HOG0000263	OG0000003	n96		FUN_005544-T1	FUN_26464-T1										
N10.HOG0000264	OG0000003	n102		FUN_005564-T1											
N10.HOG0000265	OG0000003	n115		FUN_018426-T1											
N10.HOG0000266	OG0000003	n120		FUN_005531-T1											
N10.HOG0000267	OG0000003	n130		FUN_005248-T1											
N10.HOG0000268	OG0000003	n142		FUN_005529-T1											
N10.HOG0000269	OG0000003	n144		FUN_005524-T1											
N10.HOG0000270	OG0000003	n150		FUN_006065-T1											
N10.HOG0000271	OG0000003	n193			FUN_004771-T1										
N10.HOG0000272	OG0000003	n211		FUN_006080-T1											
N10.HOG0000273	OG0000003	n264		FUN_024073-T1											
N10.HOG0000274	OG0000003	n268			FUN_021763-T1										
N10.HOG0000275	OG0000003	n334		FUN_024085-T1	FUN_021746-T1										
N10.HOG0000276	OG0000003	n431		FUN_006669-T1											
N10.HOG0000277	OG0000004	n19		FUN_30586-T1											
N10.HOG0000278	OG0000004	n22		FUN_006666-T1											
N10.HOG0000279	OG0000004	n30		FUN_30590-T1											
N10.HOG0000280	OG0000004	n39			FUN_26580-T5										
N10.HOG0000281	OG0000004	n41		FUN_30592-T1											
N10.HOG0000282	OG0000004	n44		FUN_30589-T1											
N10.HOG0000283	OG0000004	n51		FUN_30480-T1	FUN_26424-T1										
N10.HOG0000284	OG0000004	n59		FUN_005640-T1											
N10.HOG0000285	OG0000004	n77		FUN_30485-T1											
N10.HOG0000286	OG0000004	n84		FUN_30484-T1											
N10.HOG0000287	OG0000004	n94		FUN_30482-T2	FUN_26422-T2										
N10.HOG0000288	OG0000004	n98		FUN_30481-T1	FUN_26423-T1										
N10.HOG0000289	OG0000004	n105		FUN_30475-T1											
N10.HOG0000290	OG0000004	n119		FUN_30478-T1											
N10.HOG0000291	OG0000004	n133		FUN_30479-T2											
N10.HOG0000292	OG0000004	n138			FUN_26428-T1										
N10.HOG0000293	OG0000004	n139			FUN_26427-T1										
N10.HOG0000294	OG0000004	n145			FUN_26434-T1										
N10.HOG0000295	OG0000004	n146		FUN_30471-T1	FUN_26425-T1, FUN_26426-T1										
N10.HOG0000296	OG0000004	n156		FUN_30477-T1	FUN_26430-T1										
N10.HOG0000297	OG0000004	n167		FUN_005629-T1	FUN_26435-T1										
N10.HOG0000298	OG0000004	n173		FUN_30493-T1											
N10.HOG0000299	OG0000004	n177		FUN_005667-T1											
N10.HOG0000300	OG0000004	n181		FUN_005622-T1											
N10.HOG0000301	OG0000004	n200		FUN_005522-T1											
N10.HOG0000302	OG0000004	n208		FUN_005533-T1											
N10.HOG0000303	OG0000004	n215		FUN_005568-T1											
N10.HOG0000304	OG0000004	n226		FUN_005305-T1											
N10.HOG0000305	OG0000004	n235		FUN_024135-T1											
N10.HOG0000306	OG0000004	n238		FUN_024137-T1											
N10.HOG0000307	OG0000004	n242		FUN_005556-T1											
N10.HOG0000308	OG0000004	n249		FUN_30451-T1											
N10.HOG0000309	OG0000004	n256		FUN_005550-T1											
N10.HOG0000310	OG0000004	n258		FUN_005553-T1											
N10.HOG0000311	OG0000004	n263		FUN_005548-T1											
N10.HOG0000312	OG0000004	n269		FUN_005552-T1											
N10.HOG0000313	OG0000004	n276		FUN_30458-T1											
N10.HOG0000314	OG0000004	n280		FUN_005538-T1	FUN_26469-T1										
N10.HOG0000315	OG0000004	n290		FUN_005389-T1											
N10.HOG0000316	OG0000004	n295		FUN_30450-T1	FUN_26479-T1										
N10.HOG0000317	OG0000004	n304		FUN_005526-T1											
N10.HOG0000318	OG0000004	n313		FUN_005525-T1											
N10.HOG0000319	OG0000004	n317		FUN_005554-T1											
N10.HOG0000320	OG0000004	n325		FUN_005545-T1	FUN_26463-T1										
N10.HOG0000321	OG0000004	n328		FUN_005536-T1	FUN_26471-T1										
N10.HOG0000322	OG0000004	n333		FUN_005539-T1											
N10.HOG0000323	OG0000004	n336		FUN_30454-T1	FUN_26468-T1										
N10.HOG0000324	OG0000004	n344		FUN_005569-T1											
N10.HOG0000325	OG0000004	n347		FUN_005252-T1											
N10.HOG0000326	OG0000004	n349		FUN_30456-T1											
N10.HOG0000327	OG0000004	n353		FUN_30476-T3											
N10.HOG0000328	OG0000004	n364		FUN_30489-T2	FUN_26420-T1										
N10.HOG0000329	OG0000005	n9		FUN_023038-T1											
N10.HOG0000330	OG0000005	n11		FUN_023113-T1											
N10.HOG0000331	OG0000005	n37		FUN_027232-T1											
N10.HOG0000332	OG0000005	n39		FUN_028099-T1											
N10.HOG0000333	OG0000005	n41		FUN_029451-T1											
N10.HOG0000334	OG0000005	n43		FUN_027670-T1, FUN_028304-T1											
N10.HOG0000335	OG0000005	n50		FUN_028100-T1											
N10.HOG0000336	OG0000005	n51		FUN_024906-T1											
N10.HOG0000337	OG0000005	n55		FUN_028882-T1	FUN_27300-T1										
N10.HOG0000338	OG0000005	n78		FUN_028434-T1											
N10.HOG0000339	OG0000005	n80		FUN_029247-T1											
N10.HOG0000340	OG0000005	n123		FUN_027609-T1											
N10.HOG0000341	OG0000005	n126		FUN_028910-T1											
N10.HOG0000342	OG0000005	n154		FUN_020310-T1											
N10.HOG0000343	OG0000005	n158		FUN_029875-T1											
N10.HOG0000344	OG0000005	n164		FUN_028449-T1											
N10.HOG0000345	OG0000005	n166		FUN_027602-T1											
N10.HOG0000346	OG0000005	n178		FUN_030134-T1, FUN_027786-T1											
N10.HOG0000347	OG0000005	n191		FUN_028887-T1											
N10.HOG0000348	OG0000005	n197		FUN_028049-T1											
N10.HOG0000349	OG0000005	n277		FUN_027976-T1, FUN_30431-T1, FUN_029453-T1											
N10.HOG0000350	OG0000006	n43			FUN_26545-T1										
N10.HOG0000351	OG0000006	n56		FUN_006245-T1											
N10.HOG0000352	OG0000006	n60		FUN_006250-T1											
N10.HOG0000353	OG0000006	n79			FUN_26523-T1										
N10.HOG0000354	OG0000006	n122			FUN_26541-T1										
N10.HOG0000355	OG0000006	n163		FUN_006186-T1											
N10.HOG0000356	OG0000006	n206		FUN_030132-T1											
N10.HOG0000357	OG0000006	n213			FUN_26526-T1										
N10.HOG0000358	OG0000006	n245			FUN_26554-T1, FUN_26558-T1										
N10.HOG0000359	OG0000006	n283		FUN_006175-T1											
N10.HOG0000360	OG0000006	n332			FUN_26525-T1										
N10.HOG0000361	OG0000007	n9			FUN_022830-T1										
N10.HOG0000362	OG0000007	n22		FUN_024928-T1											
N10.HOG0000363	OG0000007	n35			FUN_022854-T1										
N10.HOG0000364	OG0000007	n127			FUN_022861-T1										
N10.HOG0000365	OG0000007	n164			FUN_022857-T1, FUN_022858-T1, FUN_022859-T1, FUN_022860-T1										
N10.HOG0000366	OG0000007	n191			FUN_022833-T1										
N10.HOG0000367	OG0000007	n207			FUN_022850-T1										
N10.HOG0000368	OG0000007	n217			FUN_022851-T1										
N10.HOG0000369	OG0000007	n220		FUN_024929-T1	FUN_022862-T1										
N10.HOG0000370	OG0000007	n253			FUN_022845-T1, FUN_022835-T1										
N10.HOG0000371	OG0000007	n258			FUN_022846-T1										
N10.HOG0000372	OG0000007	n259			FUN_022838-T1										
N10.HOG0000373	OG0000007	n260			FUN_022834-T1										
N10.HOG0000374	OG0000007	n277			FUN_022847-T1										
N10.HOG0000375	OG0000007	n278			FUN_022837-T1										
N10.HOG0000376	OG0000007	n281			FUN_022852-T1										
N10.HOG0000377	OG0000007	n285			FUN_022855-T1										
N10.HOG0000378	OG0000008	n6			FUN_023524-T1										
N10.HOG0000379	OG0000008	n11		FUN_025613-T1											
N10.HOG0000380	OG0000008	n142		FUN_024933-T1	FUN_022867-T1										
N10.HOG0000381	OG0000008	n219		FUN_025609-T1											
N10.HOG0000382	OG0000009	n7		FUN_014539-T1											
N10.HOG0000383	OG0000009	n9		FUN_026582-T1											
N10.HOG0000384	OG0000009	n12		FUN_015036-T1, FUN_026390-T1, FUN_010685-T1, FUN_028705-T1, FUN_011978-T1											
N10.HOG0000385	OG0000009	n14		FUN_019624-T1											
