HOG	OG	Gene Tree Parent Clade	crotalus_tigris	hydrophis_curtus-AG	hydrophis_curtus	hydrophis_cyanocinctus	hydrophis_elegans	hydrophis_major	hydrophis_ornatus	notechis_scutatus	pantherophis_guttatus	protobothrops_mucrosquamatus	pseudonaja_textilis	python_bivittatus	thamnophis_elegans
N4.HOG0000118	OG0000006	n310									rna-XM_034405819.1				rna-XM_032238926.1, rna-XM_032238923.1
N4.HOG0000119	OG0000006	n315									rna-XM_034405285.1				rna-XM_032238936.1, rna-XM_032238941.1
N4.HOG0000120	OG0000006	n332									rna-XM_034430928.1				
N4.HOG0000121	OG0000006	n346													rna-XM_032238924.1, rna-XM_032238938.1
N4.HOG0000122	OG0000006	n350													rna-XM_032238932.1, rna-XM_032210408.1, rna-XM_032238942.1, rna-XM_032208334.1
N4.HOG0000123	OG0000007	n4									id-LOC117657300				id-LOC116522750
N4.HOG0000124	OG0000007	n9									id-LOC117656918				id-LOC116523336, id-LOC116520793, id-LOC116520794
N4.HOG0000125	OG0000007	n18									id-LOC117656913				
N4.HOG0000126	OG0000007	n20													id-LOC116523338, id-LOC116521970
N4.HOG0000127	OG0000007	n22									id-LOC117658273, id-LOC117660118, id-LOC117659584, id-LOC117659583, id-LOC117660354, id-LOC117658536				
N4.HOG0000128	OG0000007	n54									id-LOC117656505				
N4.HOG0000129	OG0000007	n55									id-LOC117659814				
N4.HOG0000130	OG0000007	n57									id-LOC117658349, id-LOC117659581				
N4.HOG0000131	OG0000007	n65									id-LOC117657880, id-LOC117657298				
N4.HOG0000132	OG0000007	n71									id-LOC117656909				
N4.HOG0000133	OG0000007	n74									id-LOC117658962				id-LOC116521963
N4.HOG0000134	OG0000007	n75									id-LOC117658964				id-LOC116521965
N4.HOG0000135	OG0000007	n121									id-LOC117657299, id-LOC117657297, id-LOC117657289, id-LOC117657290				
N4.HOG0000136	OG0000007	n129													id-LOC116521952, id-LOC116522864, id-LOC116521944
N4.HOG0000137	OG0000007	n132									id-LOC117657291				id-LOC116521951
N4.HOG0000138	OG0000007	n137									id-LOC117658718				id-LOC116521934, id-LOC116521942
N4.HOG0000139	OG0000007	n164									id-LOC117657293, id-LOC117659585, id-LOC117657046				id-LOC116521928
N4.HOG0000140	OG0000007	n171									id-LOC117656915				id-LOC116521948, id-LOC116520767
N4.HOG0000141	OG0000007	n175													id-LOC116521927, id-LOC116521930, id-LOC116521938
N4.HOG0000142	OG0000007	n182													id-LOC116522868, id-LOC116522867, id-LOC116521950
N4.HOG0000143	OG0000007	n193									id-LOC117660253, id-LOC117658961, id-LOC117658296, id-LOC117657591, id-LOC117658963, id-LOC117656421				id-LOC116521959, id-LOC116521962
N4.HOG0000144	OG0000007	n200									id-LOC117658414, id-LOC117657034, id-LOC117659684				
N4.HOG0000145	OG0000007	n205									id-LOC117657033				
N4.HOG0000146	OG0000007	n214									id-LOC117660397				
N4.HOG0000147	OG0000007	n217									id-LOC117659833				
N4.HOG0000148	OG0000007	n220									id-LOC117659832, id-LOC117657294				id-LOC116521924
N4.HOG0000149	OG0000007	n232									id-LOC117657292				
N4.HOG0000150	OG0000007	n268									id-LOC117659813				
N4.HOG0000151	OG0000007	n290									id-LOC117657075				id-LOC116521967, id-LOC116523341
N4.HOG0000152	OG0000007	n293									id-LOC117657084, id-LOC117657539				id-LOC116521956
N4.HOG0000153	OG0000007	n296									id-LOC117658168, id-LOC117657076, id-LOC117657941				id-LOC116523339, id-LOC116521958, id-LOC116521955, id-LOC116521957, id-LOC116521953, id-LOC116523063
N4.HOG0000154	OG0000007	n331													id-LOC116521939, id-LOC116521940
N4.HOG0000155	OG0000007	n335													id-LOC116522211
N4.HOG0000156	OG0000007	n336									id-LOC117658071, id-LOC117659353, id-LOC117659615, id-LOC117659580				id-LOC116521932, id-LOC116521945, id-LOC116521937, id-LOC116522865, id-LOC116521947, id-LOC116521943, id-LOC116521946, id-LOC116522866, id-LOC116521936, id-LOC116520768
N4.HOG0000157	OG0000008	n6									rna-XM_034422984.1				rna-XM_032235977.1, rna-XM_032235978.1
N4.HOG0000158	OG0000008	n11									rna-XM_034422983.1				rna-XM_032235979.1
N4.HOG0000159	OG0000008	n15									rna-XM_034422986.1				rna-XM_032235976.1
N4.HOG0000160	OG0000008	n20									rna-XM_034422982.1				rna-XM_032235984.1
N4.HOG0000161	OG0000008	n26									rna-XM_034422966.1				rna-XM_032235981.1, rna-XM_032235983.1
N4.HOG0000162	OG0000008	n37													rna-XM_032235989.1
N4.HOG0000163	OG0000008	n38									rna-XM_034422978.1				
N4.HOG0000164	OG0000008	n43									rna-XM_034422874.1				rna-XM_032236038.1
N4.HOG0000165	OG0000008	n49									rna-XM_034422979.1				rna-XM_032235987.1
N4.HOG0000166	OG0000008	n63													rna-XM_032235980.1
N4.HOG0000167	OG0000008	n73									rna-XM_034422996.1				
N4.HOG0000168	OG0000008	n74									rna-XM_034422997.1				rna-XM_032235970.1
N4.HOG0000169	OG0000008	n88													rna-XM_032235973.1
N4.HOG0000170	OG0000008	n93									rna-XM_034422993.1				
N4.HOG0000171	OG0000008	n97									rna-XM_034422994.1				
N4.HOG0000172	OG0000008	n105									rna-XM_034422988.1				rna-XM_032235974.1
N4.HOG0000173	OG0000008	n110									rna-XM_034422989.1				
N4.HOG0000174	OG0000008	n116									rna-XM_034422992.1				
N4.HOG0000175	OG0000008	n118									rna-XM_034423124.1				
N4.HOG0000176	OG0000008	n127									rna-XM_034423005.1				
N4.HOG0000177	OG0000008	n130									rna-XM_034411243.1				rna-XM_032213118.1
N4.HOG0000178	OG0000008	n134									rna-XM_034422947.1				rna-XM_032236107.1
N4.HOG0000179	OG0000008	n140									rna-XM_034405883.1				
N4.HOG0000180	OG0000008	n142									rna-XM_034406027.1				
N4.HOG0000181	OG0000008	n154													rna-XM_032236552.1
N4.HOG0000182	OG0000008	n158									rna-XM_034405476.1				rna-XM_032236056.1
N4.HOG0000183	OG0000008	n163									rna-XM_034422871.1				rna-XM_032236045.1
N4.HOG0000184	OG0000008	n168									rna-XM_034422872.1				rna-XM_032236043.1
N4.HOG0000185	OG0000008	n170													rna-XM_032236044.1
N4.HOG0000186	OG0000008	n177									rna-XM_034423003.1				rna-XM_032235962.1
N4.HOG0000187	OG0000008	n191													rna-XM_032235967.1
N4.HOG0000188	OG0000008	n192									rna-XM_034422998.1				rna-XM_032235969.1
N4.HOG0000189	OG0000008	n195													rna-XM_032235968.1
N4.HOG0000190	OG0000008	n202									rna-XM_034422999.1				rna-XM_032235966.1
N4.HOG0000191	OG0000008	n208									rna-XM_034423000.1				rna-XM_032235964.1
N4.HOG0000192	OG0000008	n213									rna-XM_034423004.1				rna-XM_032235961.1
N4.HOG0000193	OG0000008	n219									rna-XM_034422981.1				rna-XM_032235986.1
N4.HOG0000194	OG0000008	n232									rna-XM_034422900.1				rna-XM_032236015.1
N4.HOG0000195	OG0000008	n238									rna-XM_034422896.1				rna-XM_032236018.1
N4.HOG0000196	OG0000008	n242									rna-XM_034422902.1				rna-XM_032236013.1
N4.HOG0000197	OG0000008	n248									rna-XM_034422898.1, rna-XM_034422897.1				rna-XM_032236017.1
N4.HOG0000198	OG0000008	n254									rna-XM_034422903.1				
N4.HOG0000199	OG0000008	n260									rna-XM_034422905.1				
N4.HOG0000200	OG0000008	n264									rna-XM_034422906.1				rna-XM_032236011.1
N4.HOG0000201	OG0000008	n270									rna-XM_034422907.1				rna-XM_032236010.1
N4.HOG0000202	OG0000008	n272									rna-XM_034422908.1				rna-XM_032236009.1
N4.HOG0000203	OG0000008	n276									rna-XM_034422963.1				rna-XM_032236012.1
N4.HOG0000204	OG0000008	n283									rna-XM_034422889.1				rna-XM_032236027.1
N4.HOG0000205	OG0000008	n292									rna-XM_034422959.1				rna-XM_032236049.1, rna-XM_032236051.1, rna-XM_032236050.1
N4.HOG0000206	OG0000008	n305									rna-XM_034422868.1				rna-XM_032236047.1
N4.HOG0000207	OG0000008	n308									rna-XM_034422866.1				
N4.HOG0000208	OG0000008	n310									rna-XM_034422867.1				rna-XM_032236048.1
N4.HOG0000209	OG0000011	n21									rna-XM_034406031.1				
N4.HOG0000210	OG0000011	n26									rna-XM_034422069.1				
N4.HOG0000211	OG0000011	n70									rna-XM_034432993.1, rna-XM_034432994.1				
N4.HOG0000212	OG0000011	n72									rna-XM_034421871.1				
N4.HOG0000213	OG0000011	n74									rna-XM_034421872.1				
N4.HOG0000214	OG0000011	n77									rna-XM_034432992.1				
N4.HOG0000215	OG0000011	n83									rna-XM_034421866.1				
N4.HOG0000216	OG0000011	n85									rna-XM_034421809.1				
N4.HOG0000217	OG0000011	n91									rna-XM_034422047.1				
N4.HOG0000218	OG0000011	n93									rna-XM_034421522.1, rna-XM_034421507.1				
N4.HOG0000219	OG0000011	n122									rna-XM_034406458.1, rna-XM_034404534.1				
N4.HOG0000220	OG0000011	n134									rna-XM_034422067.1				rna-XM_032208404.1, rna-XM_032208407.1
N4.HOG0000221	OG0000011	n141													rna-XM_032208412.1
N4.HOG0000222	OG0000011	n142									rna-XM_034404290.1				
N4.HOG0000223	OG0000011	n159									rna-XM_034421820.1				
N4.HOG0000224	OG0000011	n174									rna-XM_034421858.1				
N4.HOG0000225	OG0000011	n175									rna-XM_034421860.1				
N4.HOG0000226	OG0000011	n181									rna-XM_034421718.1, rna-XM_034421717.1				rna-XM_032211738.1
N4.HOG0000227	OG0000011	n203													rna-XM_032239163.1, rna-XM_032239169.1, rna-XM_032239170.1, rna-XM_032239173.1, rna-XM_032239171.1, rna-XM_032239166.1, rna-XM_032239167.1
N4.HOG0000228	OG0000011	n212									rna-XM_034404321.1, rna-XM_034404313.1, rna-XM_034404651.1, rna-XM_034405921.1, rna-XM_034404309.1				
N4.HOG0000229	OG0000011	n231									rna-XM_034432990.1				rna-XM_032208402.1
N4.HOG0000230	OG0000011	n240									rna-XM_034421521.1				
N4.HOG0000231	OG0000011	n245									rna-XM_034421802.1				
N4.HOG0000232	OG0000011	n265									rna-XM_034421875.1				
N4.HOG0000233	OG0000011	n269									rna-XM_034421851.1				
N4.HOG0000234	OG0000011	n270									rna-XM_034421867.1				
N4.HOG0000235	OG0000012	n1									rna-XM_034408821.1				
N4.HOG0000236	OG0000012	n2									rna-XM_034407623.1				
N4.HOG0000237	OG0000013	n1									rna-XM_034422791.1				rna-XM_032236147.1
N4.HOG0000238	OG0000013	n17									rna-XM_034422813.1				
N4.HOG0000239	OG0000013	n22									rna-XM_034422808.1, rna-XM_034422942.1				rna-XM_032236126.1
N4.HOG0000240	OG0000013	n36													rna-XM_032236122.1
N4.HOG0000241	OG0000013	n39									rna-XM_034422809.1				rna-XM_032236124.1, rna-XM_032236125.1, rna-XM_032236128.1
N4.HOG0000242	OG0000013	n49									rna-XM_034422812.1				rna-XM_032236123.1
N4.HOG0000243	OG0000013	n53									rna-XM_034422807.1, rna-XM_034422811.1				rna-XM_032236127.1
N4.HOG0000244	OG0000013	n61									rna-XM_034422814.1				
N4.HOG0000245	OG0000013	n65									rna-XM_034422806.1				rna-XM_032236130.1
N4.HOG0000246	OG0000013	n73									rna-XM_034422804.1				
N4.HOG0000247	OG0000013	n79									rna-XM_034422940.1, rna-XM_034422939.1				rna-XM_032236134.1, rna-XM_032236137.1
N4.HOG0000248	OG0000013	n90													rna-XM_032236136.1, rna-XM_032236138.1
N4.HOG0000249	OG0000013	n98													rna-XM_032236165.1, rna-XM_032236161.1
N4.HOG0000250	OG0000013	n107									rna-XM_034422933.1				rna-XM_032237344.1
N4.HOG0000251	OG0000013	n110									rna-XM_034423100.1				rna-XM_032237950.1
N4.HOG0000252	OG0000013	n118													rna-XM_032236163.1
N4.HOG0000253	OG0000013	n120													rna-XM_032236169.1
N4.HOG0000254	OG0000013	n131									rna-XM_034422773.1				rna-XM_032238277.1
N4.HOG0000255	OG0000013	n134									rna-XM_034422769.1				
N4.HOG0000256	OG0000013	n135									rna-XM_034422924.1				rna-XM_032236174.1
N4.HOG0000257	OG0000013	n142									rna-XM_034422921.1				rna-XM_032236175.1
N4.HOG0000258	OG0000013	n147									rna-XM_034422922.1				rna-XM_032238201.1
N4.HOG0000259	OG0000013	n149									rna-XM_034422768.1				rna-XM_032237742.1
N4.HOG0000260	OG0000013	n165									rna-XM_034423099.1				rna-XM_032236164.1, rna-XM_032237985.1
N4.HOG0000261	OG0000013	n171									rna-XM_034423098.1				
N4.HOG0000262	OG0000013	n175									rna-XM_034422925.1				rna-XM_032238006.1
N4.HOG0000263	OG0000013	n183									rna-XM_034422930.1				rna-XM_032234965.1
N4.HOG0000264	OG0000013	n190									rna-XM_034422926.1, rna-XM_034422927.1, rna-XM_034422928.1				
N4.HOG0000265	OG0000013	n222													rna-XM_032234828.1, rna-XM_032234661.1, rna-XM_032236168.1, rna-XM_032235063.1, rna-XM_032234499.1, rna-XM_032234589.1, rna-XM_032238214.1, rna-XM_032238133.1, rna-XM_032234827.1, rna-XM_032235097.1, rna-XM_032235205.1, rna-XM_032236166.1, rna-XM_032234903.1, rna-XM_032235360.1
N4.HOG0000266	OG0000013	n236									rna-XM_034422931.1				
N4.HOG0000267	OG0000013	n237									rna-XM_034422778.1, rna-XM_034422932.1, rna-XM_034406875.1, rna-XM_034423096.1, rna-XM_034423097.1				
N4.HOG0000268	OG0000013	n245													rna-XM_032238231.1, rna-XM_032237683.1
N4.HOG0000269	OG0000013	n247									rna-XM_034423095.1				rna-XM_032237810.1
N4.HOG0000270	OG0000013	n252									rna-XM_034422790.1				rna-XM_032236150.1, rna-XM_032236149.1
N4.HOG0000271	OG0000014	n1													rna-XM_032208414.1
N4.HOG0000272	OG0000014	n38													rna-XM_032208408.1
N4.HOG0000273	OG0000014	n180									rna-XM_034421870.1				
N4.HOG0000274	OG0000016	n1									rna-XM_034403957.1				
N4.HOG0000275	OG0000016	n6									rna-XM_034420408.1, rna-XM_034423768.1, rna-XM_034421719.1, rna-XM_034423765.1, rna-XM_034423011.1, rna-XM_034401415.1, rna-XM_034413735.1, rna-XM_034435929.1, rna-XM_034413031.1				
N4.HOG0000276	OG0000016	n15									rna-XM_034416578.1, rna-XM_034432023.1, rna-XM_034403976.1, rna-XM_034407911.1, rna-XM_034401854.1				
N4.HOG0000277	OG0000016	n20									rna-XM_034407523.1, rna-XM_034406266.1				
N4.HOG0000278	OG0000016	n115									rna-XM_034401852.1, rna-XM_034435954.1, rna-XM_034405546.1, rna-XM_034404533.1, rna-XM_034434974.1, rna-XM_034440656.1, rna-XM_034401856.1				
N4.HOG0000279	OG0000016	n140									rna-XM_034418626.1, rna-XM_034418096.1, rna-XM_034427127.1, rna-XM_034405403.1, rna-XM_034405209.1, rna-XM_034434776.1, rna-XM_034407992.1				rna-XM_032222879.1, rna-XM_032219780.1, rna-XM_032235912.1, rna-XM_032222908.1
N4.HOG0000280	OG0000016	n150									rna-XM_034416555.1				rna-XM_032213963.1, rna-XM_032221853.1, rna-XM_032222878.1, rna-XM_032216035.1, rna-XM_032235901.1, rna-XM_032210998.1, rna-XM_032213844.1, rna-XM_032232247.1, rna-XM_032235843.1, rna-XM_032212869.1, rna-XM_032226253.1, rna-XM_032216075.1, rna-XM_032224316.1, rna-XM_032226854.1, rna-XM_032222887.1, rna-XM_032216037.1, rna-XM_032216074.1, rna-XM_032213102.1, rna-XM_032234958.1, rna-XM_032211832.1, rna-XM_032213879.1, rna-XM_032210544.1, rna-XM_032216057.1, rna-XM_032216145.1, rna-XM_032210270.1, rna-XM_032239116.1, rna-XM_032213835.1
N4.HOG0000281	OG0000018	n2													rna-XM_032218834.1
N4.HOG0000282	OG0000018	n14									rna-XM_034420367.1				rna-XM_032232907.1
N4.HOG0000283	OG0000018	n22									rna-XM_034420360.1				rna-XM_032212210.1
N4.HOG0000284	OG0000018	n25													rna-XM_032209091.1
N4.HOG0000285	OG0000018	n28													rna-XM_032237668.1
N4.HOG0000286	OG0000018	n34									rna-XM_034420380.1				rna-XM_032232000.1
N4.HOG0000287	OG0000018	n38									rna-XM_034420381.1				rna-XM_032237341.1
N4.HOG0000288	OG0000018	n45									rna-XM_034420362.1				rna-XM_032218757.1
N4.HOG0000289	OG0000018	n59									rna-XM_034420372.1				
N4.HOG0000290	OG0000018	n61									rna-XM_034420366.1				
N4.HOG0000291	OG0000018	n71									rna-XM_034420414.1				rna-XM_032211865.1, rna-XM_032235649.1, rna-XM_032212142.1
N4.HOG0000292	OG0000018	n76									rna-XM_034420385.1				rna-XM_032223031.1
N4.HOG0000293	OG0000018	n81									rna-XM_034420420.1				rna-XM_032223043.1
N4.HOG0000294	OG0000018	n94									rna-XM_034420374.1				rna-XM_032219380.1
N4.HOG0000295	OG0000018	n106									rna-XM_034420357.1				rna-XM_032218813.1
N4.HOG0000296	OG0000018	n117									rna-XM_034420421.1				rna-XM_032212047.1
N4.HOG0000297	OG0000018	n127									rna-XM_034420423.1, rna-XM_034420424.1				rna-XM_032211996.1
N4.HOG0000298	OG0000018	n143									rna-XM_034420384.1				rna-XM_032212028.1
N4.HOG0000299	OG0000018	n161									rna-XM_034404900.1				rna-XM_032212021.1
N4.HOG0000300	OG0000018	n168									rna-XM_034405510.1				rna-XM_032212009.1, rna-XM_032212026.1
N4.HOG0000301	OG0000018	n178									rna-XM_034420373.1				rna-XM_032212118.1
N4.HOG0000302	OG0000018	n184									rna-XM_034420371.1				rna-XM_032219352.1
N4.HOG0000303	OG0000018	n187									rna-XM_034420356.1				rna-XM_032230655.1
