HOG	OG	Gene Tree Parent Clade	crotalus_tigris	hydrophis_curtus-AG	hydrophis_curtus	hydrophis_cyanocinctus	hydrophis_elegans	hydrophis_major	hydrophis_ornatus	notechis_scutatus	pantherophis_guttatus	protobothrops_mucrosquamatus	pseudonaja_textilis	python_bivittatus	thamnophis_elegans
N2.HOG0000077	OG0000007	n87	id-LOC120303595, id-LOC120303596									id-LOC107298725			
N2.HOG0000078	OG0000007	n89	id-LOC120303601									id-LOC107295559			
N2.HOG0000079	OG0000007	n90	id-LOC120303597, id-LOC120303602									id-LOC107298722, id-LOC107298723, id-LOC107298720			
N2.HOG0000080	OG0000007	n121										id-LOC107298727, id-LOC114923522			
N2.HOG0000081	OG0000007	n132	id-LOC120302122, id-LOC120303587									id-LOC107296532			
N2.HOG0000082	OG0000007	n141										id-LOC107298731, id-LOC107298730			
N2.HOG0000083	OG0000007	n147	id-LOC120303633, id-LOC120300405, id-LOC120303630									id-LOC107299638, id-LOC107301890			
N2.HOG0000084	OG0000007	n154	id-LOC120300347									id-LOC107298733			
N2.HOG0000085	OG0000007	n155	id-LOC120303615, id-LOC120303609, id-LOC120300313, id-LOC120303608									id-LOC107298734			
N2.HOG0000086	OG0000007	n159	id-LOC120303681, id-LOC120303621, id-LOC120300353												
N2.HOG0000087	OG0000007	n161	id-LOC120303638, id-LOC120303664									id-LOC107296519			
N2.HOG0000088	OG0000007	n171	id-LOC120303590												
N2.HOG0000089	OG0000007	n175	id-LOC120302089, id-LOC120303584, id-LOC120302090, id-LOC120303583, id-LOC120302091												
N2.HOG0000090	OG0000007	n182	id-LOC120302088, id-LOC120303585												
N2.HOG0000091	OG0000007	n220										id-LOC107298724			
N2.HOG0000092	OG0000007	n238	id-LOC120303626, id-LOC120300841, id-LOC120303666, id-LOC120303628, id-LOC120303670, id-LOC120303669									id-LOC107301930, id-LOC107299666, id-LOC107302009, id-LOC107301931, id-LOC107302215, id-LOC107299665			
N2.HOG0000093	OG0000007	n268	id-LOC120303636									id-LOC107295549, id-LOC107302112			
N2.HOG0000094	OG0000007	n288	id-LOC120303637									id-LOC114923208, id-LOC114923209			
N2.HOG0000095	OG0000007	n310	id-LOC120303613, id-LOC120300861, id-LOC120303672, id-LOC120303667												
N2.HOG0000096	OG0000007	n317	id-LOC120303610, id-LOC120300851, id-LOC120300845, id-LOC120303617, id-LOC120303611									id-LOC107301431			
N2.HOG0000097	OG0000007	n322	id-LOC120300823, id-LOC120300351, id-LOC120303616, id-LOC120300354, id-LOC120300319									id-LOC107299670			
N2.HOG0000098	OG0000007	n327	id-LOC120300365, id-LOC120300876, id-LOC120303665									id-LOC107295550			
N2.HOG0000099	OG0000007	n336	id-LOC120303605												
N2.HOG0000100	OG0000008	n3	rna-XM_039357889.1									rna-XM_015810117.1			
N2.HOG0000101	OG0000008	n15	rna-XM_039357876.1									rna-XM_015810118.1			
N2.HOG0000102	OG0000008	n20	rna-XM_039357867.1									rna-XM_015810108.1			
N2.HOG0000103	OG0000008	n26	rna-XM_039357868.1									rna-XM_015810110.1			
N2.HOG0000104	OG0000008	n38	rna-XM_039369373.1									rna-XM_015810103.2			
N2.HOG0000105	OG0000008	n43	rna-XM_039321363.1									rna-XM_015816114.1			
N2.HOG0000106	OG0000008	n49	rna-XM_039358743.1									rna-XM_029282998.1			
N2.HOG0000107	OG0000008	n59	rna-XM_039357890.1									rna-XM_015810109.1			
N2.HOG0000108	OG0000008	n63	rna-XM_039357874.1									rna-XM_015810111.2			
N2.HOG0000109	OG0000008	n73										rna-XM_015810125.1			
N2.HOG0000110	OG0000008	n74	rna-XM_039357853.1, rna-XM_039357833.1									rna-XM_015810126.1, rna-XM_015810128.1			
N2.HOG0000111	OG0000008	n85	rna-XM_039357838.1, rna-XM_039357826.1									rna-XM_015810123.1			
N2.HOG0000112	OG0000008	n88										rna-XM_015810120.1			
N2.HOG0000113	OG0000008	n93	rna-XM_039357863.1, rna-XM_039357865.1									rna-XM_029283001.1			
N2.HOG0000114	OG0000008	n100	rna-XM_039357866.1									rna-XM_015810119.1			
N2.HOG0000115	OG0000008	n105										rna-XM_029282999.1			
N2.HOG0000116	OG0000008	n110	rna-XM_039357827.1									rna-XM_029283000.1			
N2.HOG0000117	OG0000008	n116										rna-XM_015810122.1			
N2.HOG0000118	OG0000008	n118	rna-XM_039357854.1, rna-XM_039357845.1									rna-XM_015810127.2			
N2.HOG0000119	OG0000008	n130	rna-XM_039338664.1									rna-XM_015815364.1			
N2.HOG0000120	OG0000008	n134	rna-XM_039369986.1									rna-XM_015817085.2			
N2.HOG0000121	OG0000008	n142	rna-XM_039330017.1, rna-XM_039333354.1									rna-XM_015820820.1			
N2.HOG0000122	OG0000008	n154	rna-XM_039330034.1, rna-XM_039333350.1									rna-XM_015820821.1			
N2.HOG0000123	OG0000008	n163	rna-XM_039321349.1									rna-XM_015816117.1			
N2.HOG0000124	OG0000008	n170										rna-XM_029284169.1			
N2.HOG0000125	OG0000008	n177	rna-XM_039357881.1									rna-XM_015810115.1			
N2.HOG0000126	OG0000008	n191										rna-XM_015810131.1			
N2.HOG0000127	OG0000008	n192	rna-XM_039357862.1									rna-XM_015810129.1			
N2.HOG0000128	OG0000008	n195	rna-XM_039357825.1									rna-XM_015810130.1			
N2.HOG0000129	OG0000008	n202	rna-XM_039357822.1									rna-XM_015810132.1			
N2.HOG0000130	OG0000008	n208	rna-XM_039357875.1									rna-XM_015810112.1			
N2.HOG0000131	OG0000008	n213	rna-XM_039357882.1									rna-XM_015810116.1			
N2.HOG0000132	OG0000008	n219	rna-XM_039357869.1									rna-XM_015810107.1			
N2.HOG0000133	OG0000008	n232	rna-XM_039369399.1									rna-XM_015810081.1			
N2.HOG0000134	OG0000008	n238										rna-XM_015810079.1			
N2.HOG0000135	OG0000008	n242	rna-XM_039369433.1									rna-XM_015810082.1			
N2.HOG0000136	OG0000008	n248	rna-XM_039369390.1									rna-XM_015810080.1			
N2.HOG0000137	OG0000008	n254	rna-XM_039369429.1									rna-XM_015810083.1			
N2.HOG0000138	OG0000008	n260										rna-XM_015810086.1			
N2.HOG0000139	OG0000008	n264	rna-XM_039369370.1									rna-XM_015810087.1			
N2.HOG0000140	OG0000008	n270										rna-XM_015810088.1			
N2.HOG0000141	OG0000008	n272	rna-XM_039369421.1									rna-XM_015810089.2			
N2.HOG0000142	OG0000008	n276	rna-XM_039369431.1									rna-XM_015810084.1			
N2.HOG0000143	OG0000008	n283	rna-XM_039369415.1									rna-XM_029284166.1			
N2.HOG0000144	OG0000008	n292	rna-XM_039321347.1, rna-XM_039321412.1									rna-XM_029284171.1			
N2.HOG0000145	OG0000008	n305	rna-XM_039321352.1									rna-XM_015816118.1			
N2.HOG0000146	OG0000008	n308	rna-XM_039321367.1									rna-XM_015816121.1			
N2.HOG0000147	OG0000008	n310	rna-XM_039321413.1									rna-XM_015816120.1			
N2.HOG0000148	OG0000011	n7										rna-XM_029284838.1, rna-XM_029284840.1			
N2.HOG0000149	OG0000011	n14										rna-XM_029285665.1			
N2.HOG0000150	OG0000011	n16	rna-XM_039319730.1, rna-XM_039318966.1												
N2.HOG0000151	OG0000011	n23	rna-XM_039320945.1									rna-XM_029284806.1, rna-XM_029283869.1, rna-XM_029283870.1			
N2.HOG0000152	OG0000011	n68										rna-XM_029284839.1			
N2.HOG0000153	OG0000011	n74	rna-XM_039350683.1									rna-XM_015828326.1			
N2.HOG0000154	OG0000011	n78										rna-XM_029285363.1			
N2.HOG0000155	OG0000011	n86										rna-XM_029284841.1			
N2.HOG0000156	OG0000011	n89										rna-XM_015823229.1			
N2.HOG0000157	OG0000011	n93										rna-XM_015829152.1			
N2.HOG0000158	OG0000011	n122	rna-XM_039319732.1, rna-XM_039348260.1, rna-XM_039348261.1									rna-XM_029283873.1			
N2.HOG0000159	OG0000011	n134	rna-XM_039348257.1									rna-XM_029283876.1			
N2.HOG0000160	OG0000011	n141	rna-XM_039348266.1												
N2.HOG0000161	OG0000011	n142	rna-XM_039366418.1												
N2.HOG0000162	OG0000011	n175	rna-XM_039330062.1									rna-XM_029284763.1			
N2.HOG0000163	OG0000011	n181	rna-XM_039355338.1, rna-XM_039355340.1, rna-XM_039355355.1, rna-XM_039355329.1												
N2.HOG0000164	OG0000011	n211	rna-XM_039355335.1												
N2.HOG0000165	OG0000011	n212	rna-XM_039369836.1									rna-XM_015822443.1, rna-XM_015830784.1			
N2.HOG0000166	OG0000011	n231	rna-XM_039355358.1												
N2.HOG0000167	OG0000011	n263	rna-XM_039332270.1												
N2.HOG0000168	OG0000013	n1	rna-XM_039370014.1									rna-XM_015814388.1			
N2.HOG0000169	OG0000013	n17	rna-XM_039370013.1									rna-XM_029283830.1, rna-XM_029283828.1, rna-XM_029283827.1			
N2.HOG0000170	OG0000013	n22	rna-XM_039370015.1									rna-XM_029283850.1			
N2.HOG0000171	OG0000013	n36										rna-XM_029283829.1, rna-XM_029283831.1			
N2.HOG0000172	OG0000013	n39	rna-XM_039369960.1, rna-XM_039369984.1									rna-XM_029283834.1			
N2.HOG0000173	OG0000013	n49										rna-XM_029283832.1			
N2.HOG0000174	OG0000013	n53										rna-XM_029283833.1			
N2.HOG0000175	OG0000013	n56										rna-XM_029283835.1, rna-XM_029283836.1			
N2.HOG0000176	OG0000013	n61	rna-XM_039370009.1									rna-XM_029283826.1			
N2.HOG0000177	OG0000013	n65	rna-XM_039364858.1									rna-XM_029283837.1			
N2.HOG0000178	OG0000013	n73	rna-XM_039369970.1, rna-XM_039364859.1									rna-XM_029283851.1			
N2.HOG0000179	OG0000013	n79	rna-XM_039370012.1									rna-XM_029283838.1			
N2.HOG0000180	OG0000013	n90										rna-XM_029283839.1			
N2.HOG0000181	OG0000013	n98										rna-XM_029285807.1			
N2.HOG0000182	OG0000013	n107	rna-XM_039369956.1									rna-XM_015814400.1			
N2.HOG0000183	OG0000013	n110										rna-XM_015814399.1			
N2.HOG0000184	OG0000013	n116										rna-XM_029285808.1			
N2.HOG0000185	OG0000013	n118										rna-XM_015824589.2			
N2.HOG0000186	OG0000013	n122	rna-XM_039329206.1									rna-XM_029286056.1			
N2.HOG0000187	OG0000013	n123	rna-XM_039329195.1									rna-XM_029286053.1			
N2.HOG0000188	OG0000013	n127										rna-XM_029283646.1, rna-XM_029283647.1			
N2.HOG0000189	OG0000013	n142	rna-XM_039329215.1									rna-XM_029283645.1, rna-XM_029283642.1			
N2.HOG0000190	OG0000013	n147										rna-XM_029283651.1			
N2.HOG0000191	OG0000013	n149	rna-XM_039329218.1									rna-XM_029283643.1, rna-XM_029283644.1			
N2.HOG0000192	OG0000013	n165										rna-XM_029285806.1, rna-XM_015825900.2, rna-XM_015825902.2			
N2.HOG0000193	OG0000013	n171										rna-XM_029285810.1			
N2.HOG0000194	OG0000013	n175	rna-XM_039329203.1									rna-XM_029286054.1, rna-XM_029286055.1			
N2.HOG0000195	OG0000013	n183										rna-XM_029286100.1, rna-XM_015825905.2, rna-XM_015825909.2			
N2.HOG0000196	OG0000013	n190	rna-XM_039329210.1, rna-XM_039329227.1									rna-XM_029286057.1			
N2.HOG0000197	OG0000013	n200	rna-XM_039329226.1									rna-XM_029286099.1			
N2.HOG0000198	OG0000013	n203	rna-XM_039319018.1, rna-XM_039329200.1									rna-XM_029285809.1, rna-XM_015825901.1			
N2.HOG0000199	OG0000013	n207	rna-XM_039329213.1									rna-XM_015825903.2			
N2.HOG0000200	OG0000013	n209	rna-XM_039319024.1									rna-XM_029286097.1			
N2.HOG0000201	OG0000013	n210	rna-XM_039329214.1									rna-XM_029286059.1, rna-XM_029286058.1, rna-XM_015825907.1			
N2.HOG0000202	OG0000013	n215	rna-XM_039319017.1									rna-XM_029285812.1, rna-XM_029285813.1			
N2.HOG0000203	OG0000013	n217	rna-XM_039319016.1, rna-XM_039369955.1									rna-XM_029286096.1, rna-XM_029285814.1, rna-XM_029285811.1			
N2.HOG0000204	OG0000013	n245	rna-XM_039329225.1												
N2.HOG0000205	OG0000013	n247	rna-XM_039319022.1, rna-XM_039319019.1, rna-XM_039329207.1												
N2.HOG0000206	OG0000013	n252	rna-XM_039369981.1									rna-XM_015814389.2			
N2.HOG0000207	OG0000014	n1	rna-XM_039366416.1									rna-XM_029285819.1, rna-XM_029285632.1, rna-XM_029283875.1			
N2.HOG0000208	OG0000014	n38	rna-XM_039348263.1												
N2.HOG0000209	OG0000014	n177	rna-XM_039348259.1												
N2.HOG0000210	OG0000014	n179	rna-XM_039319724.1, rna-XM_039348262.1									rna-XM_029283877.1			
N2.HOG0000211	OG0000015	n0	rna-XM_039349001.1												
N2.HOG0000212	OG0000016	n1										rna-XM_029287145.1			
N2.HOG0000213	OG0000016	n179										rna-XM_015825059.1, rna-XM_015828730.1, rna-XM_029286780.1, rna-XM_015828417.1, rna-XM_029286715.1, rna-XM_029286545.1, rna-XM_029285872.1			
N2.HOG0000214	OG0000016	n186										rna-XM_029285992.1, rna-XM_029283271.1, rna-XM_029284372.1			
N2.HOG0000215	OG0000016	n189										rna-XM_029285954.1, rna-XM_015827316.2, rna-XM_029286528.1, rna-XM_029286668.1			
N2.HOG0000216	OG0000016	n193	rna-XM_039331520.1, rna-XM_039336360.1, rna-XM_039347226.1, rna-XM_039348617.1, rna-XM_039346985.1, rna-XM_039320800.1, rna-XM_039347254.1, rna-XM_039363089.1, rna-XM_039336361.1, rna-XM_039357813.1, rna-XM_039348636.1, rna-XM_039367321.1, rna-XM_039367845.1, rna-XM_039357053.1, rna-XM_039335919.1									rna-XM_015813943.1, rna-XM_015826937.1			
N2.HOG0000217	OG0000016	n209	rna-XM_039336376.1									rna-XM_029284342.1, rna-XM_029287288.1, rna-XM_015816558.1, rna-XM_029284751.1			
N2.HOG0000218	OG0000018	n2	rna-XM_039341114.1, rna-XM_039341131.1									rna-XM_029286682.1, rna-XM_015831277.1			
N2.HOG0000219	OG0000018	n14	rna-XM_039341382.1									rna-XM_029286636.1			
N2.HOG0000220	OG0000018	n25										rna-XM_015817752.1, rna-XM_015829015.1			
N2.HOG0000221	OG0000018	n28										rna-XM_015816096.1			
N2.HOG0000222	OG0000018	n34	rna-XM_039341100.1									rna-XM_015828993.2			
N2.HOG0000223	OG0000018	n38	rna-XM_039341099.1									rna-XM_029286824.1, rna-XM_029286724.1			
N2.HOG0000224	OG0000018	n45	rna-XM_039341381.1, rna-XM_039341383.1									rna-XM_029286680.1, rna-XM_029286634.1			
N2.HOG0000225	OG0000018	n59	rna-XM_039341377.1									rna-XM_015822494.2			
N2.HOG0000226	OG0000018	n61	rna-XM_039341111.1									rna-XM_015822503.1			
N2.HOG0000227	OG0000018	n71	rna-XM_039341378.1												
N2.HOG0000228	OG0000018	n76	rna-XM_039341092.1									rna-XM_015828608.2, rna-XM_015829167.1			
N2.HOG0000229	OG0000018	n81	rna-XM_039341090.1, rna-XM_039341094.1									rna-XM_015828614.2			
N2.HOG0000230	OG0000018	n94	rna-XM_039341106.1									rna-XM_015822498.1			
N2.HOG0000231	OG0000018	n106	rna-XM_039341135.1									rna-XM_015828240.1			
N2.HOG0000232	OG0000018	n117	rna-XM_039341091.1									rna-XM_029286881.1, rna-XM_029286725.1			
N2.HOG0000233	OG0000018	n127	rna-XM_039341085.1, rna-XM_039341074.1, rna-XM_039341084.1									rna-XM_015826016.2, rna-XM_015826017.2, rna-XM_015830649.1, rna-XM_015826015.2, rna-XM_015831437.1, rna-XM_015831381.1, rna-XM_015826014.1			
N2.HOG0000234	OG0000018	n143	rna-XM_039341087.1, rna-XM_039341093.1									rna-XM_015829171.1			
N2.HOG0000235	OG0000018	n161	rna-XM_039341083.1, rna-XM_039341082.1									rna-XM_015830658.1, rna-XM_015829168.1			
N2.HOG0000236	OG0000018	n168	rna-XM_039341375.1									rna-XM_015826019.1, rna-XM_015829170.2			
N2.HOG0000237	OG0000018	n178	rna-XM_039341108.1									rna-XM_015822496.2			
N2.HOG0000238	OG0000018	n184	rna-XM_039341109.1									rna-XM_015822495.1			
N2.HOG0000239	OG0000018	n187	rna-XM_039341143.1									rna-XM_015817753.1			
N2.HOG0000240	OG0000019	n6	rna-XM_039348842.1, rna-XM_039331594.1									rna-XM_029283297.1			
N2.HOG0000241	OG0000019	n8	rna-XM_039348841.1									rna-XM_029286245.1, rna-XM_029283302.1, rna-XM_029283304.1, rna-XM_029285706.1			
N2.HOG0000242	OG0000019	n17	rna-XM_039326541.1									rna-XM_029285962.1			
N2.HOG0000243	OG0000019	n18	rna-XM_039321234.1									rna-XM_015815276.1			
N2.HOG0000244	OG0000019	n19	rna-XM_039326343.1, rna-XM_039322884.1, rna-XM_039331641.1, rna-XM_039331701.1, rna-XM_039359596.1, rna-XM_039331528.1, rna-XM_039345791.1, rna-XM_039346799.1, rna-XM_039341823.1, rna-XM_039345793.1, rna-XM_039359597.1									rna-XM_029285799.1			
N2.HOG0000245	OG0000020	n2	rna-XM_039350303.1, rna-XM_039318980.1												
N2.HOG0000246	OG0000020	n31	rna-XM_039366413.1												
N2.HOG0000247	OG0000020	n154	rna-XM_039319013.1, rna-XM_039350290.1, rna-XM_039350301.1, rna-XM_039318982.1									rna-XM_015828157.1			
N2.HOG0000248	OG0000020	n158	rna-XM_039350281.1, rna-XM_039350286.1									rna-XM_029286785.1			
N2.HOG0000249	OG0000020	n163	rna-XM_039350299.1, rna-XM_039365835.1									rna-XM_029286718.1, rna-XM_015826606.1, rna-XM_015826602.2			
N2.HOG0000250	OG0000020	n167	rna-XM_039350293.1, rna-XM_039350294.1									rna-XM_015828592.2, rna-XM_015830873.1, rna-XM_015828902.2			
N2.HOG0000251	OG0000020	n172	rna-XM_039350289.1, rna-XM_039318985.1, rna-XM_039318978.1									rna-XM_015824610.1			
N2.HOG0000252	OG0000020	n175	rna-XM_039350292.1, rna-XM_039350295.1									rna-XM_015826090.1, rna-XM_029286811.1, rna-XM_029286639.1, rna-XM_015826605.1, rna-XM_029286263.1			
N2.HOG0000253	OG0000020	n181	rna-XM_039350297.1									rna-XM_015826089.1, rna-XM_015828901.1			
N2.HOG0000254	OG0000020	n183	rna-XM_039350298.1, rna-XM_039319012.1, rna-XM_039365838.1									rna-XM_015826601.2, rna-XM_029286719.1			
N2.HOG0000255	OG0000021	n0	rna-XM_039348267.1									rna-XM_015825996.1			
N2.HOG0000256	OG0000023	n6	rna-XM_039322290.1, rna-XM_039345372.1									rna-XM_029287199.1, rna-XM_029286979.1, rna-XM_029286722.1, rna-XM_015830172.1, rna-XM_029287053.1, rna-XM_029287028.1, rna-XM_029286732.1, rna-XM_029287208.1			
N2.HOG0000257	OG0000023	n16	rna-XM_039322239.1									rna-XM_029286546.1			
N2.HOG0000258	OG0000023	n17	rna-XM_039345348.1									rna-XM_029284542.1			
N2.HOG0000259	OG0000023	n85	rna-XM_039345308.1, rna-XM_039345307.1												
N2.HOG0000260	OG0000023	n87	rna-XM_039345314.1									rna-XM_029286755.1			
N2.HOG0000261	OG0000023	n88	rna-XM_039322287.1									rna-XM_029286977.1, rna-XM_029286723.1			
N2.HOG0000262	OG0000023	n90	rna-XM_039369251.1									rna-XM_015829800.1			
N2.HOG0000263	OG0000023	n96	rna-XM_039345311.1, rna-XM_039345291.1												
N2.HOG0000264	OG0000023	n99	rna-XM_039345315.1									rna-XM_029286794.1, rna-XM_015830588.1, rna-XM_029287159.1, rna-XM_029287118.1, rna-XM_015828605.2			
N2.HOG0000265	OG0000023	n104	rna-XM_039345371.1, rna-XM_039345312.1, rna-XM_039345310.1, rna-XM_039345283.1, rna-XM_039345296.1, rna-XM_039345323.1, rna-XM_039345317.1									rna-XM_029287182.1			
N2.HOG0000266	OG0000023	n111	rna-XM_039322282.1									rna-XM_015831289.2, rna-XM_029287195.1, rna-XM_029287211.1, rna-XM_029287008.1, rna-XM_029286753.1			
N2.HOG0000267	OG0000023	n116	rna-XM_039322255.1									rna-XM_029286751.1, rna-XM_029286793.1			
N2.HOG0000268	OG0000023	n120	rna-XM_039366423.1, rna-XM_039366432.1, rna-XM_039322237.1									rna-XM_029286542.1			
N2.HOG0000269	OG0000023	n127	rna-XM_039322286.1									rna-XM_015827870.1			
N2.HOG0000270	OG0000023	n128	rna-XM_039322240.1									rna-XM_029286541.1, rna-XM_029286540.1, rna-XM_029287152.1, rna-XM_029286543.1, rna-XM_029286538.1			
N2.HOG0000271	OG0000023	n136	rna-XM_039322249.1, rna-XM_039322243.1									rna-XM_029286539.1			
N2.HOG0000272	OG0000024	n45										rna-XM_015831038.1			
N2.HOG0000273	OG0000024	n153										rna-XM_015830054.1			
