TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	Representative
"GO:0001098"	"basal transcription machinery binding"	1	4.019822224167774	0.028617853384278545	0.8538950174871569	0.40916039	-6.103065992327962	-3.241143826873171	null
"GO:0001099"	"basal RNA polymerase II transcription machinery binding"	1	4.019573202095639	0.028601447200415974	0.8403632598982187	0.40914344	-6.4411814422698495	-3.016878215555082	null
"GO:0001091"	"RNA polymerase II general transcription initiation factor binding"	1	3.581722159949099	0.01043433293659535	0.8442531864485204	0.94146965	null	null	1099
"GO:0001094"	"TFIID-class transcription factor complex binding"	1	2.6541765418779604	0.0012304637896928478	0.8494238608489925	0.83807437	null	null	1099
"GO:0002039"	"p53 binding"	1	3.7834032811225633	0.01660305806892216	0.8589427038196193	0.3936706	-6.657029998315068	-1.8820433235615777	null
"GO:0003676"	"nucleic acid binding"	9	6.863597330772465	19.973473388185404	0.8702815893548951	0.20055606	3.9404756308797815	-4.458519643173647	null
"GO:0003682"	"chromatin binding"	2	4.7873329304951415	0.167564558880372	0.9535940567692793	0.04106292	-2.9552725540056466	-8.273155972831804	null
"GO:0003690"	"double-stranded DNA binding"	3	5.384161586762006	0.6622410803406449	0.885416277647176	0.41216406	1.5046317195032475	-6.850005904764447	null
"GO:0003714"	"transcription corepressor activity"	1	4.560014288007842	0.09927928728037316	0.9483574326315233	0.49548437	-4.1445028959916606	5.319844462665481	null
"GO:0003713"	"transcription coactivator activity"	1	4.556724526395461	0.09853007155064905	0.9412211287470178	0.82526568	null	null	3714
"GO:0003723"	"RNA binding"	6	6.2777329534134605	5.183093558779092	0.8665080122715825	0.36469189	2.205030127358416	-6.308941040243946	null
"GO:0003677"	"DNA binding"	4	6.636573643495705	11.84213116765873	0.8494661041945795	0.50617313	null	null	3723
"GO:0003727"	"single-stranded RNA binding"	1	4.135673194419237	0.03736781811098324	0.9101789691044648	0.35750126	0.24288931058395474	-7.71400323937461	null
"GO:0003729"	"mRNA binding"	2	5.031981758405118	0.29432967285850625	0.8937372966961404	0.41161134	0.6202747911209745	-7.29165484226287	null
"GO:0003824"	"catalytic activity"	8	7.361873904338152	62.911524512916806	1	-0	-5.110051904845187	-6.895115651012593	null
"GO:0005198"	"structural molecule activity"	4	6.058463985602251	3.1283830918306608	1	-0	-4.354631424371968	-7.537248205461509	null
"GO:0005200"	"structural constituent of cytoskeleton"	1	4.659440781870318	0.12482098119041957	0.990813275718704	0.0083369	-3.427753428186436	-7.261423812342903	null
"GO:0003735"	"structural constituent of ribosome"	1	5.919537259865355	2.271920138196943	0.9919014699519433	0.64108447	null	null	5200
"GO:0005488"	"binding"	26	7.315506178677889	56.54086933524549	1	-0	-2.848424086801834	-5.984435145786842	null
"GO:0005509"	"calcium ion binding"	1	5.714028667522642	1.4154161691035683	0.9164628637304225	0.27131265	6.899874888046538	0.19923321041404515	null
"GO:0005515"	"protein binding"	20	6.268106216084863	5.069467063710899	0.9310135707677684	0.07243535	3.421308518431939	0.7598176908853054	null
"GO:0005516"	"calmodulin binding"	1	4.754997762422381	0.15554156047308434	0.8355581470320423	0.46619731	-6.372333270801108	-2.632327552187136	null
"GO:0005525"	"GTP binding"	2	5.854428720256191	1.9556198507824765	0.8475405931453301	0.13825759	4.939191817387825	-4.628888034263822	null
"GO:0032561"	"guanyl ribonucleotide binding"	2	5.8668117210178075	2.012182904012668	0.8585751844083418	0.97590881	null	null	5525
"GO:0005539"	"glycosaminoglycan binding"	1	4.665918540181034	0.12669675487870688	0.9346917538199289	0.28176899	0.7864089629865358	-1.912073100409799	null
"GO:0005543"	"phospholipid binding"	1	5.177435489467283	0.41142334144965476	0.9396163633589268	0.04738744	6.293292239479979	3.3265948030918375	null
"GO:0035091"	"phosphatidylinositol binding"	1	5.019444484724864	0.28595431599666365	0.9414383416329851	0.83184164	null	null	5543
"GO:0008134"	"transcription factor binding"	1	4.6143170666602105	0.11250267147360563	0.8394200316358479	0.45408486	-5.984808633288011	-2.807550890004818	null
"GO:0008168"	"methyltransferase activity"	1	5.99635710236053	2.7115211004305637	0.8628598252846152	0.34049712	3.707623759280665	4.48544892395848	null
"GO:0008170"	"N-methyltransferase activity"	1	5.214014189170926	0.44757710195480777	0.8823740579428626	0.75839177	null	null	8168
"GO:0008276"	"protein methyltransferase activity"	1	5.0834811195712515	0.33138577347610065	0.84497093896455	0.73392691	null	null	8168
"GO:0008469"	"histone arginine N-methyltransferase activity"	1	2.960946195733831	0.0024964743110879335	0.8774700213859538	0.84065919	null	null	8168
"GO:0008757"	"S-adenosylmethionine-dependent methyltransferase activity"	1	5.570081548857128	1.0161005913444912	0.8736153842780746	0.8342488	null	null	8168
"GO:0016273"	"arginine N-methyltransferase activity"	1	4.2230544131791055	0.04569669078521527	0.8910850723126192	0.60522927	null	null	8168
"GO:0016274"	"protein-arginine N-methyltransferase activity"	1	4.2230544131791055	0.04569669078521527	0.8538642849532102	0.80463301	null	null	8168
"GO:0035243"	"protein-arginine omega-N symmetric methyltransferase activity"	1	3.507855871695831	0.008801917642269504	0.8682383360874496	0.90286574	null	null	8168
"GO:0042054"	"histone methyltransferase activity"	1	4.6083869514996945	0.1109768963743865	0.8557131349870183	0.86168837	null	null	8168
"GO:0044020"	"histone H4R3 methyltransferase activity"	1	2.640481436970422	0.0011921826940135148	0.8823073279420937	0.80800602	null	null	8168
"GO:0008186"	"ATP-dependent activity, acting on RNA"	1	5.088529434497245	0.3352603672316446	0.9803252848917734	-0	5.618841343782335	2.729843482399696	null
"GO:0008198"	"ferrous iron binding"	1	4.208441356438567	0.04418458750588162	0.9360317168489658	0.38328264	6.687744263219187	1.0675770673889209	null
"GO:0008233"	"peptidase activity"	1	6.198146353307567	4.315214635541	0.9084414668574751	0.39085863	-0.300525787645977	6.157211846296207	null
"GO:0004672"	"protein kinase activity"	1	6.130572404035669	3.693417532785571	0.8681322435830164	0.60989703	null	null	8233
"GO:0008237"	"metallopeptidase activity"	1	5.694000275008918	1.3516234575179369	0.9191685343412466	0.52756781	null	null	8233
"GO:0016301"	"kinase activity"	1	6.359620557705458	6.258592738798022	0.8880449609424361	0.78137145	null	null	8233
"GO:0016773"	"phosphotransferase activity, alcohol group as acceptor"	1	6.244590788358401	4.802273218961086	0.8914966742662116	0.7163174	null	null	8233
"GO:0008289"	"lipid binding"	1	5.495213981623024	0.8552024118402772	0.9451452873826764	0.05586886	-6.763289213672955	2.9159430691218993	null
"GO:0008455"	"alpha-1,6-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity"	1	3.1341771075767664	0.0037214693728265906	0.9165383712458824	0.48934504	1.7974126783009445	5.505073116595236	null
"GO:0016491"	"oxidoreductase activity"	1	6.632025009785554	11.718748461920264	0.9718188489795565	0.0932198	-7.280793317240631	2.069733875103926	null
"GO:0016740"	"transferase activity"	3	6.892114924969597	21.329034329830357	0.9688199673166051	0.11129384	-5.26309485348729	4.599242520064967	null
"GO:0016741"	"transferase activity, transferring one-carbon groups"	1	6.033093888137047	2.9508681824376395	0.9053870273252113	0.34457955	3.0055093542701714	4.499347598004975	null
"GO:0016746"	"acyltransferase activity"	1	6.029142210311669	2.924139774561534	0.9054852168921451	0.33475497	3.354680757369367	4.332589121620531	null
"GO:0016747"	"acyltransferase activity, transferring groups other than amino-acyl groups"	1	5.916315478660836	2.2551284090136012	0.8889235961681847	0.32319341	3.7270112298833795	4.837917525756469	null
"GO:0003846"	"2-acylglycerol O-acyltransferase activity"	1	2.45178643552429	0.0007710906415408513	0.934528058233929	0.61857777	null	null	16747
"GO:0008374"	"O-acyltransferase activity"	1	4.9654227914426565	0.25250757582883493	0.907475272782177	0.70167344	null	null	16747
"GO:0016407"	"acetyltransferase activity"	1	5.190622998042665	0.4241080559393995	0.9033559917560999	0.74098782	null	null	16747
"GO:0016411"	"acylglycerol O-acyltransferase activity"	1	4.298241578496486	0.05433454658885906	0.9150412230356854	0.60636014	null	null	16747
"GO:0016757"	"glycosyltransferase activity"	1	5.9431684253322254	2.398966891664718	0.907572843570305	0.05056076	3.360886803724411	5.099226829272203	null
"GO:0016758"	"hexosyltransferase activity"	1	5.530270153244508	0.9270970438900418	0.9015799517989612	0.2890372	2.7068800376844684	5.0964423921663435	null
"GO:0008194"	"UDP-glycosyltransferase activity"	1	5.2568523900591435	0.4939765242821365	0.9069455612929074	0.72876316	null	null	16758
"GO:0008375"	"acetylglucosaminyltransferase activity"	1	4.579737879001956	0.10389215930973279	0.9157575640393485	0.63039116	null	null	16758
"GO:0016772"	"transferase activity, transferring phosphorus-containing groups"	1	6.48744170980145	8.400359886049209	0.892632083126275	0.40518421	3.246075113321273	4.786452316094051	null
"GO:0016787"	"hydrolase activity"	4	6.892716478959469	21.35859827315071	0.9688123757196796	0.09164907	-2.8412579439805654	6.12410262170563	null
"GO:0016817"	"hydrolase activity, acting on acid anhydrides"	3	6.274112569393489	5.14006560723552	0.9467692756026447	0.40218347	-1.1337861369522857	6.082892996128982	null
"GO:0017111"	"ribonucleoside triphosphate phosphatase activity"	3	6.230320146747868	4.647037907253437	0.9230207570922612	-0	-1.128793866327345	6.329514942695379	null
"GO:0003924"	"GTPase activity"	2	5.675153938293339	1.2942236889107541	0.9336766800947909	0.76458377	null	null	17111
"GO:0016462"	"pyrophosphatase activity"	3	6.266374947893515	5.049298395015845	0.9223176767651607	0.93147212	null	null	17111
"GO:0016818"	"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"	3	6.272367086741522	5.119448502848223	0.9222312409072494	0.94512282	null	null	17111
"GO:0016887"	"ATP hydrolysis activity"	1	6.084167884907747	3.3191268541448693	0.9047094328392341	0.87580287	null	null	17111
"GO:0019001"	"guanyl nucleotide binding"	2	5.867464541482152	2.0152098449353124	0.8702009725414857	0.37353343	4.338778042920759	-6.158388734344408	null
"GO:0019904"	"protein domain specific binding"	1	4.597497734464096	0.10822886057740579	0.839869468413668	0.45267872	-6.169692466690682	-2.0004970276667433	null
"GO:0030145"	"manganese ion binding"	1	4.952918307262305	0.24534080784486836	0.9257511720787173	0.04240241	6.724226377905113	0.7022226699429029	null
"GO:0005506"	"iron ion binding"	1	5.735724220279919	1.4879205643202251	0.9105106108718628	0.51519727	null	null	30145
"GO:0030234"	"enzyme regulator activity"	4	5.726133620849947	1.4554226484524484	0.8717151190188284	-0	-6.124109951848748	3.870527006076736	null
"GO:0004857"	"enzyme inhibitor activity"	3	5.1992641250456755	0.43263106845600524	0.8698682257555802	0.79498887	null	null	30234
"GO:0004864"	"protein phosphatase inhibitor activity"	2	4.310523383951521	0.05589313405580334	0.8770186197749279	0.9334383	null	null	30234
"GO:0004866"	"endopeptidase inhibitor activity"	1	4.947820787093211	0.24247792876084967	0.8649639313378766	0.82223756	null	null	30234
"GO:0004867"	"serine-type endopeptidase inhibitor activity"	1	4.763809705396578	0.15872982887037734	0.869058672283003	0.96224592	null	null	30234
"GO:0005096"	"GTPase activator activity"	1	5.021813407240284	0.28751837219156207	0.8771088576545781	0.9104214	null	null	30234
"GO:0008047"	"enzyme activator activity"	1	5.202003074824335	0.43536816679707757	0.8747948070186705	0.79550754	null	null	30234
"GO:0019208"	"phosphatase regulator activity"	2	4.66812488878764	0.12734206477730137	0.8862454006827819	0.70575566	null	null	30234
"GO:0019212"	"phosphatase inhibitor activity"	2	4.315718507536319	0.056565787594168755	0.8769204929755362	0.93422177	null	null	30234
"GO:0019888"	"protein phosphatase regulator activity"	2	4.620760489994206	0.11418430531951917	0.8788360244347763	0.69876139	null	null	30234
"GO:0030414"	"peptidase inhibitor activity"	1	4.981220417794508	0.2618618349944777	0.8644310037460219	0.98241459	null	null	30234
"GO:0030695"	"GTPase regulator activity"	1	5.411665153007753	0.7055369995539705	0.868592005126529	0.83732501	null	null	30234
"GO:0060589"	"nucleoside-triphosphatase regulator activity"	1	5.411744253186617	0.705665514660894	0.8702296454429587	0.84142437	null	null	30234
"GO:0061134"	"peptidase regulator activity"	1	5.0050174068761795	0.27661099428692926	0.8794621918221199	0.75985343	null	null	30234
"GO:0061135"	"endopeptidase regulator activity"	1	4.951638602972059	0.24461893575491522	0.8706066960645701	0.97613687	null	null	30234
"GO:0030515"	"snoRNA binding"	2	4.172310968521955	0.04065725797542879	0.9096103276744778	0.21633301	-0.004851807282549808	-7.291082774571339	null
"GO:0034511"	"U3 snoRNA binding"	1	3.4934580509951885	0.008514809424674507	0.9190734207436063	0.32672243	-0.17575832955629175	-7.900037098474316	null
"GO:0036094"	"small molecule binding"	6	6.8975330756005215	21.596796922287407	0.9114569149125651	0.20184516	6.6382938763500885	-2.9537640943278323	null
"GO:0042393"	"histone binding"	2	4.4964314451842	0.0857578574136373	0.8425172645772382	0.44440933	-5.569779415342036	-2.3702373248478223	null
"GO:0042802"	"identical protein binding"	6	5.09719828884705	0.34201971498302397	0.825327802417298	0	-6.223558740924414	-2.3295936698601247	null
"GO:0003779"	"actin binding"	1	5.312232380519855	0.561159847199366	0.8111917572478562	0.84551544	null	null	42802
"GO:0008017"	"microtubule binding"	1	5.121930625217794	0.3620626029351319	0.8176321639504	0.56689101	null	null	42802
"GO:0008092"	"cytoskeletal protein binding"	2	5.599199448013038	1.0865624166702579	0.8077509713589344	0.63698404	null	null	42802
"GO:0015631"	"tubulin binding"	1	5.2189790257506	0.45272317495970094	0.8144025638921628	0.81189137	null	null	42802
"GO:0019899"	"enzyme binding"	1	5.363681536641343	0.6317365158121706	0.8164215975086495	0.60035355	null	null	42802
"GO:0046983"	"protein dimerization activity"	2	5.667067988070571	1.2703499570267358	0.8050976523044011	0.56367676	null	null	42802
"GO:0043021"	"ribonucleoprotein complex binding"	1	5.02370915485029	0.2887761796210259	0.9362602810090555	0.04300211	-1.0354936207450989	-3.0327512838873174	null
"GO:0031491"	"nucleosome binding"	1	3.9439394644722165	0.02402959063071277	0.9466215192623767	0.69541591	null	null	43021
"GO:0043167"	"ion binding"	9	7.105150814979825	34.834301371097595	0.9018790075982844	0.25064445	5.887074137168081	-2.6596603925638904	null
"GO:0043168"	"anion binding"	4	6.854926790923032	19.57866404226058	0.8905010484585153	0.41336322	6.165094406012149	-1.3316362015686054	null
"GO:0043169"	"cation binding"	5	6.827331529155193	18.37332632315326	0.8918350730327073	0.24418153	6.433138794467413	-1.4177189613933483	null
"GO:0043565"	"sequence-specific DNA binding"	3	5.778442130252641	1.6417148662119456	0.8738446101263972	0.0546138	1.8425861883772026	-6.849609558543608	null
"GO:0044877"	"protein-containing complex binding"	3	5.406678110893353	0.697481563277448	0.9463783260842298	0.04656487	-5.4174324756903065	2.5883757907763534	null
"GO:0045296"	"cadherin binding"	3	3.8489892062511672	0.019310078406246423	0.8575781467846759	0.397849	-5.701816689450455	-3.2081749523071545	null
"GO:0046872"	"metal ion binding"	5	6.82350155104178	18.212007051596572	0.8788473031986586	0.46402099	6.302523475025118	-0.8219790096654409	null
"GO:0046914"	"transition metal ion binding"	2	6.346168653629377	6.067709523920982	0.8985327769979717	0.6139361	null	null	46872
"GO:0046982"	"protein heterodimerization activity"	1	5.034921095748594	0.29632849292576285	0.8245154254466465	0.49232799	-5.957211534150734	-2.4303859984705216	null
"GO:0042803"	"protein homodimerization activity"	1	4.752417249326482	0.15462007981280326	0.8328475456406322	0.70125626	null	null	46982
"GO:0050661"	"NADP binding"	1	5.364292029872777	0.6326251841047266	0.886034800385355	0.3254339	5.07760931009289	-6.002842664346533	null
"GO:0050839"	"cell adhesion molecule binding"	3	4.288897276322566	0.05317791062654779	0.847685241380753	0.42834132	-6.628385420377978	-2.3598335045996057	null
"GO:0051117"	"ATPase binding"	1	3.6388884247050757	0.011902686392295482	0.8618579948083982	0.38476611	-6.396729023775149	-1.5393250341886462	null
"GO:0051287"	"NAD binding"	1	5.538993248590611	0.9459067336884798	0.8806196851618397	0.34066453	4.728859264812106	-6.208562457815626	null
"GO:0051536"	"iron-sulfur cluster binding"	1	5.886441088680982	2.105216903969356	0.9294250509071005	0.06218348	-0.5199784255823245	-0.5825232575978231	null
"GO:0051537"	"2 iron, 2 sulfur cluster binding"	1	5.267516679420832	0.5062565529032712	0.9387079362298142	0.82629437	null	null	51536
"GO:0051540"	"metal cluster binding"	1	5.886673992611124	2.1063461962918963	0.9388670689368553	0.0641906	1.2787560853271933	0.8611327801316989	null
"GO:0060090"	"molecular adaptor activity"	3	4.8682858064167895	0.2018999673407567	1	-0	-4.049642313645643	3.1589478833661957	null
"GO:0062153"	"C5-methylcytidine-containing RNA binding"	1	2.0492180226701815	0.00030351440145756913	0.9337456643932733	0.27361776	-0.7575581365492914	-7.795893953754903	null
"GO:0070577"	"lysine-acetylated histone binding"	1	3.585009279902461	0.01051362949193111	0.8450094995306605	0.38154834	-5.898794897551731	-1.5538202653426296	null
"GO:0035064"	"methylated histone binding"	1	3.7193312869837265	0.014325332876001844	0.8421688498764944	0.82728995	null	null	70577
"GO:0140033"	"acetylation-dependent protein binding"	1	3.585009279902461	0.01051362949193111	0.8450094995306605	0.81332047	null	null	70577
"GO:0140034"	"methylation-dependent protein binding"	1	3.72607487021537	0.014549550722123652	0.8420235243467225	0.84248684	null	null	70577
"GO:0097159"	"organic cyclic compound binding"	12	7.162810188260379	39.78015604249595	0.8988170229100189	0.26868474	5.316580577231521	-2.4047473486861297	null
"GO:0097367"	"carbohydrate derivative binding"	5	6.784597110663393	16.65150006114038	0.9158513055577225	0.18251555	3.9982133905421526	-1.3736279799345388	null
"GO:0098772"	"molecular function regulator activity"	4	5.859598777660515	1.9790396782462971	1	-0	-2.452645111057674	4.198088203437702	null
"GO:0140030"	"modification-dependent protein binding"	2	4.325700342915986	0.05788101666715156	0.8467940164399919	0.43110546	-5.669073048083453	-2.0099594838966155	null
"GO:0140096"	"catalytic activity, acting on a protein"	4	6.604577019955573	11.001027136484357	0.9721037352904327	0.06515511	0.21761354788956452	2.2180464804307922	null
"GO:0140098"	"catalytic activity, acting on RNA"	1	6.108442226859304	3.5099280381025966	0.9622363261212996	0.05355854	-1.4479281768346355	0.9478355570395136	null
"GO:0003724"	"RNA helicase activity"	1	5.054712616834395	0.31014523410202505	0.9572152212131418	0.55923567	null	null	140098
"GO:0004386"	"helicase activity"	1	5.661684933078066	1.2547011919858198	0.9511963651007487	0.66037567	null	null	140098
"GO:0140103"	"catalytic activity, acting on a glycoprotein"	1	4.144356227368183	0.03812250256866152	0.9545120260832127	0.03141983	0.45882857513830155	6.303647844959094	null
"GO:0140110"	"transcription regulator activity"	3	6.253355938991352	4.900179855524957	0.942440411474401	-0	-3.978374015486087	5.423059160623701	null
"GO:0000981"	"DNA-binding transcription factor activity, RNA polymerase II-specific"	1	5.530811634910523	0.9282536798523531	0.9421514799429103	0.63941098	null	null	140110
"GO:0001216"	"DNA-binding transcription activator activity"	1	4.576064788225377	0.10301716283706232	0.945930728514369	0.70165941	null	null	140110
"GO:0001228"	"DNA-binding transcription activator activity, RNA polymerase II-specific"	1	4.497468723709967	0.08596293471191944	0.9446276121830155	0.66242626	null	null	140110
"GO:0003700"	"DNA-binding transcription factor activity"	1	6.220298246456202	4.541029350225432	0.936403744111969	0.80561032	null	null	140110
"GO:0003712"	"transcription coregulator activity"	2	5.075309676907054	0.32520884525184257	0.9490196157760381	0.56271715	null	null	140110
"GO:0140296"	"general transcription initiation factor binding"	1	4.179982425292592	0.04138186442935902	0.8400227898987028	0.42036485	-5.500347128044693	-2.765200581456295	null
"GO:0140640"	"catalytic activity, acting on a nucleic acid"	1	6.377640951448902	6.523746748020923	0.9742567751726433	0.06963197	-2.789785746365098	2.0728278800480964	null
"GO:0140657"	"ATP-dependent activity"	1	6.344520577941855	6.044727194693497	1	-0	-0.9276384715167417	3.5059032582851644	null
"GO:1901265"	"nucleoside phosphate binding"	6	6.855012182980642	19.58251402674033	0.8707807521017159	0.34311224	3.70281568312258	-4.571400934925392	null
"GO:1901363"	"heterocyclic compound binding"	12	7.162381390800002	39.7408987788768	0.8988404749424099	0.12692666	4.8862797707101135	-2.1430226369264855	null
