# BUSCO version is: 5.3.2 
# The lineage dataset is: tetrapoda_odb10 (Creation date: 2021-02-19, number of genomes: 38, number of BUSCOs: 5310)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
6412at32523	Complete	HiC_scaffold_4	51462275	51532914	-	3082.9	2133	https://www.orthodb.org/v10?query=6412at32523	centrosomal protein 290 
6438at32523	Complete	HiC_scaffold_2	179956907	180054016	+	3849.6	2513	https://www.orthodb.org/v10?query=6438at32523	nucleosome-remodeling factor subunit BPTF
6451at32523	Complete	HiC_scaffold_4	8585	147531	-	4583.2	2828	https://www.orthodb.org/v10?query=6451at32523	protein piccolo
6566at32523	Complete	HiC_scaffold_3	154846693	154914545	-	3946.8	2095	https://www.orthodb.org/v10?query=6566at32523	chromodomain-helicase-DNA-binding protein 6
6641at32523	Complete	HiC_scaffold_3	48300203	48400257	-	2016.8	1522	https://www.orthodb.org/v10?query=6641at32523	structural maintenance of chromosomes flexible hinge domain-containing protein 1
6711at32523	Complete	HiC_scaffold_1	89138036	89179399	+	2552.2	1817	https://www.orthodb.org/v10?query=6711at32523	HEAT repeat-containing protein 1
6878at32523	Complete	HiC_scaffold_1	274611571	274653515	+	2747.1	1549	https://www.orthodb.org/v10?query=6878at32523	lactase-phlorizin hydrolase
6879at32523	Complete	HiC_scaffold_1	219845231	219976561	-	3573.2	1728	https://www.orthodb.org/v10?query=6879at32523	Phosphoinositide kinase, FYVE-type zinc finger containing
6895at32523	Complete	HiC_scaffold_4	56883316	56955327	+	4016.2	2422	https://www.orthodb.org/v10?query=6895at32523	small subunit processome component 20 homolog
6923at32523	Complete	HiC_scaffold_1	210020081	210028346	+	2003.2	1745	https://www.orthodb.org/v10?query=6923at32523	tudor domain-containing protein 6
7001at32523	Complete	HiC_scaffold_6	78278519	78382868	-	1793.6	1499	https://www.orthodb.org/v10?query=7001at32523	Tetratricopeptide repeat domain 3
7033at32523	Complete	HiC_scaffold_6	131986159	132017160	-	478.6	876	https://www.orthodb.org/v10?query=7033at32523	centrosomal protein 295 
7066at32523	Complete	HiC_scaffold_4	136481858	136569773	+	3598.1	1920	https://www.orthodb.org/v10?query=7066at32523	Thyroid hormone receptor interactor 12
7335at32523	Complete	HiC_scaffold_14	1920132	1955001	-	3332.6	1810	https://www.orthodb.org/v10?query=7335at32523	integrator complex subunit 1
7416at32523	Complete	HiC_scaffold_1	180796232	180942496	+	3390.4	1919	https://www.orthodb.org/v10?query=7416at32523	neuroblastoma-amplified sequence
7454at32523	Complete	HiC_scaffold_10	18085527	18110957	-	2408.3	1673	https://www.orthodb.org/v10?query=7454at32523	protein PRRC2B isoform X1
7640at32523	Complete	HiC_scaffold_13	18903436	18941158	-	2456.5	1991	https://www.orthodb.org/v10?query=7640at32523	microtubule-associated protein 1A
7650at32523	Complete	HiC_scaffold_3	38812780	38918081	+	2728.8	1841	https://www.orthodb.org/v10?query=7650at32523	rotatin
7668at32523	Complete	HiC_scaffold_1	392413931	392454852	-	2981.8	1420	https://www.orthodb.org/v10?query=7668at32523	Dicer 1, ribonuclease III
7708at32523	Complete	HiC_scaffold_14	3578281	3642283	-	2676.7	2015	https://www.orthodb.org/v10?query=7708at32523	trinucleotide repeat-containing gene 18 protein
7794at32523	Complete	HiC_scaffold_4	10788032	10899699	+	2717.1	1837	https://www.orthodb.org/v10?query=7794at32523	Protein tyrosine phosphatase, receptor type Z1
7966at32523	Complete	HiC_scaffold_1	350787739	350835359	-	2994.5	1515	https://www.orthodb.org/v10?query=7966at32523	low-density lipoprotein receptor-related protein 4
8095at32523	Complete	HiC_scaffold_10	14001158	14033853	+	2214.3	1869	https://www.orthodb.org/v10?query=8095at32523	kinetochore-associated protein 1
8118at32523	Complete	HiC_scaffold_3	239869681	239929338	+	3348.0	2051	https://www.orthodb.org/v10?query=8118at32523	nucleoprotein TPR
8142at32523	Complete	HiC_scaffold_7	70337560	70409133	-	3037.5	1517	https://www.orthodb.org/v10?query=8142at32523	NACHT and WD repeat domain-containing protein 2
8240at32523	Complete	HiC_scaffold_2	179476032	179594446	-	2807.5	1581	https://www.orthodb.org/v10?query=8240at32523	Helicase with zinc finger
8316at32523	Complete	HiC_scaffold_2	101073073	101097140	-	3553.9	2362	https://www.orthodb.org/v10?query=8316at32523	protein bassoon
8402at32523	Complete	HiC_scaffold_1	350700299	350751507	-	3330.6	1703	https://www.orthodb.org/v10?query=8402at32523	cytoskeleton-associated protein 5
8417at32523	Complete	HiC_scaffold_3	249414284	249490746	-	3297.3	2148	https://www.orthodb.org/v10?query=8417at32523	protein PRRC2C isoform X1
8558at32523	Complete	HiC_scaffold_4	164742394	164810231	-	2723.2	1571	https://www.orthodb.org/v10?query=8558at32523	nebulin-related-anchoring protein
8575at32523	Complete	HiC_scaffold_1	27811641	27841192	+	2720.1	1511	https://www.orthodb.org/v10?query=8575at32523	Intraflagellar transport 172
8792at32523	Complete	HiC_scaffold_1	249486357	249588842	-	2757.5	1455	https://www.orthodb.org/v10?query=8792at32523	E3 ubiquitin-protein ligase UBR3
9015at32523	Complete	HiC_scaffold_5	114179513	114237746	+	1686.0	1293	https://www.orthodb.org/v10?query=9015at32523	deleted in lung and esophageal cancer protein 1
9028at32523	Complete	HiC_scaffold_10	11622541	11718919	+	3042.6	1739	https://www.orthodb.org/v10?query=9028at32523	citron Rho-interacting kinase isoform X1
9072at32523	Complete	HiC_scaffold_1	49176308	49234402	-	3133.2	1652	https://www.orthodb.org/v10?query=9072at32523	anaphase-promoting complex subunit 1
9283at32523	Complete	HiC_scaffold_4	184906133	184960917	+	3066.4	1573	https://www.orthodb.org/v10?query=9283at32523	B-TFIID TATA-box binding protein associated factor 1
9339at32523	Complete	HiC_scaffold_1	41593204	41692366	+	3154.8	1564	https://www.orthodb.org/v10?query=9339at32523	proteasome activator complex subunit 4
9406at32523	Complete	HiC_scaffold_1	8205354	8420723	+	2694.1	1371	https://www.orthodb.org/v10?query=9406at32523	ubiquitin carboxyl-terminal hydrolase 32
9751at32523	Complete	HiC_scaffold_6	82231919	82262584	+	2187.5	1440	https://www.orthodb.org/v10?query=9751at32523	E3 ubiquitin-protein ligase listerin
10041at32523	Complete	HiC_scaffold_6	29459553	29682629	+	3343.5	1571	https://www.orthodb.org/v10?query=10041at32523	sodium leak channel non-selective protein
10130at32523	Complete	HiC_scaffold_3	97519564	97700328	+	2970.6	2269	https://www.orthodb.org/v10?query=10130at32523	thyroglobulin
10244at32523	Complete	HiC_scaffold_1	416991566	417039096	-	1729.7	1359	https://www.orthodb.org/v10?query=10244at32523	Fanconi anemia group M protein
10325at32523	Complete	HiC_scaffold_3	55918698	56050342	+	2736.6	1824	https://www.orthodb.org/v10?query=10325at32523	putative Polycomb group protein ASXL3
10341at32523	Complete	HiC_scaffold_1	128999727	129149281	+	2514.5	1606	https://www.orthodb.org/v10?query=10341at32523	Laminin subunit alpha 4
10430at32523	Complete	HiC_scaffold_5	64833652	64876172	-	2522.1	1403	https://www.orthodb.org/v10?query=10430at32523	DNA-directed RNA polymerase I subunit RPA1
10459at32523	Complete	HiC_scaffold_7	17605660	17758865	+	3018.1	1927	https://www.orthodb.org/v10?query=10459at32523	tyrosine-protein phosphatase non-receptor type 13
10578at32523	Complete	HiC_scaffold_1	212476913	212531297	+	2108.4	1564	https://www.orthodb.org/v10?query=10578at32523	Minichromosome maintenance complex component 3 associated protein
10583at32523	Complete	HiC_scaffold_10	21923011	21986886	-	974.1	1069	https://www.orthodb.org/v10?query=10583at32523	CDK5 regulatory subunit-associated protein 2
10722at32523	Complete	HiC_scaffold_2	161998687	162073600	-	2264.7	1460	https://www.orthodb.org/v10?query=10722at32523	Integrin beta
10881at32523	Missing
10949at32523	Complete	HiC_scaffold_4	47703887	47812244	+	3246.9	2417	https://www.orthodb.org/v10?query=10949at32523	phosphatidylinositol phosphatase PTPRQ
11031at32523	Complete	HiC_scaffold_10	2830001	2887907	+	2291.1	1282	https://www.orthodb.org/v10?query=11031at32523	DEP domain-containing protein 5
11088at32523	Complete	HiC_scaffold_12	24173962	24192389	+	2904.1	1566	https://www.orthodb.org/v10?query=11088at32523	Transcription initiation factor TFIID subunit
11195at32523	Complete	HiC_scaffold_1	40743850	40839384	+	2967.6	1622	https://www.orthodb.org/v10?query=11195at32523	Coiled-coil domain containing 88A
11278at32523	Complete	HiC_scaffold_7	28793832	28813536	+	2109.8	1640	https://www.orthodb.org/v10?query=11278at32523	Tet methylcytosine dioxygenase 2
11302at32523	Complete	HiC_scaffold_2	251428796	251498504	+	3071.2	1623	https://www.orthodb.org/v10?query=11302at32523	proteasome-associated protein ECM29 homolog
11337at32523	Complete	HiC_scaffold_6	3332620	3446785	+	2851.6	1552	https://www.orthodb.org/v10?query=11337at32523	von Willebrand factor A domain-containing protein 8
11446at32523	Complete	HiC_scaffold_13	18944480	18967729	+	1404.4	1281	https://www.orthodb.org/v10?query=11446at32523	tumor suppressor p53-binding protein 1
11466at32523	Complete	HiC_scaffold_3	216865414	216935719	-	2747.9	1379	https://www.orthodb.org/v10?query=11466at32523	glycogen debranching enzyme
11525at32523	Complete	HiC_scaffold_2	270254003	270343720	+	2009.6	1660	https://www.orthodb.org/v10?query=11525at32523	uncharacterized protein KIAA2026 homolog
11754at32523	Complete	HiC_scaffold_1	143824615	143840844	-	1509.9	1569	https://www.orthodb.org/v10?query=11754at32523	Caspase 8 associated protein 2
11773at32523	Complete	HiC_scaffold_17	2382208	2479637	-	3085.8	1519	https://www.orthodb.org/v10?query=11773at32523	Zinc finger SWIM-type containing 8
11855at32523	Complete	HiC_scaffold_5	132792789	132874012	-	2658.2	1537	https://www.orthodb.org/v10?query=11855at32523	supervillin isoform X1
11900at32523	Complete	HiC_scaffold_14	187836	210124	-	2425.0	1527	https://www.orthodb.org/v10?query=11900at32523	general transcription factor 3C polypeptide 1
11992at32523	Complete	HiC_scaffold_3	200653134	200836048	+	2119.3	1123	https://www.orthodb.org/v10?query=11992at32523	leucine-rich repeat-containing protein 7
12002at32523	Complete	HiC_scaffold_1	100023077	100105967	-	2663.1	1941	https://www.orthodb.org/v10?query=12002at32523	cation-independent mannose-6-phosphate receptor
12176at32523	Complete	HiC_scaffold_3	76765460	76797013	-	3028.3	1618	https://www.orthodb.org/v10?query=12176at32523	Vir like m6A methyltransferase associated
12263at32523	Complete	HiC_scaffold_1	108325859	108383551	+	2607.9	1374	https://www.orthodb.org/v10?query=12263at32523	SNF2 histone linker PHD RING helicase
12302at32523	Complete	HiC_scaffold_1	372387020	372405763	+	2676.7	1321	https://www.orthodb.org/v10?query=12302at32523	rho GTPase-activating protein 5
12314at32523	Complete	HiC_scaffold_2	95283301	95346341	+	2705.4	1346	https://www.orthodb.org/v10?query=12314at32523	protein polybromo-1 isoform X1
12325at32523	Complete	HiC_scaffold_1	325858006	326066422	-	1691.4	980	https://www.orthodb.org/v10?query=12325at32523	UPF0606 protein KIAA1549L homolog
12350at32523	Complete	HiC_scaffold_6	110140285	110202131	-	2196.5	1469	https://www.orthodb.org/v10?query=12350at32523	cilia- and flagella-associated protein 44
12370at32523	Complete	HiC_scaffold_4	39737391	39811813	+	2942.4	1459	https://www.orthodb.org/v10?query=12370at32523	protein MON2 homolog isoform X1
12479at32523	Complete	HiC_scaffold_1	256678967	256759240	+	1495.6	1150	https://www.orthodb.org/v10?query=12479at32523	secretory phospholipase A2 receptor
13033at32523	Complete	HiC_scaffold_3	157626365	157836990	+	2320.3	1410	https://www.orthodb.org/v10?query=13033at32523	neuron navigator 1 isoform X1
13169at32523	Complete	HiC_scaffold_4	15498723	15523380	+	1931.9	1207	https://www.orthodb.org/v10?query=13169at32523	gamma-tubulin complex component 6
13552at32523	Complete	HiC_scaffold_4	149400209	149450790	+	2038.7	1225	https://www.orthodb.org/v10?query=13552at32523	Transient receptor potential cation channel subfamily M member 2
13671at32523	Complete	HiC_scaffold_5	114701598	114709166	-	2160.8	1820	https://www.orthodb.org/v10?query=13671at32523	xin actin-binding repeat-containing protein 1
13675at32523	Complete	HiC_scaffold_2	342088775	342330172	-	2614.3	1296	https://www.orthodb.org/v10?query=13675at32523	WD repeat domain 7
13705at32523	Complete	HiC_scaffold_13	9852461	9909231	-	2084.2	1179	https://www.orthodb.org/v10?query=13705at32523	Cell migration inducing hyaluronan binding protein
13794at32523	Complete	HiC_scaffold_1	398943940	398986035	+	2085.7	1109	https://www.orthodb.org/v10?query=13794at32523	tectonin beta-propeller repeat-containing protein 2
13828at32523	Complete	HiC_scaffold_1	116784058	116828728	+	2367.5	1161	https://www.orthodb.org/v10?query=13828at32523	Mediator complex subunit 23
13944at32523	Complete	HiC_scaffold_2	335655686	335708572	+	2659.8	1382	https://www.orthodb.org/v10?query=13944at32523	rapamycin-insensitive companion of mTOR isoform X1
13946at32523	Complete	HiC_scaffold_3	34578762	34635011	-	1907.1	1297	https://www.orthodb.org/v10?query=13946at32523	zinc finger protein 236
13981at32523	Complete	HiC_scaffold_4	199014400	199099331	-	1675.4	1405	https://www.orthodb.org/v10?query=13981at32523	methylcytosine dioxygenase TET1
14011at32523	Complete	HiC_scaffold_4	43127518	43171144	-	2457.0	1538	https://www.orthodb.org/v10?query=14011at32523	zinc finger C3H1 domain-containing protein
14074at32523	Complete	HiC_scaffold_10	17253166	17271591	+	2237.1	1240	https://www.orthodb.org/v10?query=14074at32523	GTPase activating protein and VPS9 domains 1
14142at32523	Complete	HiC_scaffold_2	215680603	215726219	-	2547.6	1356	https://www.orthodb.org/v10?query=14142at32523	DNA (cytosine-5)-methyltransferase 1
14203at32523	Complete	HiC_scaffold_1	94876392	94961904	-	2733.4	1476	https://www.orthodb.org/v10?query=14203at32523	afadin
14268at32523	Complete	HiC_scaffold_4	209378181	209503733	+	2845.4	1588	https://www.orthodb.org/v10?query=14268at32523	disks large homolog 5
14307at32523	Complete	HiC_scaffold_1	863443	906830	+	2786.7	1498	https://www.orthodb.org/v10?query=14307at32523	transcription elongation factor SPT6
14391at32523	Complete	HiC_scaffold_1	218292	226961	+	2311.5	1559	https://www.orthodb.org/v10?query=14391at32523	WD repeat domain 81
14413at32523	Complete	HiC_scaffold_1	389897309	390011685	-	2502.0	1721	https://www.orthodb.org/v10?query=14413at32523	Coiled-coil domain containing 88C
14519at32523	Complete	HiC_scaffold_1	99600764	99706301	-	2353.5	1216	https://www.orthodb.org/v10?query=14519at32523	mitogen-activated protein kinase kinase kinase 4 isoform X1
14701at32523	Complete	HiC_scaffold_12	6192264	6219178	-	2259.7	1270	https://www.orthodb.org/v10?query=14701at32523	copper-transporting ATPase 1
14765at32523	Complete	HiC_scaffold_6	142301797	142439953	+	2022.3	1461	https://www.orthodb.org/v10?query=14765at32523	rho guanine nucleotide exchange factor 17
14845at32523	Complete	HiC_scaffold_5	68973749	69030450	-	2133.2	1123	https://www.orthodb.org/v10?query=14845at32523	phosphoinositide 3-kinase regulatory subunit 4
14923at32523	Complete	HiC_scaffold_4	71346000	71484020	+	1898.2	1527	https://www.orthodb.org/v10?query=14923at32523	UPF0606 protein KIAA1549 homolog
14956at32523	Complete	HiC_scaffold_1	366644446	366693051	+	2723.3	1258	https://www.orthodb.org/v10?query=14956at32523	intron-binding protein aquarius
14979at32523	Complete	HiC_scaffold_60	14573	35619	-	2537.3	2141	https://www.orthodb.org/v10?query=14979at32523	abnormal spindle-like microcephaly-associated protein
15001at32523	Complete	HiC_scaffold_3	43759350	43825505	-	2390.6	2088	https://www.orthodb.org/v10?query=15001at32523	centrosomal protein 192 
15039at32523	Complete	HiC_scaffold_2	169821754	170290087	+	1940.5	1004	https://www.orthodb.org/v10?query=15039at32523	Regulatory associated protein of MTOR complex 1
15121at32523	Complete	HiC_scaffold_1	426185367	426274653	+	2267.0	1440	https://www.orthodb.org/v10?query=15121at32523	Histone-lysine N-methyltransferase, H3 lysine-79 specific
15162at32523	Missing
15265at32523	Complete	HiC_scaffold_9	28131632	28157904	+	2565.7	1285	https://www.orthodb.org/v10?query=15265at32523	rho GTPase-activating protein 35
15274at32523	Complete	HiC_scaffold_4	145525985	145617309	+	1612.8	1022	https://www.orthodb.org/v10?query=15274at32523	sushi, nidogen and EGF-like domain-containing protein 1
15391at32523	Complete	HiC_scaffold_1	145665656	145696343	-	3589.2	2283	https://www.orthodb.org/v10?query=15391at32523	Zinc finger protein 292
15464at32523	Complete	HiC_scaffold_2	336844286	336876128	+	2007.4	1103	https://www.orthodb.org/v10?query=15464at32523	nuclear pore complex protein Nup155
15476at32523	Complete	HiC_scaffold_1	351386017	351473075	+	2551.6	1352	https://www.orthodb.org/v10?query=15476at32523	MAP kinase-activating death domain protein
15520at32523	Complete	HiC_scaffold_3	155096504	155151076	-	2636.6	1311	https://www.orthodb.org/v10?query=15520at32523	Ral GTPase activating protein non-catalytic beta subunit 
15549at32523	Complete	HiC_scaffold_6	15692335	15749575	+	1248.5	1091	https://www.orthodb.org/v10?query=15549at32523	LIM domain only protein 7
15690at32523	Complete	HiC_scaffold_2	260770033	260909724	-	2321.2	1566	https://www.orthodb.org/v10?query=15690at32523	focadhesin
15838at32523	Complete	HiC_scaffold_2	98755675	98800030	+	2627.2	1255	https://www.orthodb.org/v10?query=15838at32523	protein VPRBP
15890at32523	Complete	HiC_scaffold_3	215670219	215793700	-	1740.2	919	https://www.orthodb.org/v10?query=15890at32523	probable ATP-dependent DNA helicase HFM1
15909at32523	Complete	HiC_scaffold_6	81528539	81603455	+	2367.3	1302	https://www.orthodb.org/v10?query=15909at32523	T cell lymphoma invasion and metastasis 1
15955at32523	Complete	HiC_scaffold_1	413684899	413774028	+	1767.1	1730	https://www.orthodb.org/v10?query=15955at32523	ninein isoform X1
16025at32523	Complete	HiC_scaffold_6	70366044	70471379	-	2402.6	1183	https://www.orthodb.org/v10?query=16025at32523	mediator of RNA polymerase II transcription subunit 14
16076at32523	Complete	HiC_scaffold_3	151240196	151275490	+	2481.3	1632	https://www.orthodb.org/v10?query=16076at32523	Nuclear receptor coactivator 6
16175at32523	Complete	HiC_scaffold_6	137582770	137605341	-	1569.7	1380	https://www.orthodb.org/v10?query=16175at32523	PCF11 cleavage and polyadenylation factor subunit
16472at32523	Complete	HiC_scaffold_1	13161122	13219375	-	2236.3	1096	https://www.orthodb.org/v10?query=16472at32523	clustered mitochondria protein homolog
