file,model,model-long,codon model,description,tree-length,Lnl,np,kappa,siteClassModel,proportion_0,background_0,foreground_0,proportion_1,background_1,foreground_1,proportion_2,background_2,foreground_2,proportion_3,background_3,foreground_3
OG0011428,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,1.50393,-1351.433968,29,2.20726,PositiveSelection,0.93287,0.06444,0.06444,0.04193,1.0,1.0,0.02411,0.06444,150.1746,0.00108,1.0,150.1746
OG0011428,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.96918,-1384.81582,28,2.08666,PositiveSelection,0.90373,0.04614,0.04614,0.05847,1.0,1.0,0.03551,0.04614,1.0,0.0023,1.0,1.0
OG0011737,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,1.51029,-3768.520814,29,4.78691,PositiveSelection,0.7805,0.09169,0.09169,0.2195,1.0,1.0,0.0,0.09169,1.0,0.0,1.0,1.0
OG0011737,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,1.51029,-3768.520814,28,4.78687,PositiveSelection,0.7805,0.09169,0.09169,0.2195,1.0,1.0,0.0,0.09169,1.0,0.0,1.0,1.0
OG0013112,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,1.78906,-3167.367663,29,1.68138,PositiveSelection,0.63245,0.06286,0.06286,0.36755,1.0,1.0,0.0,0.06286,1.0,0.0,1.0,1.0
OG0013112,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,1.78906,-3167.367663,28,1.68139,PositiveSelection,0.63245,0.06286,0.06286,0.36755,1.0,1.0,0.0,0.06286,1.0,0.0,1.0,1.0
OG0012824,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.26851,-4129.052355,29,2.773,PositiveSelection,0.98811,0.0,0.0,0.01189,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
OG0012824,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.26851,-4129.052354,28,2.77297,PositiveSelection,0.98811,0.0,0.0,0.01189,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
OG0007678,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,1.6834,-4656.706906,29,3.98389,PositiveSelection,0.75801,0.06408,0.06408,0.24199,1.0,1.0,0.0,0.06408,1.0,0.0,1.0,1.0
OG0007678,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,1.6834,-4656.706906,28,3.9839,PositiveSelection,0.75801,0.06408,0.06408,0.24199,1.0,1.0,0.0,0.06408,1.0,0.0,1.0,1.0
OG0014260,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,1.13826,-4199.704299,29,3.63988,PositiveSelection,0.81844,0.04504,0.04504,0.18156,1.0,1.0,0.0,0.04504,1.0,0.0,1.0,1.0
OG0014260,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,1.13826,-4199.704299,28,3.6398,PositiveSelection,0.81844,0.04503,0.04503,0.18156,1.0,1.0,0.0,0.04503,1.0,0.0,1.0,1.0
OG0008417,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,1.0674,-6580.060372,29,2.78428,PositiveSelection,0.56761,0.02501,0.02501,0.43239,1.0,1.0,0.0,0.02501,1.0,0.0,1.0,1.0
OG0008417,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,1.06741,-6580.060373,28,2.78428,PositiveSelection,0.56761,0.02501,0.02501,0.43239,1.0,1.0,0.0,0.02501,1.0,0.0,1.0,1.0
OG0009781,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,4.8059,-2022.611925,29,2.16672,PositiveSelection,0.60586,0.0,0.0,0.31157,1.0,1.0,0.05453,0.0,594.57229,0.02804,1.0,594.57229
OG0009781,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,1.22131,-2117.874955,28,1.27955,PositiveSelection,0.78822,0.01618,0.01618,0.21178,1.0,1.0,0.0,0.01618,1.0,0.0,1.0,1.0
OG0012396,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.76265,-1758.484845,29,3.0124,PositiveSelection,0.6803,0.0,0.0,0.3197,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
OG0012396,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.76265,-1758.484845,28,3.0124,PositiveSelection,0.6803,0.0,0.0,0.3197,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
OG0011341,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,1.01385,-743.68031,29,2.7233,PositiveSelection,0.43191,0.0,0.0,0.24974,1.0,1.0,0.20171,0.0,1.0,0.11663,1.0,1.0
OG0011341,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,1.01386,-743.68031,28,2.7233,PositiveSelection,0.43191,0.0,0.0,0.24974,1.0,1.0,0.20171,0.0,1.0,0.11663,1.0,1.0
OG0008490,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.57768,-3719.075687,29,2.96483,PositiveSelection,0.79573,0.01924,0.01924,0.20427,1.0,1.0,0.0,0.01924,1.0,0.0,1.0,1.0
OG0008490,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.57768,-3719.075687,28,2.96482,PositiveSelection,0.79573,0.01924,0.01924,0.20427,1.0,1.0,0.0,0.01924,1.0,0.0,1.0,1.0
OG0006116,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.53721,-4581.895849,29,3.3659,PositiveSelection,0.81158,6e-05,6e-05,0.18292,1.0,1.0,0.00449,6e-05,18.99418,0.00101,1.0,18.99418
OG0006116,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.536,-4583.534162,28,3.34281,PositiveSelection,0.79914,0.0,0.0,0.18515,1.0,1.0,0.01276,0.0,1.0,0.00296,1.0,1.0
OG0007514,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.38717,-6949.099786,29,3.07372,PositiveSelection,0.95323,0.01828,0.01828,0.04677,1.0,1.0,0.0,0.01828,1.0,0.0,1.0,1.0
OG0007514,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.38717,-6949.099772,28,3.07482,PositiveSelection,0.95322,0.01828,0.01828,0.04678,1.0,1.0,0.0,0.01828,1.0,0.0,1.0,1.0
OG0006834,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.45324,-4629.13648,29,2.07196,PositiveSelection,0.92606,0.0,0.0,0.07394,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
OG0006834,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.45325,-4629.13648,28,2.07196,PositiveSelection,0.92606,0.0,0.0,0.07394,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
OG0013805,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,1.35416,-7587.252377,29,3.56439,PositiveSelection,0.75219,0.14156,0.14156,0.24014,1.0,1.0,0.00581,0.14156,21.53879,0.00186,1.0,21.53879
OG0013805,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,1.3533,-7591.026692,28,3.56528,PositiveSelection,0.745,0.13771,0.13771,0.255,1.0,1.0,0.0,0.13771,1.0,0.0,1.0,1.0
OG0005438,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.79113,-21267.7794,29,4.1522,PositiveSelection,0.76124,0.09293,0.09293,0.22128,1.0,1.0,0.01354,0.09293,16.80841,0.00394,1.0,16.80841
OG0005438,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.78722,-21289.123729,28,4.11555,PositiveSelection,0.66247,0.08393,0.08393,0.20803,1.0,1.0,0.09856,0.08393,1.0,0.03095,1.0,1.0
OG0009606,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.75604,-2752.251239,29,4.87282,PositiveSelection,0.5525,0.03058,0.03058,0.33869,1.0,1.0,0.06746,0.03058,2.95995,0.04135,1.0,2.95995
OG0009606,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.75567,-2752.456229,28,4.86422,PositiveSelection,0.46532,0.02913,0.02913,0.28876,1.0,1.0,0.15175,0.02913,1.0,0.09417,1.0,1.0
OG0012310,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.91263,-7996.868782,29,2.87377,PositiveSelection,0.60604,0.00965,0.00965,0.3779,1.0,1.0,0.00989,0.00965,87.07818,0.00617,1.0,87.07818
OG0012310,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.85684,-8045.031908,28,2.71769,PositiveSelection,0.65324,0.02704,0.02704,0.34676,1.0,1.0,0.0,0.02704,1.0,0.0,1.0,1.0
OG0009440,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.76825,-8225.336929,29,1.60448,PositiveSelection,0.8476,0.0,0.0,0.14776,1.0,1.0,0.00395,0.0,999.0,0.00069,1.0,999.0
OG0009440,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.56581,-8298.092337,28,1.45672,PositiveSelection,0.85453,0.0,0.0,0.14546,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
OG0013931,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.87962,-3483.832711,29,2.00784,PositiveSelection,0.73164,0.0572,0.0572,0.26236,1.0,1.0,0.00441,0.0572,7.98378,0.00158,1.0,7.98378
OG0013931,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.87854,-3484.189288,28,2.00978,PositiveSelection,0.73056,0.05676,0.05676,0.26944,1.0,1.0,0.0,0.05676,1.0,0.0,1.0,1.0
OG0010354,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.69738,-11178.750614,29,4.09799,PositiveSelection,0.62803,0.12427,0.12427,0.35198,1.0,1.0,0.01281,0.12427,22.07376,0.00718,1.0,22.07376
OG0010354,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.69322,-11193.559477,28,4.06065,PositiveSelection,0.56516,0.10455,0.10455,0.3523,1.0,1.0,0.05085,0.10455,1.0,0.0317,1.0,1.0
OG0007816,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,4.53892,-3087.96675,29,3.26979,PositiveSelection,0.45832,0.10554,0.10554,0.29305,1.0,1.0,0.15166,0.10554,57.21273,0.09697,1.0,57.21273
OG0007816,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,2.15763,-3129.468918,28,2.57925,PositiveSelection,0.47036,0.09702,0.09702,0.2637,1.0,1.0,0.1704,0.09702,1.0,0.09553,1.0,1.0
OG0009995,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,9.62928,-5229.99431,29,3.69471,PositiveSelection,0.16772,0.02226,0.02226,0.08869,1.0,1.0,0.48638,0.02226,1.0,0.25721,1.0,1.0
OG0009995,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,9.62933,-5229.99431,28,3.69477,PositiveSelection,0.16772,0.02226,0.02226,0.08869,1.0,1.0,0.48638,0.02226,1.0,0.25721,1.0,1.0
OG0008511,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.5696,-3979.343456,29,2.1018,PositiveSelection,0.85506,0.0,0.0,0.14494,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
OG0008511,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.5696,-3979.343455,28,2.10179,PositiveSelection,0.85506,0.0,0.0,0.14494,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
OG0007586,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.9166,-8848.454867,29,2.08808,PositiveSelection,0.61769,0.0,0.0,0.38231,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
OG0007586,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.9166,-8848.454867,28,2.0881,PositiveSelection,0.61769,0.0,0.0,0.38231,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
OG0010664,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,1.86393,-2855.131497,29,2.76769,PositiveSelection,0.728,0.11426,0.11426,0.23792,1.0,1.0,0.02569,0.11426,4.34979,0.00839,1.0,4.34979
OG0010664,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,1.86347,-2855.443126,28,2.77142,PositiveSelection,0.63369,0.10857,0.10857,0.21713,1.0,1.0,0.11111,0.10857,1.0,0.03807,1.0,1.0
OG0005342,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.38092,-5764.720837,29,4.01436,PositiveSelection,0.81234,0.02633,0.02633,0.17273,1.0,1.0,0.01231,0.02633,31.20519,0.00262,1.0,31.20519
OG0005342,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.37728,-5774.810867,28,3.91136,PositiveSelection,0.6449,0.01696,0.01696,0.14599,1.0,1.0,0.17051,0.01696,1.0,0.0386,1.0,1.0
OG0010015,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,1.67268,-2340.931849,29,4.58837,PositiveSelection,0.80566,0.14468,0.14468,0.19434,1.0,1.0,0.0,0.14468,2.18014,0.0,1.0,2.18014
OG0010015,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,1.67268,-2340.931849,28,4.58842,PositiveSelection,0.80566,0.14468,0.14468,0.19434,1.0,1.0,0.0,0.14468,1.0,0.0,1.0,1.0
OG0006994,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.38396,-3858.742328,29,3.64627,PositiveSelection,0.99854,0.00759,0.00759,0.0,1.0,1.0,0.00146,0.00759,6.7594,0.0,1.0,6.7594
OG0006994,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.3836,-3858.752308,28,3.64541,PositiveSelection,0.99292,0.00762,0.00762,0.0,1.0,1.0,0.00708,0.00762,1.0,0.0,1.0,1.0
OG0011051,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.63321,-2659.875746,29,4.20608,PositiveSelection,0.8356,0.05482,0.05482,0.14216,1.0,1.0,0.01901,0.05482,106.56364,0.00323,1.0,106.56364
OG0011051,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.57204,-2683.231068,28,3.83032,PositiveSelection,0.68281,0.0526,0.0526,0.11792,1.0,1.0,0.16992,0.0526,1.0,0.02935,1.0,1.0
OG0009117,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,1.35752,-4702.652757,29,2.38048,PositiveSelection,0.44074,0.01424,0.01424,0.54706,1.0,1.0,0.00544,0.01424,56.01094,0.00676,1.0,56.01094
OG0009117,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,1.34786,-4705.500143,28,2.36314,PositiveSelection,0.40902,0.01433,0.01433,0.50493,1.0,1.0,0.03851,0.01433,1.0,0.04754,1.0,1.0
OG0010150,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.74053,-7653.44613,29,2.94791,PositiveSelection,0.78641,0.15743,0.15743,0.20822,1.0,1.0,0.00425,0.15743,20.93951,0.00112,1.0,20.93951
OG0010150,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.73983,-7654.884255,28,2.93966,PositiveSelection,0.78268,0.15408,0.15408,0.21732,1.0,1.0,0.0,0.15408,1.0,0.0,1.0,1.0
OG0011114,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.68753,-2606.198304,29,2.55132,PositiveSelection,0.76164,0.0247,0.0247,0.22281,1.0,1.0,0.01203,0.0247,48.72989,0.00352,1.0,48.72989
OG0011114,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.67164,-2636.958343,28,2.35024,PositiveSelection,0.76675,0.01862,0.01862,0.23325,1.0,1.0,0.0,0.01862,1.0,0.0,1.0,1.0
OG0009850,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,1.05072,-4371.100294,29,3.08221,PositiveSelection,0.74366,0.08599,0.08599,0.20685,1.0,1.0,0.03872,0.08599,24.74044,0.01077,1.0,24.74044
OG0009850,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.97893,-4396.351253,28,2.87531,PositiveSelection,0.69081,0.05549,0.05549,0.25711,1.0,1.0,0.03796,0.05549,1.0,0.01413,1.0,1.0
OG0012533,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.4248,-6021.494637,29,2.8535,PositiveSelection,0.89228,0.01401,0.01401,0.06776,1.0,1.0,0.03713,0.01401,1.0,0.00282,1.0,1.0
OG0012533,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.4248,-6021.494642,28,2.8535,PositiveSelection,0.89227,0.01401,0.01401,0.06777,1.0,1.0,0.03714,0.01401,1.0,0.00282,1.0,1.0
OG0011712,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.84142,-3482.467936,29,3.35743,PositiveSelection,0.89533,0.04632,0.04632,0.05279,1.0,1.0,0.04898,0.04632,1.0,0.00289,1.0,1.0
OG0011712,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.84142,-3482.467936,28,3.35735,PositiveSelection,0.89534,0.04632,0.04632,0.05279,1.0,1.0,0.04898,0.04632,1.0,0.00289,1.0,1.0
OG0011311,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.38579,-1830.141958,29,4.3058,PositiveSelection,0.49074,0.0,0.0,0.30148,1.0,1.0,0.12871,0.0,1.09446,0.07907,1.0,1.09446
OG0011311,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.3858,-1830.14201,28,4.30538,PositiveSelection,0.4773,0.0,0.0,0.29324,1.0,1.0,0.14214,0.0,1.0,0.08733,1.0,1.0
OG0013476,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,31.82378,-843.219879,29,3.76643,PositiveSelection,0.83256,0.0,0.0,0.0,1.0,1.0,0.16744,0.0,576.41061,0.0,1.0,576.41061
OG0013476,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,2.47335,-932.028358,28,1.02941,PositiveSelection,0.84024,0.0,0.0,0.0,1.0,1.0,0.15976,0.0,1.0,0.0,1.0,1.0
OG0012406,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.74003,-3353.006883,29,2.7398,PositiveSelection,0.51307,0.0,0.0,0.48382,1.0,1.0,0.0016,0.0,56.99086,0.00151,1.0,56.99086
OG0012406,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.73712,-3355.508515,28,2.72528,PositiveSelection,0.5188,0.0,0.0,0.4812,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
OG0008053,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,1.48563,-5131.49884,29,2.46648,PositiveSelection,0.62319,0.01829,0.01829,0.33236,1.0,1.0,0.02899,0.01829,76.29095,0.01546,1.0,76.29095
OG0008053,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,1.29529,-5164.172102,28,2.20881,PositiveSelection,0.68721,0.03342,0.03342,0.31279,1.0,1.0,0.0,0.03342,1.0,0.0,1.0,1.0
OG0006595,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.92627,-8044.322352,29,3.23228,PositiveSelection,0.69066,0.09338,0.09338,0.29991,1.0,1.0,0.00658,0.09338,27.52038,0.00286,1.0,27.52038
OG0006595,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.92202,-8052.254102,28,3.22768,PositiveSelection,0.61862,0.08545,0.08545,0.28287,1.0,1.0,0.0676,0.08545,1.0,0.03091,1.0,1.0
OG0012034,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,1.2677,-3551.597962,29,2.71515,PositiveSelection,0.9754,0.02343,0.02343,0.0246,1.0,1.0,0.0,0.02343,1.0,0.0,1.0,1.0
OG0012034,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,1.2677,-3551.597962,28,2.71519,PositiveSelection,0.9754,0.02343,0.02343,0.0246,1.0,1.0,0.0,0.02343,1.0,0.0,1.0,1.0
OG0007210,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.68372,-3974.611176,29,3.73722,PositiveSelection,0.58998,0.06722,0.06722,0.40361,1.0,1.0,0.00381,0.06722,23.61429,0.0026,1.0,23.61429
OG0007210,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.68289,-3977.742323,28,3.72617,PositiveSelection,0.58199,0.0625,0.0625,0.41801,1.0,1.0,0.0,0.0625,1.0,0.0,1.0,1.0
OG0012279,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,1.01972,-3969.02719,29,3.85245,PositiveSelection,0.68823,0.05156,0.05156,0.24332,1.0,1.0,0.05057,0.05156,47.454,0.01788,1.0,47.454
OG0012279,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.80621,-4000.476551,28,3.29181,PositiveSelection,0.56976,0.02916,0.02916,0.21779,1.0,1.0,0.1537,0.02916,1.0,0.05875,1.0,1.0
OG0010053,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,0.506,-1545.318936,29,1.82596,PositiveSelection,0.62717,0.0,0.0,0.17372,1.0,1.0,0.15592,0.0,1.0,0.04319,1.0,1.0
OG0010053,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.506,-1545.318935,28,1.82556,PositiveSelection,0.62702,0.0,0.0,0.17365,1.0,1.0,0.1561,0.0,1.0,0.04323,1.0,1.0
OG0012736,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,1.00834,-4335.815543,29,2.3235,PositiveSelection,0.78818,0.00226,0.00226,0.17356,1.0,1.0,0.03136,0.00226,121.72977,0.00691,1.0,121.72977
OG0012736,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,0.78845,-4366.995548,28,2.14506,PositiveSelection,0.58885,0.00105,0.00105,0.13038,1.0,1.0,0.22988,0.00105,1.0,0.0509,1.0,1.0
OG0007728,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,1.05069,-1365.540326,29,1.72712,PositiveSelection,0.42469,0.0,0.0,0.54718,1.0,1.0,0.01229,0.0,17.63049,0.01584,1.0,17.63049
OG0007728,bsA1,"several dN/dS ratios for branches for branches,  omega = 1.000 fixed",F3x4,PositiveSelection,1.04842,-1366.143147,28,1.70935,PositiveSelection,0.41122,0.0,0.0,0.53157,1.0,1.0,0.02495,0.0,1.0,0.03226,1.0,1.0
OG0012696,bsA,"several dN/dS ratios for branches for branches, ",F3x4,PositiveSelection,4.44537,-5624.057805,29,2.90718,PositiveSelection,0.63433,0.02706,0.02706,0.02916,1.0,1.0,0.32172,0.02706,3.84687,0.01479,1.0,3.84687
