GO Term,Term,Definition,Annotated,Expected,Significant,P-value,Path (shortest),Path (longest),Terminal node,ontology
GO:0006351,"transcription, DNA-templated",The cellular synthesis of RNA on a template of DNA.,2921,468.95,495,0.00451,6,9,FALSE,BP
GO:2000583,regulation of platelet-derived growth factor receptor-alpha signaling pathway,NA,15,2.41,7,0.00529,5,10,FALSE,BP
GO:0007010,cytoskeleton organization,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures.",1791,287.54,297,0.00545,5,5,FALSE,BP
GO:0006334,nucleosome assembly,"The aggregation, arrangement and bonding together of a nucleosome, the beadlike structural units of eukaryotic chromatin composed of histones and DNA.",60,9.63,17,0.00559,6,9,FALSE,BP
GO:0034756,regulation of iron ion transport,"Any process that modulates the frequency, rate or extent of the directed movement of iron ions (Fe) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",19,3.05,8,0.00620,6,9,FALSE,BP
GO:0050871,positive regulation of B cell activation,"Any process that activates or increases the frequency, rate or extent of B cell activation.",128,20.55,28,0.00644,5,8,FALSE,BP
GO:0070933,histone H4 deacetylation,The modification of histone H4 by the removal of one or more acetyl groups.,12,1.93,6,0.00652,8,10,FALSE,BP
GO:0032446,protein modification by small protein conjugation,"A protein modification process in which one or more groups of a small protein, such as ubiquitin or a ubiquitin-like protein, are covalently attached to a target protein.",788,126.51,134,0.00745,7,8,FALSE,BP
GO:0043628,ncRNA 3'-end processing,Any process involved in forming the mature 3' end of a non-coding RNA molecule.,48,7.71,11,0.00755,7,9,FALSE,BP
GO:0008203,cholesterol metabolic process,"The chemical reactions and pathways involving cholesterol, cholest-5-en-3 beta-ol, the principal sterol of vertebrates and the precursor of many steroids, including bile acids and steroid hormones. It is a component of the plasma membrane lipid bilayer and of plasma lipoproteins and can be found in all animal tissues.",179,28.74,38,0.00886,5,6,FALSE,BP
GO:0016050,vesicle organization,"A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a vesicle.",518,83.16,87,0.01049,5,5,FALSE,BP
GO:0032012,regulation of ARF protein signal transduction,"Any process that modulates the frequency, rate or extent of ARF protein signal transduction.",13,2.09,6,0.01049,7,9,FALSE,BP
GO:0031396,regulation of protein ubiquitination,"Any process that modulates the frequency, rate or extent of the addition of ubiquitin groups to a protein.",312,50.09,53,0.01052,7,10,FALSE,BP
GO:0000380,"alternative mRNA splicing, via spliceosome",The process of generating multiple mRNA molecules from a given set of exons by differential use of exons from the primary transcript(s) to form multiple mature mRNAs that vary in their exon composition.,119,19.1,26,0.01227,8,12,FALSE,BP
GO:0035330,regulation of hippo signaling,"Any process that modulates the frequency, rate or extent of hippo signaling.",87,13.97,19,0.01308,5,7,FALSE,BP
GO:0000076,DNA replication checkpoint signaling,"A signal transduction process that contributes to a DNA replication checkpoint, that prevents the initiation of nuclear division until DNA replication is complete, thereby ensuring that progeny inherit a full complement of the genome.",35,5.62,10,0.01310,6,10,FALSE,BP
GO:0006527,arginine catabolic process,"The chemical reactions and pathways resulting in the breakdown of arginine, 2-amino-5-(carbamimidamido)pentanoic acid.",10,1.61,5,0.01315,5,10,FALSE,BP
GO:0036178,filamentous growth of a population of unicellular organisms in response to neutral pH,"The process in which a group of unicellular organisms grow in a threadlike, filamentous shape in response to a neutral pH (pH close to 7) stimulus.",10,1.61,5,0.01315,5,5,FALSE,BP
GO:0071932,replication fork reversal,"Replication fork processing that involves the unwinding of blocked forks to form four-stranded structures resembling Holliday junctions, which are subsequently resolved.",10,1.61,5,0.01315,7,11,TRUE,BP
GO:0039535,regulation of RIG-I signaling pathway,"Any process that modulates the frequency, rate or extent of the series of molecular signals generated as a consequence of the cytoplasmic pattern recognition receptor (PRR) RIG-1 (also known as DDX58) binding to viral RNA.",31,4.98,7,0.01320,5,10,FALSE,BP
GO:0006383,transcription by RNA polymerase III,"The synthesis of RNA from a DNA template by RNA polymerase III, originating at an RNAP III promoter.",86,13.81,17,0.01428,7,10,FALSE,BP
GO:0000460,maturation of 5.8S rRNA,Any process involved in the maturation of a precursor 5.8S ribosomal RNA (rRNA) molecule into a mature 5.8S rRNA molecule.,60,9.63,18,0.01435,7,10,FALSE,BP
GO:0046390,ribose phosphate biosynthetic process,"The chemical reactions and pathways resulting in the formation of ribose phosphate, any phosphorylated ribose sugar.",206,33.07,35,0.01455,5,6,FALSE,BP
GO:0034115,negative regulation of heterotypic cell-cell adhesion,"Any process that stops, prevents, or reduces the frequency, rate, or extent of heterotypic cell-cell adhesion.",30,4.82,10,0.01520,5,9,FALSE,BP
GO:0033014,tetrapyrrole biosynthetic process,"The chemical reactions and pathways leading to the formation of tetrapyrroles, natural pigments containing four pyrrole rings joined by one-carbon units linking position 2 of one pyrrole ring to position 5 of the next.",55,8.83,10,0.01547,5,5,FALSE,BP
GO:0048259,regulation of receptor-mediated endocytosis,"Any process that modulates the frequency, rate or extent of receptor mediated endocytosis, the uptake of external materials by cells, utilizing receptors to ensure specificity of transport.",263,42.22,49,0.01572,5,7,FALSE,BP
GO:1902510,regulation of apoptotic DNA fragmentation,NA,14,2.25,6,0.01590,6,10,FALSE,BP
GO:0070199,establishment of protein localization to chromosome,The directed movement of a protein to a specific location on a chromosome.,29,4.66,7,0.01598,5,7,FALSE,BP
GO:0048311,mitochondrion distribution,Any process that establishes the spatial arrangement of mitochondria between and within cells.,50,8.03,13,0.01676,5,6,FALSE,BP
GO:0006695,cholesterol biosynthetic process,"The chemical reactions and pathways resulting in the formation of cholesterol, cholest-5-en-3 beta-ol, the principal sterol of vertebrates and the precursor of many steroids, including bile acids and steroid hormones.",67,10.76,13,0.01699,6,7,FALSE,BP
GO:0032869,cellular response to insulin stimulus,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an insulin stimulus. Insulin is a polypeptide hormone produced by the islets of Langerhans of the pancreas in mammals, and by the homologous organs of other organisms.",526,84.45,90,0.01965,6,8,FALSE,BP
GO:0034349,glial cell apoptotic process,"Any apoptotic process in a glial cell, a non-neuronal cell of the nervous system.",42,6.74,12,0.02083,5,5,FALSE,BP
GO:0009083,branched-chain amino acid catabolic process,"The chemical reactions and pathways resulting in the breakdown of amino acids containing a branched carbon skeleton, comprising isoleucine, leucine and valine.",28,4.5,8,0.02094,5,8,FALSE,BP
GO:0090241,negative regulation of histone H4 acetylation,"Any process that decreases the rate, frequency, or extent of histone H4 acetylation, the modification of histone H4 by the addition of an acetyl group.",11,1.77,5,0.02096,8,14,FALSE,BP
GO:0002182,cytoplasmic translational elongation,The successive addition of amino acid residues to a nascent polypeptide chain during protein biosynthesis in the cytoplasm.,11,1.77,5,0.02096,6,9,FALSE,BP
GO:1902856,negative regulation of non-motile cilium assembly,NA,11,1.77,5,0.02096,7,10,TRUE,BP
GO:0048510,regulation of timing of transition from vegetative to reproductive phase,"The process controlling the point in time during development when a vegetative meristem will change its identity to become an inflorescence or floral meristem, and/or the rate at which the change occurs.",11,1.77,5,0.02096,5,7,TRUE,BP
GO:0006536,glutamate metabolic process,"The chemical reactions and pathways involving glutamate, the anion of 2-aminopentanedioic acid.",60,9.63,16,0.02274,6,9,FALSE,BP
GO:0045333,cellular respiration,The enzymatic release of energy from inorganic and organic compounds (especially carbohydrates and fats) which either requires oxygen (aerobic respiration) or does not (anaerobic respiration).,274,43.99,48,0.02293,5,5,FALSE,BP
GO:0002175,protein localization to paranode region of axon,"A cellular protein localization process in which a protein is transported to, or maintained at, the paranode region of an axon.",15,2.41,6,0.02297,5,5,TRUE,BP
GO:0090166,Golgi disassembly,A cellular process that results in the breakdown of a Golgi apparatus that contributes to Golgi inheritance.,15,2.41,6,0.02297,6,7,TRUE,BP
GO:0010880,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,"Any process that modulates the rate, frequency or extent of release of sequestered calcium ion into cytosol by the sarcoplasmic reticulum, the process in which the release of sequestered calcium ion by sarcoplasmic reticulum into cytosol occurs via calcium release channels.",44,7.06,10,0.02302,5,17,FALSE,BP
GO:1905168,positive regulation of double-strand break repair via homologous recombination,NA,19,3.05,7,0.02308,6,11,TRUE,BP
GO:0032911,negative regulation of transforming growth factor beta1 production,"Any process that stops, prevents, or reduces the frequency, rate, or extent of production of transforming growth factor-beta1.",19,3.05,7,0.02308,5,9,FALSE,BP
GO:0051057,positive regulation of small GTPase mediated signal transduction,"Any process that activates or increases the frequency, rate or extent of small GTPase mediated signal transduction.",190,30.5,28,0.02347,5,8,FALSE,BP
GO:0045860,positive regulation of protein kinase activity,"Any process that activates or increases the frequency, rate or extent of protein kinase activity.",549,88.14,91,0.02421,7,10,FALSE,BP
GO:0010039,response to iron ion,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an iron ion stimulus.",80,12.84,16,0.02434,5,5,FALSE,BP
GO:2000279,negative regulation of DNA biosynthetic process,NA,79,12.68,20,0.02521,5,9,FALSE,BP
GO:2000278,regulation of DNA biosynthetic process,NA,196,31.47,35,0.02568,5,8,FALSE,BP
GO:0032392,DNA geometric change,"The process in which a transformation is induced in the geometry of a DNA double helix, resulting in a change in twist, writhe, or both, but with no change in linking number. Includes the unwinding of double-stranded DNA by helicases.",62,9.95,13,0.02571,7,7,FALSE,BP
GO:0007465,R7 cell fate commitment,The process in which the R7 photoreceptor commits to its cell fate. The R7 receptor contributes the central part of the rhabdomere in the apical parts of the ommatidium.,42,6.74,9,0.02574,8,13,FALSE,BP
GO:0031055,chromatin remodeling at centromere,Dynamic structural changes in centromeric DNA.,41,6.58,8,0.02577,6,8,FALSE,BP
GO:0036017,response to erythropoietin,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an erythropoietin stimulus. Erythropoietin is a glycoprotein hormone that controls erythropoiesis.",12,1.93,3,0.02578,5,5,FALSE,BP
GO:0042987,amyloid precursor protein catabolic process,"The chemical reactions and pathways resulting in the breakdown of amyloid precursor protein (APP), the precursor of amyloid-beta, a glycoprotein associated with Alzheimer's disease.",94,15.09,16,0.02579,5,6,FALSE,BP
GO:0044332,Wnt signaling pathway involved in dorsal/ventral axis specification,"The series of molecular signals initiated by binding of Wnt protein to a frizzled family receptor on the surface of the target cell contributing to the establishment, maintenance and elaboration of the dorsal/ventral axis.",14,2.25,3,0.02579,5,8,FALSE,BP
GO:0008053,mitochondrial fusion,Merging of two or more mitochondria within a cell to form a single compartment.,56,8.99,14,0.02643,6,6,FALSE,BP
GO:0090305,nucleic acid phosphodiester bond hydrolysis,The nucleic acid metabolic process in which the phosphodiester bonds between nucleotides are cleaved by hydrolysis.,145,23.28,30,0.02664,5,6,FALSE,BP
GO:0031953,negative regulation of protein autophosphorylation,"Any process that stops, prevents or decreases the rate of the phosphorylation by a protein of one or more of its own residues.",37,5.94,11,0.02671,7,10,FALSE,BP
GO:1905702,regulation of inhibitory synapse assembly,NA,18,2.89,7,0.02682,6,8,FALSE,BP
GO:0048056,R3/R4 cell differentiation,The process in which relatively unspecialized cells acquire the specialized features of R3 and R4 photoreceptors. An example of this process is found in Drosophila melanogaster.,28,4.5,7,0.02693,8,12,FALSE,BP
GO:0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,"The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent attachment of ubiquitin, and mediated by the proteasome.",511,82.04,87,0.02762,6,10,FALSE,BP
GO:0048593,camera-type eye morphogenesis,"The process in which the anatomical structures of the eye are generated and organized. The camera-type eye is an organ of sight that receives light through an aperture and focuses it through a lens, projecting it on a photoreceptor field.",386,61.97,59,0.02786,6,9,FALSE,BP
GO:0035335,peptidyl-tyrosine dephosphorylation,The removal of phosphoric residues from peptidyl-O-phospho-tyrosine to form peptidyl-tyrosine.,52,8.35,13,0.02870,7,8,FALSE,BP
GO:0031103,axon regeneration,The regrowth of axons following their loss or damage.,192,30.82,38,0.02944,5,12,FALSE,BP
GO:0035418,protein localization to synapse,"Any process in which a protein is transported to, and/or maintained at the synapse, the junction between a nerve fiber of one neuron and another neuron or muscle fiber or glial cell.",192,30.82,31,0.02949,5,5,FALSE,BP
GO:0098761,cellular response to interleukin-7,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interleukin-7 stimulus.",49,7.87,12,0.02988,6,6,FALSE,BP
GO:0007266,Rho protein signal transduction,A series of molecular signals within the cell that are mediated by a member of the Rho family of proteins switching to a GTP-bound active state.,262,42.06,37,0.03086,6,8,FALSE,BP
GO:0035778,pronephric nephron tubule epithelial cell differentiation,The process in which relatively unspecialized cells acquire specialized structural and/or functional features that characterize the cells of the pronephric nephron tubule as it progresses from its formation to the mature state.,12,1.93,5,0.03127,6,12,TRUE,BP
GO:1904395,positive regulation of skeletal muscle acetylcholine-gated channel clustering,NA,12,1.93,5,0.03127,5,10,TRUE,BP
GO:0090038,negative regulation of protein kinase C signaling,"Any process that decreases the frequency, rate, or extent of a series of reactions, mediated by the intracellular serine/threonine kinase protein kinase C, which occurs as a result of a single trigger reaction or compound.",12,1.93,5,0.03127,5,8,TRUE,BP
GO:0072178,nephric duct morphogenesis,The process in which the anatomical structures of the nephric duct are generated and organized. A nephric duct is a tube that drains a primitive kidney.,37,5.94,6,0.03155,5,10,FALSE,BP
GO:0048041,focal adhesion assembly,"The aggregation and bonding together of a set of components to form a focal adhesion, a complex of intracellular signaling and structural proteins that provides a structural link between the internal actin cytoskeleton and the ECM, and also function as a locus of signal transduction activity.",230,36.93,45,0.03159,5,7,FALSE,BP
GO:0072070,loop of Henle development,"The process whose specific outcome is the progression of the loop of Henle over time, from its formation to the mature structure. The loop of Henle is a nephron tubule that connects the proximal convoluted tubule to the distal convoluted tubule.",27,4.33,9,0.03185,6,11,FALSE,BP
GO:0006553,lysine metabolic process,"The chemical reactions and pathways involving lysine, 2,6-diaminohexanoic acid.",16,2.57,6,0.03187,6,9,FALSE,BP
GO:0030643,cellular phosphate ion homeostasis,Any process involved in the maintenance of an internal steady state of phosphate ions at the level of a cell.,16,2.57,6,0.03187,7,9,TRUE,BP
GO:0090043,regulation of tubulin deacetylation,"Any process that modulates the frequency, rate or extent of tubulin deacetylation. Tubulin deacetylation is the removal of an acetyl group from a protein amino acid.",16,2.57,6,0.03187,7,10,FALSE,BP
GO:0071545,inositol phosphate catabolic process,"The chemical reactions and pathways resulting in the breakdown of an inositol phosphate, 1,2,3,4,5,6-cyclohexanehexol, with one or more phosphate groups attached.",25,4.01,7,0.03196,5,7,FALSE,BP
GO:0045048,protein insertion into ER membrane,The process that results in incorporation of a protein into an endoplasmic reticulum (ER) membrane. It depends on specific topogenic sequences of amino acids that ensure that a protein acquires the proper orientation during its insertion into the ER membrane.,16,2.57,5,0.03200,6,8,FALSE,BP
GO:0099625,ventricular cardiac muscle cell membrane repolarization,"The process in which ions are transported across the plasma membrane of a ventricular cardiac muscle cell such that the membrane potential changes in the repolarizing direction, toward the steady state potential. For example, the repolarization during an action potential is from a positive membrane potential towards a negative resting potential.",30,4.82,5,0.03214,6,6,FALSE,BP
GO:1905274,regulation of modification of postsynaptic actin cytoskeleton,NA,43,6.9,12,0.03418,7,9,TRUE,BP
GO:1905606,regulation of presynapse assembly,NA,118,18.94,25,0.03483,6,8,FALSE,BP
GO:0033137,negative regulation of peptidyl-serine phosphorylation,"Any process that stops, prevents, or reduces the frequency, rate or extent of the phosphorylation of peptidyl-serine.",48,7.71,13,0.03553,7,11,FALSE,BP
GO:0070059,intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress,"A series of molecular signals in which an intracellular signal is conveyed to trigger the apoptotic death of a cell. The pathway is induced in response to a stimulus indicating endoplasmic reticulum (ER) stress, and ends when the execution phase of apoptosis is triggered. ER stress usually results from the accumulation of unfolded or misfolded proteins in the ER lumen.",82,13.16,20,0.03831,5,7,FALSE,BP
GO:0008625,extrinsic apoptotic signaling pathway via death domain receptors,"A series of molecular signals in which a signal is conveyed from the cell surface to trigger the apoptotic death of a cell. The pathway starts with a ligand binding to a death domain receptor on the cell surface, and ends when the execution phase of apoptosis is triggered.",136,21.83,25,0.03995,5,7,FALSE,BP
GO:0032981,mitochondrial respiratory chain complex I assembly,"The aggregation, arrangement and bonding together of a set of components to form mitochondrial respiratory chain complex I.",44,7.06,12,0.04038,7,7,TRUE,BP
GO:0006261,DNA-templated DNA replication,A DNA replication process that uses parental DNA as a template for the DNA-dependent DNA polymerases that synthesize the new strands.,263,42.22,49,0.04225,6,8,FALSE,BP
GO:0048690,regulation of axon extension involved in regeneration,"Any process that modulates the frequency, rate or extent of axon extension involved in regeneration.",31,4.98,9,0.04225,5,15,FALSE,BP
GO:0006826,iron ion transport,"The directed movement of iron (Fe) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",99,15.89,19,0.04234,8,8,FALSE,BP
GO:0045676,regulation of R7 cell differentiation,"Any process that modulates the frequency, rate or extent of R7 differentiation.",26,4.17,6,0.04248,7,13,FALSE,BP
GO:0048571,long-day photoperiodism,"Any process that results in a change in state or activity of an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of detection of, or exposure to, a day length that exceeds a particular duration known as the 'critical day length'. The critical day length varies between species. Although the term long-day is used, most species actually respond to the duration of the night, so that the response will occur when a period of darkness falls short of the number of hours defined by 24 hours minus the critical day length.",24,3.85,5,0.04255,6,6,FALSE,BP
GO:0071300,cellular response to retinoic acid,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a retinoic acid stimulus.",153,24.56,33,0.04265,5,6,TRUE,BP
GO:0071394,cellular response to testosterone stimulus,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a testosterone stimulus.",17,2.73,6,0.04275,6,6,FALSE,BP
GO:0009226,nucleotide-sugar biosynthetic process,"The chemical reactions and pathways resulting in the formation of nucleotide-sugars, any nucleotide-carbohydrate in which the distal phosphoric residue of a nucleoside 5'-diphosphate is in glycosidic linkage with a monosaccharide or monosaccharide derivative.",17,2.73,6,0.04275,5,7,FALSE,BP
GO:0071499,cellular response to laminar fluid shear stress,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a laminar fluid shear stress stimulus. Laminar fluid flow is the force acting on an object in a system where the fluid is moving across a solid surface in parallel layers.",17,2.73,6,0.04275,5,5,FALSE,BP
GO:0032971,regulation of muscle filament sliding,"Any process that modulates the frequency, rate or extent of muscle filament sliding.",17,2.73,6,0.04275,5,7,FALSE,BP
GO:0046321,positive regulation of fatty acid oxidation,"Any process that activates or increases the frequency, rate or extent of fatty acid oxidation.",49,7.87,10,0.04291,5,10,FALSE,BP
GO:0030174,regulation of DNA-templated DNA replication initiation,"Any process that modulates the frequency, rate or extent of initiation of DNA-dependent DNA replication; the process in which DNA becomes competent to replicate. In eukaryotes, replication competence is established in early G1 and lost during the ensuing S phase.",27,4.33,6,0.04442,6,10,FALSE,BP
GO:0007254,JNK cascade,"An intracellular protein kinase cascade containing at least a JNK (a MAPK), a JNKK (a MAPKK) and a JUN3K (a MAP3K). The cascade can also contain an additional tier: the upstream MAP4K. The kinases in each tier phosphorylate and activate the kinases in the downstream tier to transmit a signal within a cell.",296,47.52,63,0.04548,6,8,FALSE,BP
