accession,GO
Q13131,GO:0016324; GO:0030424; GO:0005737; GO:0005829; GO:0030425; GO:0043025; GO:0016607; GO:0005654; GO:0031588; GO:0005634; GO:0050405; GO:0047322; GO:0004679; GO:0005524; GO:0004691; GO:0003682; GO:0035174; GO:0046872; GO:0008022; GO:0004672; GO:0106310; GO:0004674; GO:0044877; GO:0048156; GO:0050321; GO:0006914; GO:0015721; GO:0038183; GO:0061762; GO:0071277; GO:0071361; GO:0042149; GO:0071333; GO:0070301; GO:0071456; GO:0031669; GO:0071417; GO:0034599; GO:0071380; GO:0071466; GO:0006695; GO:0006325; GO:0009631; GO:0097009; GO:0006633; GO:0055089; GO:0019395; GO:0042593; GO:0006006; GO:0035556; GO:0008610; GO:1905691; GO:0061744; GO:0043066; GO:0010629; GO:0046318; GO:1903944; GO:0046627; GO:0050995; GO:0032007; GO:1904428; GO:0070050; GO:0010508; GO:0008284; GO:0045542; GO:0010628; GO:0045821; GO:1903109; GO:2000758; GO:1903829; GO:1903955; GO:0048643; GO:1990044; GO:0006468; GO:0120188; GO:0042752; GO:0070507; GO:0033135; GO:0062028; GO:0060627; GO:1904486; GO:0014823; GO:0031000; GO:1901563; GO:0010332; GO:0001666; GO:0009411; GO:0048511; GO:0007165; GO:0016055
Q5EG47,GO:0016324; GO:0030424; GO:0005737; GO:0005829; GO:0030425; GO:0043025; GO:0016607; GO:0031588; GO:0005634; GO:0032991; GO:0050405; GO:0047322; GO:0004679; GO:0005524; GO:0003682; GO:0035174; GO:0019900; GO:0046872; GO:0008022; GO:0004672; GO:0106310; GO:0004674; GO:0044877; GO:0050321; GO:0006914; GO:0015721; GO:0038183; GO:0061762; GO:0071277; GO:0071361; GO:0042149; GO:0071333; GO:0070301; GO:0071456; GO:0031669; GO:0071417; GO:0034599; GO:0071380; GO:0071466; GO:0006695; GO:0006325; GO:0009631; GO:0097009; GO:0006633; GO:0055089; GO:0019395; GO:0042593; GO:0006006; GO:0035556; GO:0008610; GO:1905691; GO:0061744; GO:0043066; GO:0010629; GO:1903944; GO:0046627; GO:0050995; GO:0032007; GO:1904428; GO:0070050; GO:0010508; GO:0008284; GO:0010628; GO:0045821; GO:1903109; GO:2000758; GO:1903829; GO:1903955; GO:0048643; GO:1990044; GO:0006468; GO:0120188; GO:0042752; GO:0070507; GO:0033135; GO:0062028; GO:0060627; GO:1904486; GO:0014823; GO:0031000; GO:1901563; GO:0010332; GO:0042542; GO:0009411; GO:0048511; GO:0016055
P54645,GO:0016324; GO:0030424; GO:0005737; GO:0005829; GO:0030425; GO:0043025; GO:0016607; GO:0031588; GO:0005634; GO:0032991; GO:0050405; GO:0047322; GO:0004679; GO:0005524; GO:0003682; GO:0042557; GO:0035174; GO:0046872; GO:0008022; GO:0004672; GO:0106310; GO:0004674; GO:0044877; GO:0050321; GO:0006914; GO:0015721; GO:0038183; GO:0061762; GO:0071277; GO:0071361; GO:0042149; GO:0071333; GO:0070301; GO:0071456; GO:0031669; GO:0071417; GO:0034599; GO:0071380; GO:0071466; GO:0006695; GO:0006325; GO:0009631; GO:0097009; GO:0006633; GO:0055089; GO:0019395; GO:0042593; GO:0006006; GO:0035556; GO:0008610; GO:1905691; GO:0061744; GO:0043066; GO:0010629; GO:1903944; GO:0046627; GO:0050995; GO:0032007; GO:0017148; GO:1904428; GO:0070050; GO:0010508; GO:0008284; GO:0046321; GO:0010628; GO:0045722; GO:0046326; GO:0045821; GO:1903109; GO:2000758; GO:1903829; GO:1903955; GO:0048643; GO:1990044; GO:0006468; GO:0120188; GO:0042752; GO:0010468; GO:0070507; GO:0033135; GO:0062028; GO:0060627; GO:1904486; GO:0014823; GO:0031000; GO:1901563; GO:0010332; GO:0042542; GO:0009411; GO:0009410; GO:0048511; GO:0016055
P54646,GO:0030424; GO:0010494; GO:0005829; GO:0030425; GO:0005794; GO:0043025; GO:0016607; GO:0005654; GO:0031588; GO:0005634; GO:0050405; GO:0047322; GO:0004679; GO:0005524; GO:0003682; GO:0035174; GO:0046872; GO:0004672; GO:0106310; GO:0004674; GO:0004712; GO:0006914; GO:0071277; GO:0042149; GO:0071333; GO:0031669; GO:0034599; GO:0071380; GO:0071466; GO:0006695; GO:0006325; GO:0097009; GO:0006633; GO:0055089; GO:0042593; GO:0035556; GO:0008610; GO:1905691; GO:0043066; GO:0010629; GO:0032007; GO:1904428; GO:0010508; GO:0045821; GO:0016239; GO:2000758; GO:1903829; GO:1990044; GO:0006468; GO:0042752; GO:0016241; GO:0070507; GO:0062028; GO:0014850; GO:0048511; GO:0007165; GO:0016055
P00504,GO:0005829; GO:0005654; GO:0004069; GO:0047801; GO:0004609; GO:0030170; GO:0006103; GO:0006532; GO:0006533; GO:0006531; GO:0032869; GO:0055089; GO:0019551; GO:0019550; GO:0006536; GO:0006114; GO:0007219; GO:0006107; GO:0051384
P00508,GO:0005759; GO:0005739; GO:0016212; GO:0004069; GO:0042803; GO:0030170; GO:0006103; GO:0006533; GO:0006531; GO:0009058; GO:0006536
P08907,GO:0005759; GO:0005739; GO:0005886; GO:0016212; GO:0004069; GO:0030170; GO:0006103; GO:0006533; GO:0006531; GO:0009058; GO:0006536; GO:0006869
Q4R559,GO:0005759; GO:0005739; GO:0005886; GO:0016212; GO:0004069; GO:0030170; GO:0006103; GO:0006531; GO:0009058; GO:0006536; GO:0006869
Q2HJ19,GO:0070161; GO:0043197; GO:0010008; GO:0098839; GO:0008474
Q5VST6,GO:0070161; GO:0043197; GO:0010008; GO:0016020; GO:0005886; GO:0098839; GO:0055038; GO:0008474; GO:0008236; GO:1902817; GO:1905668; GO:0002084; GO:0006508; GO:1902950; GO:0099175; GO:1902473
Q6AY17,GO:0099031; GO:0099033; GO:0070161; GO:0043197; GO:0010008; GO:0098978; GO:0005886; GO:0014069; GO:0055038; GO:0008474; GO:0008236; GO:1902817; GO:1905668; GO:0002084; GO:0006508; GO:1902950; GO:0099175; GO:1902473
Q5ZJX1,GO:0070161; GO:0043197; GO:0010008; GO:0005886; GO:0098839; GO:0055038; GO:0008474; GO:0002084; GO:0099175
Q5ZLQ6,GO:0005737; GO:0005829; GO:0048471; GO:0042826; GO:0042802; GO:0050815; GO:0019904; GO:0004860; GO:0051220; GO:0045744; GO:0035308; GO:0043085; GO:0008104; GO:0006605; GO:0007165
A4K2U9,GO:0005829; GO:0042470; GO:0048471; GO:0042826; GO:0042802; GO:0050815; GO:0019904; GO:0004860; GO:0051220; GO:0045744; GO:0035308; GO:0043085; GO:0006605
P62262,GO:0005737; GO:0042470; GO:0005634; GO:0034605; GO:0000165; GO:0046827; GO:0034504
P61983,GO:0005737; GO:0098793; GO:0045202; GO:0031982; GO:0003779; GO:0030234; GO:0042802; GO:0005159; GO:0019904; GO:0005080; GO:0030971; GO:0032869; GO:0008104; GO:0006605; GO:0045664; GO:0048167; GO:0007165
O70456,GO:0005737; GO:0005829; GO:0005576; GO:0005634; GO:0042802; GO:0051219; GO:0019901; GO:0061436; GO:0008630; GO:0031424; GO:0003334; GO:0030216; GO:0043616; GO:0043154; GO:0010839; GO:2000647; GO:0030307; GO:0045606; GO:0046827; GO:0008104; GO:0051726; GO:0000079; GO:0010482; GO:0001836; GO:0007165; GO:0043588; GO:0072089
O77642,GO:0005829; GO:0005576; GO:0005634; GO:0042802; GO:0051219; GO:0019901; GO:0061436; GO:0008630; GO:0031424; GO:0003334; GO:0043616; GO:0043154; GO:0010839; GO:2000647; GO:0030307; GO:0045606; GO:0046827; GO:0000079; GO:0010482; GO:0001836; GO:0072089
Q5ZMD1,GO:0005737; GO:0008104; GO:0007165
Q52M98,GO:0005737
Q5ZKC9,GO:0005737; GO:0005615; GO:0098978; GO:0098686; GO:0005634; GO:0140297; GO:0042802; GO:0019904; GO:0019901; GO:0044325; GO:0031625; GO:0001525; GO:0070371; GO:0051683; GO:0090168; GO:0030324; GO:0000122; GO:0008104; GO:0006468; GO:0006605; GO:0010941; GO:0070372; GO:0090128; GO:0003016; GO:0007165; GO:0008039; GO:0035148
P63102,GO:0031252; GO:0005737; GO:0098978; GO:0098686; GO:0042470; GO:0005739; GO:0005634; GO:0048471; GO:0014069; GO:0032991; GO:0140297; GO:0042802; GO:0019904; GO:0019901; GO:0044877; GO:0044325; GO:0031625; GO:0001525; GO:0070371; GO:0051683; GO:0090168; GO:0002553; GO:0030324; GO:0000122; GO:0008104; GO:0006468; GO:0006605; GO:0006626; GO:0010941; GO:0070372; GO:0090128; GO:0003016; GO:0009410; GO:0007165; GO:0008039; GO:0035148
Q6PD03,GO:0005813; GO:0000775; GO:0005737; GO:0005829; GO:0031430; GO:0016020; GO:0005634; GO:0000159; GO:0030018; GO:0019900; GO:0004721; GO:0072542; GO:0090219; GO:1903077; GO:0035307; GO:0006470; GO:0007165
Q28647,GO:0005634; GO:0000159; GO:0019888; GO:0007165
Q80W83,GO:0005829; GO:0005634; GO:0000159; GO:0072542; GO:0071363; GO:0070317; GO:0051091; GO:0010976; GO:0051388; GO:0031334; GO:0045944; GO:0006470; GO:0051726; GO:0050730; GO:0031952; GO:0001932; GO:0010469; GO:0007165
Q14738,GO:0005829; GO:0005654; GO:0005634; GO:0000159; GO:0004721; GO:0072542; GO:0019888; GO:0007399; GO:0035307; GO:0006470; GO:0007165
Q28653,GO:0005634; GO:0000159; GO:0019888; GO:0007165
Q16537,GO:0005737; GO:0005829; GO:0005634; GO:0000159; GO:0072542; GO:0019888; GO:0006470; GO:0007165
Q13362,GO:0000775; GO:0005829; GO:0005794; GO:0005654; GO:0005634; GO:0000159; GO:0072542; GO:0019888; GO:0006977; GO:0042771; GO:0008285; GO:0043161; GO:0006470; GO:0007165
Q60996,GO:0000775; GO:0005829; GO:0005794; GO:0005654; GO:0005634; GO:0000159; GO:0072542; GO:0019888; GO:0006977; GO:0042771; GO:0008285; GO:0043161; GO:0006470
P54612,GO:0000775; GO:0005737; GO:0030425; GO:0016328; GO:0005634; GO:0000159; GO:0019888; GO:0007059; GO:0006470; GO:0065003
P63150,GO:0000159; GO:0019888; GO:0006470
P36876,GO:0005829; GO:0098978; GO:0000159; GO:0045202; GO:0051721; GO:0019888; GO:0044877; GO:0048156; GO:0006470; GO:0043278
Q5R4A2,GO:0005737; GO:0005856; GO:0016020; GO:0000159; GO:0019888
Q00006,GO:0005737; GO:0005856; GO:0016020; GO:0000159; GO:0019888
Q5ZIY5,GO:0005829; GO:0000159; GO:0019888; GO:0051301; GO:0010458; GO:0000278
Q95LP0,GO:0000159; GO:0019888
P50410,GO:0000159; GO:0019888
O60239,GO:0005737; GO:0030659; GO:0005739; GO:0016604; GO:0005654; GO:0005085; GO:0004860; GO:0017124; GO:0035556; GO:0061099; GO:0007165
Q9N2B7,GO:0030425; GO:0005887; GO:0045202; GO:0004993; GO:0030594; GO:0051378; GO:0007198; GO:0007610; GO:0046849; GO:0071312; GO:0071466; GO:0007268; GO:0007187; GO:0014063; GO:0050795; GO:0042310
P60020,GO:0030425; GO:0005783; GO:0098666; GO:0005887; GO:0099056; GO:0099154; GO:0004993; GO:0030594; GO:0051378; GO:0007198; GO:0007610; GO:0046849; GO:0071312; GO:0071502; GO:0071466; GO:0007268; GO:0002031; GO:0007187; GO:0014063; GO:1904707; GO:0007205; GO:0050795; GO:0042310
Q6VB83,GO:0005887; GO:0045202; GO:0004993; GO:0007193; GO:0007268
O70528,GO:0005768; GO:0005887; GO:0045202; GO:0004993; GO:0007268; GO:0032098
P34969,GO:0030425; GO:0005887; GO:0005886; GO:0045202; GO:0032588; GO:0004993; GO:0030594; GO:0008015; GO:0007268; GO:0007623; GO:0007187; GO:0006939; GO:0042310
P32304,GO:0030425; GO:0005887; GO:0045202; GO:0004993; GO:0030594; GO:0007268; GO:0007623; GO:0007187; GO:0006939; GO:0042310
P32305,GO:0043679; GO:0030425; GO:0005887; GO:0099055; GO:0099056; GO:0043025; GO:0005791; GO:0008021; GO:0004993; GO:0030594; GO:0007192; GO:0048266; GO:0007268; GO:0007623; GO:0050966; GO:0071542; GO:0007187; GO:0060291; GO:0007613; GO:0060073; GO:0042322; GO:0014063; GO:0010976; GO:2000300; GO:0062086; GO:0051412; GO:0051602; GO:0007210; GO:0014832; GO:0042310
Q5ZL42,GO:0005737; GO:0006446
Q5ZLT7,GO:0005737; GO:0006446
Q6P7P5,GO:0005737; GO:0006446
Q9BXI3,GO:0005829; GO:0008253; GO:0050483; GO:0000287; GO:0000166; GO:0106411; GO:0046085; GO:0000255; GO:0006196; GO:0046059; GO:0046055; GO:0006204; GO:0009116
A3KFX0,GO:0005829; GO:0008253; GO:0050483; GO:0000287; GO:0000166; GO:0106411; GO:0046085; GO:0000255; GO:0006196; GO:0046059; GO:0046055; GO:0006204; GO:0009128
Q5ZID6,GO:0005737; GO:0005829; GO:0005783; GO:0016604; GO:0008253; GO:0000287; GO:0000166; GO:0016740; GO:0106411; GO:0006248
Q5ZIZ4,GO:0005829; GO:0008253; GO:0005524; GO:0050484; GO:0042802; GO:0050483; GO:0046872; GO:0050146; GO:0106411; GO:0046085; GO:0046054; GO:0046037; GO:0046040
P52209,GO:0005829; GO:0070062; GO:0005634; GO:0050661; GO:0004616; GO:0046177; GO:0019322; GO:0006098; GO:0009051
P05408,GO:0005576; GO:0005634; GO:0030141; GO:0004857; GO:0030234; GO:0005525; GO:0051082; GO:0006886; GO:0007218; GO:0016486; GO:0046883
Q676U5,GO:0034274; GO:0005776; GO:0000421; GO:0005930; GO:0005829; GO:0036020; GO:0034045; GO:0097225; GO:0120095; GO:0051020; GO:0042802; GO:0019787; GO:0000045; GO:0006501; GO:0051607; GO:0016237; GO:0016236; GO:0039689; GO:0010508; GO:0006497; GO:0061739; GO:0034497; GO:0015031; GO:0098792
Q8C0J2,GO:0034274; GO:0005776; GO:0000421; GO:0005930; GO:0005737; GO:0005829; GO:0036020; GO:0034045; GO:0097225; GO:0120095; GO:0051020; GO:0042802; GO:0000045; GO:0006501; GO:0051607; GO:0016237; GO:0016236; GO:0039689; GO:0010508; GO:0006497; GO:0061739; GO:0034497; GO:0015031; GO:0098792
Q9NQ94,GO:0030895; GO:0005737; GO:0005783; GO:0045293; GO:0005654; GO:0005634; GO:0003729; GO:0003723; GO:0003727; GO:0016554; GO:0007566; GO:0010609; GO:0016556; GO:0006397; GO:2000623; GO:1901537; GO:0050821
Q5R9H4,GO:0030895; GO:0005737; GO:0005783; GO:0003727; GO:0016556; GO:0006397; GO:0050821
P31937,GO:0005759; GO:0005739; GO:0008442; GO:0051287; GO:0050661; GO:0016616; GO:0006574
A3FM53,GO:0005576; GO:0030550; GO:0099106; GO:0090729
Q8UW28,GO:0005576; GO:0030550; GO:0099106; GO:0090729
A5X2W8,GO:0005576; GO:0090729
Q8UW27,GO:0005576; GO:0030550; GO:0099106; GO:0090729
P68416,GO:0005576; GO:0030550; GO:0099106; GO:0090729
A8HDK0,GO:0005576; GO:0030550; GO:0099106; GO:0090729
Q45Z11,GO:0005576; GO:0030550; GO:0099106; GO:0090729
Q8UW26,GO:0005576; GO:0030550; GO:0099106; GO:0090729
Q13542,GO:0005737; GO:0008190; GO:0030371; GO:0008286; GO:0007613; GO:0050804; GO:0045947; GO:0048167; GO:0035176; GO:0031929; GO:0006412
O95477,GO:0030139; GO:0005789; GO:0005768; GO:0009897; GO:0005794; GO:0005887; GO:0043231; GO:0097708; GO:0045121; GO:0048471; GO:0045335; GO:0005886; GO:0140359; GO:0034186; GO:0034188; GO:0034185; GO:0005524; GO:0051117; GO:0042626; GO:0015485; GO:0120020; GO:0140328; GO:0005319; GO:0031210; GO:0090554; GO:0090556; GO:0005548; GO:0008320; GO:0005102; GO:0031267; GO:0046623; GO:0019905; GO:0007189; GO:0071222; GO:0071404; GO:0071300; GO:0033344; GO:0042632; GO:0008203; GO:0016197; GO:0140115; GO:0007186; GO:0034380; GO:0032367; GO:0006869; GO:0007040; GO:0010887; GO:0010745; GO:0002790; GO:0006911; GO:0033700; GO:0055091; GO:0045332; GO:0060155; GO:0010875; GO:0090108; GO:0006497; GO:0009306; GO:0071806; GO:0032489; GO:0090107; GO:0034616; GO:0043691; GO:0023061
Q9BZC7,GO:0043190; GO:0031410; GO:0005768; GO:0010008; GO:0016021; GO:0043231; GO:0005765; GO:0005764; GO:0016020; GO:0005815; GO:0005886; GO:0140359; GO:0005524; GO:0042626; GO:0099038; GO:0061135; GO:0005319; GO:0000166; GO:0090156; GO:0032289; GO:0099040; GO:0042632; GO:0001573; GO:0006687; GO:0006629; GO:0006869; GO:0007626; GO:0090370; GO:0032384; GO:1905598; GO:0071072; GO:1905601; GO:0090155; GO:0045939; GO:0042986; GO:1902993; GO:1902004; GO:0032805; GO:0010872; GO:0032383; GO:1901873; GO:0060049; GO:1904375; GO:2000008; GO:0019218; GO:0006357; GO:0070723; GO:0048545; GO:0009410; GO:0006684; GO:0046512; GO:0055085; GO:0150104
Q9ESR9,GO:0031410; GO:0005768; GO:0010008; GO:0016021; GO:0043231; GO:0005765; GO:0005764; GO:0005815; GO:0005886; GO:0140359; GO:0005524; GO:0042626; GO:0099038; GO:0061135; GO:0005319; GO:0090156; GO:0032289; GO:0099040; GO:0042632; GO:0001573; GO:0006687; GO:0006869; GO:0007626; GO:0090370; GO:0150110; GO:0032384; GO:1905598; GO:0071072; GO:1905601; GO:0090155; GO:0045939; GO:0042986; GO:1902993; GO:1902004; GO:0032805; GO:0010872; GO:0032383; GO:1901873; GO:0060049; GO:1904375; GO:2000008; GO:0006357; GO:0070723; GO:0048545; GO:0006684; GO:0046512; GO:0055085
O75027,GO:0016021; GO:0005743; GO:0005739; GO:0140481; GO:0005524; GO:0042626; GO:0015232; GO:0042803; GO:0006879; GO:0055072; GO:0034755; GO:0016226; GO:0140466; GO:1903427; GO:0070455; GO:1903331; GO:0055085
Q704E8,GO:0016021; GO:0005743; GO:0005739; GO:0140481; GO:0005524; GO:0042626; GO:0042803; GO:0006879; GO:0055072; GO:0034755; GO:0016226; GO:0140466; GO:1903427; GO:0070455; GO:1903331; GO:0055085
Q09428,GO:0008282; GO:0016020; GO:0005739; GO:0005886; GO:0031004; GO:0042383; GO:0030672; GO:0140359; GO:0005524; GO:0015272; GO:0019829; GO:0042626; GO:0005267; GO:0008281; GO:0044325; GO:0001678; GO:0071310; GO:0007565; GO:0098662; GO:0007613; GO:0016525; GO:1905604; GO:0060253; GO:0046676; GO:0010989; GO:0061855; GO:0061045; GO:1905075; GO:0032760; GO:1900721; GO:1903818; GO:1990573; GO:0071805; GO:0006813; GO:0032868; GO:0032496; GO:0009268; GO:0009410; GO:0010043; GO:0055085; GO:0008542
O60706,GO:0008282; GO:0016020; GO:0005886; GO:0031004; GO:0030017; GO:0140359; GO:0005524; GO:0019829; GO:0043225; GO:0042626; GO:0005267; GO:0015459; GO:0008281; GO:0044325; GO:0061337; GO:0086003; GO:0098655; GO:0051607; GO:0098662; GO:0045776; GO:1990573; GO:0071805; GO:1903760; GO:0033198; GO:0055085; GO:0150104
Q9UBJ2,GO:0005829; GO:0016021; GO:0005778; GO:0005777; GO:0140359; GO:0047617; GO:0005524; GO:0016887; GO:0042626; GO:0005324; GO:0046982; GO:0042803; GO:0006635; GO:0015910; GO:0043217; GO:1900016; GO:1903427; GO:1990535; GO:0007031; GO:0032000; GO:2001280; GO:0009617; GO:0042760; GO:0000038
P28288,GO:0005829; GO:0016021; GO:0043231; GO:0016020; GO:0005739; GO:0005782; GO:0005778; GO:0005777; GO:0140359; GO:0047617; GO:0005524; GO:0016887; GO:0042626; GO:0005324; GO:0042803; GO:0043621; GO:0015721; GO:0006699; GO:0006635; GO:0006633; GO:0015910; GO:0007031; GO:1903512; GO:0014070; GO:0009410; GO:0042760; GO:0000038
P61222,GO:0005737; GO:0005829; GO:0005739; GO:0051539; GO:0005524; GO:0060698; GO:0005506; GO:0043024; GO:0060702; GO:0006417; GO:0000054; GO:0006413; GO:0006415
Q8NE71,GO:0005737; GO:0005829; GO:0016020; GO:0005635; GO:0005654; GO:0042788; GO:0005524; GO:0043022; GO:0003723; GO:0008494; GO:0008135; GO:0006954; GO:0045727; GO:0006412; GO:0006413
Q7YR37,GO:0005737; GO:0005635; GO:0005654; GO:0042788; GO:0005524; GO:0043022; GO:0008494; GO:0045727; GO:0006413
Q767L0,GO:0005737; GO:0005635; GO:0005654; GO:0042788; GO:0005524; GO:0043022; GO:0008494; GO:0045727; GO:0006413
Q9UG63,GO:0016020; GO:0005524
Q99LE6,GO:0005739; GO:0005524
Q9NUQ8,GO:0016020; GO:0005524; GO:0045296; GO:0051607
Q64343,GO:0005789; GO:0005768; GO:0009897; GO:0000139; GO:0016021; GO:0016020; GO:0005739; GO:0005886; GO:0055037; GO:0034041; GO:0043531; GO:0005524; GO:0042626; GO:0120020; GO:0140328; GO:0090554; GO:0046982; GO:0042803; GO:0019534; GO:0042987; GO:0071403; GO:0033344; GO:0042632; GO:0008203; GO:0030301; GO:0034436; GO:0034375; GO:0032367; GO:0034374; GO:0010888; GO:0010745; GO:0033700; GO:0055091; GO:1902004; GO:0045542; GO:0010875; GO:0035774; GO:0050714; GO:1904411; GO:0090181; GO:0033993; GO:0043691; GO:0055085
Q91WA9,GO:0031410; GO:0005768; GO:0010008; GO:0016021; GO:0016020; GO:0005886; GO:0034041; GO:0005524; GO:0016887; GO:0042626; GO:0042802; GO:0046982; GO:0042803; GO:0071403; GO:1990830; GO:0033344; GO:0042632; GO:0045542; GO:0010875; GO:0006355; GO:0015918; GO:0055085
Q5ZIN0,GO:0005789; GO:0016021; GO:0016020; GO:0047372; GO:0004622; GO:0008474; GO:0004620; GO:0046464; GO:0052651; GO:0006660; GO:0009395
Q4R2Y9,GO:0001669; GO:0016021; GO:0036126; GO:0097524; GO:0008126; GO:0047372; GO:0042562; GO:0033878; GO:0003707; GO:0004806; GO:0007340; GO:0046464; GO:0014912; GO:0032570; GO:0009611; GO:0014909; GO:0048240; GO:0043401
Q9QXM0,GO:0002080; GO:0001669; GO:0016021; GO:0036126; GO:0097524; GO:0008126; GO:0047372; GO:0042562; GO:0033878; GO:0003707; GO:0034338; GO:0004806; GO:0007340; GO:0046464; GO:0044255; GO:0051792; GO:0051793; GO:0014912; GO:0032570; GO:0009611; GO:0014909; GO:0048240; GO:0043401
Q8WTS1,GO:0005829; GO:0043231; GO:0005811; GO:0005739; GO:0005654; GO:0003841; GO:0052689; GO:0042171; GO:0030154; GO:0006631; GO:0055088; GO:0010891; GO:0006654; GO:0051006; GO:0010898
Q9DBL9,GO:0005829; GO:0043231; GO:0005811; GO:0005739; GO:0005654; GO:0003841; GO:0052689; GO:0042171; GO:0030154; GO:0006631; GO:0055088; GO:0006629; GO:0010891; GO:0006654; GO:0050996; GO:0051006; GO:0010898
Q5EE05,GO:0005829; GO:0005811; GO:0005739; GO:0003841; GO:0052689; GO:0042171; GO:0030154; GO:0006631; GO:0055088; GO:0010891; GO:0006654; GO:0010898
Q6QA69,GO:0005829; GO:0005811; GO:0005739; GO:0005654; GO:0003841; GO:0052689; GO:0042171; GO:0030154; GO:0006631; GO:0055088; GO:0006629; GO:0010891; GO:0006654; GO:0050996; GO:0051006; GO:0010898
Q8R2Y0,GO:0032281; GO:0098982; GO:0098978; GO:0016021; GO:0099055; GO:0031902; GO:0005765; GO:0031966; GO:0005739; GO:0047372; GO:0004620; GO:0046464; GO:0060292; GO:2001311; GO:0052651; GO:0030336; GO:0120163; GO:0009395; GO:0046889; GO:2000124; GO:0099178
Q5ZJL8,GO:0016021; GO:0016020; GO:0008474
Q8IZP0,GO:0070161; GO:0005856; GO:0005829; GO:0005783; GO:0070062; GO:0032433; GO:0030426; GO:0030027; GO:0005634; GO:0014069; GO:0031209; GO:0045296; GO:0008092; GO:0030296; GO:0017124; GO:0035591; GO:0008154; GO:0048813; GO:0072673; GO:0035855; GO:0008285; GO:0018108; GO:0001756; GO:0007169
Q9QZM5,GO:0070161; GO:0031252; GO:0005856; GO:0032433; GO:0098978; GO:0030426; GO:0030027; GO:0043005; GO:0005634; GO:0014069; GO:0031209; GO:0030296; GO:0017124; GO:0035591; GO:0008154; GO:0048813; GO:0072673; GO:0035855; GO:0018108; GO:0099527; GO:0001756
