accession,idtype,id
Q9UKU7,Gene_Name,ACAD8
Q9D7B6,Gene_Name,Acad8
P15650,Gene_Name,Acadl
Q3SZB4,Gene_Name,ACADM
P41367,Gene_Name,ACADM
Q07417,Gene_Name,Acads
Q5RAS0,Gene_Name,ACADS
P15651,Gene_Name,Acads
Q15057,Gene_Name,ACAP2
Q96P50,Gene_Name,ACAP3
P45882,Gene_Name,DBI
Q9PRL8,Gene_Name,DBI
Q8VD53,Gene_Name,Acer2
Q92035,Gene_Name,ACHE
P09482,Gene_Name,CHRNA4
P43681,Gene_Name,CHRNA4
Q5IS77,Gene_Name,CHRNA4
P26152,Gene_Name,CHRNA5
P49581,Gene_Name,CHRNA6
P22770,Gene_Name,CHRNA7
P26153,Gene_Name,CHRNB4
Q9PTS8,Gene_Name,CHRNA9
P02709,Gene_Name,CHRNA1
P09479,Gene_Name,CHRNA1
P02708,Gene_Name,CHRNA1
P04756,Gene_Name,Chrna1
P09484,Gene_Name,CHRNB2
P43679,Gene_Name,CHRNB3
Q9Z2N8,Gene_Name,Actl6a
O94805,Gene_Name,ACTL6B
P30372,Gene_Name,CHRM2
P49578,Gene_Name,CHRM3
P53396,Gene_Name,ACLY
Q91V92,Gene_Name,Acly
P17200,Gene_Name,CHRM4
P21399,Gene_Name,ACO1
P20004,Gene_Name,ACO2
P16276,Gene_Name,ACO2
Q9NR19,Gene_Name,ACSS2
Q9CZW4,Gene_Name,Acsl3
Q9QUJ7,Gene_Name,Acsl4
Q9UKU0,Gene_Name,ACSL6
P33124,Gene_Name,Acsl6
P62738,Gene_Name,Acta2
Q14DH7,Gene_Name,Acss3
P60707,Gene_Name,ACTB
P04751,Gene_Name,actc1
Q6P640,Gene_Name,actc1
O88990,Gene_Name,Actn3
A5D7D1,Gene_Name,ACTN4
O43707,Gene_Name,ACTN4
Q9QXQ0,Gene_Name,Actn4
Q3B7N2,Gene_Name,ACTN1
P05094,Gene_Name,ACTN1
P20111,Gene_Name,ACTN2
A2BDB0,Gene_Name,actg1
P63269,Gene_Name,Actg2
P68136,Gene_Name,Acta1
P53482,Gene_Name,acta1b
Q8R5C5,Gene_Name,Actr1b
P85515,Gene_Name,Actr1a
P36896,Gene_Name,ACVR1B
Q8NER5,Gene_Name,ACVR1C
Q90ZK6,Gene_Name,ACVR1
P00821,Gene_Name,ACYP2
O77633,Gene_Name,ADAM10
O75689,Gene_Name,ADAP1
Q7Z6V5,Gene_Name,ADAT2
Q08828,Gene_Name,ADCY1
Q08462,Gene_Name,ADCY2
Q5ZMT7,Gene_Name,ADCK1
O95622,Gene_Name,ADCY5
P40145,Gene_Name,ADCY8
Q9DGG6,Gene_Name,ADCY9
P35611,Gene_Name,ADD1
Q63028,Gene_Name,Add1
Q9UEY8,Gene_Name,ADD3
P55262,Gene_Name,ADK
P55263,Gene_Name,ADK
Q9H2P0,Gene_Name,ADNP
Q98SH3,Gene_Name,ADRM1
P02722,Gene_Name,SLC25A4
O46373,Gene_Name,SLC25A4
Q8SQH5,Gene_Name,SLC25A5
P13216,Gene_Name,FDX1
Q09073,Gene_Name,Slc25a5
P32007,Gene_Name,SLC25A6
P12236,Gene_Name,SLC25A6
Q2YDD9,Gene_Name,SLC25A31
Q9H0C2,Gene_Name,SLC25A31
Q4R8M0,Gene_Name,SLC25A31
Q3V132,Gene_Name,Slc25a31
Q6GR30,Gene_Name,aebp2
A2AM29,Gene_Name,Mllt3
P55196,Gene_Name,AFDN
O35889,Gene_Name,Afdn
Q90738,Gene_Name,AFAP1
Q2KJI7,Gene_Name,AFG3L2
Q9UHB7,Gene_Name,AFF4
Q2TA45,Gene_Name,AGFG1
Q8BXK8,Gene_Name,Agap1
Q96P47,Gene_Name,AGAP3
Q9H9G7,Gene_Name,AGO3
Q5ZMW0,Gene_Name,AGO4
Q9HCK5,Gene_Name,AGO4
Q8CJG1,Gene_Name,Ago1
Q9UKV8,Gene_Name,AGO2
Q8CJG0,Gene_Name,Ago2
Q8R3W7,Gene_Name,Agr3
O60242,Gene_Name,ADGRB3
Q80ZF8,Gene_Name,Adgrb3
O97831,Gene_Name,ADGRL1
O94910,Gene_Name,ADGRL1
Q80TR1,Gene_Name,Adgrl1
O97817,Gene_Name,ADGRL2
O95490,Gene_Name,ADGRL2
O97827,Gene_Name,ADGRL3
Q9HAR2,Gene_Name,ADGRL3
Q80TS3,Gene_Name,Adgrl3
O95831,Gene_Name,AIFM1
Q75W64,Gene_Name,AICDA
Q8C4Q6,Gene_Name,Aida
Q9EQX4,Gene_Name,Aif1l
Q5ZK84,Gene_Name,AKR1A1
O00170,Gene_Name,AIP
O08915,Gene_Name,Aip
P31749,Gene_Name,AKT1
P31751,Gene_Name,AKT2
Q60823,Gene_Name,Akt2
Q9P2G1,Gene_Name,ANKIB1
Q9Y243,Gene_Name,AKT3
Q5ZJJ5,Gene_Name,AKTIP
Q53H80,Gene_Name,AKIRIN2
P48644,Gene_Name,ALDH1A1
P27463,Gene_Name,ALDH1A1
O93344,Gene_Name,ALDH1A2
P47895,Gene_Name,ALDH1A3
P31748,Gene_Name,V-AKT
Q3SY69,Gene_Name,ALDH1L2
Q2KJH9,Gene_Name,ALDH9A1
P30038,Gene_Name,ALDH4A1
Q8CHT0,Gene_Name,Aldh4a1
P0C2X9,Gene_Name,Aldh4a1
Q2KJC9,Gene_Name,ALDH7A1
Q8TD30,Gene_Name,GPT2
P04075,Gene_Name,ALDOA
P05065,Gene_Name,Aldoa
P07341,Gene_Name,ALDOB
P81178,Gene_Name,ALDH2
Q5RF00,Gene_Name,ALDH2
P11884,Gene_Name,Aldh2
Q9GKW3,Gene_Name,ALDOC
Q5R1X4,Gene_Name,ALDOC
Q9H6U8,Gene_Name,ALG9
Q8VDI9,Gene_Name,Alg9
Q8JZZ6,Gene_Name,Ammecr1l
Q5RDQ3,Gene_Name,AMMECR1L
Q15699,Gene_Name,ALX1
Q8C8B0,Gene_Name,Alx1
Q9UKV5,Gene_Name,AMFR
Q9R049,Gene_Name,Amfr
Q01433,Gene_Name,AMPD2
Q01432,Gene_Name,AMPD3
O57579,Gene_Name,ANPEP
O08838,Gene_Name,Amph
Q9C0C7,Gene_Name,AMBRA1
Q86YJ7,Gene_Name,ANKRD13B
Q8N6S4,Gene_Name,ANKRD13C
P49911,Gene_Name,Anp32a
O95841,Gene_Name,ANGPTL1
Q9R045,Gene_Name,Angptl2
P16157,Gene_Name,ANK1
Q12955,Gene_Name,ANK3
G5E8K5,Gene_Name,Ank3
Q810B6,Gene_Name,Ankfy1
Q15389,Gene_Name,ANGPT1
Q8IWZ3,Gene_Name,ANKHD1
Q9JHZ2,Gene_Name,Ankh
O15123,Gene_Name,ANGPT2
Q9BDY7,Gene_Name,ANGPT2
Q99873,Gene_Name,PRMT1
Q0VCS9,Gene_Name,ANKMY2
Q8IV38,Gene_Name,ANKMY2
Q5R698,Gene_Name,PRMT5
A6QQV6,Gene_Name,PRMT7
Q28F07,Gene_Name,prmt1
O14744,Gene_Name,PRMT5
Q9NR22,Gene_Name,PRMT8
Q6PAK3,Gene_Name,Prmt8
Q8BHY3,Gene_Name,Ano1
Q9BYT9,Gene_Name,ANO3
Q32M45,Gene_Name,ANO4
Q5XXA6,Gene_Name,ANO1
O75179,Gene_Name,ANKRD17
O15084,Gene_Name,ANKRD28
Q8N6D5,Gene_Name,ANKRD29
Q5F478,Gene_Name,ANKRD44
Q86W74,Gene_Name,ANKRD46
Q9ULJ7,Gene_Name,ANKRD50
Q5ZLC8,Gene_Name,ANKRD52
Q6NXT1,Gene_Name,ANKRD54
Q9CZ52,Gene_Name,Antxr1
Q2KI79,Gene_Name,ANKRA2
Q9H9E1,Gene_Name,ANKRA2
Q9UJ72,Gene_Name,ANXA10
P17785,Gene_Name,ANXA2
P17153,Gene_Name,ANXA5
P51901,Gene_Name,ANXA6
O60641,Gene_Name,SNAP91
Q08DS7,Gene_Name,AP2B1
Q10567,Gene_Name,AP1B1
O43747,Gene_Name,AP1G1
Q9BXS5,Gene_Name,AP1M1
Q3SYW1,Gene_Name,AP1M2
P61967,Gene_Name,Ap1s1
P56377,Gene_Name,AP1S2
Q9DB50,Gene_Name,Ap1s2
Q96PC3,Gene_Name,AP1S3
Q7TN05,Gene_Name,Ap1s3
O95782,Gene_Name,AP2A1
P17426,Gene_Name,Ap2a1
Q92481,Gene_Name,TFAP2B
Q61313,Gene_Name,Tfap2b
Q7Z6R9,Gene_Name,TFAP2D
Q2T9K2,Gene_Name,tfap2e
Q5ZMP6,Gene_Name,AP2M1
P17427,Gene_Name,Ap2a2
A1A4R9,Gene_Name,TFAP2A
P58197,Gene_Name,Tfap2a
Q9N0N3,Gene_Name,TFAP2A
P62944,Gene_Name,Ap2b1
Q6P856,Gene_Name,ap2m1
P62744,Gene_Name,Ap2s1
Q13367,Gene_Name,AP3B2
Q9JME5,Gene_Name,Ap3b2
Q865S1,Gene_Name,AP3D1
O54774,Gene_Name,Ap3d1
Q5R478,Gene_Name,AP3M1
P53677,Gene_Name,AP3M2
Q9DCR2,Gene_Name,Ap3s1
Q9Y587,Gene_Name,AP4S1
Q02410,Gene_Name,APBA1
B2RUJ5,Gene_Name,Apba1
Q99767,Gene_Name,APBA2
Q9CPX9,Gene_Name,Anapc11
Q9BS18,Gene_Name,ANAPC13
F1QY75,Gene_Name,anapc15
Q92870,Gene_Name,APBB2
Q92624,Gene_Name,APPBP2
Q9UM13,Gene_Name,ANAPC10
Q6DE18,Gene_Name,arpc5-b
Q5ZKK3,Gene_Name,ANAPC5
Q9UJX3,Gene_Name,ANAPC7
Q5REH8,Gene_Name,ANAPC16
Q9H1A4,Gene_Name,ANAPC1
Q5R2I8,Gene_Name,APCDD1
Q5R2J4,Gene_Name,APCDD1
P25054,Gene_Name,APC
Q5ZMW3,Gene_Name,API5
Q9BZZ5,Gene_Name,API5
Q5R644,Gene_Name,API5
P15943,Gene_Name,Aplp2
Q6PQZ1,Gene_Name,AQP1
Q08DE6,Gene_Name,AQP3
Q8R2N1,Gene_Name,Aqp3
A9Y006,Gene_Name,AQP3
O77750,Gene_Name,AQP4
Q7ZXD5,Gene_Name,arpc1b-a
Q6GNU1,Gene_Name,arpc1b-b
Q5ZKW5,Gene_Name,ARL2BP
Q5R9K8,Gene_Name,ARL2BP
Q5R454,Gene_Name,ARL6IP1
O60306,Gene_Name,AQR
P25098,Gene_Name,GRK2
Q99MK8,Gene_Name,Grk2
P26818,Gene_Name,GRK3
Q92747,Gene_Name,ARPC1A
Q9R0Q6,Gene_Name,Arpc1a
P84079,Gene_Name,Arf1
O15033,Gene_Name,AREL1
Q8CHG5,Gene_Name,Arel1
Q2YDE7,Gene_Name,ZBTB8OS
Q8IWT0,Gene_Name,ZBTB8OS
P61207,Gene_Name,arf3
Q3SZF2,Gene_Name,ARF4
P62332,Gene_Name,Arf6
Q8AWC3,Gene_Name,ARC
P53367,Gene_Name,ARFIP1
Q4KLN7,Gene_Name,Arfgap3
Q32LJ2,Gene_Name,ARFRP1
Q5ZL35,Gene_Name,ARGLU1
Q6P2W5,Gene_Name,arglu1
Q5ZLR6,Gene_Name,ARHGEF6
Q14155,Gene_Name,ARHGEF7
Q9ES28,Gene_Name,Arhgef7
Q5ZLX4,Gene_Name,Arhgef3
Q58DL7,Gene_Name,ARHGEF9
Q6AZR2,Gene_Name,adprhl1
A2BH40,Gene_Name,Arid1a
Q8NFD5,Gene_Name,ARID1B
Q9Y4X5,Gene_Name,ARIH1
Q9Z1K5,Gene_Name,Arih1
Q4LE39,Gene_Name,ARID4B
Q9JKB5,Gene_Name,Arid4b
O95376,Gene_Name,ARIH2
Q9NXU5,Gene_Name,ARL15
Q5RFN0,Gene_Name,ARL15
Q68CP9,Gene_Name,ARID2
P61212,Gene_Name,Arl1
P36404,Gene_Name,ARL2
Q8QHI3,Gene_Name,arl3
P61214,Gene_Name,Arl4a
P61208,Gene_Name,Arl4c
P51646,Gene_Name,Arl5a
Q9D4P0,Gene_Name,Arl5b
Q6P068,Gene_Name,Arl5c
Q5M9P8,Gene_Name,arl6
Q5ZKQ8,Gene_Name,ARL8A
Q2KI07,Gene_Name,ARL8B
Q66HA6,Gene_Name,Arl8b
Q5ZMQ0,Gene_Name,ARMC1
Q2KI54,Gene_Name,ARMC8
Q8IUR7,Gene_Name,ARMC8
Q5T2E6,Gene_Name,ARMH3
Q9HBZ2,Gene_Name,ARNT2
Q5ZLY8,Gene_Name,ARPP19
Q7ZXV3,Gene_Name,actr2-b
P53488,Gene_Name,ACTR2
P61161,Gene_Name,Actr2
D2I1E3,Gene_Name,ACTR8
Q9P1U1,Gene_Name,ACTR3B
Q90WD0,Gene_Name,ACTR3
Q9DEE9,Gene_Name,ACTR6
Q3ZBD2,Gene_Name,ACTR10
Q9QZB7,Gene_Name,Actr10
Q641G7,Gene_Name,arpc4
Q9CPW4,Gene_Name,Arpc5
Q3MHR7,Gene_Name,ARPC2
O15145,Gene_Name,ARPC3
Q9JM76,Gene_Name,Arpc3
Q5ZJA4,Gene_Name,ACTR5
P49407,Gene_Name,ARRB1
Q4R562,Gene_Name,ARRB1
P32120,Gene_Name,ARRB2
Q5RCR4,Gene_Name,ARRB2
Q96B67,Gene_Name,ARRDC3
Q32KI9,Gene_Name,Arsi
Q5FYB0,Gene_Name,ARSJ
P15848,Gene_Name,ARSB
O35085,Gene_Name,Arx
A6YP92,Gene_Name,Arx
Q9QWY8,Gene_Name,Asap1
Q1AAU6,Gene_Name,Asap1
O43150,Gene_Name,ASAP2
P50553,Gene_Name,ASCL1
Q02067,Gene_Name,Ascl1
Q06234,Gene_Name,ascl1
F1NTD6,Gene_Name,ascc3
Q8WWX0,Gene_Name,ASB5
Q9H672,Gene_Name,ASB7
Q08E43,Gene_Name,ASB8
Q3C1E9,Gene_Name,ASF1
Q9NR48,Gene_Name,ASH1L
Q9UBL3,Gene_Name,ASH2L
Q91X20,Gene_Name,Ash2l
Q1XA76,Gene_Name,ASIC1
Q16515,Gene_Name,ASIC2
Q62962,Gene_Name,Asic2
Q5ZJU3,Gene_Name,ASNS
Q6ICH7,Gene_Name,ASPHD2
P00966,Gene_Name,ASS1
Q2M2T6,Gene_Name,WDR83OS
F8RT80,Gene_Name,WDR83OS
Q6Q7K0,Gene_Name,WDR83OS
Q61137,Gene_Name,Astn1
Q80Z10,Gene_Name,Astn2
Q3KR37,Gene_Name,GRAMD1B
Q80TI0,Gene_Name,Gramd1b
P98196,Gene_Name,ATP11A
Q9Y2G3,Gene_Name,ATP11B
Q64392,Gene_Name,ATP12A
O14525,Gene_Name,ASTN1
Q9HD20,Gene_Name,ATP13A1
P24798,Gene_Name,ATP1A3
P13637,Gene_Name,ATP1A3
P06687,Gene_Name,Atp1a3
Q08DA1,Gene_Name,ATP1A1
P18907,Gene_Name,ATP1A1
P05023,Gene_Name,ATP1A1
P24797,Gene_Name,ATP1A2
P50993,Gene_Name,ATP1A2
Q01814,Gene_Name,ATP2B2
Q9R0K7,Gene_Name,Atp2b2
P11506,Gene_Name,Atp2b2
Q16720,Gene_Name,ATP2B3
Q64568,Gene_Name,Atp2b3
D3K0R6,Gene_Name,ATP2B4
P23634,Gene_Name,ATP2B4
P98194,Gene_Name,ATP2C1
O46674,Gene_Name,ATP2A2
Q03669,Gene_Name,ATP2A2
P11607,Gene_Name,ATP2A2
Q9YGL9,Gene_Name,ATP2A3
Q98SH2,Gene_Name,ATP2B1
P13585,Gene_Name,ATP2A1
P32876,Gene_Name,ATP5MC1
Q3ZC75,Gene_Name,ATP5MC3
Q14CW9,Gene_Name,ATXN7L3
Q29449,Gene_Name,ATP8A1
Q9Y2Q0,Gene_Name,ATP8A1
Q9NTI2,Gene_Name,ATP8A2
Q6DEB1,Gene_Name,etnppl
Q505J9,Gene_Name,Atad1
Q6NVR9,Gene_Name,atad3
D4AA47,Gene_Name,Atp8b1
P98198,Gene_Name,ATP8B2
F6QV99,Gene_Name,ATAD1
Q6PAX2,Gene_Name,atad3-b
P18846,Gene_Name,ATF1
O93602,Gene_Name,ATF2
P18847,Gene_Name,ATF3
Q86WG3,Gene_Name,ATCAY
Q9ULI0,Gene_Name,ATAD2B
Q5R9C9,Gene_Name,ATF7
O75143,Gene_Name,ATG13
Q5RE28,Gene_Name,ATG13
Q96BY7,Gene_Name,ATG2B
Q5ZIW7,Gene_Name,ATG4A
Q8WYN0,Gene_Name,ATG4A
Q5R699,Gene_Name,ATG4A
Q6PZ02,Gene_Name,ATG4B
Q9NT62,Gene_Name,ATG3
Q9CPX6,Gene_Name,Atg3
Q3MQ24,Gene_Name,ATG5
Q9H1Y0,Gene_Name,ATG5
Q5ZKY2,Gene_Name,ATG7
O95352,Gene_Name,ATG7
Q5RCS0,Gene_Name,ATG9A
P82987,Gene_Name,ADAMTSL3
Q8NHH9,Gene_Name,ATL2
Q6PA06,Gene_Name,Atl2
Q9BSB4,Gene_Name,ATG101
Q60HD2,Gene_Name,ATL1
Q5R4P1,Gene_Name,ATL1
P56381,Gene_Name,ATP5F1E
Q9XT28,Gene_Name,ATOX1
Q64436,Gene_Name,Atp4a
Q92126,Gene_Name,atp4a
O75110,Gene_Name,ATP9A
P98195,Gene_Name,Atp9b
D4ABB8,Gene_Name,Atp9b
Q5R546,Gene_Name,ATP5F1A
P00829,Gene_Name,ATP5F1B
P06576,Gene_Name,ATP5F1B
P05631,Gene_Name,ATP5F1C
Q5VV63,Gene_Name,ATRNL1
O75882,Gene_Name,ATRN
P59384,Gene_Name,Adamts15
Q9UNA0,Gene_Name,ADAMTS5
Q9UKP5,Gene_Name,ADAMTS6
Q99700,Gene_Name,ATXN2
O70305,Gene_Name,Atxn2
Q9W689,Gene_Name,ATXN3
Q13825,Gene_Name,AUH
Q9JLZ3,Gene_Name,Auh
O75061,Gene_Name,DNAJC6
Q90669,Gene_Name,ACVR2A
Q95126,Gene_Name,ACVR2B
Q90670,Gene_Name,ACVR2B
Q07816,Gene_Name,BCL2L1
Q8NCR0,Gene_Name,B3GALNT2
Q9MYM7,Gene_Name,B3GALT1
O43825,Gene_Name,B3GALT2
Q9P2W7,Gene_Name,B3GAT1
O43286,Gene_Name,B4GALT5
A0A1S6M251,Gene_Name,B4GALT5
Q9UBX8,Gene_Name,B4GALT6
O88419,Gene_Name,B4galt6
Q8WZ19,Gene_Name,KCTD13
Q5F3E8,Gene_Name,TNFAIP1
Q9H3F6,Gene_Name,KCTD10
Q2HJ40,Gene_Name,BACE1
Q9UPM9,Gene_Name,B9D1
Q5ZML0,Gene_Name,BABAM2
P56818,Gene_Name,Bace1
O00154,Gene_Name,ACOT7
Q5RBU9,Gene_Name,BANF1
Q9R1T1,Gene_Name,Banf1
Q6GMN2,Gene_Name,Baiap2
Q6ZNE5,Gene_Name,ATG14
Q5F486,Gene_Name,BAG5
Q13145,Gene_Name,BAMBI
Q0VCW3,Gene_Name,BANP
Q5F3N6,Gene_Name,BAP1
Q99PU7,Gene_Name,Bap1
Q9BZE3,Gene_Name,BARHL1
Q8VIB5,Gene_Name,Barhl2
O88181,Gene_Name,Barhl2
Q9UMQ3,Gene_Name,BARX2
Q9DED6,Gene_Name,BARX1B
Q9DE13,Gene_Name,BAZ2B
Q9CZQ9,Gene_Name,Bbs5
Q8IWZ6,Gene_Name,BBS7
Q9H165,Gene_Name,BCL11A
Q9QYE3,Gene_Name,Bcl11a
Q9C0K0,Gene_Name,BCL11B
Q9H6U6,Gene_Name,BCAS3
O55028,Gene_Name,Bckdk
O88282,Gene_Name,Bcl6b
Q4VC05,Gene_Name,BCL7A
Q9CXE2,Gene_Name,Bcl7a
Q9BQE9,Gene_Name,BCL7B
Q7ZTL7,Gene_Name,bcs1l
O00512,Gene_Name,BCL9
Q9NYF8,Gene_Name,BCLAF1
Q8QG74,Gene_Name,BDNF
Q3KPT7,Gene_Name,bdh2
O88597,Gene_Name,Becn1
Q4A1L5,Gene_Name,BECN1
Q7L4P6,Gene_Name,BEND5
Q62896,Gene_Name,Bet1
Q5XGM3,Gene_Name,bhmt
Q5U4T7,Gene_Name,bicc1-b
Q9H694,Gene_Name,BICC1
Q96G01,Gene_Name,BICD1
Q8BR07,Gene_Name,Bicd1
Q8TD16,Gene_Name,BICD2
O00499,Gene_Name,BIN1
Q9NQY0,Gene_Name,BIN3
Q9JI08,Gene_Name,Bin3
Q9Y6D6,Gene_Name,ARFGEF1
Q9Y6D5,Gene_Name,ARFGEF2
Q5TH69,Gene_Name,ARFGEF3
Q90593,Gene_Name,HSPA5
P07823,Gene_Name,HSPA5
Q9NR09,Gene_Name,BIRC6
O55102,Gene_Name,Bloc1s1
Q4R7C8,Gene_Name,BLOC1S2
Q66KB9,Gene_Name,bloc1s2
Q4G2S9,Gene_Name,BLCAP
P87362,Gene_Name,BLMH
Q32KX7,Gene_Name,BMI1
Q9TST0,Gene_Name,BMI1
Q5R8L2,Gene_Name,BMI1
P13497,Gene_Name,BMP1
Q6YGZ5,Gene_Name,ARNTL
P22003,Gene_Name,BMP5
P23359,Gene_Name,Bmp7
P98070,Gene_Name,bmp1
Q8CJ69,Gene_Name,Bmper
Q13873,Gene_Name,BMPR2
O35607,Gene_Name,Bmpr2
P36894,Gene_Name,BMPR1A
Q05438,Gene_Name,BMPR1B
Q14692,Gene_Name,BMS1
Q6ZN30,Gene_Name,BNC2
Q8BMQ3,Gene_Name,Bnc2
Q3T013,Gene_Name,BNIP3L
Q9I8I2,Gene_Name,BOK
Q8WP23,Gene_Name,BOLL
Q5SQY2,Gene_Name,Bod1
Q3ZCK3,Gene_Name,BPNT1
O95861,Gene_Name,BPNT1
Q2KIB7,Gene_Name,BORCS7
Q5REK7,Gene_Name,BORCS7
Q04982,Gene_Name,BRAF
P34908,Gene_Name,BRAF
Q08DP2,Gene_Name,BORCS5
B5X8M4,Gene_Name,brcc3
G5E8P1,Gene_Name,Brd1
Q7Z569,Gene_Name,BRAP
Q9H8M2,Gene_Name,BRD9
Q15059,Gene_Name,BRD3
A2VDP1,Gene_Name,RNF20
Q5ZLS3,Gene_Name,RNF20
Q5DTM8,Gene_Name,Rnf20
Q6IQ86,Gene_Name,brk1
Q8WUW1,Gene_Name,BRK1
Q5ZLL9,Gene_Name,BRMS1L
Q3U1T3,Gene_Name,Brms1l
Q91998,Gene_Name,BRN3
Q7ZZR3,Gene_Name,BRINP1
Q920P3,Gene_Name,Brinp1
Q5RDR5,Gene_Name,BRINP2
Q76B58,Gene_Name,BRINP3
Q5RDD7,Gene_Name,BROX
B2RRD7,Gene_Name,Brpf1
B2KF05,Gene_Name,Brpf3
Q9NSI6,Gene_Name,BRWD1
Q6RI45,Gene_Name,BRWD3
Q69Z98,Gene_Name,Brsk2
Q5ZJG3,Gene_Name,BTF3L4
Q6PC91,Gene_Name,btf3l4
O14981,Gene_Name,BTAF1
Q96Q07,Gene_Name,BTBD9
Q5R585,Gene_Name,BTBD10
Q9H0C5,Gene_Name,BTBD1
P58545,Gene_Name,Btbd3
M3XQV7,Gene_Name,BTBD3
Q2LE78,Gene_Name,btbd6
Q9P203,Gene_Name,BTBD7
Q8JH64,Gene_Name,BTK
P34743,Gene_Name,BTG1
