file,model,model-long,codon model,description,tree-length,Lnl,np,kappa,siteClassModel,p0,w,p,q,proportion_0,omega_0,proportion_1,omega_1,proportion_2,omega_2
OG0013931,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.79032,-3272.89213,15,2.02281,NearlyNeutral,,,,,0.71527,0.05559,0.28473,1.00000,,
OG0013931,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.80386,-3270.825315,17,2.09344,PositiveSelection,,,,,0.8493,0.12594,0.0,1.00000,0.1507,1.80261
OG0010354,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.61949,-10443.81671,15,4.18873,NearlyNeutral,,,,,0.63452,0.12238,0.36548,1.00000,,
OG0010354,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.63668,-10440.86429,17,4.27316,PositiveSelection,,,,,0.66089,0.14989,0.33204,1.00000,0.00707,7.16378
OG0007816,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,1.15013,-2475.308172,15,3.42385,NearlyNeutral,,,,,0.55574,0.08647,0.44426,1.00000,,
OG0007816,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,1.20671,-2473.572479,17,3.61386,PositiveSelection,,,,,0.59831,0.13102,0.36755,1.00000,0.03414,4.32657
OG0009995,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.97766,-3151.351565,15,3.6418,NearlyNeutral,,,,,0.61181,0.00104,0.38819,1.00000,,
OG0009995,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.98819,-3150.705038,17,3.71221,PositiveSelection,,,,,0.62153,0.00988,0.36734,1.00000,0.01113,4.00538
OG0008511,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.54484,-3885.359583,15,2.08197,NearlyNeutral,,,,,0.8571,0.00000,0.1429,1.00000,,
OG0008511,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.54736,-3883.040306,17,2.21802,PositiveSelection,,,,,0.87751,0.00000,0.0,1.00000,0.12249,1.48877
OG0007586,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.87209,-8621.215852,15,2.00844,NearlyNeutral,,,,,0.61635,0.00000,0.38365,1.00000,,
OG0007586,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,1.31193,-8599.576953,17,2.15577,PositiveSelection,,,,,0.60542,0.00000,0.37938,1.00000,0.01521,33.01169
OG0010664,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,1.68979,-2635.11551,15,2.60188,NearlyNeutral,,,,,0.72932,0.10067,0.27068,1.00000,,
OG0010664,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,1.68979,-2635.11551,17,2.60188,PositiveSelection,,,,,0.72932,0.10067,0.15699,1.00000,0.11369,1.00000
OG0005342,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.33658,-5490.210439,15,4.15684,NearlyNeutral,,,,,0.82345,0.02523,0.17655,1.00000,,
OG0005342,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.33658,-5490.210439,17,4.15683,PositiveSelection,,,,,0.82345,0.02523,0.06375,1.00000,0.1128,1.00000
OG0010015,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,1.55063,-2175.954583,15,4.36179,NearlyNeutral,,,,,0.82519,0.14780,0.17481,1.00000,,
OG0010015,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,1.58012,-2174.621443,17,4.45129,PositiveSelection,,,,,0.90819,0.18368,0.0,1.00000,0.09181,1.83591
OG0006994,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.3329,-2781.921201,15,3.38752,NearlyNeutral,,,,,0.99999,0.00756,1e-05,1.00000,,
OG0006994,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.3329,-2781.92035,17,3.38752,PositiveSelection,,,,,1.0,0.00757,0.0,1.00000,0.0,1.00000
OG0011051,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.50233,-2505.262439,15,4.74299,NearlyNeutral,,,,,0.8309,0.04547,0.1691,1.00000,,
OG0011051,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.50233,-2505.262439,17,4.74299,PositiveSelection,,,,,0.8309,0.04547,0.05599,1.00000,0.11311,1.00000
OG0009117,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,1.31721,-4561.558412,15,2.355,NearlyNeutral,,,,,0.43814,0.00520,0.56186,1.00000,,
OG0009117,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,1.3641,-4556.494306,17,2.48397,PositiveSelection,,,,,0.47784,0.04375,0.40151,1.00000,0.12065,2.45847
OG0010150,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.68965,-7294.358483,15,2.86715,NearlyNeutral,,,,,0.76912,0.14783,0.23088,1.00000,,
OG0010150,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.68965,-7294.358483,17,2.86715,PositiveSelection,,,,,0.76912,0.14783,0.10282,1.00000,0.12806,1.00000
OG0011114,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.52731,-2248.083776,15,2.82348,NearlyNeutral,,,,,0.76877,0.03898,0.23123,1.00000,,
OG0011114,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.53125,-2247.815626,17,2.88072,PositiveSelection,,,,,0.87306,0.09293,0.0,1.00000,0.12694,1.54967
OG0009850,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.77328,-3893.192986,15,3.45883,NearlyNeutral,,,,,0.74131,0.07840,0.25869,1.00000,,
OG0009850,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.78522,-3892.055656,17,3.54809,PositiveSelection,,,,,0.74533,0.08457,0.25123,1.00000,0.00344,7.96883
OG0012533,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.39945,-5833.822667,15,2.7512,NearlyNeutral,,,,,0.92959,0.01343,0.07041,1.00000,,
OG0012533,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.39945,-5833.822667,17,2.7512,PositiveSelection,,,,,0.92959,0.01343,0.03159,1.00000,0.03882,1.00000
OG0011712,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.78862,-3321.459428,15,3.15528,NearlyNeutral,,,,,0.95002,0.04786,0.04998,1.00000,,
OG0011712,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.78862,-3321.459428,17,3.15528,PositiveSelection,,,,,0.95002,0.04786,0.02234,1.00000,0.02765,1.00000
OG0011311,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.37056,-1793.465127,15,3.9941,NearlyNeutral,,,,,0.62398,0.00000,0.37602,1.00000,,
OG0011311,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.37747,-1792.722992,17,4.1242,PositiveSelection,,,,,0.71265,0.00000,0.0,1.00000,0.28735,1.56578
OG0013476,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.35824,-591.122225,15,4.05905,NearlyNeutral,,,,,0.99999,0.00000,1e-05,1.00000,,
OG0013476,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.35823,-591.121554,17,4.05899,PositiveSelection,,,,,1.0,0.00000,0.0,1.00000,0.0,19.22714
OG0012406,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.67193,-3169.261657,15,2.73005,NearlyNeutral,,,,,0.54352,0.04667,0.45648,1.00000,,
OG0012406,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.67587,-3168.636077,17,2.79227,PositiveSelection,,,,,0.74437,0.17614,0.0,1.00000,0.25563,1.50724
OG0008053,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,1.10186,-4702.421368,15,2.46395,NearlyNeutral,,,,,0.63208,0.00893,0.36792,1.00000,,
OG0008053,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,1.80032,-4642.683483,17,3.42606,PositiveSelection,,,,,0.57658,0.00000,0.3798,1.00000,0.04362,20.74493
OG0006595,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.84857,-7608.213681,15,3.11815,NearlyNeutral,,,,,0.67038,0.07592,0.32962,1.00000,,
OG0006595,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,21.65036,-7588.754326,17,3.5261,PositiveSelection,,,,,0.69475,0.10811,0.28503,1.00000,0.02022,999.00000
OG0012034,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,1.23085,-3417.51766,15,2.68883,NearlyNeutral,,,,,0.97386,0.02453,0.02614,1.00000,,
OG0012034,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,1.23085,-3417.51766,17,2.68883,PositiveSelection,,,,,0.97386,0.02453,0.01346,1.00000,0.01268,1.00000
OG0007210,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.61759,-3735.010324,15,3.75136,NearlyNeutral,,,,,0.56232,0.05190,0.43768,1.00000,,
OG0007210,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.62317,-3734.492303,17,3.80026,PositiveSelection,,,,,0.57956,0.07295,0.41401,1.00000,0.00643,5.30339
OG0012279,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.58106,-3543.480788,15,4.39429,NearlyNeutral,,,,,0.74221,0.05598,0.25779,1.00000,,
OG0012279,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.62111,-3530.707765,17,4.8818,PositiveSelection,,,,,0.96289,0.21020,0.0,1.00000,0.03711,6.07502
OG0010053,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.47211,-1480.93953,15,1.75657,NearlyNeutral,,,,,0.78683,0.00000,0.21317,1.00000,,
OG0010053,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.49653,-1478.396749,17,1.8901,PositiveSelection,,,,,0.93149,0.07936,0.0,1.00000,0.06851,3.57937
OG0012736,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.66227,-4044.385622,15,2.3183,NearlyNeutral,,,,,0.81645,0.00000,0.18355,1.00000,,
OG0012736,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.88554,-3987.008518,17,2.73226,PositiveSelection,,,,,0.88183,0.04543,0.07123,1.00000,0.04693,10.77006
OG0007728,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.98547,-1296.407364,15,1.58816,NearlyNeutral,,,,,0.43552,0.00000,0.56448,1.00000,,
OG0007728,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,1.01762,-1295.314851,17,1.72022,PositiveSelection,,,,,0.60297,0.11181,0.0,1.00000,0.39703,1.73807
OG0012696,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,1.24678,-4023.361446,15,2.58082,NearlyNeutral,,,,,0.93395,0.02319,0.06605,1.00000,,
OG0012696,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,1.24678,-4023.361446,17,2.58082,PositiveSelection,,,,,0.93395,0.02319,0.02878,1.00000,0.03727,1.00000
OG0014193,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.43342,-7490.263771,15,3.9396,NearlyNeutral,,,,,0.79016,0.09771,0.20984,1.00000,,
OG0014193,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.43363,-7490.253141,17,3.94467,PositiveSelection,,,,,0.81384,0.10888,0.0,1.00000,0.18615,1.07231
OG0007078,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.56704,-2607.299649,15,3.06099,NearlyNeutral,,,,,0.71434,0.04565,0.28566,1.00000,,
OG0007078,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.57996,-2606.28537,17,3.13908,PositiveSelection,,,,,0.72287,0.05773,0.27306,1.00000,0.00406,10.23744
OG0007282,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.36001,-2183.161927,15,3.39835,NearlyNeutral,,,,,0.98215,0.01273,0.01785,1.00000,,
OG0007282,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.35957,-2183.033038,17,3.41433,PositiveSelection,,,,,0.99155,0.01703,0.0,1.00000,0.00845,1.72850
OG0006216,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.54816,-3328.652462,15,4.46829,NearlyNeutral,,,,,0.79926,0.09807,0.20074,1.00000,,
OG0006216,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.55043,-3327.999743,17,4.51777,PositiveSelection,,,,,0.92768,0.16728,0.0,1.00000,0.07232,1.89661
OG0009480,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.50435,-2050.307217,15,3.38446,NearlyNeutral,,,,,0.55521,0.00000,0.44479,1.00000,,
OG0009480,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.51693,-2047.587574,17,3.82999,PositiveSelection,,,,,0.79545,0.15196,0.0,1.00000,0.20455,2.40844
OG0007776,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.31811,-2170.248246,15,2.93814,NearlyNeutral,,,,,0.9096,0.00000,0.0904,1.00000,,
OG0007776,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.31877,-2170.221128,17,2.95977,PositiveSelection,,,,,0.9142,0.00000,0.0,1.00000,0.0858,1.09678
OG0006052,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.62466,-2179.89221,15,2.04137,NearlyNeutral,,,,,0.83604,0.00000,0.16396,1.00000,,
OG0006052,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.64945,-2176.887963,17,2.318,PositiveSelection,,,,,0.88867,0.01677,0.0,1.00000,0.11133,2.12281
OG0011308,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,1.26858,-2201.561329,15,3.19806,NearlyNeutral,,,,,0.3808,0.12054,0.6192,1.00000,,
OG0011308,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,1.29465,-2198.796722,17,3.33211,PositiveSelection,,,,,0.71757,0.36424,0.0,1.00000,0.28243,1.95212
OG0005771,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.8126,-2832.407293,15,2.98578,NearlyNeutral,,,,,0.63548,0.00000,0.36452,1.00000,,
OG0005771,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.85097,-2826.339239,17,3.38002,PositiveSelection,,,,,0.6262,0.00000,0.33882,1.00000,0.03499,4.72909
OG0011514,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.67839,-6118.930975,15,3.32035,NearlyNeutral,,,,,0.63792,0.12103,0.36208,1.00000,,
OG0011514,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.68502,-6118.407007,17,3.3502,PositiveSelection,,,,,0.79337,0.20418,0.0,1.00000,0.20663,1.43953
OG0007624,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.62332,-12551.690775,15,3.42443,NearlyNeutral,,,,,0.91667,0.05697,0.08333,1.00000,,
OG0007624,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.62331,-12551.690775,17,3.42443,PositiveSelection,,,,,0.91667,0.05697,0.03007,1.00000,0.05326,1.00000
OG0008894,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,1.01925,-3068.848089,15,2.89385,NearlyNeutral,,,,,0.84012,0.09132,0.15988,1.00000,,
OG0008894,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,1.01925,-3068.848089,17,2.89385,PositiveSelection,,,,,0.84012,0.09132,0.07218,1.00000,0.0877,1.00000
OG0013278,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.90539,-3966.501997,15,3.06888,NearlyNeutral,,,,,0.94521,0.03465,0.05479,1.00000,,
OG0013278,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,1.30413,-3962.488944,17,3.16754,PositiveSelection,,,,,0.94964,0.03701,0.04631,1.00000,0.00404,40.70492
OG0008765,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,1.15423,-2868.690189,15,2.35436,NearlyNeutral,,,,,0.5013,0.03689,0.4987,1.00000,,
OG0008765,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,1.19946,-2866.375618,17,2.48803,PositiveSelection,,,,,0.49674,0.04683,0.47581,1.00000,0.02745,4.75312
OG0013895,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.62848,-1174.118529,15,4.01505,NearlyNeutral,,,,,0.96333,0.03385,0.03667,1.00000,,
OG0013895,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.62848,-1174.118529,17,4.01505,PositiveSelection,,,,,0.96333,0.03385,0.01411,1.00000,0.02256,1.00000
OG0011736,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,1.54311,-13996.20504,15,4.40252,NearlyNeutral,,,,,0.68335,0.10305,0.31665,1.00000,,
OG0011736,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,1.56169,-13994.925763,17,4.48108,PositiveSelection,,,,,0.70344,0.11489,0.26301,1.00000,0.03355,1.99325
OG0007689,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,0.27054,-4184.180454,15,3.29204,NearlyNeutral,,,,,0.90013,0.12792,0.09987,1.00000,,
OG0007689,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,0.27122,-4183.997696,17,3.29804,PositiveSelection,,,,,0.9786,0.17186,0.0,1.00000,0.0214,2.34436
OG0007439,M1,"One dN/dS ratio for branches, ",F3x4,NearlyNeutral,1.67744,-7102.884192,15,2.15712,NearlyNeutral,,,,,0.8053,0.08119,0.1947,1.00000,,
OG0007439,M2,"One dN/dS ratio for branches, ",F3x4,PositiveSelection,1.67744,-7102.884192,17,2.15711,PositiveSelection,,,,,0.8053,0.08119,0.07141,1.00000,0.12329,1.00000
