Orthogroup	crotalus_tigris	hydrophis_curtus-AG	hydrophis_curtus	hydrophis_cyanocinctus	hydrophis_elegans	hydrophis_major	hydrophis_ornatus	notechis_scutatus	pantherophis_guttatus	protobothrops_mucrosquamatus	pseudonaja_textilis	python_bivittatus	thamnophis_elegans
OG0028297	rna-XM_039332142.1												
OG0028298	rna-XM_039326723.1												
OG0028299	rna-XM_039331217.1												
OG0028300	rna-XM_039355642.1												
OG0028301	rna-XM_039325164.1												
OG0028302	rna-XM_039337812.1												
OG0028303	rna-XM_039322963.1												
OG0028304	rna-XM_039355011.1												
OG0028305	rna-XM_039321247.1												
OG0028306	rna-XM_039368745.1												
OG0028307	rna-XM_039361399.1												
OG0028308	rna-XM_039325158.1												
OG0028309	rna-XM_039332100.1												
OG0028310	rna-XM_039335789.1												
OG0028311	rna-XM_039320665.1												
OG0028312	rna-XM_039323601.1												
OG0028313	rna-XM_039361351.1												
OG0028314	rna-XM_039320266.1												
OG0028315	rna-XM_039366796.1												
OG0028316	rna-XM_039353856.1												
OG0028317	rna-XM_039363844.1												
OG0028318	rna-XM_039364258.1												
OG0028319	rna-XM_039318867.1												
OG0028320	rna-XM_039318864.1												
OG0028321	rna-XM_039349573.1												
OG0028322	rna-XM_039336060.1												
OG0028323	rna-XM_039343699.1												
OG0028324	rna-XM_039368778.1												
OG0028325	rna-XM_039352800.1												
OG0028326	rna-XM_039343148.1												
OG0028327	rna-XM_039329413.1												
OG0028328	rna-XM_039356247.1												
OG0028329	rna-XM_039364272.1												
OG0028330	rna-XM_039324100.1												
OG0028331	rna-XM_039324090.1												
OG0028332	rna-XM_039331031.1												
OG0028333	rna-XM_039330959.1												
OG0028334	rna-XM_039330991.1												
OG0028335	rna-XM_039342340.1												
OG0028336	rna-XM_039344848.1												
OG0028337	rna-XM_039327189.1												
OG0028338	rna-XM_039342731.1												
OG0028339	rna-XM_039336532.1												
OG0028340	rna-XM_039336342.1												
OG0028341	rna-XM_039338813.1												
OG0028342		FUN_30196-T1											
OG0028343		FUN_029895-T1											
OG0028344		FUN_000275-T1											
OG0028345		FUN_017555-T1											
OG0028346		FUN_000253-T1											
OG0028347		FUN_000246-T1											
OG0028348		FUN_000242-T1											
OG0028349		FUN_000241-T1											
OG0028350		FUN_000218-T1											
OG0028351		FUN_029397-T1											
OG0028352		FUN_000189-T1											
OG0028353		FUN_029866-T1											
OG0028354		FUN_000118-T1											
OG0028355		FUN_000102-T1											
OG0028356		FUN_000082-T1											
OG0028357		FUN_000570-T1											
OG0028358		FUN_001477-T1											
OG0028359		FUN_000718-T1											
OG0028360		FUN_000779-T1											
OG0028361		FUN_000859-T1											
OG0028362		FUN_000903-T1											
OG0028363		FUN_000926-T1											
OG0028364		FUN_003224-T1											
OG0028365		FUN_028618-T1											
OG0028366		FUN_001427-T1											
OG0028367		FUN_001431-T1											
OG0028368		FUN_001603-T1											
OG0028369		FUN_029648-T1											
OG0028370		FUN_001886-T1											
OG0028371		FUN_001922-T1											
OG0028372		FUN_002195-T1											
OG0028373		FUN_002202-T1											
OG0028374		FUN_002245-T1											
OG0028375		FUN_002292-T1											
OG0028376		FUN_002386-T1											
OG0028377		FUN_002430-T1											
OG0028378		FUN_002464-T1											
OG0028379		FUN_002502-T1											
OG0028380		FUN_002503-T1											
OG0028381		FUN_002511-T1											
OG0028382		FUN_002517-T1											
OG0028383		FUN_002528-T1											
OG0028384		FUN_002535-T1											
OG0028385		FUN_002537-T1											
OG0028386		FUN_002585-T1											
OG0028387		FUN_002678-T1											
OG0028388		FUN_002719-T1											
OG0028389		FUN_002832-T1											
OG0028390		FUN_002854-T1											
OG0028391		FUN_002856-T1											
OG0028392		FUN_002909-T1											
OG0028393		FUN_003042-T1											
OG0028394		FUN_003063-T1											
OG0028395		FUN_003111-T1											
OG0028396		FUN_003113-T1											
OG0028397		FUN_003121-T1											
OG0028398		FUN_003129-T1											
OG0028399		FUN_003173-T1											
OG0028400		FUN_003184-T1											
OG0028401		FUN_003218-T1											
OG0028402		FUN_003308-T1											
OG0028403		FUN_003395-T1											
OG0028404		FUN_003422-T1											
OG0028405		FUN_014027-T1											
OG0028406		FUN_003552-T1											
OG0028407		FUN_003558-T1											
OG0028408		FUN_027743-T1											
OG0028409		FUN_003659-T1											
OG0028410		FUN_003740-T1											
OG0028411		FUN_003827-T1											
OG0028412		FUN_003863-T1											
OG0028413		FUN_003986-T1											
OG0028414		FUN_004025-T1											
OG0028415		FUN_004027-T1											
OG0028416		FUN_004083-T1											
OG0028417		FUN_004087-T1											
OG0028418		FUN_004259-T1											
OG0028419		FUN_004410-T1											
OG0028420		FUN_004487-T1											
OG0028421		FUN_004595-T1											
OG0028422		FUN_004705-T2											
OG0028423		FUN_004938-T1											
OG0028424		FUN_004946-T1											
OG0028425		FUN_005121-T1											
OG0028426		FUN_029841-T1											
OG0028427		FUN_029554-T1											
OG0028428		FUN_029555-T1											
OG0028429		FUN_000029-T1											
OG0028430		FUN_005486-T1											
OG0028431		FUN_005666-T1											
OG0028432		FUN_021674-T1											
OG0028433		FUN_005689-T1											
OG0028434		FUN_30443-T1											
OG0028435		FUN_005652-T1											
OG0028436		FUN_005382-T1											
OG0028437		FUN_005546-T1											
OG0028438		FUN_005323-T1											
OG0028439		FUN_005446-T1											
OG0028440		FUN_30550-T1											
OG0028441		FUN_006179-T1											
OG0028442		FUN_006285-T1											
OG0028443		FUN_006327-T1											
OG0028444		FUN_006479-T1											
OG0028445		FUN_006485-T1											
OG0028446		FUN_006494-T1											
OG0028447		FUN_006504-T1											
OG0028448		FUN_006656-T1											
OG0028449		FUN_006776-T1											
OG0028450		FUN_006780-T1											
OG0028451		FUN_006799-T1											
OG0028452		FUN_006811-T1											
OG0028453		FUN_007038-T1											
OG0028454		FUN_029992-T1											
OG0028455		FUN_007262-T1											
OG0028456		FUN_020366-T1											
OG0028457		FUN_007488-T1											
OG0028458		FUN_007565-T1											
OG0028459		FUN_007813-T1											
OG0028460		FUN_007910-T1											
OG0028461		FUN_007912-T1											
OG0028462		FUN_008158-T1											
OG0028463		FUN_007990-T1											
OG0028464		FUN_008293-T2											
OG0028465		FUN_008305-T1											
OG0028466		FUN_028431-T1											
OG0028467		FUN_008563-T1											
OG0028468		FUN_008609-T1											
OG0028469		FUN_008661-T1											
OG0028470		FUN_008733-T1											
OG0028471		FUN_008869-T1											
OG0028472		FUN_008910-T1											
OG0028473		FUN_009118-T1											
OG0028474		FUN_008399-T1											
OG0028475		FUN_009151-T1											
OG0028476		FUN_009185-T1											
OG0028477		FUN_009284-T1											
OG0028478		FUN_009322-T1											
OG0028479		FUN_009528-T1											
OG0028480		FUN_009531-T1											
OG0028481		FUN_009634-T1											
OG0028482		FUN_009912-T1											
OG0028483		FUN_010036-T1											
OG0028484		FUN_010056-T1											
OG0028485		FUN_010180-T1											
OG0028486		FUN_010186-T1											
OG0028487		FUN_010193-T1											
OG0028488		FUN_010200-T1											
OG0028489		FUN_010202-T1											
OG0028490		FUN_010204-T1											
OG0028491		FUN_010206-T1											
OG0028492		FUN_010212-T1											
OG0028493		FUN_015898-T1											
OG0028494		FUN_010249-T1											
OG0028495		FUN_010250-T1											
OG0028496		FUN_028034-T1											
OG0028497		FUN_011554-T1											
OG0028498		FUN_011692-T1											
OG0028499		FUN_30724-T1											
OG0028500		FUN_011728-T1											
OG0028501		FUN_011739-T1											
OG0028502		FUN_011742-T1											
OG0028503		FUN_30779-T1											
OG0028504		FUN_011843-T1											
OG0028505		FUN_011847-T1											
OG0028506		FUN_011873-T1											
OG0028507		FUN_30784-T1											
OG0028508		FUN_011900-T1											
OG0028509		FUN_011940-T1											
OG0028510		FUN_012092-T1											
OG0028511		FUN_012551-T1											
OG0028512		FUN_012629-T2											
OG0028513		FUN_31263-T1											
OG0028514		FUN_012718-T1											
OG0028515		FUN_012960-T1											
OG0028516		FUN_012971-T1											
OG0028517		FUN_012889-T1											
OG0028518		FUN_012980-T1											
OG0028519		FUN_013016-T1											
OG0028520		FUN_013022-T1											
OG0028521		FUN_008168-T1											
OG0028522		FUN_000245-T1											
OG0028523		FUN_013112-T1											
OG0028524		FUN_013113-T1											
OG0028525		FUN_013121-T1											
OG0028526		FUN_013127-T1											
OG0028527		FUN_013271-T1											
OG0028528		FUN_030122-T1											
OG0028529		FUN_029854-T1											
OG0028530		FUN_029542-T1											
OG0028531		FUN_029543-T1											
OG0028532		FUN_010313-T1											
OG0028533		FUN_010350-T1											
OG0028534		FUN_010351-T1											
OG0028535		FUN_010357-T1											
OG0028536		FUN_010360-T1											
OG0028537		FUN_010374-T1											
OG0028538		FUN_010385-T1											
OG0028539		FUN_010389-T1											
OG0028540		FUN_010404-T1											
OG0028541		FUN_010407-T1											
OG0028542		FUN_010424-T1											
OG0028543		FUN_010429-T1											
OG0028544		FUN_010435-T1											
OG0028545		FUN_010499-T1											
OG0028546		FUN_010522-T1											
OG0028547		FUN_010532-T1											
OG0028548		FUN_010655-T1											
OG0028549		FUN_010752-T1											
OG0028550		FUN_010759-T1											
OG0028551		FUN_010880-T2											
OG0028552		FUN_010886-T2											
OG0028553		FUN_010914-T1											
OG0028554		FUN_010915-T1											
OG0028555		FUN_010942-T2											
OG0028556		FUN_011065-T1											
OG0028557		FUN_011104-T1											
OG0028558		FUN_011219-T1											
OG0028559		FUN_011302-T1											
OG0028560		FUN_028305-T1											
OG0028561		FUN_003065-T1											
OG0028562		FUN_014546-T1											
OG0028563		FUN_014535-T1											
OG0028564		FUN_014505-T1											
OG0028565		FUN_014495-T1											
OG0028566		FUN_014486-T1											
OG0028567		FUN_014480-T1											
OG0028568		FUN_014479-T1											
OG0028569		FUN_014472-T1											
OG0028570		FUN_014097-T1											
OG0028571		FUN_014077-T1											
OG0028572		FUN_014058-T1											
OG0028573		FUN_014031-T1											
OG0028574		FUN_013997-T1											
OG0028575		FUN_013974-T1											
OG0028576		FUN_30870-T1											
OG0028577		FUN_013893-T1											
OG0028578		FUN_013609-T1											
OG0028579		FUN_013473-T1											
OG0028580		FUN_013465-T1											
OG0028581		FUN_013409-T1											
OG0028582		FUN_013408-T1											
OG0028583		FUN_013325-T1											
OG0028584		FUN_013321-T1											
OG0028585		FUN_027354-T1											
OG0028586		FUN_027353-T1											
OG0028587		FUN_019069-T1											
OG0028588		FUN_030129-T1											
OG0028589		FUN_013282-T1											
OG0028590		FUN_015897-T1											
OG0028591		FUN_015893-T1											
OG0028592		FUN_30940-T1											
OG0028593		FUN_015822-T1											
OG0028594		FUN_015821-T1											
OG0028595		FUN_015794-T1											
OG0028596		FUN_029988-T1											
OG0028597		FUN_30936-T1											
OG0028598		FUN_000101-T1											
OG0028599		FUN_029738-T1											
OG0028600		FUN_015664-T1											
OG0028601		FUN_015661-T1											
OG0028602		FUN_015636-T1											
OG0028603		FUN_015609-T1											
OG0028604		FUN_015608-T1											
OG0028605		FUN_015389-T1											
OG0028606		FUN_015233-T1											
OG0028607		FUN_015190-T1											
OG0028608		FUN_015099-T2											
OG0028609		FUN_015033-T1											
OG0028610		FUN_015031-T1											
OG0028611		FUN_015003-T1											
OG0028612		FUN_014897-T1											
OG0028613		FUN_014870-T1											
OG0028614		FUN_014742-T1											
OG0028615		FUN_014733-T1											
OG0028616		FUN_028322-T1											
OG0028617		FUN_014637-T1											
OG0028618		FUN_014659-T1											
OG0028619		FUN_029920-T1											
OG0028620		FUN_030050-T1											
OG0028621		FUN_030056-T1											
OG0028622		FUN_030055-T1											
OG0028623		FUN_030053-T1											
OG0028624		FUN_030054-T1											
OG0028625		FUN_030094-T1											
OG0028626		FUN_030101-T1											
OG0028627		FUN_029521-T1											
OG0028628		FUN_029509-T1											
OG0028629		FUN_028113-T1											
OG0028630		FUN_028155-T1											
OG0028631		FUN_030005-T1											
OG0028632		FUN_029250-T2											
OG0028633		FUN_028355-T1											
OG0028634		FUN_028373-T1											
OG0028635		FUN_027172-T1											
OG0028636		FUN_030080-T1											
OG0028637		FUN_027140-T1											
OG0028638		FUN_027081-T1											
OG0028639		FUN_027076-T1											
OG0028640		FUN_026859-T1											
OG0028641		FUN_026755-T1											
OG0028642		FUN_026703-T1											
OG0028643		FUN_026673-T1											
OG0028644		FUN_027210-T1											
OG0028645		FUN_021891-T1											
OG0028646		FUN_026347-T1											
OG0028647		FUN_026343-T1											
OG0028648		FUN_31170-T2											
OG0028649		FUN_026278-T1											
OG0028650		FUN_026209-T1											
OG0028651		FUN_026208-T1											
OG0028652		FUN_025850-T1											
OG0028653		FUN_025813-T1											
OG0028654		FUN_025318-T1											
OG0028655		FUN_025381-T1											
OG0028656		FUN_025210-T1											
OG0028657		FUN_024986-T1											
OG0028658		FUN_025050-T1											
OG0028659		FUN_029791-T1											
OG0028660		FUN_028544-T1											
OG0028661		FUN_029044-T1											
OG0028662		FUN_027630-T1											
OG0028663		FUN_028975-T1											
OG0028664		FUN_027772-T1											
OG0028665		FUN_027685-T1											
OG0028666		FUN_027980-T1											
OG0028667		FUN_028282-T1											
OG0028668		FUN_015932-T1											
OG0028669		FUN_017453-T1											
OG0028670		FUN_017450-T1											
OG0028671		FUN_017441-T1											
OG0028672		FUN_017401-T1											
OG0028673		FUN_017382-T1											
OG0028674		FUN_017375-T1											
OG0028675		FUN_017363-T1											
OG0028676		FUN_017361-T1											
OG0028677		FUN_017360-T1											
OG0028678		FUN_017291-T1											
OG0028679		FUN_017270-T1											
OG0028680		FUN_017219-T1											
OG0028681		FUN_017014-T1											
OG0028682		FUN_016693-T1											
OG0028683		FUN_016526-T1											
OG0028684		FUN_016509-T1											
OG0028685		FUN_016203-T1											
OG0028686		FUN_016138-T1											
OG0028687		FUN_016134-T1											
OG0028688		FUN_016126-T1											
OG0028689		FUN_016121-T1											
OG0028690		FUN_016107-T1											
OG0028691		FUN_016105-T1											
OG0028692		FUN_016098-T1											
OG0028693		FUN_016095-T1											
OG0028694		FUN_016086-T1											
OG0028695		FUN_000035-T1											
OG0028696		FUN_016018-T1											
OG0028697		FUN_029961-T1											
OG0028698		FUN_017474-T1											
OG0028699		FUN_017480-T1											
OG0028700		FUN_029868-T1											
OG0028701		FUN_017509-T1											
OG0028702		FUN_014544-T1											
OG0028703		FUN_017533-T1											
OG0028704		FUN_017535-T2											
OG0028705		FUN_017554-T1											
OG0028706		FUN_030107-T1											
OG0028707		FUN_017565-T1											
OG0028708		FUN_017566-T1											
OG0028709		FUN_017590-T1											
OG0028710		FUN_017609-T1											
OG0028711		FUN_017664-T1											
OG0028712		FUN_017684-T1											
OG0028713		FUN_027134-T1											
OG0028714		FUN_017958-T1											
OG0028715		FUN_018044-T1											
OG0028716		FUN_018115-T1											
OG0028717		FUN_018129-T1											
OG0028718		FUN_020090-T1											
OG0028719		FUN_018193-T1											
OG0028720		FUN_018200-T1											
OG0028721		FUN_018202-T1											
OG0028722		FUN_018206-T1											
OG0028723		FUN_018244-T1											
OG0028724		FUN_021403-T1											
OG0028725		FUN_029999-T1											
OG0028726		FUN_018275-T1											
OG0028727		FUN_018319-T1											
OG0028728		FUN_018334-T1											
OG0028729		FUN_019669-T1											
OG0028730		FUN_019631-T1											
OG0028731		FUN_019625-T1											
OG0028732		FUN_019601-T1											
OG0028733		FUN_013481-T1											
OG0028734		FUN_019596-T1											
OG0028735		FUN_019552-T1											
OG0028736		FUN_019477-T1											
OG0028737		FUN_019454-T1											
OG0028738		FUN_019448-T1											
OG0028739		FUN_019392-T1											
OG0028740		FUN_016742-T1											
OG0028741		FUN_020666-T1											
OG0028742		FUN_020737-T1											
OG0028743		FUN_001365-T1											
OG0028744		FUN_020836-T1											
OG0028745		FUN_020990-T1											
OG0028746		FUN_021030-T1											
OG0028747		FUN_021150-T1											
OG0028748		FUN_021227-T1											
OG0028749		FUN_021196-T1											
OG0028750		FUN_022086-T1											
OG0028751		FUN_022101-T1											
OG0028752		FUN_022143-T1											
OG0028753		FUN_022176-T1											
OG0028754		FUN_022262-T1											
OG0028755		FUN_022278-T1											
OG0028756		FUN_022288-T1											
OG0028757		FUN_022314-T1											
OG0028758		FUN_020092-T1											
OG0028759		FUN_020094-T1											
OG0028760		FUN_020101-T1											
OG0028761		FUN_020177-T1											
OG0028762		FUN_021335-T2											
OG0028763		FUN_021340-T1											
OG0028764		FUN_028558-T1											
OG0028765		FUN_021479-T1											
OG0028766		FUN_021544-T1											
OG0028767		FUN_021610-T1											
OG0028768		FUN_021649-T1											
OG0028769		FUN_021653-T1											
OG0028770		FUN_021656-T1											
OG0028771		FUN_021806-T1											
OG0028772		FUN_021775-T1											
OG0028773		FUN_021753-T1											
OG0028774		FUN_023330-T1											
OG0028775		FUN_023406-T1											
OG0028776		FUN_023456-T1											
OG0028777		FUN_023478-T1											
OG0028778		FUN_023482-T1											
OG0028779		FUN_023484-T1											
OG0028780		FUN_023544-T1											
OG0028781		FUN_023560-T1											
OG0028782		FUN_023568-T1											
OG0028783		FUN_023569-T1											
OG0028784		FUN_023602-T1											
OG0028785		FUN_022951-T1											
OG0028786		FUN_022857-T1											
OG0028787		FUN_022856-T1											
OG0028788		FUN_022789-T1											
OG0028789		FUN_022759-T1											
OG0028790		FUN_022758-T1											
OG0028791		FUN_022735-T1											
OG0028792		FUN_022713-T1											
OG0028793		FUN_003064-T1											
OG0028794		FUN_022708-T1											
OG0028795		FUN_022707-T1											
OG0028796		FUN_022706-T1											
OG0028797		FUN_022627-T1											
OG0028798		FUN_022583-T1											
OG0028799		FUN_029341-T1											
OG0028800		FUN_018544-T1											
OG0028801		FUN_018558-T1											
OG0028802		FUN_018577-T1											
OG0028803		FUN_018639-T1											
OG0028804		FUN_018701-T1											
OG0028805		FUN_018726-T1											
OG0028806		FUN_029981-T1											
OG0028807		FUN_029980-T1											
OG0028808		FUN_029982-T1											
OG0028809		FUN_018753-T1											
OG0028810		FUN_018823-T1											
OG0028811		FUN_022717-T1											
OG0028812		FUN_018920-T1											
OG0028813		FUN_018933-T1											
OG0028814		FUN_018935-T1											
OG0028815		FUN_018975-T1											
OG0028816		FUN_018977-T1											
OG0028817		FUN_019039-T1											
OG0028818		FUN_023844-T1											
OG0028819		FUN_023983-T1											
OG0028820		FUN_012920-T1											
OG0028821		FUN_023988-T1											
OG0028822		FUN_30429-T1											
OG0028823		FUN_024111-T1											
OG0028824		FUN_024115-T1											
OG0028825		FUN_024142-T1											
OG0028826		FUN_024672-T1											
OG0028827		FUN_024648-T1											
OG0028828		FUN_024581-T1											
OG0028829		FUN_024549-T1											
OG0028830		FUN_020160-T1											
OG0028831		FUN_024440-T1											
OG0028832		FUN_024438-T1											
OG0028833		FUN_026035-T1											
OG0028834		FUN_028072-T1											
OG0028835		FUN_31249-T1											
OG0028836		FUN_023043-T1											
OG0028837		FUN_029244-T1											
OG0028838		FUN_31229-T1											
OG0028839		FUN_025880-T1											
OG0028840		FUN_029344-T1											
OG0028841		FUN_020087-T1											
OG0028842		FUN_029989-T1											
OG0028843		FUN_027461-T1											
OG0028844		FUN_028576-T1											
OG0028845		FUN_017994-T1											
OG0028846		FUN_029921-T1											
OG0028847		FUN_000079-T1											
OG0028848		FUN_003066-T1											
OG0028849		FUN_023547-T1											
OG0028850		FUN_020324-T1											
OG0028851			FUN_025962-T1										
OG0028852			FUN_021708-T1										
OG0028853			FUN_021716-T1										
OG0028854			FUN_021718-T1										
OG0028855			FUN_021719-T1										
OG0028856			FUN_021720-T1										
OG0028857			FUN_021721-T1										
OG0028858			FUN_021722-T1										
OG0028859			FUN_021750-T1										
OG0028860			FUN_021762-T1										
OG0028861			FUN_021771-T1										
OG0028862			FUN_021772-T1										
OG0028863			FUN_021790-T1										
OG0028864			FUN_021800-T1										
OG0028865			FUN_021801-T1										
OG0028866			FUN_021814-T1										
OG0028867			FUN_021851-T1										
OG0028868			FUN_021861-T1										
OG0028869			FUN_021863-T1										
OG0028870			FUN_021889-T1										
OG0028871			FUN_021907-T1										
OG0028872			FUN_021921-T1										
OG0028873			FUN_021928-T1										
OG0028874			FUN_021945-T1										
OG0028875			FUN_021949-T1										
OG0028876			FUN_021960-T1										
OG0028877			FUN_021963-T1										
OG0028878			FUN_021991-T1										
OG0028879			FUN_021996-T1										
OG0028880			FUN_022000-T1										
OG0028881			FUN_022001-T1										
OG0028882			FUN_022023-T1										
OG0028883			FUN_27282-T1										
OG0028884			FUN_022047-T1										
OG0028885			FUN_022065-T1										
OG0028886			FUN_022068-T1										
OG0028887			FUN_022073-T1										
OG0028888			FUN_022089-T1										
OG0028889			FUN_022113-T1										
OG0028890			FUN_022121-T1										
OG0028891			FUN_022126-T1										
OG0028892			FUN_022127-T1										
OG0028893			FUN_022136-T1										
OG0028894			FUN_022137-T1										
OG0028895			FUN_025612-T1										
OG0028896			FUN_026108-T1										
OG0028897			FUN_016062-T1										
OG0028898			FUN_016064-T1										
OG0028899			FUN_016065-T1										
OG0028900			FUN_016066-T1										
OG0028901			FUN_016067-T1										
OG0028902			FUN_016077-T1										
OG0028903			FUN_016080-T1										
OG0028904			FUN_016090-T1										
OG0028905			FUN_016100-T1										
OG0028906			FUN_016106-T1										
OG0028907			FUN_016109-T1										
OG0028908			FUN_016113-T1										
OG0028909			FUN_016115-T1										
OG0028910			FUN_27054-T1										
OG0028911			FUN_016122-T1										
OG0028912			FUN_016123-T1										
OG0028913			FUN_016124-T1										
OG0028914			FUN_016131-T1										
OG0028915			FUN_016135-T1										
OG0028916			FUN_016137-T1										
OG0028917			FUN_016149-T1										
OG0028918			FUN_016161-T1										
OG0028919			FUN_016174-T1										
OG0028920			FUN_016190-T1										
OG0028921			FUN_016198-T1										
OG0028922			FUN_016201-T1										
OG0028923			FUN_016227-T1										
OG0028924			FUN_016233-T1										
OG0028925			FUN_016239-T1										
OG0028926			FUN_016260-T1										
OG0028927			FUN_016261-T1										
OG0028928			FUN_016276-T1										
OG0028929			FUN_016279-T1										
OG0028930			FUN_016284-T1										
OG0028931			FUN_016291-T1										
OG0028932			FUN_016325-T1										
