species,qaccver,saccver
python_bivittatus,rna-XM_007420919.3,O43815
python_bivittatus,rna-XM_007420927.3,Q9Y3E0
python_bivittatus,rna-XM_007420961.3,Q9BRX9
python_bivittatus,rna-XM_007420962.3,Q2M2T6
python_bivittatus,rna-XM_007420964.3,Q99LG2
python_bivittatus,rna-XM_007420968.3,O43681
python_bivittatus,rna-XM_007420980.3,Q8BHJ9
python_bivittatus,rna-XM_007420986.2,O43825
python_bivittatus,rna-XM_007420987.3,Q5ZLM0
python_bivittatus,rna-XM_007420993.3,Q06AT3
python_bivittatus,rna-XM_007421004.3,Q9NTX7
python_bivittatus,rna-XM_007421011.3,P15153
python_bivittatus,rna-XM_007421027.3,Q5ZKJ5
python_bivittatus,rna-XM_007421028.2,P85515
python_bivittatus,rna-XM_007421030.2,Q9UMX1
python_bivittatus,rna-XM_007421034.3,Q99PJ2
python_bivittatus,rna-XM_007421035.2,Q8QHI3
python_bivittatus,rna-XM_007421040.2,Q5REK7
python_bivittatus,rna-XM_007421048.3,Q9H8M5
python_bivittatus,rna-XM_007421049.3,Q9HC56
python_bivittatus,rna-XM_007421063.2,Q3ZCC8
python_bivittatus,rna-XM_007421073.3,Q0V7M1
python_bivittatus,rna-XM_007421075.3,P61972
python_bivittatus,rna-XM_007421081.3,Q6VN19
python_bivittatus,rna-XM_007421084.3,Q8CJ61
python_bivittatus,rna-XM_007421096.3,P67963
python_bivittatus,rna-XM_007421115.3,Q9Y2V0
python_bivittatus,rna-XM_007421125.1,Q96LD1
python_bivittatus,rna-XM_007421126.3,O95373
python_bivittatus,rna-XM_007421128.2,Q5ZIL6
python_bivittatus,rna-XM_007421138.2,P14115
python_bivittatus,rna-XM_007421153.1,P48742
python_bivittatus,rna-XM_007421160.3,P02642
python_bivittatus,rna-XM_007421171.2,P46097
python_bivittatus,rna-XM_007421187.3,P53033
python_bivittatus,rna-XM_007421189.3,Q9WUK2
python_bivittatus,rna-XM_007421194.3,Q9GJT2
python_bivittatus,rna-XM_007421197.3,Q5PRC1
python_bivittatus,rna-XM_007421198.3,Q3SZI7
python_bivittatus,rna-XM_007421203.3,Q9Y619
python_bivittatus,rna-XM_007421208.3,A5PK00
python_bivittatus,rna-XM_007421213.2,Q8BUB4
python_bivittatus,rna-XM_007421215.2,P59708
python_bivittatus,rna-XM_007421216.2,P68106
python_bivittatus,rna-XM_007421225.3,O43396
python_bivittatus,rna-XM_007421226.2,Q9Y4E6
python_bivittatus,rna-XM_007421228.2,O43173
python_bivittatus,rna-XM_007421235.2,Q801S4
python_bivittatus,rna-XM_007421239.3,G1TGF1
python_bivittatus,rna-XM_007421242.3,Q6ZPF4
python_bivittatus,rna-XM_007421245.2,Q9H9L4
python_bivittatus,rna-XM_007421251.3,P54285
python_bivittatus,rna-XM_007421254.3,Q92730
python_bivittatus,rna-XM_007421258.2,P36871
python_bivittatus,rna-XM_007421272.3,Q9Y2I7
python_bivittatus,rna-XM_007421274.3,Q5R9C5
python_bivittatus,rna-XM_007421286.3,Q5ZKK1
python_bivittatus,rna-XM_007421298.3,O00410
python_bivittatus,rna-XM_007421299.2,Q99KH8
python_bivittatus,rna-XM_007421302.3,Q9BZ29
python_bivittatus,rna-XM_007421306.2,Q58NQ4
python_bivittatus,rna-XM_007421311.3,B0K025
python_bivittatus,rna-XM_007421312.3,Q29223
python_bivittatus,rna-XM_007421319.3,Q5R5F2
python_bivittatus,rna-XM_007421330.3,P18911
python_bivittatus,rna-XM_007421341.2,Q9CZU3
python_bivittatus,rna-XM_007421354.3,P52927
python_bivittatus,rna-XM_007421363.2,Q90828
python_bivittatus,rna-XM_007421367.3,Q8WTS1
python_bivittatus,rna-XM_007421370.1,Q1PRL4
python_bivittatus,rna-XM_007421374.3,P22694
python_bivittatus,rna-XM_007421378.3,Q5VXD3
python_bivittatus,rna-XM_007421379.2,Q5RJS9
python_bivittatus,rna-XM_007421385.2,Q8K5E0
python_bivittatus,rna-XM_007421394.2,Q90481
python_bivittatus,rna-XM_007421396.3,Q5ZIP4
python_bivittatus,rna-XM_007421402.3,Q5RF54
python_bivittatus,rna-XM_007421407.3,Q5BIN5
python_bivittatus,rna-XM_007421410.3,Q791B0
python_bivittatus,rna-XM_007421411.3,Q9HD20
python_bivittatus,rna-XM_007421429.3,Q99613
python_bivittatus,rna-XM_007421431.2,Q9NP86
python_bivittatus,rna-XM_007421465.3,P51121
python_bivittatus,rna-XM_007421466.2,Q8WX92
python_bivittatus,rna-XM_007421474.2,Q5R8Z8
python_bivittatus,rna-XM_007421475.2,O93510
python_bivittatus,rna-XM_007421483.1,P27105
python_bivittatus,rna-XM_007421485.3,Q9Y512
python_bivittatus,rna-XM_007421489.2,Q9HBI1
python_bivittatus,rna-XM_007421495.3,O96005
python_bivittatus,rna-XM_007421539.1,Q2VL56
python_bivittatus,rna-XM_007421542.3,O15062
python_bivittatus,rna-XM_007421559.2,B1AXP6
python_bivittatus,rna-XM_007421565.2,Q15276
python_bivittatus,rna-XM_007421571.3,Q5RC74
python_bivittatus,rna-XM_007421578.2,Q5R898
python_bivittatus,rna-XM_007421580.3,Q6P5R6
python_bivittatus,rna-XM_007421582.3,A0JNI9
python_bivittatus,rna-XM_007421583.2,Q90WJ3
python_bivittatus,rna-XM_007421586.3,F1NTD6
python_bivittatus,rna-XM_007421587.2,P81133
python_bivittatus,rna-XM_007421592.2,Q3UHD2
python_bivittatus,rna-XM_007421593.3,Q924P2
python_bivittatus,rna-XM_007421605.3,Q9BX46
python_bivittatus,rna-XM_007421613.2,Q14344
python_bivittatus,rna-XM_007421625.3,Q8K174
python_bivittatus,rna-XM_007421626.2,Q5ZKN3
python_bivittatus,rna-XM_007421633.3,O00560
python_bivittatus,rna-XM_007421643.2,Q5ZM91
python_bivittatus,rna-XM_007421645.3,Q8R3E3
python_bivittatus,rna-XM_007421652.2,P63329
python_bivittatus,rna-XM_007421662.2,P31327
python_bivittatus,rna-XM_007421665.3,O43813
python_bivittatus,rna-XM_007421667.3,P02600
python_bivittatus,rna-XM_007421670.3,P15650
python_bivittatus,rna-XM_007421675.2,P52186
python_bivittatus,rna-XM_007421678.3,Q9HBH5
python_bivittatus,rna-XM_007421681.3,A6N6J5
python_bivittatus,rna-XM_007421687.3,P61314
python_bivittatus,rna-XM_007421690.2,P51965
python_bivittatus,rna-XM_007421699.3,Q52NJ3
python_bivittatus,rna-XM_007421706.3,Q92563
python_bivittatus,rna-XM_007421707.3,Q9HCE3
python_bivittatus,rna-XM_007421710.1,Q80WM3
python_bivittatus,rna-XM_007421711.3,Q62902
python_bivittatus,rna-XM_007421721.2,Q5R4U0
python_bivittatus,rna-XM_007421734.3,Q6IVA4
python_bivittatus,rna-XM_007421736.3,O75165
python_bivittatus,rna-XM_007421742.3,Q86UE8
python_bivittatus,rna-XM_007421746.2,P05106
python_bivittatus,rna-XM_007421748.2,O35165
python_bivittatus,rna-XM_007421749.3,P46459
python_bivittatus,rna-XM_007421754.3,F1LMZ8
python_bivittatus,rna-XM_007421759.2,P56479
python_bivittatus,rna-XM_007421763.3,O75143
python_bivittatus,rna-XM_007421772.3,P39880
python_bivittatus,rna-XM_007421777.3,Q5ZLW2
python_bivittatus,rna-XM_007421780.3,P52435
python_bivittatus,rna-XM_007421783.3,O55236
python_bivittatus,rna-XM_007421791.2,P50572
python_bivittatus,rna-XM_007421792.2,Q0II76
python_bivittatus,rna-XM_007421794.3,Q9NQL2
python_bivittatus,rna-XM_007421803.2,Q1KYK5
python_bivittatus,rna-XM_007421809.2,Q9UKA9
python_bivittatus,rna-XM_007421817.3,Q8BLC3
python_bivittatus,rna-XM_007421819.3,A6QL92
python_bivittatus,rna-XM_007421820.2,Q90WD0
python_bivittatus,rna-XM_007421839.3,O60662
python_bivittatus,rna-XM_007421840.2,Q9CZQ9
python_bivittatus,rna-XM_007421853.3,Q8IUQ4
python_bivittatus,rna-XM_007421857.2,Q3SX23
python_bivittatus,rna-XM_007421874.2,Q3URJ8
python_bivittatus,rna-XM_007421882.3,Q3T0T7
python_bivittatus,rna-XM_007421886.3,P63149
python_bivittatus,rna-XM_007421888.3,P67777
python_bivittatus,rna-XM_007421889.2,Q569Z5
python_bivittatus,rna-XM_007421893.3,Q5F3W2
python_bivittatus,rna-XM_007421897.3,E2RQ08
python_bivittatus,rna-XM_007421901.3,Q8IUE6
python_bivittatus,rna-XM_007421910.2,Q63HK5
python_bivittatus,rna-XM_007421911.2,Q5F452
python_bivittatus,rna-XM_007421926.3,Q9Z2Z9
python_bivittatus,rna-XM_007421927.2,Q9ULM6
python_bivittatus,rna-XM_007421931.2,Q0VFG3
python_bivittatus,rna-XM_007421936.2,Q5R4W4
python_bivittatus,rna-XM_007421945.3,Q9NYU2
python_bivittatus,rna-XM_007421947.3,Q5F3U0
python_bivittatus,rna-XM_007421958.3,Q9D7M8
python_bivittatus,rna-XM_007421978.3,P35573
python_bivittatus,rna-XM_007421984.2,Q32ZL2
python_bivittatus,rna-XM_007421990.3,P15170
python_bivittatus,rna-XM_007421997.2,Q5R562
python_bivittatus,rna-XM_007422008.2,Q01813
python_bivittatus,rna-XM_007422014.2,Q91642
python_bivittatus,rna-XM_007422019.2,Q13873
python_bivittatus,rna-XM_007422020.3,Q9Y2X3
python_bivittatus,rna-XM_007422021.3,O57329
python_bivittatus,rna-XM_007422026.3,Q5EB59
python_bivittatus,rna-XM_007422057.2,Q3ZCF0
python_bivittatus,rna-XM_007422071.2,Q15878
python_bivittatus,rna-XM_007422072.1,P52955
python_bivittatus,rna-XM_007422078.1,O93366
python_bivittatus,rna-XM_007422086.3,Q1HGK7
python_bivittatus,rna-XM_007422088.3,O95835
python_bivittatus,rna-XM_007422102.3,Q99680
python_bivittatus,rna-XM_007422103.3,Q8C0L8
python_bivittatus,rna-XM_007422104.2,O60381
python_bivittatus,rna-XM_007422107.2,Q4R7I8
python_bivittatus,rna-XM_007422109.2,P31323
python_bivittatus,rna-XM_007422120.1,Q8WXH2
python_bivittatus,rna-XM_007422170.3,Q5ZLY8
python_bivittatus,rna-XM_007422176.3,Q5F3W3
python_bivittatus,rna-XM_007422177.3,Q8WVC0
python_bivittatus,rna-XM_007422179.3,Q9NZR1
python_bivittatus,rna-XM_007422187.1,Q92112
python_bivittatus,rna-XM_007422215.3,O60830
python_bivittatus,rna-XM_007422249.3,Q8BTI9
python_bivittatus,rna-XM_007422250.2,P02696
python_bivittatus,rna-XM_007422252.2,Q0VC92
python_bivittatus,rna-XM_007422253.3,Q9NWV4
python_bivittatus,rna-XM_007422263.2,Q9Z250
python_bivittatus,rna-XM_007422265.3,P62250
python_bivittatus,rna-XM_007422276.1,Q5ZLF4
python_bivittatus,rna-XM_007422282.3,P50613
python_bivittatus,rna-XM_007422290.3,P55011
python_bivittatus,rna-XM_007422305.3,Q0P5A4
python_bivittatus,rna-XM_007422314.3,Q9EQX4
python_bivittatus,rna-XM_007422318.3,O75190
python_bivittatus,rna-XM_007422329.3,Q13233
python_bivittatus,rna-XM_007422336.2,Q8JG54
python_bivittatus,rna-XM_007422350.3,Q8HXX4
python_bivittatus,rna-XM_007422353.3,Q5ZIT5
python_bivittatus,rna-XM_007422362.3,Q5ZJA4
python_bivittatus,rna-XM_007422372.2,P84100
python_bivittatus,rna-XM_007422375.2,A7Z061
python_bivittatus,rna-XM_007422379.3,P17209
python_bivittatus,rna-XM_007422407.2,Q90837
python_bivittatus,rna-XM_007422410.1,P48051
python_bivittatus,rna-XM_007422411.3,Q13627
python_bivittatus,rna-XM_007422413.2,P09654
python_bivittatus,rna-XM_007422417.3,Q92783
python_bivittatus,rna-XM_007422426.2,Q99719
python_bivittatus,rna-XM_007422427.2,Q5ZMH1
python_bivittatus,rna-XM_007422431.3,Q92890
python_bivittatus,rna-XM_007422434.3,P79987
python_bivittatus,rna-XM_007422435.3,Q13356
python_bivittatus,rna-XM_007422436.3,O60688
python_bivittatus,rna-XM_007422438.3,P46196
python_bivittatus,rna-XM_007422440.3,O95985
python_bivittatus,rna-XM_007422443.3,P68037
python_bivittatus,rna-XM_007422445.3,Q96HR3
python_bivittatus,rna-XM_007422446.3,O60216
python_bivittatus,rna-XM_007422448.2,Q5ZLE6
python_bivittatus,rna-XM_007422457.3,O70435
python_bivittatus,rna-XM_007422468.3,Q9Y243
python_bivittatus,rna-XM_007422469.2,Q99592
python_bivittatus,rna-XM_007422486.2,O77750
python_bivittatus,rna-XM_007422501.2,Q5SWK7
python_bivittatus,rna-XM_007422503.2,Q5TGI0
python_bivittatus,rna-XM_007422504.3,Q9UKA2
python_bivittatus,rna-XM_007422511.2,O95251
python_bivittatus,rna-XM_007422516.2,Q9JK42
python_bivittatus,rna-XM_007422522.3,Q9Y217
python_bivittatus,rna-XM_007422527.2,Q9JLC8
python_bivittatus,rna-XM_007422538.3,Q10568
python_bivittatus,rna-XM_007422540.3,Q9W689
python_bivittatus,rna-XM_007422551.2,Q32P85
python_bivittatus,rna-XM_007422552.2,Q8N8U2
python_bivittatus,rna-XM_007422555.3,Q9H2C0
python_bivittatus,rna-XM_007422558.3,Q5ZHM5
python_bivittatus,rna-XM_007422561.3,Q05513
python_bivittatus,rna-XM_007422572.2,Q16568
python_bivittatus,rna-XM_007422573.3,O88892
python_bivittatus,rna-XM_007422575.2,Q2TBV5
python_bivittatus,rna-XM_007422585.2,Q86VW0
python_bivittatus,rna-XM_007422628.3,Q52LR7
python_bivittatus,rna-XM_007422635.3,Q90669
python_bivittatus,rna-XM_007422637.3,Q5EAD5
python_bivittatus,rna-XM_007422642.3,P59268
python_bivittatus,rna-XM_007422648.2,Q9QUS6
python_bivittatus,rna-XM_007422655.3,P26008
python_bivittatus,rna-XM_007422661.3,P11009
python_bivittatus,rna-XM_007422665.3,O14827
python_bivittatus,rna-XM_007422671.3,Q07866
python_bivittatus,rna-XM_007422688.3,Q9PSX7
python_bivittatus,rna-XM_007422689.2,B2GUZ5
python_bivittatus,rna-XM_007422690.3,Q90YH8
python_bivittatus,rna-XM_007422707.3,Q9P2F5
python_bivittatus,rna-XM_007422710.3,Q5ZI89
python_bivittatus,rna-XM_007422712.3,Q569B7
python_bivittatus,rna-XM_007422718.2,Q15291
python_bivittatus,rna-XM_007422722.3,Q6XUX0
python_bivittatus,rna-XM_007422736.3,Q3T0M0
python_bivittatus,rna-XM_007422738.3,Q5PQR4
python_bivittatus,rna-XM_007422754.3,A6QPF8
python_bivittatus,rna-XM_007422756.3,Q5ZL05
python_bivittatus,rna-XM_007422759.2,Q96AX1
python_bivittatus,rna-XM_007422768.3,Q9IA95
python_bivittatus,rna-XM_007422775.3,Q8BKK4
python_bivittatus,rna-XM_007422781.2,E1BY77
python_bivittatus,rna-XM_007422786.2,Q9Z2N8
python_bivittatus,rna-XM_007422795.2,Q811U4
python_bivittatus,rna-XM_007422799.3,P32871
python_bivittatus,rna-XM_007422801.3,Q9HA38
python_bivittatus,rna-XM_007422802.3,Q9Y691
python_bivittatus,rna-XM_007422815.3,O15165
python_bivittatus,rna-XM_007422819.2,P09482
python_bivittatus,rna-XM_007422823.2,Q9BYJ9
python_bivittatus,rna-XM_007422831.3,P25787
python_bivittatus,rna-XM_007422845.2,Q2HWF0
python_bivittatus,rna-XM_007422847.3,Q5ZMV3
python_bivittatus,rna-XM_007422865.3,Q7Z2X4
python_bivittatus,rna-XM_007422869.2,Q7T2H2
python_bivittatus,rna-XM_007422873.2,Q5QJ74
python_bivittatus,rna-XM_007422891.3,Q01995
python_bivittatus,rna-XM_007422904.3,Q9BWJ5
python_bivittatus,rna-XM_007422911.3,Q7Z6V5
python_bivittatus,rna-XM_007422919.2,Q5RCP3
python_bivittatus,rna-XM_007422922.3,Q07DZ6
python_bivittatus,rna-XM_007422930.1,P80206
python_bivittatus,rna-XM_007422932.3,A4IF30
python_bivittatus,rna-XM_007422934.2,Q9ESK8
python_bivittatus,rna-XM_007422942.3,Q96HH6
python_bivittatus,rna-XM_007422948.3,Q9UL25
python_bivittatus,rna-XM_007422955.3,Q14186
python_bivittatus,rna-XM_007422966.3,Q5JVF3
python_bivittatus,rna-XM_007422975.2,Q5ZL33
python_bivittatus,rna-XM_007422976.3,Q9Y315
python_bivittatus,rna-XM_007422977.3,Q16827
python_bivittatus,rna-XM_007422980.3,Q6NZN0
python_bivittatus,rna-XM_007422981.2,Q9PTL2
python_bivittatus,rna-XM_007422992.3,P84104
python_bivittatus,rna-XM_007422993.2,Q5R8M1
python_bivittatus,rna-XM_007422994.3,Q7Z5Y7
python_bivittatus,rna-XM_007423016.3,P69091
python_bivittatus,rna-XM_007423045.2,P19382
python_bivittatus,rna-XM_007423060.3,P62074
python_bivittatus,rna-XM_007423069.2,Q5XID5
python_bivittatus,rna-XM_007423071.3,Q2THX1
python_bivittatus,rna-XM_007423072.2,Q8C1S0
python_bivittatus,rna-XM_007423073.3,Q4R5B4
python_bivittatus,rna-XM_007423099.3,Q9DE27
python_bivittatus,rna-XM_007423145.3,Q8WXA3
python_bivittatus,rna-XM_007423146.3,P31942
python_bivittatus,rna-XM_007423159.2,Q01888
python_bivittatus,rna-XM_007423165.3,P37287
python_bivittatus,rna-XM_007423167.3,Q70Z35
python_bivittatus,rna-XM_007423175.3,Q6DDB9
python_bivittatus,rna-XM_007423179.2,Q9R045
python_bivittatus,rna-XM_007423181.3,A2AR50
python_bivittatus,rna-XM_007423186.3,Q9UKT8
python_bivittatus,rna-XM_007423190.3,Q5ZJY3
python_bivittatus,rna-XM_007423196.1,P22571
python_bivittatus,rna-XM_007423197.3,Q9TU03
python_bivittatus,rna-XM_007423206.3,Q9H0S4
python_bivittatus,rna-XM_007423227.2,Q920Q8
python_bivittatus,rna-XM_007423255.3,Q5XFW8
python_bivittatus,rna-XM_007423258.2,P62912
python_bivittatus,rna-XM_007423261.2,Q6NWV3
python_bivittatus,rna-XM_007423262.1,P41591
python_bivittatus,rna-XM_007423280.2,Q9Z0S2
python_bivittatus,rna-XM_007423288.2,A2AWA9
python_bivittatus,rna-XM_007423290.3,Q9HCK0
python_bivittatus,rna-XM_007423304.3,Q9UFF9
python_bivittatus,rna-XM_007423306.2,Q28H91
python_bivittatus,rna-XM_007423313.2,Q27Q52
python_bivittatus,rna-XM_007423318.3,Q8NHQ8
python_bivittatus,rna-XM_007423336.1,Q14190
python_bivittatus,rna-XM_007423344.2,Q5RCC5
python_bivittatus,rna-XM_007423346.1,Q9R0Y8
python_bivittatus,rna-XM_007423349.2,Q5U211
python_bivittatus,rna-XM_007423351.1,Q9Y466
python_bivittatus,rna-XM_007423353.3,Q8VHE0
python_bivittatus,rna-XM_007423365.2,Q9MZS1
python_bivittatus,rna-XM_007423368.2,Q6DV01
python_bivittatus,rna-XM_007423370.3,O95807
python_bivittatus,rna-XM_007423375.3,Q4R3I8
python_bivittatus,rna-XM_007423391.2,Q3ZBH0
python_bivittatus,rna-XM_007423393.3,O95619
python_bivittatus,rna-XM_007423394.3,Q16630
python_bivittatus,rna-XM_007423402.3,Q7Z769
python_bivittatus,rna-XM_007423405.3,Q5RDM6
python_bivittatus,rna-XM_007423441.3,Q5F3X4
python_bivittatus,rna-XM_007423443.3,P18861
python_bivittatus,rna-XM_007423467.2,Q5F486
python_bivittatus,rna-XM_007423472.2,Q92769
python_bivittatus,rna-XM_007423473.3,Q8BSL4
python_bivittatus,rna-XM_007423477.2,Q8VD53
python_bivittatus,rna-XM_007423478.1,P62755
python_bivittatus,rna-XM_007423495.2,Q15022
python_bivittatus,rna-XM_007423507.2,Q9NRE2
python_bivittatus,rna-XM_007423510.3,Q4VA53
python_bivittatus,rna-XM_007423518.2,Q96D71
python_bivittatus,rna-XM_007423524.3,Q6V289
python_bivittatus,rna-XM_007423526.2,Q9UBI9
python_bivittatus,rna-XM_007423535.2,Q8C2L6
