GO,Genes
GO:0043603,HMGCS1
GO:0043603,ACSL1
GO:0043603,RPS8
GO:0043603,OXSM
GO:0043603,AIP
GO:0043603,DYRK1A
GO:0043603,ACSL4
GO:0043603,BACE2
GO:0043603,MRPL51
GO:0043603,MIP
GO:0043603,SCG5
GO:0043603,HAGH
GO:0043603,EEF1E1
GO:0043603,CARS2
GO:0043603,CERS1
GO:0043603,B4GALT4
GO:0043603,ASAH1
GO:0043603,ELOF1
GO:0043603,MRPS35
GO:0043603,RPL12
GO:0043603,RPL36A
GO:0043603,PSEN2
GO:0043603,SLC1A2
GO:0043603,HSD17B4
GO:0043603,FURIN
GO:0043603,MTIF2
GO:0043603,ABCB9
GO:0043603,MRPL11
GO:0043603,APH1A
GO:0043603,UGT8
GO:0043603,DNPEP
GO:0043603,DHX33
GO:0043603,CARNS1
GO:0043603,LTA4H
GO:0043603,YARS
GO:0043603,GATB
GO:0043603,LARP4
GO:0043603,EIF2S2
GO:0043603,EIF2S1
GO:0043603,SPCS3
GO:0043603,HAL
GO:0043603,CPEB1
GO:0043603,EIF5
GO:0043603,COPS5
GO:0043603,EIF6
GO:0043603,UROC1
GO:0043603,DRG1
GO:0043603,CPE
GO:0043603,REN
GO:0043603,DHX29
GO:0043603,GCLM
GO:0043603,EIF3D
GO:0043603,CPEB4
GO:0043604,GFM2
GO:0043604,TECR
GO:0043604,YARS1
GO:0043604,RPL7
GO:0043604,MRPL42
GO:0043604,SPTLC2
GO:0043604,MLYCD
GO:0043604,GGT1
GO:0043604,EIF2A
GO:0043604,PSTK
GO:0043604,PDHX
GO:0043604,ARG2
GO:0043604,ELOVL4
GO:0043604,ACSL1
GO:0043604,RPS8
GO:0043604,AIP
GO:0043604,ACSL4
GO:0043604,MRPL51
GO:0043604,HAGH
GO:0043604,EEF1E1
GO:0043604,CARS2
GO:0043604,CERS1
GO:0043604,B4GALT4
GO:0043604,ASAH1
GO:0043604,ELOF1
GO:0043604,MRPS35
GO:0043604,RPL12
GO:0043604,RPL36A
GO:0043604,SLC1A2
GO:0043604,FURIN
GO:0043604,MTIF2
GO:0043604,MRPL11
GO:0043604,UGT8
GO:0043604,DHX33
GO:0043604,CARNS1
GO:0043604,YARS
GO:0043604,GATB
GO:0043604,LARP4
GO:0043604,EIF2S2
GO:0043604,EIF2S1
GO:0043604,CPEB1
GO:0043604,EIF5
GO:0043604,COPS5
GO:0043604,EIF6
GO:0043604,DRG1
GO:0043604,DHX29
GO:0043604,GCLM
GO:0043604,EIF3D
GO:0043604,CPEB4
GO:0043605,
GO:0043606,HAL
GO:0043606,UROC1
GO:0043606,FTCD
GO:0043610,
GO:0043614,EIF2S1
GO:0043614,EIF2A
GO:0043615,
GO:0043616,SDR16C5
GO:0043616,PTCH1
GO:0043618,HEBP1
GO:0043618,JUN
GO:0043618,ANKRD2
GO:0043619,ANKRD2
GO:0043620,HEBP1
GO:0043620,JUN
GO:0043620,ANKRD2
GO:0043621,ELP1
GO:0043621,SLC2A1
GO:0043621,DYRK1A
GO:0043621,ERGIC3
GO:0043621,AGXT
GO:0043622,
GO:0043625,
GO:0043626,
GO:0043627,NCOA4
GO:0043627,SRA1
GO:0043627,HOXA11
GO:0043628,EXOSC3
GO:0043629,
GO:0043630,
GO:0043631,CPSF2
GO:0043631,SYMPK
GO:0043631,PABPC1
GO:0043631,GRSF1
GO:0043631,TENT4A
GO:0043632,UBXN2B
GO:0043632,CCDC47
GO:0043632,HERPUD1
GO:0043632,HEBP1
GO:0043632,HERC3
GO:0043632,NUB1
GO:0043632,HERC2
GO:0043632,CDC26
GO:0043632,ARIH2
GO:0043632,USP30
GO:0043632,MYLIP
GO:0043632,USP7
GO:0043632,USP44
GO:0043632,DNAJB12
GO:0043632,RC3H1
GO:0043632,VPS37A
GO:0043632,DNAJB14
GO:0043632,AXIN2
GO:0043632,RAD23B
GO:0043632,RNF168
GO:0043632,RNF144B
GO:0043632,PSMA3
GO:0043632,MAN1B1
GO:0043632,BIRC2
GO:0043632,RNF34
GO:0043632,TSG101
GO:0043632,UHRF1
GO:0043632,UBE2J2
GO:0043632,CBL
GO:0043632,RNF5
GO:0043632,USP19
GO:0043632,MTM1
GO:0043632,BAG6
GO:0043632,RMND5A
GO:0043632,PSMB3
GO:0043632,TBX21
GO:0043632,PCBP2
GO:0043632,PSMB1
GO:0043632,USP50
GO:0043632,RFFL
GO:0043632,EXOSC3
GO:0043632,DCAF12
GO:0043632,ZRANB1
GO:0043632,USP9X
GO:0043632,UBE2G2
GO:0043632,MIB1
GO:0043632,DNAJC18
GO:0043632,SPSB3
GO:0043632,COPS3
GO:0043632,PSMC6
GO:0043632,TOLLIP
GO:0043632,JKAMP
GO:0043632,KLHL8
GO:0043632,CHMP2A
GO:0043632,UBE2N
GO:0043632,SERGEF
GO:0043632,ASB2
GO:0043632,UBE2K
GO:0043633,EXOSC3
GO:0043634,EXOSC3
GO:0043647,NUDT3
GO:0043648,ACOT8
GO:0043648,HAL
GO:0043648,MDH1
GO:0043648,UROC1
GO:0043648,MRPS36
GO:0043648,HAAO
GO:0043648,OGDHL
GO:0043648,GGT1
GO:0043648,SLC25A12
GO:0043648,GCLM
GO:0043648,FTCD
GO:0043649,ACOT8
GO:0043650,HAAO
GO:0043650,SLC25A12
GO:0043651,
GO:0043652,
GO:0043653,BAX
GO:0043654,
GO:0043657,
GO:0043666,PPP6R3
GO:0043666,PPP1R1B
GO:0043666,TNF
GO:0043679,VAT1
GO:0043679,NTRK2
GO:0043679,EPHA4
GO:0043679,PTPRN
GO:0043679,GHRH
GO:0043682,
GO:0043686,
GO:0043687,COPS5
GO:0043687,VIPAS39
GO:0043687,BAZ1B
GO:0043687,ATG7
GO:0043691,
GO:0043696,TRAM1
GO:0043696,NCOA3
GO:0043696,FEZF2
GO:0043697,TRAM1
GO:0043697,NCOA3
GO:0043697,FEZF2
GO:0043715,
GO:0043716,
GO:0043727,
GO:0043733,
GO:0043734,
GO:0043739,
GO:0043754,DBT
GO:0043759,
GO:0043771,
GO:0043795,
GO:0043812,FIG4
GO:0043813,FIG4
GO:0043843,
GO:0043849,
GO:0043855,
GO:0043865,
GO:0043874,
GO:0043878,ALDH1A1
GO:0043890,
GO:0043891,
GO:0043903,F2RL1
GO:0043903,FURIN
GO:0043914,
GO:0043915,PSTK
GO:0043916,
GO:0043921,
GO:0043922,JUN
GO:0043922,TARDBP
GO:0043923,JUN
GO:0043923,RRP1B
GO:0043924,
GO:0043928,EXOSC3
GO:0043928,DCP2
GO:0043931,DCHS1
GO:0043932,
GO:0043933,NDUFA13
GO:0043933,ODAD2
GO:0043933,CRTC1
GO:0043933,GMNN
GO:0043933,YEATS4
GO:0043933,ZNF207
GO:0043933,WASHC3
GO:0043933,TSPYL2
GO:0043933,ABT1
GO:0043933,CARD10
GO:0043933,SMARCC2
GO:0043933,DNAAF2
GO:0043933,PIH1D1
GO:0043933,DNAAF1
GO:0043933,DNAJB12
GO:0043933,DNAJB14
GO:0043933,BTC
GO:0043933,OXA1L
GO:0043933,SOAT1
GO:0043933,LIX1
GO:0043933,MIP
GO:0043933,ARMC4
GO:0043933,SNRPB
GO:0043933,NAA60
GO:0043933,TSG101
GO:0043933,DDX1
GO:0043933,SLC1A2
GO:0043933,PIK3R4
GO:0043933,BAZ2A
GO:0043933,HTATSF1
GO:0043933,KLC1
GO:0043933,LPXN
GO:0043933,DMAP1
GO:0043933,SMYD3
GO:0043933,STXBP6
GO:0043933,AAR2
GO:0043933,TRAPPC3
GO:0043933,SMAD4
GO:0043933,DR1
GO:0043933,TRAPPC1
GO:0043933,FANCA
GO:0043933,FN1
GO:0043933,TRAPPC8
GO:0043933,EIF2S2
GO:0043933,HOPX
GO:0043933,DAB2
GO:0043933,EIF5
GO:0043933,EIF6
GO:0043933,PSMG3
GO:0043933,CHMP2A
GO:0043933,NOSTRIN
GO:0043933,NDUFAF3
GO:0043933,SPIRE1
GO:0043933,REN
GO:0043933,MDM4
GO:0043933,NDUFAF1
GO:0043933,DHX29
GO:0043933,COPS8
GO:0043933,UBE2K
GO:0043933,DET1
GO:0043933,HIP1
GO:0043933,GFM2
GO:0043933,SLC2A1
GO:0043933,PPP6C
GO:0043933,PSTPIP1
GO:0043933,KIF19
GO:0043933,CHAF1A
GO:0043933,AIFM1
GO:0043933,IKBKG
GO:0043933,RAB5IF
GO:0043933,HELLS
GO:0043933,PRMT5
GO:0043933,DBNL
GO:0043933,TWNK
GO:0043933,ALS2
GO:0043933,NDUFS7
GO:0043933,MED20
GO:0043933,TCP1
GO:0043933,MATN1
GO:0043933,POLR1E
GO:0043933,STRAP
GO:0043933,TMEM9
GO:0043933,ALDOB
GO:0043933,VAMP4
GO:0043933,GAS7
GO:0043933,NAPA
GO:0043933,KATNB1
GO:0043933,NDUFB1
GO:0043933,CAPG
GO:0043933,HSPD1
GO:0043933,ADD2
GO:0043933,SAMM50
GO:0043933,BID
GO:0043933,SMARCE1
GO:0043933,RIC3
GO:0043933,TAF15
GO:0043933,FKRP
GO:0043933,TAF13
GO:0043933,LAMB2
GO:0043933,PTGES3
GO:0043933,KCNB2
GO:0043933,SSRP1
GO:0043933,MCM3AP
GO:0043933,PHF5A
GO:0043933,SNX14
GO:0043933,CTH
GO:0043933,LPCAT3
GO:0043933,TAF5
GO:0043933,ASB2
GO:0043933,EIF3D
GO:0043933,RBMX
GO:0043949,GIP
GO:0043950,GIP
GO:0043951,
GO:0043954,PICK1
GO:0043954,F2RL1
GO:0043954,CBLN4
GO:0043954,C1QL1
GO:0043956,
GO:0043966,NAA60
GO:0043966,MCM3AP
GO:0043966,DR1
GO:0043966,TAF15
GO:0043966,TADA2A
GO:0043966,YEATS2
GO:0043966,TADA3
GO:0043966,MBIP
GO:0043966,TAF5
GO:0043967,NAA50
GO:0043967,MORF4L1
GO:0043967,NAA60
GO:0043967,KANSL3
GO:0043967,YEATS4
GO:0043967,DMAP1
GO:0043968,MORF4L1
GO:0043968,YEATS4
GO:0043968,DMAP1
GO:0043969,
GO:0043970,
GO:0043972,
GO:0043973,
GO:0043977,
GO:0043979,
GO:0043980,
GO:0043981,KANSL3
GO:0043982,KANSL3
GO:0043983,
GO:0043984,KANSL3
GO:0043985,PRMT5
GO:0043995,
GO:0043996,
GO:0043997,
GO:0043998,
GO:0043999,
GO:0044000,TSG101
GO:0044000,EFNB3
GO:0044000,CTSL
GO:0044000,SLC52A2
GO:0044000,RFT1
GO:0044000,DAG1
GO:0044000,CHMP2A
GO:0044000,CBL
GO:0044000,SLC7A1
GO:0044000,RAB7A
GO:0044000,NECTIN1
GO:0044003,
GO:0044013,
GO:0044020,PRMT5
GO:0044022,
GO:0044024,
GO:0044026,
GO:0044027,
GO:0044028,
GO:0044029,
GO:0044030,PRMT5
GO:0044030,KDM1B
GO:0044042,PPP1R3E
GO:0044042,STBD1
GO:0044042,PTGES3
GO:0044042,PPP1R3D
GO:0044042,PPP1R3A
GO:0044042,NR1D1
GO:0044053,TCP1
GO:0044057,HDAC4
GO:0044057,BMPR2
GO:0044057,SRF
GO:0044057,ABAT
GO:0044057,SRI
GO:0044057,DBH
GO:0044057,PVALEF
GO:0044057,PRKCZ
GO:0044057,TNF
GO:0044057,CNN1
GO:0044057,TMEM65
GO:0044057,SGCA
GO:0044057,DAG1
GO:0044057,TNR
GO:0044057,CD38
GO:0044057,TMEM38A
GO:0044057,DSP
GO:0044057,KCNJ5
GO:0044057,GHSR
GO:0044057,SMAD4
GO:0044057,G6PD
GO:0044057,TRIM63
GO:0044057,DMPK
GO:0044057,TNNC1
GO:0044057,KCNB2
GO:0044057,EMP2
GO:0044057,BAIAP2
GO:0044057,ADRA2B
GO:0044057,HOPX
GO:0044057,GIP
GO:0044057,FIG4
GO:0044057,MAG
GO:0044057,DAB2
GO:0044057,TNNT1
GO:0044057,HAND2
GO:0044057,LPCAT3
GO:0044057,TBXAS1
GO:0044057,F2RL1
GO:0044057,REN
GO:0044057,PPARA
GO:0044057,SLC25A12
GO:0044057,TNFRSF21
GO:0044058,GHSR
GO:0044058,LPCAT3
GO:0044060,SMAD4
GO:0044060,DAB2
GO:0044060,F2RL1
GO:0044060,REN
GO:0044060,GIP
GO:0044062,
GO:0044065,
GO:0044068,
GO:0044070,IL1B
GO:0044070,DTNBP1
GO:0044070,ACSL4
GO:0044070,ABAT
GO:0044070,TNF
GO:0044085,SMARCAL1
GO:0044085,POP5
GO:0044085,ODAD2
GO:0044085,POP4
GO:0044085,BACH1
GO:0044085,TXNDC15
GO:0044085,RPL7
GO:0044085,BAIAP2L2
GO:0044085,OGFOD1
GO:0044085,CIAO2B
GO:0044085,SYNPO
GO:0044085,EIF2A
GO:0044085,TNS1
GO:0044085,TSPYL2
GO:0044085,ABT1
GO:0044085,DNAAF2
GO:0044085,PIH1D1
GO:0044085,DNAAF1
GO:0044085,WDR74
GO:0044085,RC3H1
GO:0044085,IMP4
GO:0044085,BTC
GO:0044085,SHTN1
GO:0044085,SOAT1
GO:0044085,MIP
GO:0044085,CLDN8
GO:0044085,ARMC4
GO:0044085,TBPL1
GO:0044085,WDPCP
GO:0044085,DNA2
GO:0044085,OBSL1
GO:0044085,NAA60
GO:0044085,BAZ2A
GO:0044085,WDR62
GO:0044085,HTATSF1
GO:0044085,UGT8
GO:0044085,RACGAP1
GO:0044085,PDCD11
GO:0044085,EPB41L3
GO:0044085,DHX37
GO:0044085,STXBP6
GO:0044085,ATG7
GO:0044085,AAR2
GO:0044085,FN1
GO:0044085,PRRC2C
GO:0044085,PARVA
GO:0044085,ICK
GO:0044085,EIF5
GO:0044085,EIF6
GO:0044085,PSMG3
GO:0044085,NDUFAF3
GO:0044085,MMS19
GO:0044085,DCHS1
GO:0044085,REN
GO:0044085,NDUFAF1
GO:0044085,DHX29
GO:0044085,DAZAP2
GO:0044085,DET1
GO:0044085,HIP1
GO:0044085,LRRC4
GO:0044085,NAT10
GO:0044085,LIMD1
GO:0044085,NUDCD3
GO:0044085,CHAF1A
GO:0044085,AIFM1
GO:0044085,STBD1
GO:0044085,RRP12
GO:0044085,IKBKG
GO:0044085,UTP14A
GO:0044085,RRP15
GO:0044085,RAB5IF
GO:0044085,HELLS
GO:0044085,PRMT5
GO:0044085,DBNL
GO:0044085,ATMIN
GO:0044085,KIF23
GO:0044085,EMP2
GO:0044085,PROX1
GO:0044085,TMEM175
GO:0044085,TNNT1
GO:0044085,MED20
GO:0044085,TCP1
GO:0044085,MATN1
GO:0044085,STRAP
GO:0044085,MAPRE3
GO:0044085,CEP63
GO:0044085,ALDOB
GO:0044085,VAMP4
GO:0044085,ARHGEF7
GO:0044085,GAS7
GO:0044085,ARHGEF6
GO:0044085,RAB7A
GO:0044085,NAPA
GO:0044085,CAPG
GO:0044085,NOL9
GO:0044085,SAMM50
GO:0044085,NRAP
GO:0044085,METTL5
GO:0044085,EXOSC3
GO:0044085,BID
GO:0044085,EXOSC1
GO:0044085,RIC3
GO:0044085,UTP4
GO:0044085,PTGES3
GO:0044085,KCNB2
GO:0044085,WDR18
GO:0044085,RPA2
GO:0044085,RRP1B
GO:0044085,SEPTIN7
GO:0044085,MLH3
GO:0044085,FIG4
GO:0044085,PHF5A
GO:0044085,TTC30B
GO:0044085,LPCAT3
GO:0044085,MPHOSPH6
GO:0044085,ADGRL3
GO:0044085,NDUFA13
GO:0044085,UBXN2B
GO:0044085,CRTC1
GO:0044085,GMNN
GO:0044085,EDC3
GO:0044085,ZNF207
GO:0044085,TOM1
GO:0044085,NEK1
GO:0044085,TEKT5
GO:0044085,LZTS2
GO:0044085,WASHC3
GO:0044085,CARD10
GO:0044085,RPS8
GO:0044085,SWAP70
GO:0044085,ATG9A
GO:0044085,DNAJB12
GO:0044085,DNAJB14
GO:0044085,CFAP410
GO:0044085,TMEM250
GO:0044085,OXA1L
GO:0044085,MAG
GO:0044085,TMEM138
GO:0044085,MAK
GO:0044085,FSCN2
GO:0044085,ISCU
GO:0044085,SNRPB
GO:0044085,COL17A1
GO:0044085,TSG101
GO:0044085,DDX1
GO:0044085,UTP23
GO:0044085,SLC1A2
GO:0044085,MTM1
GO:0044085,BAG6
GO:0044085,BAG4
GO:0044085,ATG101
GO:0044085,STK36
GO:0044085,G3BP1
GO:0044085,TASOR
GO:0044085,LPXN
GO:0044085,NPHP3
GO:0044085,SMYD3
GO:0044085,TRAPPC3
GO:0044085,SMAD4
GO:0044085,DR1
GO:0044085,TRAPPC1
GO:0044085,HPS1
GO:0044085,FANCA
GO:0044085,DCDC2
GO:0044085,TRAPPC8
GO:0044085,HPS6
GO:0044085,TDRD6
GO:0044085,TDRD5
GO:0044085,EIF2S2
GO:0044085,EIF2S1
GO:0044085,HOPX
GO:0044085,TMEM231
GO:0044085,DAB2
GO:0044085,COPS5
GO:0044085,CHMP2A
GO:0044085,SPIRE1
GO:0044085,IFT27
GO:0044085,MDM4
GO:0044085,COPS8
GO:0044085,UBE2K
GO:0044085,DDX47
GO:0044085,LMOD1
GO:0044085,SLC2A1
GO:0044085,PPP6C
GO:0044085,PSTPIP1
GO:0044085,SEPT7
GO:0044085,AP1G1
GO:0044085,PLA2G4C
GO:0044085,DDX56
GO:0044085,TWNK
GO:0044085,HAUS3
GO:0044085,VPS37A
GO:0044085,SHROOM1
GO:0044085,PATL2
GO:0044085,ALS2
GO:0044085,NDUFS7
GO:0044085,GORASP2
GO:0044085,RP2
GO:0044085,POLR1E
GO:0044085,TMEM9
GO:0044085,SSX2IP
GO:0044085,CILK1
GO:0044085,ATG4D
GO:0044085,ABRAXAS1
GO:0044085,SRF
GO:0044085,NDUFB1
GO:0044085,MRM1
GO:0044085,NTN1
GO:0044085,HSPD1
GO:0044085,ADD2
GO:0044085,ARL13B
GO:0044085,SLITRK3
GO:0044085,ZNF622
GO:0044085,NOP58
GO:0044085,TAF15
GO:0044085,FKRP
GO:0044085,LAMB2
GO:0044085,TAF13
GO:0044085,SPAG6
GO:0044085,SSRP1
GO:0044085,BAIAP2
GO:0044085,MFSD14A
GO:0044085,MARCKS
GO:0044085,KLF5
GO:0044085,CLCN4
GO:0044085,KIAA0586
GO:0044085,CTH
GO:0044085,RAB19
GO:0044085,ATP13A2
GO:0044085,VIPAS39
GO:0044085,TAF5
GO:0044085,CBLN4
GO:0044085,ASB2
GO:0044085,EIF3D
GO:0044085,RBMX
GO:0044085,CKLF
GO:0044085,RAN
GO:0044087,LMOD1
GO:0044087,TNF
GO:0044087,BAIAP2L2
GO:0044087,SEPT7
GO:0044087,DAG1
GO:0044087,MLST8
GO:0044087,NUDT16
GO:0044087,SYNPO
GO:0044087,GHSR
GO:0044087,CDKL5
GO:0044087,DBNL
GO:0044087,ATMIN
GO:0044087,MUSK
GO:0044087,LMO4
GO:0044087,PIH1D1
GO:0044087,SWAP70
GO:0044087,DYRK1A
GO:0044087,TIRAP
GO:0044087,PATL2
GO:0044087,LATS1
GO:0044087,CLIP1
GO:0044087,FRMD7
GO:0044087,IL1B
GO:0044087,MAK
GO:0044087,MAPRE3
GO:0044087,WDPCP
GO:0044087,SEC22B
GO:0044087,ARHGEF7
GO:0044087,EPHA1
GO:0044087,BIRC2
GO:0044087,RAB7A
GO:0044087,NAPA
GO:0044087,HDAC4
GO:0044087,TSG101
GO:0044087,PRKAA2
GO:0044087,SRF
GO:0044087,CAPG
GO:0044087,NLRC3
GO:0044087,NTN1
GO:0044087,PRKCZ
GO:0044087,RNF5
GO:0044087,PPM1F
GO:0044087,ADD2
GO:0044087,MTM1
GO:0044087,EPB41L5
GO:0044087,BAG4
GO:0044087,DNAJB6
GO:0044087,DHX33
GO:0044087,G3BP1
GO:0044087,TASOR
GO:0044087,SLITRK3
GO:0044087,VPS11
GO:0044087,USP50
GO:0044087,STXBP6
GO:0044087,FNIP1
GO:0044087,SNX7
GO:0044087,BID
GO:0044087,NTRK2
GO:0044087,WNT10B
GO:0044087,TRAP1
GO:0044087,SMAD4
GO:0044087,LINGO4
GO:0044087,LRRN2
GO:0044087,DCDC2
GO:0044087,BAIAP2
GO:0044087,SEPTIN7
GO:0044087,HOPX
GO:0044087,LRFN5
GO:0044087,TEN1
GO:0044087,KLF5
GO:0044087,PSMC6
GO:0044087,VPS41
GO:0044087,CHMP2A
GO:0044087,DRG1
GO:0044087,PLXNB3
GO:0044087,F2RL1
GO:0044087,BAX
GO:0044087,ATP13A2
GO:0044087,LRRN1
GO:0044087,GRB2
GO:0044087,TMEM39A
GO:0044087,CKLF
GO:0044087,DRC3
GO:0044087,NECTIN1
GO:0044088,TMEM39A
GO:0044088,SEC22B
GO:0044088,SNX7
GO:0044088,RNF5
GO:0044088,MTM1
GO:0044089,HDAC4
GO:0044089,TSG101
GO:0044089,SRF
GO:0044089,LMOD1
GO:0044089,TNF
GO:0044089,PPM1F
GO:0044089,EPB41L5
GO:0044089,BAG4
GO:0044089,BAIAP2L2
GO:0044089,SEPT7
GO:0044089,DHX33
GO:0044089,G3BP1
GO:0044089,TASOR
GO:0044089,SLITRK3
GO:0044089,DAG1
GO:0044089,MLST8
GO:0044089,USP50
GO:0044089,FNIP1
GO:0044089,SYNPO
GO:0044089,SNX7
GO:0044089,BID
GO:0044089,NTRK2
GO:0044089,WNT10B
GO:0044089,LINGO4
GO:0044089,ATMIN
GO:0044089,LRRN2
GO:0044089,PIH1D1
GO:0044089,SWAP70
GO:0044089,BAIAP2
GO:0044089,SEPTIN7
GO:0044089,HOPX
GO:0044089,TIRAP
GO:0044089,CLIP1
GO:0044089,TEN1
GO:0044089,PSMC6
GO:0044089,FRMD7
GO:0044089,CHMP2A
GO:0044089,DRG1
GO:0044089,F2RL1
GO:0044089,BAX
GO:0044089,ATP13A2
GO:0044089,LRRN1
GO:0044089,GRB2
GO:0044089,EPHA1
GO:0044089,DRC3
GO:0044089,RAB7A
GO:0044090,SNX7
GO:0044091,UBXN2B
GO:0044091,CHMP2A
GO:0044091,EMP2
GO:0044092,MIDN
GO:0044092,SERPINE2
GO:0044092,TNF
GO:0044092,CHP1
GO:0044092,EIF2A
GO:0044092,USP7
GO:0044092,PCID2
GO:0044092,APLP2
GO:0044092,PIH1D1
GO:0044092,NFKBIL1
GO:0044092,OSR1
GO:0044092,PAQR3
GO:0044092,MRTFB
GO:0044092,AIP
GO:0044092,OXA1L
GO:0044092,FRMD7
GO:0044092,SCG5
GO:0044092,PPP1R42
GO:0044092,EPHA1
GO:0044092,RD3
GO:0044092,TSG101
GO:0044092,PAXIP1
GO:0044092,NPR3
GO:0044092,GSKIP
GO:0044092,OAZ1
GO:0044092,PRKCZ
GO:0044092,HSPBP1
GO:0044092,CBARP
GO:0044092,EPB41L5
GO:0044092,C5
GO:0044092,BAG4
GO:0044092,DHRS7B
GO:0044092,MBIP
GO:0044092,SYMPK
GO:0044092,FAM192A
GO:0044092,SMYD3
GO:0044092,SOCS7
GO:0044092,JUN
GO:0044092,GADD45A
GO:0044092,PTCH1
GO:0044092,STYX
GO:0044092,PARVA
GO:0044092,DHCR24
GO:0044092,EIF2S1
GO:0044092,NFATC4
GO:0044092,DAB2
GO:0044092,PPP1R1C
GO:0044092,PPP1R1B
GO:0044092,PLXNB3
GO:0044092,PSME3IP1
GO:0044092,CDKN1C
GO:0044092,CNRIP1
GO:0044092,WFDC1
GO:0044092,SHB
GO:0044092,ELFN1
GO:0044092,PTPRF
GO:0044092,HHEX
GO:0044092,SUFU
GO:0044092,LRRC46
GO:0044092,ANXA3
GO:0044092,TNNC1
GO:0044092,USP44
GO:0044092,PROX1
GO:0044092,COMMD6
GO:0044092,PARP9
GO:0044092,LATS1
GO:0044092,TRAF3
GO:0044092,IL1B
GO:0044092,HAND2
GO:0044092,TMBIM1
GO:0044092,PPARA
GO:0044092,TKT
GO:0044092,AGXT
GO:0044092,CERS1
GO:0044092,BIRC2
GO:0044092,HDAC4
GO:0044092,RNF34
GO:0044092,ITIH6
GO:0044092,XIAP
GO:0044092,FURIN
GO:0044092,NLRC3
GO:0044092,SRI
GO:0044092,TFPI
GO:0044092,CBL
GO:0044092,PPM1F
GO:0044092,DNAJB6
GO:0044092,XIRP1
GO:0044092,RFFL
GO:0044092,FNIP1
GO:0044092,PTPN1
GO:0044092,RWDD3
GO:0044092,ERBIN
GO:0044092,DTNBP1
GO:0044092,RRP1B
GO:0044092,TEN1
GO:0044092,SIMC1
GO:0044092,PDCD4
GO:0044092,BAX
GO:0044092,PTPN6
GO:0044092,MITD1
GO:0044092,CAMK1
GO:0044093,NDUFA13
GO:0044093,CCNT2
GO:0044093,CRTC1
GO:0044093,GMNN
GO:0044093,TNF
GO:0044093,ABRA
GO:0044093,RASSF2
GO:0044093,DAG1
GO:0044093,CHP1
GO:0044093,TBC1D22A
GO:0044093,EIF2A
GO:0044093,CARD10
GO:0044093,EPHA4
GO:0044093,MAP2K1
GO:0044093,CDKL5
GO:0044093,MUSK
GO:0044093,DAPK1
GO:0044093,LMO4
GO:0044093,ACSL1
GO:0044093,PIH1D1
GO:0044093,MUL1
GO:0044093,DGKZ
GO:0044093,BTC
GO:0044093,CCNY
GO:0044093,MAPKAPK5
GO:0044093,EPHA1
GO:0044093,ISCU
GO:0044093,PFKFB1
GO:0044093,DCUN1D5
GO:0044093,NPR3
GO:0044093,DCUN1D4
GO:0044093,PSEN2
GO:0044093,PIK3R4
GO:0044093,PRKCZ
GO:0044093,PIK3R6
GO:0044093,APH1A
GO:0044093,EPB41L5
GO:0044093,HMBOX1
GO:0044093,DHX33
GO:0044093,STK36
GO:0044093,DPH3
GO:0044093,USP50
GO:0044093,NPHP3
GO:0044093,NKX6-1
GO:0044093,NUS1
GO:0044093,WNT10B
GO:0044093,FN1
GO:0044093,IGF2
GO:0044093,AZIN2
GO:0044093,ARHGAP27
GO:0044093,EIF2S1
GO:0044093,TBCK
GO:0044093,COPS5
GO:0044093,GDNF
GO:0044093,JMY
GO:0044093,UBE2N
GO:0044093,TAB2
GO:0044093,COPS8
GO:0044093,FGFR4
GO:0044093,GCLM
GO:0044093,SERINC5
GO:0044093,BMPR1A
GO:0044093,DCP1B
GO:0044093,DAZAP2
GO:0044093,TRAM1
GO:0044093,HIP1
GO:0044093,BMPR2
GO:0044093,ITGB2
GO:0044093,VLDLR
GO:0044093,SIPA1L2
GO:0044093,DUSP12
GO:0044093,AIFM1
GO:0044093,MLST8
GO:0044093,IKBKG
GO:0044093,AMH
GO:0044093,APAF1
GO:0044093,ANXA3
GO:0044093,NCOA3
GO:0044093,TBC1D9
GO:0044093,EMP2
GO:0044093,PROX1
GO:0044093,AXIN2
GO:0044093,PARP9
GO:0044093,ADRA2B
GO:0044093,VAV1
GO:0044093,TIRAP
GO:0044093,ALS2
GO:0044093,IL1B
GO:0044093,HAND2
GO:0044093,TCP1
GO:0044093,MAPRE3
GO:0044093,ALDOB
GO:0044093,ARHGEF7
GO:0044093,TKT
GO:0044093,SGK2
GO:0044093,HDAC4
GO:0044093,UHRF1
GO:0044093,SRF
GO:0044093,NOD1
GO:0044093,RFNG
GO:0044093,PPM1F
GO:0044093,HSPD1
GO:0044093,ADD2
GO:0044093,ALKAL2
GO:0044093,ZNF622
GO:0044093,BID
GO:0044093,GINS1
GO:0044093,BCAP31
GO:0044093,PTPN1
GO:0044093,NTRK2
GO:0044093,TAF15
GO:0044093,NOS2
GO:0044093,USP9X
GO:0044093,PTGES3
GO:0044093,RGP1
GO:0044093,TEN1
GO:0044093,CTH
GO:0044093,RGS10
GO:0044093,F2RL1
GO:0044093,BAX
GO:0044093,CAMK1
GO:0044093,EIF3D
GO:0044093,RAN
GO:0044106,HAND2
GO:0044106,HAAO
GO:0044106,AZIN2
GO:0044106,DBH
GO:0044106,OAZ1
GO:0044107,
GO:0044108,
GO:0044111,
GO:0044154,DR1
GO:0044154,TADA2A
GO:0044154,YEATS2
