Orthogroup,Gene,Model,Tree length,Lnl,Df,Kappa,Proportion 0,Background 0,Foreground 0,Proportion 1,Background 1,Foreground 1,Proportion 2a,Background 2a,Foreground 2a,Proportion 2b,Background 2b,Foreground 2b
OG0012824,FHL3,bsA,0.93347,-2209.468684,29,5.19329,0.91716,0.03024,0.03024,0.08284,1,1,0,0.03024,1,0,1,1
OG0007678,DNAJC12,bsA,0.72333,-1406.444252,29,2.65737,0.88324,0.06493,0.06493,0.11676,1,1,0,0.06493,1,0,1,1
OG0008417,TMEM241,bsA,14.52645,-3156.368098,29,2.15898,0.4419,0,0,0.35552,1,1,0.11226,0,670.47114,0.09032,1,670.47114
OG0009781,WNT2B,bsA,0.41631,-2294.850677,29,4.29759,0.86922,0.02541,0.02541,0.04757,1,1,0.0789,0.02541,1,0.00432,1,1
OG0012396,ZCCHC8,bsA,1.33412,-6420.768223,29,2.92079,0.74505999999999994,0.07107,0.07107,0.22432,1,1,0.02354,0.07107,20.93799,0.00709,1,20.93799
OG0011341,PPARG,bsA,1.9118,-3000.638153,29,3.18556,0.88754,0,0,0.07486,1,1,0.03468,0,702.37236,0.00292,1,702.37236
OG0006116,NOA1,bsA,1.05928,-6508.795962,29,2.38103,0.53458,0.00343,0.00343,0.42597,1,1,0.02196,0.00343,22.15267,0.0175,1,22.15267
OG0007514,PLEKHA8,bsA,0.74913,-3534.557751,29,2.9249,0.72971,0.04164,0.04164,0.24037,1,1,0.0225,0.04164,67.72725,0.00741,1,67.72725
OG0006834,SLC25A39,bsA,0.66975,-2671.734071,29,2.932,0.7649,0,0,0.23174,1,1,0.00257,0,75.3771,7.8e-4,1,75.3771
OG0013805,MOB4,bsA,2.57078,-1723.198791,29,3.41452,0.84776,0,0,0.10451,1,1,0.04249,0,135.8658,0.00524,1,135.8658
OG0005438,TUBD1,bsA,1.02347,-3747.476037,29,3.58563,0.9178,0.06068,0.06068,0.0822,1,1,0,0.06068,1,0,1,1
OG0009606,MPP3,bsA,0.48914,-3450.002043,29,3.58902,0.89918,0.01049,0.01049,0.08408,1,1,0.01531,0.01049,1.63995,0.00143,1,1.63995
OG0012310,CUNH19ORF25 C1H19ORF25,bsA,0.7497,-886.65221,29,2.72867,0.86519,0,0,0.13481,1,1,0,0,1,0,1,1
OG0009440,SLC3A2,bsA,1.78843,-5965.595914,29,2.36247,0.79404,0.067,0.067,0.19069,1,1,0.01231,0.067,6.14281,0.00296,1,6.14281
OG0013931,UBE3C,bsA,0.3625,-6267.864307,29,3.606,0.88889,9.9e-4,9.9e-4,0.11111,1,1,0,9.9e-4,1,0,1,1
OG0010354,FGF2,bsA,0.81545,-1631.661446,29,2.33552,0.74687,0,0,0.25313,1,1,0,0,1,0,1,1
OG0007816,INTS14,bsA,1.30231,-4311.67852,29,2.86516,0.90094,0.01689,0.01689,0.00445,1,1,0.09414,0.01689,14.1189,4.7e-4,1,14.1189
OG0009995,SOX2,bsA,0.63637,-1984.635136,29,2.15405,0.80839,0.01469,0.01469,0.03499,1,1,0.15013,0.01469,1,0.0065,1,1
OG0007586,SRI,bsA,1.21456,-1289.463784,29,2.73097,0.88375,0.04541,0.04541,0.05998,1,1,0.05269,0.04541,128.23311,0.00358,1,128.23311
OG0010664,MALL,bsA,0.80759,-1239.273073,29,3.12751,0.73729,0.02554,0.02554,0.26271,1,1,0,0.02554,1,0,1,1
OG0005342,WDR53,bsA,0.58159,-2398.499794,29,4.88925,0.59614,0.09545,0.09545,0.20169,1,1,0.15106,0.09545,1,0.05111,1,1
OG0010015,GYPC,bsA,0.35683,-550.130355,29,2.91273,0.73554,0,0,0.2641,1,1,2.7e-4,0,1,1e-4,1,1
OG0006994,CLCN3,bsA,0.84122,-5680.58722,29,3.12658,0.90075,0,0,0.08407,1,1,0.01388,0,101.16684,0.0013,1,101.16684
OG0011051,FILIP1,bsA,0.7231,-8358.034846,29,2.43488,0.89578,0.06638,0.06638,0.09405,1,1,0.0092,0.06638,236.34518,9.7e-4,1,236.34518
OG0009117,MED31,bsA,7.94973,-1184.378811,29,2.49389,0.88471,0.0072,0.0072,0.04588,1,1,0.06599,0.0072,999,0.00342,1,999
OG0010150,IRF4,bsA,0.74854,-3567.952324,29,2.3119,0.81002,0.03374,0.03374,0.1683,1,1,0.01795,0.03374,18.44175,0.00373,1,18.44175
OG0009850,GSK3A,bsA,0.5709,-3059.979096,29,2.69702,0.94038,0,0,0.05962,1,1,0,0,1,0,1,1
OG0012533,COPS7B,bsA,2.4811,-2250.231503,29,3.32756,0.74658,0.03491,0.03491,0.08011,1,1,0.15652,0.03491,13.11705,0.01679,1,13.11705
OG0011712,GLB1L,bsA,0.64524,-5274.397423,29,3.56295,0.71874,0.02747,0.02747,0.26985,1,1,0.00829,0.02747,67.45978,0.00311,1,67.45978
OG0011311,NFASC,bsA,0.39866,-8177.799437,29,2.92878,0.8117,0,0,0.1883,1,1,0,0,1,0,1,1
OG0013476,STX3,bsA,1.51744,-2941.588098,29,1.00213,0.80659,0.01007,0.01007,0.19341,1,1,0,0.01007,5.18194,0,1,5.18194
OG0012406,BRAP,bsA,0.87658,-4439.697543,29,2.93223,0.93865,0.03686,0.03686,0.06135,1,1,0,0.03686,1,0,1,1
OG0008053,CCN5 WISP2,bsA,5.00764,-2231.244702,29,2.76621,0.72146,0.1064,0.1064,0.20263,1,1,0.05926,0.1064,412.50397,0.01664,1,412.50397
OG0006595,RNF8,bsA,0.60769,-3976.567188,29,2.72633,0.76236,0.13593,0.13593,0.12215,1,1,0.09954,0.13593,1,0.01595,1,1
OG0012034,TTBK1,bsA,0.42671,-8431.22676,29,3.89392,0.81716,0.0159,0.0159,0.17794,1,1,0.00403,0.0159,20.48525,8.8e-4,1,20.48525
OG0007210,ISG20L2,bsA,1.64402,-3437.418371,29,4.2162,0.71169,0.05561,0.05561,0.18845,1,1,0.07896,0.05561,1,0.02091,1,1
OG0012279,PDK3,bsA,0.52289,-2468.145202,29,2.54966,0.89638,0.02185,0.02185,0.06078,1,1,0.04012,0.02185,26.86795,0.00272,1,26.86795
OG0010053,HOXC5,bsA,0.18291,-1169.226896,29,5.18884,0,0,0,0,1,1,0.83672,0,152.51922,0.16328,1,152.51922
OG0012736,MAFK,bsA,2.40377,-1611.636006,29,1.97825,0.85503,0.0146,0.0146,0.11024,1,1,0.03076,0.0146,175.20873,0.00397,1,175.20873
OG0007728,OPN1LW,bsA,0.67701,-2686.629749,29,2.82385,0.74115,0,0,0.25885,1,1,0,0,1,0,1,1
OG0012696,ITPRIPL2,bsA,1.5217,-4394.526893,29,3.19711,0.82052,0.06334,0.06334,0.16541,1,1,0.01171,0.06334,16.59821,0.00236,1,16.59821
OG0007078,TENT4B,bsA,1.05922,-6155.313379,29,1.85584,0.84326,0.0292,0.0292,0.15304,1,1,0.00313,0.0292,14.50429,5.7e-4,1,14.50429
OG0007282,COL6A1,bsA,0.59384,-7036.824504,29,2.8287,0.71141,0,0,0.28859,1,1,0,0,1,0,1,1
OG0006216,LIN37,bsA,1.06732,-2079.161378,29,2.30386,0.75407,0.04882,0.04882,0.19559000000000001,1,1,0.03997,0.04882,1,0.01037,1,1
OG0009480,CCM2,bsA,76.1017,-7390.529594,29,2.1205,0.57843,0.02718,0.02718,0.00949,1,1,0.40542,0.02718,183.21472,0.00665,1,183.21472
OG0007776,HIPK4,bsA,2.52168,-5354.933108,29,4.19549,0.87597,0.03483,0.03483,0.0922,1,1,0.0288,0.03483,160.45202,0.00303,1,160.45202
OG0006052,TWIST1,bsA,2.14049,-1535.754958,29,2.85223,0.8668,0.02773,0.02773,0.1332,1,1,0,0.02773,1,0,1,1
OG0011308,PIK3C2B,bsA,0.44886,-10360.738196,29,3.83469,0.94066,0.05981,0.05981,0.05554,1,1,0.00359,0.05981,19.09172,2.1e-4,1,19.09172
OG0005771,ATP6V0A1,bsA,0.42427,-5146.595723,29,3.47763,0.91129,0.01441,0.01441,0.08871,1,1,0,0.01441,1,0,1,1
OG0011514,WDR26,bsA,0.89638,-4378.585184,29,2.16136,0.7815,0,0,0.18031,1,1,0.03103,0,77.79403,0.00716,1,77.79403
OG0007624,NHLRC3,bsA,0.68847,-2551.179654,29,4.94679,0.68187,0.06805,0.06805,0.13905,1,1,0.14874,0.06805,1,0.03033,1,1
OG0008894,ATP5MK ATP5MD,bsA,0.88533,-464.989886,29,1.34072,0.68979,0.19352,0.19352,0.27205,1,1,0.02737,0.19352,13.78653,0.01079,1,13.78653
OG0013278,VILL,bsA,1.25086,-7705.815212,29,2.93125,0.80563,0.06121,0.06121,0.19437,1,1,0,0.06121,1,0,1,1
OG0008765,,bsA,0.9605,-5064.815412,29,6.48597,0.92829,0.03253,0.03253,0.07171,1,1,0,0.03253,1,0,1,1
OG0013895,GABRR1,bsA,3.88714,-3014.460519,29,3.43954,0.86704,0.03322,0.03322,0.04988,1,1,0.07855,0.03322,425.84597,0.00452,1,425.84597
OG0007689,SPRED3,bsA,1.16999,-3814.387694,29,2.26537,0.8141,0.03975,0.03975,0.1859,1,1,0,0.03975,1,0,1,1
OG0007439,MMRN2,bsA,1.17667,-8762.002536,29,3.06363,0.74866,0.12869,0.12869,0.24487,1,1,0.00488,0.12869,20.81808,0.0016,1,20.81808
OG0012623,SQSTM1,bsA,0.7364,-3423.607554,29,3.40044,0.6389,0.04335,0.04335,0.3611,1,1,0,0.04335,1,0,1,1
OG0007359,ZYX,bsA,0.60896,-4474.109674,29,4.87662,0.76526,0.07191,0.07191,0.23474,1,1,0,0.07191,1,0,1,1
OG0009660,KCTD3,bsA,0.37029,-4819.937765,29,3.49083,0.93299,0.0164,0.0164,0.06701,1,1,0,0.0164,1,0,1,1
OG0011879,FAM47E,bsA,2.36737,-5020.099715,29,1.99713,0.64249,0.11138,0.11138,0.28269,1,1,0.05196,0.11138,35.93644,0.02286,1,35.93644
OG0006395,PCDH9,bsA,0.72221,-8171.890751,29,2.62229,0.96214,0.00513,0.00513,0.03334,1,1,0.00437,0.00513,2.48642,1.5e-4,1,2.48642
OG0007857,KCNV2,bsA,0.94607,-4394.064155,29,4.38754,0.79135,0.03607,0.03607,0.20865,1,1,0,0.03607,1,0,1,1
OG0006810,WIPF2,bsA,0.75107,-2825.523968,29,4.1361,0.82325,0.02057,0.02057,0.16738,1,1,0.00779,0.02057,999,0.00158,1,999
OG0011482,SIAE,bsA,0.85465,-4075.307233,29,3.92218,0.67379,0.10564,0.10564,0.29214,1,1,0.02377,0.10564,4.78793,0.0103,1,4.78793
OG0007488,AGK,bsA,0.87962,-3483.832711,29,2.00784,0.73164,0.0572,0.0572,0.26236,1,1,0.00441,0.0572,7.98378,0.00158,1,7.98378
OG0007772,COQ8B,bsA,1.25713,-4462.696914,29,3.72247,0.86352,0.08085,0.08085,0.13648,1,1,0,0.08085,1,0,1,1
OG0013580,ENPP1,bsA,8.55003,-8568.933437,29,2.95629,0.51666,0.06438,0.06438,0.12271,1,1,0.29142,0.06438,119.24565,0.06922,1,119.24565
OG0007733,EMD,bsA,1.96404,-3253.325267,29,2.15979,0.40515,0.02748,0.02748,0.41081,1,1,0.09138,0.02748,1,0.09266,1,1
OG0011903,BTF3,bsA,0.35525,-920.655617,29,2.50497,0.97981,0.00734,0.00734,0.02019,1,1,0,0.00734,1,0,1,1
OG0009567,PDE8B,bsA,0.54009,-6260.734532,29,3.04354,0.82555,0.09194,0.09194,0.15011,1,1,0.0206,0.09194,31.38808,0.00375,1,31.38808
OG0011525,PSEN2,bsA,0.74721,-3127.762813,29,3.8137,0.84849,0.03912,0.03912,0.11315,1,1,0.03385,0.03912,75.58012,0.00451,1,75.58012
OG0007924,RAPGEF3,bsA,2.08549,-7064.266228,29,3.18021,0.73744,0.00545,0.00545,0.2339,1,1,0.02176,0.00545,999,0.0069,1,999
OG0013145,USP36,bsA,0.65272,-8222.194468,29,4.1731,0.64416,0.06326,0.06326,0.27736,1,1,0.05485,0.06326,1,0.02362,1,1
OG0007134,EMILIN2,bsA,0.93787,-8912.975649,29,3.11237,0.67192,0.10305,0.10305,0.32168,1,1,0.00432,0.10305,36.69985,0.00207,1,36.69985
OG0008361,SH3BP1,bsA,0.9166,-8848.454867,29,2.08808,0.61769,0,0,0.38231,1,1,0,0,1,0,1,1
OG0005994,,bsA,6.67838,-3883.137,29,2.89173,0.7499,0.02746,0.02746,0.12974,1,1,0.10261,0.02746,274.16308,0.01775,1,274.16308
OG0007713,FRMD4B,bsA,0.55773,-6971.141582,29,3.7526,0.86338,0.05307,0.05307,0.11292,1,1,0.02096,0.05307,4.41169,0.00274,1,4.41169
OG0012548,FYB2,bsA,1.02541,-5506.382692,29,4.1969,0.55043,0.07346,0.07346,0.42532,1,1,0.01368,0.07346,19.42357,0.01057,1,19.42357
OG0010481,GRIN2A,bsA,1.08365,-11820.62956,29,3.51932,0.91825,0.0371,0.0371,0.03906,1,1,0.04094,0.0371,4.80479,0.00174,1,4.80479
OG0013882,CGA,bsA,1.06127,-1046.188451,29,3.63815,0.67983,0,0,0.32017,1,1,0,0,1,0,1,1
OG0011253,IFRD2,bsA,0.45837,-2788.282579,29,4.04899,0.90539,0.04685,0.04685,0.06674,1,1,0.02596,0.04685,1,0.00191,1,1
OG0010439,POMP,bsA,0.61431,-971.960977,29,3.0701,0.88105,0.10413,0.10413,0.11895,1,1,0,0.10413,1,0,1,1
OG0013527,HECTD2,bsA,0.54441,-5523.953078,29,3.05632,0.77758,0.02122,0.02122,0.22242,1,1,0,0.02122,1,0,1,1
OG0012702,THUMPD1,bsA,2.41002,-3743.796465,29,1.97418,0.71573,0.09386,0.09386,0.28427,1,1,0,0.09386,1,0,1,1
OG0005669,NDUFV2,bsA,4.08424,-1412.205165,29,3.197,0.71006,0.08018,0.08018,0.22971,1,1,0.04551,0.08018,466.48939,0.01472,1,466.48939
OG0009996,ATP11B,bsA,1.14151,-9319.51555,29,1.5395,0.73421,0.00213,0.00213,0.22826,1,1,0.02863,0.00213,32.69771,0.0089,1,32.69771
OG0010995,,bsA,0.36415,-3944.693742,29,3.7513,0.91642,0.03939,0.03939,0.08358,1,1,0,0.03939,1,0,1,1
OG0007254,TAF9,bsA,1.18235,-2046.318752,29,4.60038,0.91818,0.02739,0.02739,0.01812,1,1,0.06247,0.02739,1,0.00123,1,1
OG0006763,BCL2A1,bsA,1.08085,-1502.040295,29,3.25093,0.80146,0.11146,0.11146,0.19213,1,1,0.00517,0.11146,55.33182,0.00124,1,55.33182
OG0006000,FNBP4,bsA,0.51669,-6420.068154,29,3.11623,0.85013,0.08973,0.08973,0.14987,1,1,0,0.08973,1,0,1,1
OG0008523,,bsA,1.00395,-3281.784255,29,3.50027,0.7321,0.01009,0.01009,0.2679,1,1,0,0.01009,1,0,1,1
OG0008544,NAB1,bsA,0.43769,-3097.762507,29,3.97994,0.96003,0.08063,0.08063,0.03997,1,1,0,0.08063,1,0,1,1
OG0006452,CLINT1,bsA,0.41266,-4091.052151,29,3.6217800000000002,0.85776,0.06803,0.06803,0.12689,1,1,0.01337,0.06803,19.30333,0.00198,1,19.30333
OG0012872,L3HYPDH,bsA,0.62639,-2549.31619,29,3.69164,0.63108,0.0231,0.0231,0.25208,1,1,0.08349,0.0231,1,0.03335,1,1
OG0006680,SEC23IP,bsA,0.5706,-6893.699123,29,3.83467,0.84152,0.07839,0.07839,0.15848,1,1,0,0.07839,1,0,1,1
OG0013614,MDH1,bsA,0.53535,-2128.091936,29,2.84586,0.8394,0.00458,0.00458,0.1047,1,1,0.0497,0.00458,18.01565,0.0062,1,18.01565
OG0005904,C1QTNF7,bsA,1.96556,-2144.243572,29,4.37123,0.88808,0.05403,0.05403,0.05882,1,1,0.0498,0.05403,364.26007,0.0033,1,364.26007
OG0007724,HCFC1,bsA,0.58801,-15288.129482,29,4.7153,0.8222,0.03221,0.03221,0.17778,1,1,2e-5,0.03221,1,0,1,1
OG0010883,RSPRY1,bsA,0.42501,-3475.778802,29,3.83332,0.99144,0.04144,0.04144,0.00507,1,1,0.00348,0.04144,22.32649,2e-5,1,22.32649
OG0012633,ARSI,bsA,0.75061,-4142.038849,29,3.17604,0.85334,0.0362,0.0362,0.14189,1,1,0.00409,0.0362,33.20181,6.8e-4,1,33.20181
OG0010338,ALX1,bsA,0.38709,-1927.859588,29,3.00306,0.89263,0.02165,0.02165,0.06815,1,1,0.03644,0.02165,1,0.00278,1,1
OG0012221,,bsA,1.49834,-6454.433241,29,3.30826,0.72618,0.05142,0.05142,0.25382,1,1,0.01482,0.05142,40.06812,0.00518,1,40.06812
OG0009532,LMAN2,bsA,0.3631,-2004.757948,29,5.05997,0.8877,0.04716,0.04716,0.1123,1,1,0,0.04716,1,0,1,1
OG0009241,PCF11,bsA,0.68294,-12461.006744,29,2.98532,0.89582,0.06338,0.06338,0.10418,1,1,0,0.06338,1,0,1,1
OG0013803,COQ10B,bsA,1.68794,-1589.919682,29,3.81819,0.81758,0.08522,0.08522,0.09622,1,1,0.07712,0.08522,204.04654,0.00908,1,204.04654
OG0010385,PDLIM7,bsA,0.76733,-3610.828218,29,2.39311,0.84763,0.03816,0.03816,0.1107,1,1,0.03686,0.03816,16.68627,0.00481,1,16.68627
OG0007558,RBM34,bsA,3.39982,-3694.925157,29,3.36651,0.57719,0.08142,0.08142,0.34284,1,1,0.05018,0.08142,999,0.0298,1,999
OG0009482,PTPN23,bsA,1.93362,-18181.06692,29,3.38028,0.88351,0.06598,0.06598,0.11535,1,1,0.00101,0.06598,16.6534,1.3e-4,1,16.6534
OG0012267,MLH1,bsA,3.41119,-6338.510235,29,3.43471,0.61516,0.09072,0.09072,0.21178,1,1,0.12874,0.09072,94.91154,0.04432,1,94.91154
OG0011677,VPS9D1,bsA,1.01248,-5203.992489,29,3.74677,0.88653,0.06257,0.06257,0.10395,1,1,0.00852,0.06257,6.90981,0.001,1,6.90981
OG0006202,KDM1A,bsA,0.58576,-5681.217328,29,2.50937,0.78383,0,0,0.09055,1,1,0.11261,0,1,0.01301,1,1
OG0008308,CYSLTR1,bsA,1.3465,-3105.147825,29,2.79572,0.78889,0.03653,0.03653,0.21111,1,1,0,0.03653,9.84947,0,1,9.84947
OG0013638,RBBP6,bsA,0.77109,-13355.912709,29,3.36202,0.80503,0.03119,0.03119,0.18841,1,1,0.00532,0.03119,28.37854,0.00125,1,28.37854
OG0011182,DCTN2,bsA,0.92452,-3232.898399,29,2.21713,0.75824,0,0,0.20268,1,1,0.03084,0,53.77108,0.00824,1,53.77108
OG0013524,KIF20B,bsA,1.07149,-16449.88961,29,2.90897,0.67528,0.15121,0.15121,0.32036,1,1,0.00295,0.15121,26.94864,0.0014,1,26.94864
OG0005300,,bsA,1.11428,-1516.91605,29,1.85217,0.83745,0.06376,0.06376,0.16255,1,1,0,0.06376,1,0,1,1
OG0013661,RBFOX1,bsA,1.14664,-3592.631619,29,1.20726,0.71704,0,0,0.25612,1,1,0.01978,0,46.42305,0.00707,1,46.42305
OG0007942,SNTN,bsA,0.82994,-1162.599811,29,3.14331,0.85428,0.20142,0.20142,0.12375,1,1,0.01919,0.20142,7.58137,0.00278,1,7.58137
OG0009795,PHF19,bsA,1.25251,-5152.136458,29,2.70187,0.8994,0.08536,0.08536,0.07944,1,1,0.01944,0.08536,1,0.00172,1,1
OG0008672,CNOT2,bsA,0.28151,-2907.366831,29,3.64987,0.9662,0.02985,0.02985,0,1,1,0.0338,0.02985,26.48275,0,1,26.48275
OG0011424,,bsA,1.05922,-6390.289255,29,2.94897,0.56656,0.03156,0.03156,0.40958,1,1,0.01385,0.03156,11.17087,0.01001,1,11.17087
OG0006228,,bsA,0.85051,-6824.85846,29,2.90608,0.8408,0.07327,0.07327,0.15036,1,1,0.0075,0.07327,10.62248,0.00134,1,10.62248
OG0013620,SERTAD2,bsA,0.34893,-1718.557696,29,3.58523,0.94306,0.08225,0.08225,0,1,1,0.05694,0.08225,69.85116,0,1,69.85116
OG0006405,ANKRD33,bsA,1.19532,-4013.197073,29,2.54833,0.6317,0.08837,0.08837,0.35799,1,1,0.00658,0.08837,15.64687,0.00373,1,15.64687
OG0010624,GPR27,bsA,0.52342,-2466.488491,29,4.24989,0.95594,0.03381,0.03381,0.03241,1,1,0.01127,0.03381,12.74216,3.8e-4,1,12.74216
OG0007596,FILIP1L,bsA,0.60529,-7511.909342,29,3.13453,0.72585,0.04686,0.04686,0.23346,1,1,0.03079,0.04686,9.55887,0.0099,1,9.55887
OG0010857,ZNF319,bsA,1.03839,-4361.788289,29,6.73381,0.96314,0.01314,0.01314,0.03686,1,1,0,0.01314,1,0,1,1
OG0013802,GTF3C3,bsA,0.74239,-5980.249442,29,3.34379,0.8661,0.04861,0.04861,0.09339,1,1,0.03657,0.04861,121.30563,0.00394,1,121.30563
OG0007634,GSTT2B,bsA,1.01273,-2222.583572,29,3.27514,0.87017,0.09088,0.09088,0.08899,1,1,0.03705,0.09088,1,0.00379,1,1
OG0010262,RPL15,bsA,0.33316,-1136.681629,29,4.26522,1,0.00629,0.00629,0,1,1,0,0.00629,1,0,1,1
OG0007848,PNISR,bsA,0.34814,-4767.496566,29,2.92308,0.85774,0.03593,0.03593,0.14226,1,1,0,0.03593,1,0,1,1
OG0005569,RTN4RL2,bsA,0.72818,-3299.642326,29,2.07355,0.80149,0.0197,0.0197,0.17396,1,1,0.02017,0.0197,1,0.00438,1,1
OG0010020,VEGFA,bsA,0.55173,-1495.752224,29,1.4695,0.58221,0,0,0.34382,1,1,0.0465,0,11.72485,0.02746,1,11.72485
OG0005602,SBK2,bsA,2.31775,-2637.265954,29,3.17133,0.7779,0.00709,0.00709,0.14807,1,1,0.0622,0.00709,236.9602,0.01184,1,236.9602
OG0006344,CLCN4,bsA,2.30511,-4877.626107,29,3.47473,0.97261,0.03326,0.03326,0,1,1,0.02739,0.03326,999,0,1,999
OG0012337,SLC35B3,bsA,1.64929,-3202.766993,29,2.49998,0.74414,0,0,0.18265,1,1,0.05878,0,121.05794,0.01443,1,121.05794
OG0011664,PABPN1L,bsA,0.92882,-2041.925838,29,3.12303,0.83047,0.07918,0.07918,0.16953,1,1,0,0.07918,1,0,1,1
OG0011210,,bsA,0.76262,-4345.5141,29,3.46138,0.7436,0.12383,0.12383,0.2564,1,1,0,0.12383,1,0,1,1
OG0008718,SYT3,bsA,0.61012,-3260.897159,29,3.45644,0.93237,0.021,0.021,0.04473,1,1,0.02185,0.021,106.21732,0.00105,1,106.21732
OG0007609,MGLL,bsA,1.44856,-2577.108054,29,1.92631,0.68913,0.00325,0.00325,0.24265,1,1,0.05045,0.00325,181.94896,0.01777,1,181.94896
OG0011641,CACTIN,bsA,0.61937,-5106.305549,29,3.75262,0.9419,0.03515,0.03515,0.0581,1,1,0,0.03515,1,0,1,1
OG0013762,,bsA,1.80336,-7442.914185,29,3.28263,0.4414,0.08739,0.08739,0.30571,1,1,0.14941,0.08739,1,0.10348,1,1
OG0012863,TRMT5,bsA,0.63068,-3680.64825,29,3.58762,0.78511,0.13418,0.13418,0.21193,1,1,0.00233,0.13418,48.15232,6.3e-4,1,48.15232
OG0008516,TTC38,bsA,1.31444,-4269.8089,29,2.74099,0.78522,0.08,0.08,0.20801,1,1,0.00535,0.08,11.07377,0.00142,1,11.07377
OG0013771,TNFRSF11A,bsA,1.05644,-5702.212578,29,2.86057,0.74147,0.13818,0.13818,0.25853,1,1,0,0.13818,1,0,1,1
OG0007002,HEMK1,bsA,0.90096,-2967.040356,29,3.05902,0.67768,0.09518,0.09518,0.29585,1,1,0.01843,0.09518,27.84897,0.00805,1,27.84897
OG0007431,RGR,bsA,1.48548,-2659.350484,29,2.2168,0.81589,0.04227,0.04227,0.16129,1,1,0.01906,0.04227,230.57925,0.00377,1,230.57925
OG0009016,PTBP3,bsA,0.37662,-3309.173642,29,3.92105,0.81437,0.00681,0.00681,0.1361,1,1,0.04244,0.00681,1,0.00709,1,1
OG0010715,ISY1,bsA,0.45252,-1736.598357,29,2.40238,0.73815,0,0,0.11373,1,1,0.12835,0,1,0.01977,1,1
OG0011645,FZR1,bsA,0.38396,-3858.742328,29,3.64627,0.99854,0.00759,0.00759,0,1,1,0.00146,0.00759,6.7594,0,1,6.7594
OG0013032,PPCS,bsA,1.07699,-2427.458965,29,3.82308,0.74638,0.06092,0.06092,0.07785,1,1,0.15917,0.06092,1,0.0166,1,1
OG0012530,PTGS2,bsA,0.64022,-4220.981271,29,3.07343,0.89499,0.06598,0.06598,0.10226,1,1,0.00247,0.06598,26.43239,2.8e-4,1,26.43239
OG0011064,KLF4,bsA,0.42918,-3124.857836,29,6.01239,0.82774,0.04765,0.04765,0.17226,1,1,0,0.04765,1,0,1,1
OG0007168,CSNK1G2,bsA,0.74583,-2686.075208,29,2.88001,0.92722,0,0,0.03688,1,1,0.03453,0,101.95274,0.00137,1,101.95274
OG0010166,,bsA,1.69333,-3539.462415,29,2.80444,0.83816,0.06093,0.06093,0.16184,1,1,0,0.06093,1,0,1,1
OG0007535,CUNH7ORF31 CZH7ORF31,bsA,1.01245,-4376.079697,29,3.7629,0.25457,0.00168,0.00168,0.30676,1,1,0.19895,0.00168,1,0.23973,1,1
OG0008016,GPR6,bsA,0.43942,-2044.471359,29,2.88157,0.96764,0.03352,0.03352,0.03236,1,1,0,0.03352,1,0,1,1
OG0011932,SLC22A18,bsA,1.0586,-3917.285829,29,2.81144,0.55269,0.02018,0.02018,0.39584,1,1,0.02999,0.02018,9.09916,0.02148,1,9.09916
OG0008320,DISP2,bsA,0.62741,-10705.931861,29,3.18144,0.84206,0.06163,0.06163,0.15587,1,1,0.00175,0.06163,38.85221,3.2e-4,1,38.85221
