Orthogroup,Gene,Branch-Site (null/alt),LRT (BS),P-value (BS),Adj. P-value (BS),Site (null/alt),LRT (S),P-value (S),Adj. P-value (S),Signal
OG0011051,SERPINE2,bsA1/bsA,46.711,0,0,M1/M2,0,1,1,PS_fg
OG0009117,MARCO,bsA1/bsA,5.695,0.017,0.038,M1/M2,10.128,0.006,0.036,no_PS
OG0010150,HPS3,bsA1/bsA,2.876,0.09,0.181,M1/M2,0,1,1,no_PS
OG0011114,,bsA1/bsA,61.52,0,0,M1/M2,0.536,0.765,1,PS_fg
OG0009850,NOSTRIN,bsA1/bsA,50.502,0,0,M1/M2,2.275,0.321,0.902,PS_fg
OG0012533,SLITRK5,bsA1/bsA,0,0.997,1,M1/M2,0,1,1,no_PS
OG0011712,HTR2C,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0011311,REEP1,bsA1/bsA,0,0.992,1,M1/M2,1.484,0.476,1,no_PS
OG0013476,PHF5A,bsA1/bsA,177.617,0,0,M1/M2,0.001,0.999,1,PS_fg
OG0012406,SERPINA10,bsA1/bsA,5.003,0.025,0.056,M1/M2,1.251,0.535,1,no_PS
OG0008053,B4GALNT1,bsA1/bsA,65.347,0,0,M1/M2,119.476,0,0,PS_fg_bg
OG0006595,TNN,bsA1/bsA,15.863,0,0,M1/M2,38.919,0,0,PS_fg_bg
OG0012034,KCNJ12,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0007210,ZC2HC1C,bsA1/bsA,6.262,0.012,0.028,M1/M2,1.036,0.596,1,no_PS
OG0012279,AARSD1,bsA1/bsA,62.899,0,0,M1/M2,25.546,0,0,PS_fg_bg
OG0010053,SRSF9,bsA1/bsA,,,,M1/M2,5.086,0.079,0.304,poor_fit
OG0012736,NUP58,bsA1/bsA,62.36,0,0,M1/M2,114.754,0,0,PS_fg_bg
OG0007728,NDUFAF2,bsA1/bsA,1.206,0.272,0.491,M1/M2,2.185,0.335,0.928,no_PS
OG0012696,IRF2BP1,bsA1/bsA,39.997,0,0,M1/M2,0,1,1,PS_fg
OG0014193,WWC2,bsA1/bsA,54.36,0,0,M1/M2,0.021,0.989,1,PS_fg
OG0007078,PDSS2,bsA1/bsA,3.053,0.081,0.163,M1/M2,2.029,0.363,0.984,no_PS
OG0007282,NPRL2,bsA1/bsA,0,1,1,M1/M2,0.258,0.879,1,no_PS
OG0006216,ENTPD7,bsA1/bsA,18.17,0,0,M1/M2,1.305,0.521,1,PS_fg
OG0009480,CCDC34,bsA1/bsA,0,1,1,M1/M2,5.439,0.066,0.264,no_PS
OG0007776,KCNK3,bsA1/bsA,0,1,1,M1/M2,0.054,0.973,1,no_PS
OG0006052,ETNK1,bsA1/bsA,,,,M1/M2,6.008,0.05,0.208,poor_fit
OG0011308,CD8A,bsA1/bsA,32.23,0,0,M1/M2,5.529,0.063,0.255,PS_fg
OG0005771,RIBC1,bsA1/bsA,9.81,0.002,0.004,M1/M2,12.136,0.002,0.015,PS_fg
OG0011514,SWT1,bsA1/bsA,0,1,1,M1/M2,1.048,0.592,1,no_PS
OG0007624,BICRA,bsA1/bsA,0,0.995,1,M1/M2,0,1,1,no_PS
OG0008894,,bsA1/bsA,124.757,0,0,M1/M2,0,1,1,PS_fg
OG0013278,FOXJ2,bsA1/bsA,320.922,0,0,M1/M2,8.026,0.018,0.09,PS_fg
OG0008765,SFXN4,bsA1/bsA,11.277,0.001,0.002,M1/M2,4.629,0.099,0.364,PS_fg
OG0013895,TMEM250,bsA1/bsA,15.295,0,0,M1/M2,0,1,1,PS_fg
OG0011736,SHROOM4,bsA1/bsA,6.462,0.011,0.026,M1/M2,2.559,0.278,0.814,no_PS
OG0007689,LARP4,bsA1/bsA,14.847,0,0,M1/M2,0.366,0.833,1,PS_fg
OG0007439,MLXIP,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0012623,,bsA1/bsA,0.206,0.65,1,M1/M2,54.181,0,0,PS_bg
OG0009660,TPBG,bsA1/bsA,,,,M1/M2,1.05,0.592,1,poor_fit
OG0011879,FGF21,bsA1/bsA,0,1,1,M1/M2,0.137,0.934,1,no_PS
OG0006395,SPTBN1,bsA1/bsA,1.892,0.169,0.319,M1/M2,6.965,0.031,0.141,no_PS
OG0007857,CHCHD2,bsA1/bsA,0,1,1,M1/M2,1.221,0.543,1,no_PS
OG0006810,OXSR1,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0007488,HPS4,bsA1/bsA,0.014,0.905,1,M1/M2,0.215,0.898,1,no_PS
OG0007772,FBXO16,bsA1/bsA,216.834,0,0,M1/M2,1.375,0.503,1,PS_fg
OG0013580,PPP1R12B,bsA1/bsA,13.716,0,0.001,M1/M2,34.293,0,0,PS_fg_bg
OG0007733,ODR4,bsA1/bsA,29.967,0,0,M1/M2,3.022,0.221,0.685,PS_fg
OG0011903,NUP50,bsA1/bsA,36.763,0,0,M1/M2,0.081,0.96,1,PS_fg
OG0009567,CINP,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0011525,SNED1,bsA1/bsA,11.618,0.001,0.002,M1/M2,0,1,1,PS_fg
OG0007924,MTFR1,bsA1/bsA,7.636,0.006,0.014,M1/M2,0.279,0.87,1,no_PS
OG0013145,HSDL1,bsA1/bsA,26.603,0,0,M1/M2,0,1,1,PS_fg
OG0014033,DPF2,bsA1/bsA,3.672,0.055,0.116,M1/M2,0,1,1,no_PS
OG0007134,SDC4,bsA1/bsA,0.085,0.771,1,M1/M2,0.036,0.982,1,no_PS
OG0008361,,bsA1/bsA,64.909,0,0,M1/M2,0,1,1,PS_fg
OG0005994,L1CAM,bsA1/bsA,279.855,0,0,M1/M2,0.031,0.985,1,PS_fg
OG0007713,PKDCC,bsA1/bsA,123.163,0,0,M1/M2,0,1,1,PS_fg
OG0012548,RFX7,bsA1/bsA,,,,M1/M2,0,1,1,poor_fit
OG0010481,MRPL55,bsA1/bsA,2.379,0.123,0.24,M1/M2,1.168,0.558,1,no_PS
OG0013882,MAMDC4,bsA1/bsA,324.084,0,0,M1/M2,0,1,1,PS_fg
OG0011253,CCDC138,bsA1/bsA,771.178,0,0,M1/M2,1.289,0.525,1,PS_fg
OG0010439,WIPI1,bsA1/bsA,44.271,0,0,M1/M2,0.813,0.666,1,PS_fg
OG0013527,AKIRIN2,bsA1/bsA,69.744,0,0,M1/M2,16.434,0,0.002,PS_fg_bg
OG0012702,SNRPD2,bsA1/bsA,0,1,1,M1/M2,0.002,0.999,1,no_PS
OG0005669,RIPK4,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0008663,SAP30BP,bsA1/bsA,3.668,0.055,0.116,M1/M2,2.249,0.325,0.912,no_PS
OG0009996,ZBTB8OS,bsA1/bsA,18.048,0,0,M1/M2,1.126,0.57,1,PS_fg
OG0010995,BIRC5,bsA1/bsA,0,1,1,M1/M2,1.584,0.453,1,no_PS
OG0007254,ARHGAP5,bsA1/bsA,27.77,0,0,M1/M2,0,1,1,PS_fg
OG0006763,NODAL,bsA1/bsA,0.019,0.889,1,M1/M2,0.983,0.612,1,no_PS
OG0006000,,bsA1/bsA,0,1,1,M1/M2,0.725,0.696,1,no_PS
OG0014215,SEPTIN7 SEPT7,bsA1/bsA,106.876,0,0,M1/M2,0,1,1,PS_fg
OG0008523,ERICH2,bsA1/bsA,9.864,0.002,0.004,M1/M2,5.263,0.072,0.284,PS_fg
OG0008544,SLC4A1AP,bsA1/bsA,57.348,0,0,M1/M2,0,1,1,PS_fg
OG0006452,TRIM29,bsA1/bsA,206.866,0,0,M1/M2,2.32,0.314,0.886,PS_fg
OG0012872,ACTR10,bsA1/bsA,13.007,0,0.001,M1/M2,0,1,1,PS_fg
OG0006680,APBB1IP,bsA1/bsA,1.676,0.195,0.364,M1/M2,0.654,0.721,1,no_PS
OG0013614,CRTAC1,bsA1/bsA,106.805,0,0,M1/M2,137.099,0,0,PS_fg_bg
OG0005904,NDUFA2,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0007724,BSX,bsA1/bsA,0.83,0.362,0.637,M1/M2,0,1,1,no_PS
OG0010883,TSNAX,bsA1/bsA,0,1,1,M1/M2,0.302,0.86,1,no_PS
OG0012633,TDGF1,bsA1/bsA,60.196,0,0,M1/M2,49.807,0,0,PS_fg_bg
OG0010338,ANKRA2,bsA1/bsA,0,1,1,M1/M2,0.089,0.956,1,no_PS
OG0012221,NPL,bsA1/bsA,35.179,0,0,M1/M2,11.737,0.003,0.018,PS_fg
OG0009532,QKI,bsA1/bsA,103.443,0,0,M1/M2,57.263,0,0,PS_fg_bg
OG0009241,TOX2,bsA1/bsA,19.127,0,0,M1/M2,0.346,0.841,1,PS_fg
OG0010385,PIH1D2,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0007558,RAD50,bsA1/bsA,,,,M1/M2,0,1,1,poor_fit
OG0009482,PTGR1,bsA1/bsA,78.969,0,0,M1/M2,25.236,0,0,PS_fg_bg
OG0012267,ELOVL2,bsA1/bsA,,,,M1/M2,0,1,1,poor_fit
OG0011677,VHL,bsA1/bsA,0,1,1,M1/M2,0.853,0.653,1,no_PS
OG0006202,,bsA1/bsA,0,1,1,M1/M2,3.16,0.206,0.65,no_PS
OG0008308,DUSP10,bsA1/bsA,,,,M1/M2,0,1,1,poor_fit
OG0013638,CUNH5ORF22 C8H5ORF22,bsA1/bsA,6.018,0.014,0.032,M1/M2,2.219,0.33,0.919,no_PS
OG0011182,CISD1,bsA1/bsA,0.043,0.835,1,M1/M2,9.109,0.011,0.056,no_PS
OG0013524,SLC35A1,bsA1/bsA,4.792,0.029,0.063,M1/M2,0,1,1,no_PS
OG0005300,CHODL,bsA1/bsA,40.275,0,0,M1/M2,141.668,0,0,PS_fg_bg
OG0013661,SLC9A3R1,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0009795,GNGT2,bsA1/bsA,49.852,0,0,M1/M2,2.209,0.331,0.921,PS_fg
OG0008672,FBF1,bsA1/bsA,2.175,0.14,0.27,M1/M2,4.667,0.097,0.359,no_PS
OG0011424,ZNF428,bsA1/bsA,0.09,0.765,1,M1/M2,0,1,1,no_PS
OG0006228,MTAP,bsA1/bsA,56.81,0,0,M1/M2,0,1,1,PS_fg
OG0013620,MORN4,bsA1/bsA,154.623,0,0,M1/M2,17.307,0,0.001,PS_fg_bg
OG0006405,CCDC85A,bsA1/bsA,38.013,0,0,M1/M2,2.093,0.351,0.962,PS_fg
OG0010624,MORF4L1,bsA1/bsA,30.578,0,0,M1/M2,0.005,0.998,1,PS_fg
OG0007596,POLR2F,bsA1/bsA,,,,M1/M2,0.346,0.841,1,poor_fit
OG0010857,WDR45B,bsA1/bsA,0,1,1,M1/M2,0.001,1,1,no_PS
OG0013802,RASSF2,bsA1/bsA,127.36,0,0,M1/M2,0.304,0.859,1,PS_fg
OG0007634,MTUS2,bsA1/bsA,13.541,0,0.001,M1/M2,0,1,1,PS_fg
OG0010262,NLRC3,bsA1/bsA,65.164,0,0,M1/M2,0,1,1,PS_fg
OG0007848,SUPT4H1,bsA1/bsA,162.147,0,0,M1/M2,0.503,0.778,1,PS_fg
OG0005569,RPS7,bsA1/bsA,0,1,1,M1/M2,0.002,0.999,1,no_PS
OG0010020,SMAP2,bsA1/bsA,173.938,0,0,M1/M2,32.01,0,0,PS_fg_bg
OG0006344,FBXL15,bsA1/bsA,0,1,1,M1/M2,0.403,0.818,1,no_PS
OG0012337,ARGLU1,bsA1/bsA,338.586,0,0,M1/M2,6.655,0.036,0.161,PS_fg
OG0011664,,bsA1/bsA,4.007,0.045,0.096,M1/M2,40.904,0,0,PS_bg
OG0011210,RGS22,bsA1/bsA,111.356,0,0,M1/M2,51.1,0,0,PS_fg_bg
OG0008718,GPR137B,bsA1/bsA,25.92,0,0,M1/M2,0,1,1,PS_fg
OG0007609,ASXL3,bsA1/bsA,274.291,0,0,M1/M2,0.144,0.93,1,PS_fg
OG0011641,CSDE1,bsA1/bsA,0,1,1,M1/M2,11.428,0.003,0.02,no_PS
OG0013762,PSD4,bsA1/bsA,40.337,0,0,M1/M2,0.882,0.643,1,PS_fg
OG0012863,SAMD4A,bsA1/bsA,,,,M1/M2,0.049,0.976,1,poor_fit
OG0008516,LMAN2,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0013771,NDUFA10,bsA1/bsA,0.118,0.732,1,M1/M2,0.771,0.68,1,no_PS
OG0007002,,bsA1/bsA,3.7,0.054,0.114,M1/M2,19.757,0,0,PS_bg
OG0007431,KDM2B,bsA1/bsA,,,,M1/M2,0,1,1,poor_fit
OG0009016,PPARGC1B,bsA1/bsA,,,,M1/M2,33.023,0,0,poor_fit
OG0010715,PPFIA3,bsA1/bsA,,,,M1/M2,0.863,0.65,1,poor_fit
OG0011645,TSPAN2,bsA1/bsA,26.628,0,0,M1/M2,0.195,0.907,1,PS_fg
OG0014309,,bsA1/bsA,373.284,0,0,M1/M2,6.289,0.043,0.186,PS_fg
OG0013032,SHH,bsA1/bsA,,,,M1/M2,0,1,1,poor_fit
OG0012530,CEP63,bsA1/bsA,86.67,0,0,M1/M2,12.029,0.002,0.016,PS_fg
OG0011064,FXN,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0014240,,bsA1/bsA,0,1,1,M1/M2,23.095,0,0,PS_bg
OG0007168,EEF1AKMT1,bsA1/bsA,254.088,0,0,M1/M2,0,1,1,PS_fg
OG0010166,GTF2H5,bsA1/bsA,0,0.998,1,M1/M2,0,1,1,no_PS
OG0007535,SPATA9,bsA1/bsA,0.008,0.928,1,M1/M2,0.422,0.81,1,no_PS
OG0008016,TIFA,bsA1/bsA,0,1,1,M1/M2,3.824,0.148,0.501,no_PS
OG0011932,RAD9A,bsA1/bsA,1.193,0.275,0.495,M1/M2,5.071,0.079,0.305,no_PS
OG0008320,ENAH,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0011626,PTPRJ,bsA1/bsA,125.175,0,0,M1/M2,74.19,0,0,PS_fg_bg
OG0012342,BRAF,bsA1/bsA,0,1,1,M1/M2,0.004,0.998,1,no_PS
OG0010537,IRS2,bsA1/bsA,16.121,0,0,M1/M2,0,1,1,PS_fg
OG0009231,PKIA,bsA1/bsA,0.398,0.528,0.904,M1/M2,0.001,1,1,no_PS
OG0010310,MTURN,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0012024,DAGLB,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0009018,HTR4,bsA1/bsA,74.706,0,0,M1/M2,97.504,0,0,PS_fg_bg
OG0010095,ZZZ3,bsA1/bsA,0.033,0.855,1,M1/M2,1.333,0.513,1,no_PS
OG0010894,FANCE,bsA1/bsA,10.258,0.001,0.004,M1/M2,0.236,0.889,1,PS_fg
OG0010422,DLD,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0007220,VRTN,bsA1/bsA,1.632,0.201,0.374,M1/M2,1.489,0.475,1,no_PS
OG0005856,SEC62,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0009253,SPATA4,bsA1/bsA,28.008,0,0,M1/M2,0.83,0.66,1,PS_fg
OG0013570,NEK1,bsA1/bsA,89.144,0,0,M1/M2,0,1,1,PS_fg
OG0011723,GJB1,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0008437,SV2C,bsA1/bsA,,,,M1/M2,5.034,0.081,0.31,poor_fit
OG0010830,DHX38,bsA1/bsA,0.893,0.345,0.608,M1/M2,,,,poor_fit
OG0013453,TOMM22,bsA1/bsA,0,1,1,M1/M2,25.856,0,0,PS_bg
OG0012152,MBLAC2,bsA1/bsA,0,1,1,M1/M2,0.041,0.98,1,no_PS
OG0012477,GFI1B,bsA1/bsA,0.644,0.422,0.733,M1/M2,0,1,1,no_PS
OG0013466,TNRC6B,bsA1/bsA,62.251,0,0,M1/M2,25.291,0,0,PS_fg_bg
OG0013674,KCTD2,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0007148,LYPLA1,bsA1/bsA,0,1,1,M1/M2,1.571,0.456,1,no_PS
OG0008602,AQP3,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0005926,TMEM121,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0011786,SH3GL3,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0011461,LMO2,bsA1/bsA,0,1,1,M1/M2,34.449,0,0,PS_bg
OG0012015,GPR139,bsA1/bsA,3.9,0.048,0.102,M1/M2,0,1,1,no_PS
OG0010271,WFIKKN1,bsA1/bsA,0.452,0.501,0.861,M1/M2,,,,poor_fit
OG0007003,,bsA1/bsA,63.475,0,0,M1/M2,0,1,1,PS_fg
OG0011537,ADD3,bsA1/bsA,0,1,1,M1/M2,0.854,0.652,1,no_PS
OG0012622,,bsA1/bsA,67.711,0,0,M1/M2,0,1,1,PS_fg
OG0014031,AP5B1,bsA1/bsA,,,,M1/M2,0,1,1,poor_fit
OG0010289,KIAA1143,bsA1/bsA,295.385,0,0,M1/M2,0.052,0.974,1,PS_fg
OG0013918,PLPP7,bsA1/bsA,21.252,0,0,M1/M2,4.653,0.098,0.361,PS_fg
OG0011003,C1QTNF1,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0009463,TSPEAR,bsA1/bsA,0,1,1,M1/M2,201.971,0,0,PS_bg
OG0005493,NUDT4,bsA1/bsA,0.356,0.551,0.939,M1/M2,0,1,1,no_PS
OG0007074,CRYBG1,bsA1/bsA,11.443,0.001,0.002,M1/M2,1.856,0.395,1,PS_fg
OG0013857,COG8,bsA1/bsA,0.316,0.574,0.978,M1/M2,1.283,0.527,1,no_PS
OG0006369,ABCD3,bsA1/bsA,4.784,0.029,0.063,M1/M2,75.711,0,0,PS_bg
OG0011391,SUFU,bsA1/bsA,76.22,0,0,M1/M2,0,1,1,PS_fg
OG0007800,ABHD1,bsA1/bsA,1.065,0.302,0.54,M1/M2,3.63,0.163,0.538,no_PS
OG0009285,LIN28A,bsA1/bsA,,,,M1/M2,0,1,1,poor_fit
OG0010550,COL4A2,bsA1/bsA,33.412,0,0,M1/M2,57.202,0,0,PS_fg_bg
OG0009988,AK2,bsA1/bsA,31.2,0,0,M1/M2,0,1,1,PS_fg
OG0010538,TNFSF13B,bsA1/bsA,0,1,1,M1/M2,0.783,0.676,1,no_PS
OG0012330,NDUFB8,bsA1/bsA,21.11,0,0,M1/M2,11.432,0.003,0.02,PS_fg
OG0006701,CHGB,bsA1/bsA,69.4,0,0,M1/M2,12.444,0.002,0.013,PS_fg
OG0006826,TMPRSS9,bsA1/bsA,1314.591,0,0,M1/M2,0,1,1,PS_fg
OG0012706,FKRP,bsA1/bsA,68.694,0,0,M1/M2,0,1,1,PS_fg
OG0005527,ONECUT2,bsA1/bsA,217.043,0,0,M1/M2,17.289,0,0.001,PS_fg_bg
OG0013280,SH3TC1,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0008261,,bsA1/bsA,327.462,0,0,M1/M2,0,1,1,PS_fg
OG0007142,LPIN3,bsA1/bsA,0,1,1,M1/M2,0.686,0.71,1,no_PS
OG0010940,UTP23,bsA1/bsA,49.962,0,0,M1/M2,0,1,1,PS_fg
OG0005722,,bsA1/bsA,,,,M1/M2,1.24,0.538,1,poor_fit
OG0013756,NT5DC4,bsA1/bsA,6.074,0.014,0.031,M1/M2,0,1,1,no_PS
OG0010678,CUNH4ORF17 C9H4ORF17,bsA1/bsA,0,1,1,M1/M2,7.652,0.022,0.105,no_PS
OG0009768,EPOP,bsA1/bsA,106.544,0,0,M1/M2,0,1,1,PS_fg
OG0014060,PBX4,bsA1/bsA,0,0.999,1,M1/M2,0,1,1,no_PS
OG0005370,VPS28,bsA1/bsA,1.198,0.274,0.493,M1/M2,0,1,1,no_PS
OG0006968,SSBP4,bsA1/bsA,131.955,0,0,M1/M2,24.263,0,0,PS_fg_bg
OG0009027,CUNH2ORF69 C1H2ORF69,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0008756,KCNK18,bsA1/bsA,15.106,0,0,M1/M2,0,1,1,PS_fg
OG0010885,PACSIN1,bsA1/bsA,0,1,1,M1/M2,39.505,0,0,PS_bg
OG0011848,SLC4A1,bsA1/bsA,0,0.999,1,M1/M2,38.149,0,0,PS_bg
OG0009102,CSAD,bsA1/bsA,0.072,0.788,1,M1/M2,3.917,0.141,0.482,no_PS
OG0010891,SCUBE3,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0005822,USE1,bsA1/bsA,0.001,0.97,1,M1/M2,1.05,0.592,1,no_PS
OG0007697,NSD2,bsA1/bsA,,,,M1/M2,0,1,1,poor_fit
OG0007585,GGA1,bsA1/bsA,0,0.986,1,M1/M2,23.019,0,0,PS_bg
OG0011389,ARL3,bsA1/bsA,0,1,1,M1/M2,21.173,0,0,PS_bg
OG0005295,IRF5,bsA1/bsA,509.517,0,0,M1/M2,0,1,1,PS_fg
OG0006372,TMEM56 TLCD4,bsA1/bsA,0,1,1,M1/M2,6.963,0.031,0.141,no_PS
OG0006953,PLXDC1,bsA1/bsA,206.023,0,0,M1/M2,58.527,0,0,PS_fg_bg
OG0010571,MCM3,bsA1/bsA,30.081,0,0,M1/M2,0.038,0.981,1,PS_fg
OG0014014,MAP4K2,bsA1/bsA,222.828,0,0,M1/M2,0,1,1,PS_fg
OG0010471,LRRC14,bsA1/bsA,0,0.997,1,M1/M2,0,1,1,no_PS
OG0013628,LDB1,bsA1/bsA,121.309,0,0,M1/M2,1.615,0.446,1,PS_fg
OG0010675,,bsA1/bsA,101.657,0,0,M1/M2,16.659,0,0.002,PS_fg_bg
OG0013742,GEM,bsA1/bsA,0,1,1,M1/M2,0.466,0.792,1,no_PS
OG0006964,BTAF1,bsA1/bsA,0.003,0.957,1,M1/M2,0.059,0.971,1,no_PS
OG0006639,HEY2,bsA1/bsA,2.939,0.086,0.174,M1/M2,0,1,1,no_PS
OG0005440,ASIC4,bsA1/bsA,171.435,0,0,M1/M2,0,1,1,PS_fg
OG0010724,EMC10,bsA1/bsA,199.126,0,0,M1/M2,0.166,0.92,1,PS_fg
OG0012693,CCDC61,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0009650,CSGALNACT2,bsA1/bsA,8.463,0.004,0.009,M1/M2,0,1,1,PS_fg
OG0009040,TMEM88,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0007097,CDK19,bsA1/bsA,155.407,0,0,M1/M2,87.936,0,0,PS_fg_bg
OG0006949,PRRG2,bsA1/bsA,40.032,0,0,M1/M2,1.52,0.468,1,PS_fg
OG0012611,,bsA1/bsA,170.497,0,0,M1/M2,0.043,0.979,1,PS_fg
OG0010371,LRAT,bsA1/bsA,3.143,0.076,0.155,M1/M2,1.16,0.56,1,no_PS
OG0008066,CNTN4,bsA1/bsA,561.836,0,0,M1/M2,0,1,1,PS_fg
OG0013782,PCYOX1,bsA1/bsA,0,0.999,1,M1/M2,0,1,1,no_PS
OG0007563,MRPS36,bsA1/bsA,78.77,0,0,M1/M2,0,1,1,PS_fg
OG0012109,STK33,bsA1/bsA,2.888,0.089,0.179,M1/M2,15.055,0.001,0.004,PS_bg
OG0005959,LIN37,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0007184,ADCK1,bsA1/bsA,0,1,1,M1/M2,8.071,0.018,0.088,no_PS
OG0013761,,bsA1/bsA,188.758,0,0,M1/M2,2.295,0.317,0.896,PS_fg
OG0007113,SULF2,bsA1/bsA,1.303,0.254,0.461,M1/M2,3.501,0.174,0.565,no_PS
OG0008832,HOXA5,bsA1/bsA,0,1,1,M1/M2,0,1,1,no_PS
OG0011417,OXNAD1,bsA1/bsA,81.281,0,0,M1/M2,1.289,0.525,1,PS_fg
OG0010607,SPINT2,bsA1/bsA,1.994,0.158,0.301,M1/M2,1.803,0.406,1,no_PS
OG0008551,RGS8,bsA1/bsA,0.001,0.98,1,M1/M2,9.802,0.007,0.042,no_PS
OG0006172,ACVR1B,bsA1/bsA,23.729,0,0,M1/M2,24.988,0,0,PS_fg_bg
