Orthogroup,Gene,Model,Tree length,Lnl,Df,Kappa,Site class model,Proportion 0,Omega 0,Proportion 1,Omega 1
OG0011712,GLB1L,M1,0.5971,-4536.145983,15,3.81206,NearlyNeutral,0.70074,0.00445,0.29926,1
OG0011311,NFASC,M1,0.3694,-7944.192079,15,2.85692,NearlyNeutral,0.80749,0,0.19251,1
OG0013476,STX3,M1,1.3398,-2726.211906,15,1.07673,NearlyNeutral,0.79045,0.00666,0.20955,1
OG0012406,BRAP,M1,0.82117,-4245.934451,15,2.84796,NearlyNeutral,0.93403,0.03804,0.06597,1
OG0008053,CCN5 WISP2,M1,0.73779,-1809.375519,15,3.05419,NearlyNeutral,0.7291,0.09566,0.2709,1
OG0006595,RNF8,M1,0.57754,-3837.980526,15,2.75983,NearlyNeutral,0.86562,0.1388,0.13438,1
OG0012034,TTBK1,M1,0.3875,-8096.235676,15,3.76066,NearlyNeutral,0.79881,0.00204,0.20119,1
OG0007210,ISG20L2,M1,1.55273,-3223.770596,15,4.15974,NearlyNeutral,0.78951,0.0537,0.21049,1
OG0012279,PDK3,M1,0.39047,-2303.653694,15,2.92552,NearlyNeutral,0.9138,0.00686,0.0862,1
OG0010053,HOXC5,M1,0.17016,-1147.704603,15,4.34632,NearlyNeutral,0.84128,0,0.15872,1
OG0012736,MAFK,M1,0.88274,-1382.780259,15,2.21754,NearlyNeutral,0.87425,0.01076,0.12575,1
OG0007728,OPN1LW,M1,0.60885,-2518.932006,15,2.70665,NearlyNeutral,0.73311,0,0.26689,1
OG0012696,ITPRIPL2,M1,1.42103,-4114.377622,15,3.08075,NearlyNeutral,0.84201,0.06354,0.15799,1
OG0007078,TENT4B,M1,0.94922,-5672.994357,15,1.69653,NearlyNeutral,0.82766,0.01842,0.17234,1
OG0007282,COL6A1,M1,0.54104,-6719.976888,15,2.64411,NearlyNeutral,0.70704,0,0.29296,1
OG0006216,LIN37,M1,1.04829,-2025.932919,15,2.31698,NearlyNeutral,0.79584,0.04965,0.20416,1
OG0009480,CCM2,M1,1.70501,-3916.059854,15,1.95467,NearlyNeutral,0.98468,0.02796,0.01532,1
OG0007776,HIPK4,M1,1.05094,-4628.76392,15,4.28945,NearlyNeutral,0.90789,0.03814,0.09211,1
OG0006052,TWIST1,M1,1.93533,-1468.080618,15,2.39571,NearlyNeutral,0.84875,0.02727,0.15125,1
OG0011308,PIK3C2B,M1,0.40941,-9982.418909,15,3.91233,NearlyNeutral,0.93949,0.06186,0.06051,1
OG0005771,ATP6V0A1,M1,0.40456,-5018.829327,15,3.58795,NearlyNeutral,0.90202,0.00965,0.09798,1
OG0011514,WDR26,M1,0.49249,-3851.206265,15,2.29851,NearlyNeutral,0.80745,0,0.19255,1
OG0007624,NHLRC3,M1,0.64384,-2441.369846,15,4.84446,NearlyNeutral,0.84424,0.07614,0.15576,1
OG0008894,ATP5MK ATP5MD,M1,0.7516,-427.415408,15,1.06407,NearlyNeutral,0.75378,0.23228,0.24622,1
OG0013278,VILL,M1,1.16777,-7213.505221,15,2.63933,NearlyNeutral,0.80873,0.06124,0.19127,1
OG0008765,,M1,0.86824,-4718.463937,15,5.97258,NearlyNeutral,0.92671,0.03258,0.07329,1
OG0013895,GABRR1,M1,0.31872,-2614.651829,15,3.15274,NearlyNeutral,0.95977,0.04331,0.04023,1
OG0007689,SPRED3,M1,1.02765,-3555.020459,15,2.36204,NearlyNeutral,0.84022,0.04431,0.15978,1
OG0007439,MMRN2,M1,1.08908,-8249.450022,15,2.84299,NearlyNeutral,0.74725,0.11634,0.25275,1
OG0012623,SQSTM1,M1,0.6971,-3296.195404,15,3.27895,NearlyNeutral,0.62684,0.03271,0.37316,1
OG0007359,ZYX,M1,0.56675,-4290.559004,15,4.73332,NearlyNeutral,0.75438,0.07789,0.24562,1
OG0009660,KCTD3,M1,0.34541,-4681.43551,15,3.47411,NearlyNeutral,0.94903,0.02854,0.05097,1
OG0011879,FAM47E,M1,1.65344,-4126.284663,15,2.02331,NearlyNeutral,0.69487,0.1152,0.30513,1
OG0006395,PCDH9,M1,0.6454,-7587.119037,15,2.79732,NearlyNeutral,0.96396,0.003,0.03604,1
OG0007857,KCNV2,M1,0.85228,-4101.435725,15,4.33169,NearlyNeutral,0.78474,0.03626,0.21526,1
OG0006810,WIPF2,M1,0.48582,-2724.080681,15,4.24195,NearlyNeutral,0.81727,0.00472,0.18273,1
OG0011482,SIAE,M1,0.80415,-3902.412607,15,3.92665,NearlyNeutral,0.67078,0.08587,0.32922,1
OG0007488,AGK,M1,0.79032,-3272.89213,15,2.02281,NearlyNeutral,0.71527,0.05559,0.28473,1
OG0007772,COQ8B,M1,1.1589,-4165.924384,15,3.49935,NearlyNeutral,0.86234,0.08043,0.13766,1
OG0013580,ENPP1,M1,0.61475,-6293.460625,15,3.3823,NearlyNeutral,0.77995,0.05326,0.22005,1
OG0007733,EMD,M1,1.89015,-3141.907966,15,2.08833,NearlyNeutral,0.49826,0.02917,0.50174,1
OG0011903,BTF3,M1,0.32506,-887.817803,15,3.10796,NearlyNeutral,0.97489,0.00661,0.02511,1
OG0009567,PDE8B,M1,0.44542,-5867.866476,15,3.1869,NearlyNeutral,0.86425,0.10953,0.13575,1
OG0011525,PSEN2,M1,0.40887,-2825.704763,15,4.32201,NearlyNeutral,0.85381,0.03347,0.14619,1
OG0007924,RAPGEF3,M1,0.64298,-6527.630338,15,3.13407,NearlyNeutral,0.7519,0.00579,0.2481,1
OG0013145,USP36,M1,0.61288,-7902.574941,15,3.98989,NearlyNeutral,0.6788,0.04531,0.3212,1
OG0007134,EMILIN2,M1,0.87833,-8505.726022,15,3.12837,NearlyNeutral,0.67374,0.10815,0.32626,1
OG0008361,SH3BP1,M1,0.87209,-8621.215852,15,2.00844,NearlyNeutral,0.61635,0,0.38365,1
OG0005994,,M1,0.62887,-2918.328068,15,3.34009,NearlyNeutral,0.83083,0.00458,0.16917,1
OG0007713,FRMD4B,M1,0.50547,-6604.283051,15,3.78475,NearlyNeutral,0.89193,0.0581,0.10807,1
OG0012548,FYB2,M1,0.84475,-4967.348438,15,4.81927,NearlyNeutral,0.51922,0.05601,0.48078,1
OG0010481,GRIN2A,M1,0.94162,-10445.910767,15,3.55108,NearlyNeutral,0.94945,0.03323,0.05055,1
OG0013882,CGA,M1,1.01727,-1011.490833,15,3.42759,NearlyNeutral,0.67369,0,0.32631,1
OG0011253,IFRD2,M1,0.42967,-2690.869502,15,3.93036,NearlyNeutral,0.91754,0.03751,0.08246,1
OG0010439,POMP,M1,0.56643,-938.699436,15,3.4738,NearlyNeutral,0.90089,0.13295,0.09911,1
OG0013527,HECTD2,M1,0.50315,-5317.898717,15,2.92031,NearlyNeutral,0.74629,0.00691,0.25371,1
OG0012702,THUMPD1,M1,2.29565,-3555.399834,15,1.98101,NearlyNeutral,0.69598,0.09445,0.30402,1
OG0005669,NDUFV2,M1,0.78285,-1279.075474,15,3.32585,NearlyNeutral,0.8023,0.12004,0.1977,1
OG0009996,ATP11B,M1,0.89923,-8776.043773,15,1.56339,NearlyNeutral,0.75997,0,0.24003,1
OG0010995,,M1,0.34292,-3838.934124,15,3.68563,NearlyNeutral,0.90523,0.03529,0.09477,1
OG0007254,TAF9,M1,1.12294,-1972.7085,15,4.59863,NearlyNeutral,0.98031,0.02649,0.01969,1
OG0006763,BCL2A1,M1,1.01552,-1442.856752,15,2.95016,NearlyNeutral,0.80829,0.11747,0.19171,1
OG0006000,FNBP4,M1,0.45919,-6050.29687,15,3.32027,NearlyNeutral,0.82556,0.07777,0.17444,1
OG0008523,,M1,0.94543,-3132.070454,15,3.44773,NearlyNeutral,0.72407,0.00688,0.27593,1
OG0008544,NAB1,M1,0.42579,-3057.317929,15,3.85079,NearlyNeutral,0.95722,0.08214,0.04278,1
OG0006452,CLINT1,M1,0.37925,-3929.562359,15,3.36484,NearlyNeutral,0.87216,0.06603,0.12784,1
OG0012872,L3HYPDH,M1,0.55628,-2385.013188,15,3.54956,NearlyNeutral,0.69602,0.00483,0.30398,1
OG0006680,SEC23IP,M1,0.52302,-6614.052596,15,3.56439,NearlyNeutral,0.84262,0.09217,0.15738,1
OG0013614,MDH1,M1,0.32839,-1890.632928,15,2.84886,NearlyNeutral,0.87614,0,0.12386,1
OG0005904,C1QTNF7,M1,0.54973,-1953.867085,15,4.9615,NearlyNeutral,0.93838,0.05102,0.06162,1
OG0007724,HCFC1,M1,0.54406,-14636.357452,15,4.48528,NearlyNeutral,0.80919,0.02259,0.19081,1
OG0010883,RSPRY1,M1,0.39379,-3355.738661,15,3.38424,NearlyNeutral,0.994,0.04164,0.006,1
OG0012633,ARSI,M1,0.70229,-3966.372084,15,3.06987,NearlyNeutral,0.84342,0.02952,0.15658,1
OG0010338,ALX1,M1,0.36266,-1879.830724,15,2.73234,NearlyNeutral,0.92005,0.01561,0.07995,1
OG0012221,,M1,1.23787,-5818.948732,15,3.33453,NearlyNeutral,0.72496,0.04677,0.27504,1
OG0009532,LMAN2,M1,0.32508,-1916.016658,15,4.93698,NearlyNeutral,0.90331,0.0603,0.09669,1
OG0009241,PCF11,M1,0.64316,-12034.649781,15,2.88552,NearlyNeutral,0.89234,0.06507,0.10766,1
OG0013803,COQ10B,M1,0.35449,-1374.501796,15,4.72417,NearlyNeutral,0.84131,0.05019,0.15869,1
OG0010385,PDLIM7,M1,0.56795,-3206.570496,15,2.78616,NearlyNeutral,0.85463,0.02554,0.14537,1
OG0007558,RBM34,M1,0.81138,-3237.054947,15,3.28879,NearlyNeutral,0.64981,0.09182,0.35019,1
OG0009482,PTPN23,M1,1.83177,-16865.277616,15,3.374,NearlyNeutral,0.88136,0.06392,0.11864,1
OG0012267,MLH1,M1,0.65803,-5237.016971,15,4.06483,NearlyNeutral,0.71238,0.07786,0.28762,1
OG0011677,VPS9D1,M1,0.91373,-4844.052503,15,3.39794,NearlyNeutral,0.89814,0.06209,0.10186,1
OG0006202,KDM1A,M1,0.56055,-5452.219368,15,2.49761,NearlyNeutral,0.89782,0,0.10218000000000001,1
OG0008308,CYSLTR1,M1,1.26078,-2929.130273,15,2.91952,NearlyNeutral,0.76638,0.02836,0.23362,1
OG0013638,RBBP6,M1,0.70628,-12470.985076,15,3.36105,NearlyNeutral,0.80577,0.0308,0.19423,1
OG0011182,DCTN2,M1,0.75161,-2988.056617,15,2.26131,NearlyNeutral,0.78816,0,0.21184,1
OG0013524,KIF20B,M1,0.99879,-15566.622627,15,2.80228,NearlyNeutral,0.67634,0.15688,0.32366,1
OG0005300,,M1,1.02766,-1432.602514,15,1.72496,NearlyNeutral,0.82552,0.06397,0.17448,1
OG0013661,RBFOX1,M1,0.99755,-3438.551073,15,1.1751,NearlyNeutral,0.74067,0,0.25933,1
OG0007942,SNTN,M1,0.73367,-1074.09559,15,2.89477,NearlyNeutral,0.81912,0.18446,0.18088,1
OG0009795,PHF19,M1,1.20345,-4946.138842,15,2.61091,NearlyNeutral,0.91831,0.08395,0.08169,1
OG0008672,CNOT2,M1,0.13815,-2597.370374,15,4.81381,NearlyNeutral,0.99999,0.02775,1e-5,1
OG0011424,,M1,0.98563,-6003.380145,15,2.86974,NearlyNeutral,0.54866,0.00834,0.45134,1
OG0006228,,M1,0.79512,-6526.748079,15,2.80134,NearlyNeutral,0.84243,0.06959,0.15757,1
OG0013620,SERTAD2,M1,0.12174,-1503.610007,15,8.32123,NearlyNeutral,0.99999,0.09167,1e-5,1
OG0006405,ANKRD33,M1,1.11508,-3778.092289,15,2.59792,NearlyNeutral,0.61488,0.08009,0.38512,1
OG0010624,GPR27,M1,0.45067,-2290.33477,15,4.5665,NearlyNeutral,0.96244,0.03128,0.03756,1
OG0007596,FILIP1L,M1,0.55569,-6960.30399,15,3.16531,NearlyNeutral,0.76542,0.04533,0.23458,1
OG0010857,ZNF319,M1,0.95947,-4080.950119,15,6.19571,NearlyNeutral,0.95712,0.01334,0.04288,1
OG0013802,GTF3C3,M1,0.41343,-5464.680399,15,3.68029,NearlyNeutral,0.88746,0.04426,0.11254,1
OG0007634,GSTT2B,M1,0.89606,-2031.234905,15,3.24186,NearlyNeutral,0.91781,0.09514,0.08219,1
OG0010262,RPL15,M1,0.31739,-1116.746472,15,4.43501,NearlyNeutral,0.99999,0.0066,1e-5,1
OG0007848,PNISR,M1,0.32244,-4609.991836,15,2.75477,NearlyNeutral,0.83244,0.02035,0.16756,1
OG0005569,RTN4RL2,M1,0.6853,-3155.776266,15,1.97067,NearlyNeutral,0.80026,0.00572,0.19974,1
OG0010020,VEGFA,M1,0.49891,-1421.490526,15,1.42804,NearlyNeutral,0.63053,0,0.36947,1
OG0005602,SBK2,M1,0.5732,-2237.696706,15,3.39847,NearlyNeutral,0.82927,0,0.17073,1
OG0006344,CLCN4,M1,0.38544,-4338.083377,15,3.40528,NearlyNeutral,0.97272,0.01293,0.02728,1
OG0012337,SLC35B3,M1,0.54131,-2757.420616,15,2.83072,NearlyNeutral,0.7927,0,0.2073,1
OG0011664,PABPN1L,M1,0.8688,-1949.125883,15,3.05226,NearlyNeutral,0.83448,0.08762,0.16552,1
OG0011210,,M1,0.70883,-4133.599137,15,3.32979,NearlyNeutral,0.75519,0.12807,0.24481,1
OG0008718,SYT3,M1,0.49123,-3075.559662,15,3.44632,NearlyNeutral,0.95087,0.0186,0.04913,1
OG0007609,MGLL,M1,0.8035,-2344.031074,15,1.91278,NearlyNeutral,0.73278,0,0.26722,1
OG0011641,CACTIN,M1,0.56234,-4833.834625,15,3.84061,NearlyNeutral,0.93189,0.03408,0.06811,1
OG0013762,,M1,1.72417,-7095.380131,15,3.15711,NearlyNeutral,0.59079,0.08505,0.40921,1
OG0012863,TRMT5,M1,0.58405,-3534.746904,15,3.72112,NearlyNeutral,0.7812,0.13059,0.2188,1
OG0008516,TTC38,M1,1.24697,-4065.898788,15,2.60135,NearlyNeutral,0.7851,0.07672,0.2149,1
OG0013771,TNFRSF11A,M1,1.00745,-5482.62353,15,2.74815,NearlyNeutral,0.73094,0.13405,0.26906,1
OG0007002,HEMK1,M1,0.75623,-2690.047889,15,2.97927,NearlyNeutral,0.68038,0.10135,0.31962,1
OG0007431,RGR,M1,1.06086,-2454.165115,15,2.24612,NearlyNeutral,0.82339,0.03572,0.17661,1
OG0009016,PTBP3,M1,0.34076,-3161.703884,15,3.78325,NearlyNeutral,0.84743,0,0.15257,1
OG0010715,ISY1,M1,0.42661,-1683.729016,15,2.33676,NearlyNeutral,0.86694,0,0.13306,1
OG0011645,FZR1,M1,0.3329,-2781.921201,15,3.38752,NearlyNeutral,0.99999,0.00756,1e-5,1
OG0013032,PPCS,M1,0.97155,-2210.057038,15,3.80241,NearlyNeutral,0.92209,0.06777,0.07791,1
OG0012530,PTGS2,M1,0.59405,-4026.645473,15,3.09091,NearlyNeutral,0.91075,0.07446,0.08925,1
OG0011064,KLF4,M1,0.39762,-3008.271705,15,6.03131,NearlyNeutral,0.81172,0.03488,0.18828,1
OG0007168,CSNK1G2,M1,0.29692,-2408.397447,15,3.70776,NearlyNeutral,0.95804,0,0.04196,1
OG0010166,,M1,1.54134,-3274.255108,15,2.36113,NearlyNeutral,0.81637,0.06039,0.18363,1
OG0007535,CUNH7ORF31 CZH7ORF31,M1,0.93562,-4129.353669,15,3.50741,NearlyNeutral,0.44981,0,0.55019,1
OG0008016,GPR6,M1,0.39627,-1945.475224,15,2.86348,NearlyNeutral,0.96145,0.0311,0.03855,1
OG0011932,SLC22A18,M1,1.01507,-3777.466559,15,2.75026,NearlyNeutral,0.5759,0.01555,0.4241,1
OG0008320,DISP2,M1,0.57367,-10141.974865,15,3.06577,NearlyNeutral,0.84537,0.06011,0.15463,1
OG0011626,MISP,M1,0.99174,-7349.009825,15,3.85488,NearlyNeutral,0.41163,0.01159,0.58837,1
OG0012342,DSP,M1,0.62892,-19577.713493,15,2.35388,NearlyNeutral,0.87828,0.04183,0.12172,1
OG0010537,PTPN20,M1,1.31506,-3628.134512,15,2.33013,NearlyNeutral,0.63043,0.04009,0.36957,1
OG0009231,CFAP52,M1,0.35286,-3659.429198,15,3.33679,NearlyNeutral,0.85254,0.03155,0.14746,1
OG0010310,GSK3B,M1,0.47239,-2847.457297,15,1.62452,NearlyNeutral,0.78976,0,0.21024,1
OG0012024,TMEM161B,M1,0.30305,-2722.660463,15,3.24414,NearlyNeutral,0.96729,0.07984,0.03271,1
OG0009018,SLC46A2,M1,0.8565,-3615.954845,15,3.14489,NearlyNeutral,0.66544,0.01827,0.33456,1
OG0010095,STK24,M1,0.34325,-2398.453012,15,3.12665,NearlyNeutral,0.98089,0.014,0.01911,1
OG0010894,B3GNT9,M1,1.25389,-3940.404228,15,2.56973,NearlyNeutral,0.79768,0.04294,0.20232,1
OG0010422,MIPEP,M1,0.41769,-4251.056635,15,4.37225,NearlyNeutral,0.89201,0.07729,0.10799,1
OG0007220,HJV,M1,1.24474,-3280.419277,15,4.95517,NearlyNeutral,0.89812,0.08918,0.10188,1
OG0005856,TDG,M1,0.8115,-2908.232985,15,1.79254,NearlyNeutral,0.69132,0.00131,0.30868,1
OG0009253,,M1,0.81969,-1920.61221,15,3.70484,NearlyNeutral,0.74451,0.05616,0.25549,1
OG0013570,ALDH8A1,M1,0.4675,-3161.751994,15,2.96056,NearlyNeutral,0.93405,0.09754,0.06595,1
OG0011723,CUNH11ORF65 C6H11ORF65,M1,1.14525,-2671.210295,15,2.35748,NearlyNeutral,0.6334,0.07649,0.3666,1
OG0008437,NXNL1,M1,0.71946,-1539.012055,15,3.10677,NearlyNeutral,0.60577,0.0033,0.39423,1
OG0010830,,M1,1.29679,-3185.888339,15,3.73644,NearlyNeutral,0.67274,0.12318,0.32726,1
OG0013453,HAT1,M1,0.43083,-2546.336363,15,2.11526,NearlyNeutral,0.82484,0,0.17516,1
OG0012152,UBN2,M1,0.42828,-8487.937276,15,3.67159,NearlyNeutral,0.63694,0,0.36306,1
OG0012477,CATIP,M1,0.9503,-3064.482147,15,3.25232,NearlyNeutral,0.53581,0.02397,0.46419,1
OG0013466,PYROXD1,M1,0.8523,-4049.498113,15,3.22949,NearlyNeutral,0.78894,0.04486,0.21106,1
OG0013674,WDR24,M1,0.94869,-5605.157629,15,2.42986,NearlyNeutral,0.96695,0.02234,0.03305,1
OG0007148,SAMD1,M1,0.36523,-2738.235602,15,4.42769,NearlyNeutral,0.69553,0,0.30447,1
OG0008602,HOXD11,M1,1.0864,-2307.98705,15,2.17146,NearlyNeutral,0.84457,0.1488,0.15543,1
OG0005926,PRPF4,M1,1.04439,-4010.530122,15,2.91244,NearlyNeutral,0.94514,0.01479,0.05486,1
OG0011786,EIF4ENIF1,M1,0.62557,-7294.692853,15,3.55669,NearlyNeutral,0.91264,0.07329,0.08736,1
OG0008638,MOCS3,M1,0.76171,-3214.563292,15,3.00528,NearlyNeutral,0.83489,0.07489,0.16511,1
OG0005207,DUSP12,M1,0.66616,-2176.647031,15,2.89154,NearlyNeutral,0.70901,0.07213,0.29099,1
OG0011461,ZMIZ2,M1,0.55315,-6237.344873,15,4.32956,NearlyNeutral,0.93942,0.05379,0.06058,1
OG0012015,,M1,0.93141,-5820.033206,15,3.41828,NearlyNeutral,0.74814,0.04579,0.25186,1
OG0010271,AZI2,M1,0.50257,-2581.797482,15,4.42692,NearlyNeutral,0.5758,0,0.4242,1
OG0007003,,M1,1.01037,-7607.513748,15,3.53232,NearlyNeutral,0.85848,0.06295,0.14152,1
OG0011537,,M1,1.62788,-4595.908878,15,1.86534,NearlyNeutral,0.68589,0.02563,0.31411,1
OG0012622,LTC4S,M1,1.05671,-1185.683305,15,2.23092,NearlyNeutral,0.61397,0,0.38603,1
OG0014031,KCNN2,M1,0.24571,-4421.433655,15,2.95007,NearlyNeutral,0.83034,0,0.16966,1
OG0010289,IGFBPL1,M1,0.88931,-2030.529614,15,3.07852,NearlyNeutral,0.63498,0,0.36502,1
OG0013918,RGMB,M1,0.48265,-2996.469945,15,5.09285,NearlyNeutral,0.76728,0,0.23272,1
OG0011003,KCNH6,M1,0.41489,-6443.732409,15,4.32033,NearlyNeutral,0.85167,0.05707,0.14833,1
OG0009463,PSMB4,M1,0.86146,-1862.70171,15,3.72122,NearlyNeutral,0.95025,0.03757,0.04975,1
OG0005493,NKRF,M1,1.04825,-6247.970487,15,2.90695,NearlyNeutral,0.89977,0.0464,0.10023,1
OG0007074,CYLD,M1,0.56898,-6253.766952,15,2.79716,NearlyNeutral,0.9699,0.03242,0.0301,1
OG0013857,MYO1E,M1,0.86855,-8291.574961,15,2.72739,NearlyNeutral,0.94214,0.04326,0.05786,1
OG0006369,MAP3K8,M1,0.66935,-3336.862302,15,2.90956,NearlyNeutral,0.9392,0.05917,0.0608,1
OG0011391,ORC4,M1,0.46855,-2750.067745,15,3.81027,NearlyNeutral,0.90215,0.14284,0.09785,1
OG0007800,MORF4L1,M1,0.44021,-2066.900698,15,2.19132,NearlyNeutral,0.91943,0,0.08057,1
OG0009285,DNAAF3,M1,0.76823,-3658.482436,15,4.55499,NearlyNeutral,0.70023,0.0783,0.29977,1
OG0010550,RRP1B,M1,0.66199,-5400.712531,15,3.3276,NearlyNeutral,0.55063,0.08498,0.44937,1
OG0009988,ATP6V0A4,M1,0.60402,-5488.054402,15,4.05913,NearlyNeutral,0.75291,0.00431,0.24709,1
OG0010538,NTF3,M1,1.30984,-2801.538443,15,3.04983,NearlyNeutral,0.81059,0.07425,0.18941,1
OG0012330,TTC29,M1,1.04503,-4058.114713,15,1.39949,NearlyNeutral,0.61614,0.04306,0.38386,1
OG0006701,ZRANB1,M1,0.22923,-2680.54301,15,4.19339,NearlyNeutral,0.99999,0.04127,1e-5,1
OG0006826,TCAP,M1,0.55828,-1231.217057,15,3.66434,NearlyNeutral,0.7662,0.09486,0.2338,1
OG0012706,TMEM159,M1,1.02163,-1281.120713,15,2.87499,NearlyNeutral,0.79996,0.08653,0.20004,1
OG0005527,WDR37,M1,0.29804,-2829.449109,15,4.41435,NearlyNeutral,0.98956,0.01732,0.01044,1
OG0013280,CAV1,M1,0.70732,-1044.908818,15,1.69337,NearlyNeutral,0.73661,0.01939,0.26339,1
OG0008261,PFKFB3,M1,0.98046,-3956.386111,15,1.81783,NearlyNeutral,0.94081,0.02235,0.05919,1
OG0007142,,M1,1.35996,-4749.596903,15,2.87228,NearlyNeutral,0.49787,0.07162,0.50213,1
OG0010940,TMEM106A,M1,1.23654,-2363.458875,15,2.72903,NearlyNeutral,0.64977,0.02015,0.35023,1
OG0005722,NKX2-5,M1,0.44812,-1826.210483,15,3.24922,NearlyNeutral,0.97646,0.04279,0.02354,1
OG0013756,GLMP,M1,1.72742,-3945.103934,15,3.68623,NearlyNeutral,0.85446,0.09454,0.14554,1
OG0010678,FSD1L,M1,0.37421,-2625.879228,15,2.44618,NearlyNeutral,0.90899,0.03764,0.09101,1
OG0009768,TSPAN7,M1,0.29937,-1342.450383,15,3.68013,NearlyNeutral,0.9073,0.00269,0.0927,1
