Orthogroup,Gene,Model,Tree length,Lnl,Df,Kappa,Site class model,Proportion 0,Omega 0,Proportion 1,Omega 1,Proportion 2,Omega 2
OG0012396,ZCCHC8,M2,1.17241,-5856.339846,17,2.8939,PositiveSelection,0.80913,0.09172,0.11192,1,0.07895,1.74987
OG0011341,PPARG,M2,1.00023,-2697.219851,17,4.48241,PositiveSelection,0.92278,0,0.07513,1,0.00209,573.63716
OG0006116,NOA1,M2,0.8763,-5816.76021,17,2.54616,PositiveSelection,0.57397,0.0311,0.37284,1,0.05319,3.25337
OG0007514,PLEKHA8,M2,0.51504,-3237.89673,17,2.97773,PositiveSelection,0.72188,0.03059,0.12501,1,0.15312,1
OG0006834,SLC25A39,M2,0.60536,-2532.457172,17,3.05194,PositiveSelection,0.77515,0,0,1,0.22485,1.05475
OG0013805,MOB4,M2,0.48702,-1461.956588,17,4.47892,PositiveSelection,0.90534,0,0,1,0.09466,2.34866
OG0005438,TUBD1,M2,0.94719,-3544.430816,17,3.24309,PositiveSelection,0.9287,0.06469,0.02318,1,0.04812,1
OG0009606,MPP3,M2,0.46417,-3365.223217,17,3.33235,PositiveSelection,0.93648,0.024140000000000002,0.01389,1,0.04963,1
OG0012310,CUNH19ORF25 C1H19ORF25,M2,0.91311,-815.219226,17,3.04976,PositiveSelection,0.9338,0.03786,0,1,0.0662,7.93023
OG0009440,SLC3A2,M2,6.5862,-5554.64354,17,2.32413,PositiveSelection,0.81486,0.07489,0.16599,1,0.01916,90.77237
OG0013931,UBE3C,M2,0.34323,-6115.910732,17,3.52464,PositiveSelection,0.88419,0,0.00778,1,0.10802,1.02596
OG0010354,FGF2,M2,36.62334,-1559.443323,17,3.0184,PositiveSelection,0.73225,0,0.23237,1,0.03538,999
OG0007816,INTS14,M2,0.82502,-3628.58478,17,3.34075,PositiveSelection,0.99594,0.01845,0.00194,1,0.00212,1
OG0009995,SOX2,M2,0.55801,-1837.283415,17,1.99909,PositiveSelection,0.95558,0.01379,0.04136,1,0.00306,1
OG0007586,SRI,M2,0.40537,-1156.199537,17,2.9968,PositiveSelection,0.91763,0.03813,0.03759,1,0.04478,1
OG0010664,MALL,M2,0.90293,-1203.873626,17,3.2782,PositiveSelection,0.7058,0.01799,0.28576,1,0.00844,23.1667
OG0005342,WDR53,M2,0.55292,-2327.968158,17,4.98572,PositiveSelection,0.71508,0.07185,0.13424,1,0.15068,1
OG0010015,GYPC,M2,0.36031,-547.696738,17,3.21422,PositiveSelection,0.84235,0,0,1,0.15765,3.05312
OG0006994,CLCN3,M2,0.37325,-5019.672641,17,3.95168,PositiveSelection,0.97499,0.02767,0,1,0.02501,2.50699
OG0011051,FILIP1,M2,0.49418,-7815.890826,17,2.55787,PositiveSelection,0.90362,0.06967,0.04819,1,0.0482,1
OG0009117,MED31,M2,0.42808,-782.234978,17,2.55054,PositiveSelection,0.99167,0.0174,0,1,0.00833,5.36772
OG0010150,IRF4,M2,0.69463,-3358.3869,17,2.51492,PositiveSelection,0.86063,0.05111,0.13174,1,0.00763,4.59118
OG0009850,GSK3A,M2,0.44984,-2773.188107,17,2.91547,PositiveSelection,0.93543,0,0,1,0.06457,1.01096
OG0012533,COPS7B,M2,0.85271,-1825.382606,17,4.12925,PositiveSelection,0.8815,0.02895,0.01628,1,0.10222,1
OG0011712,GLB1L,M2,0.60353,-4535.023183,17,3.91905,PositiveSelection,0.77015,0.0512,0.1905,1,0.03935,2.52299
OG0011311,NFASC,M2,0.3732,-7942.41631,17,2.92762,PositiveSelection,0.88543,0.04436,0.06883,1,0.04574,2.31899
OG0013476,STX3,M2,2.577,-2662.48116,17,1.63128,PositiveSelection,0.74585,0,0.16479,1,0.08936,16.66538
OG0012406,BRAP,M2,0.82117,-4245.934451,17,2.84795,PositiveSelection,0.93403,0.03804,0.03404,1,0.03193,1
OG0008053,CCN5 WISP2,M2,0.73993,-1809.273446,17,3.09172,PositiveSelection,0.8119,0.13637,0,1,0.1881,1.28598
OG0006595,RNF8,M2,0.57897,-3837.581351,17,2.78517,PositiveSelection,0.93119,0.16867,0,1,0.06881,1.5471
OG0012034,TTBK1,M2,0.39337,-8092.489951,17,3.84473,PositiveSelection,0.94026,0.08507,0,1,0.05974,2.47529
OG0007210,ISG20L2,M2,1.55273,-3223.770596,17,4.15974,PositiveSelection,0.78951,0.0537,0.10853,1,0.10196,1
OG0012279,PDK3,M2,0.39047,-2303.653694,17,2.92552,PositiveSelection,0.9138,0.00686,0.04629,1,0.03991,1
OG0010053,HOXC5,M2,0.17702,-1147.242616,17,4.55949,PositiveSelection,0.97976,0.08873,0,1,0.02024,5.88014
OG0012736,MAFK,M2,0.92494,-1382.23811,17,2.24673,PositiveSelection,0.88241,0.01414,0.10556,1,0.01203,4.02766
OG0007728,OPN1LW,M2,0.61086,-2513.362689,17,2.93584,PositiveSelection,0.78713,0,0,1,0.21287,1.85454
OG0012696,ITPRIPL2,M2,1.42103,-4114.377622,17,3.08075,PositiveSelection,0.84201,0.06354,0.08852,1,0.06947,1
OG0007078,TENT4B,M2,0.99964,-5668.568391,17,1.75999,PositiveSelection,0.87057,0.03853,0.08503,1,0.04439,2.70819
OG0007282,COL6A1,M2,0.55572,-6713.051251,17,2.7758,PositiveSelection,0.75638,0.03441,0.20559,1,0.03803,3.6575
OG0006216,LIN37,M2,1.04829,-2025.932919,17,2.31698,PositiveSelection,0.79584,0.04965,0.10442,1,0.09973,1
OG0009480,CCM2,M2,1.70501,-3916.059854,17,1.95467,PositiveSelection,0.98468,0.02796,0.01532,1,0,29.88601
OG0007776,HIPK4,M2,1.05094,-4628.76392,17,4.28945,PositiveSelection,0.90789,0.03814,0.04526,1,0.04685,1
OG0006052,TWIST1,M2,1.93533,-1468.080618,17,2.39571,PositiveSelection,0.84875,0.02727,0.02914,1,0.12211,1
OG0011308,PIK3C2B,M2,0.40944,-9982.415449,17,3.91402,PositiveSelection,0.94403,0.06373,0,1,0.05597,1.04846
OG0005771,ATP6V0A1,M2,0.40832,-5016.2597,17,3.72334,PositiveSelection,0.96623,0.04287,0,1,0.03377,2.44805
OG0011514,WDR26,M2,0.50515,-3848.006626,17,2.50684,PositiveSelection,0.85484,0.0046,0,1,0.14516,1.791
OG0007624,NHLRC3,M2,0.65047,-2440.419588,17,4.91869,PositiveSelection,0.9341,0.12036,0,1,0.0659,1.9494
OG0008894,ATP5MK ATP5MD,M2,0.7516,-427.415408,17,1.06407,PositiveSelection,0.75378,0.23228,0.13041,1,0.11581,1
OG0013278,VILL,M2,1.16777,-7213.505221,17,2.63933,PositiveSelection,0.80873,0.06124,0.09591,1,0.09536,1
OG0008765,,M2,0.86824,-4718.463937,17,5.97258,PositiveSelection,0.92671,0.03258,0.07329,1,0,23.33152
OG0013895,GABRR1,M2,0.31872,-2614.651829,17,3.15274,PositiveSelection,0.95977,0.04331,0.01924,1,0.02099,1
OG0007689,SPRED3,M2,1.02765,-3555.020459,17,2.36205,PositiveSelection,0.84022,0.04431,0.08061,1,0.07917,1
OG0007439,MMRN2,M2,1.08908,-8249.450022,17,2.84299,PositiveSelection,0.74725,0.11634,0.1107,1,0.14205,1
OG0012623,SQSTM1,M2,0.70036,-3295.764105,17,3.32125,PositiveSelection,0.64231,0.04782,0.34886,1,0.00883,3.81589
OG0007359,ZYX,M2,0.57829,-4288.551095,17,4.81948,PositiveSelection,0.81935,0.12644,0.16776,1,0.01289,5.30775
OG0009660,KCTD3,M2,0.34589,-4681.376706,17,3.48632,PositiveSelection,0.95661,0.03237,0.03931,1,0.00408,2.31693
OG0011879,FAM47E,M2,1.66495,-4125.626381,17,2.06191,PositiveSelection,0.74757,0.14106,0,1,0.25243,1.229
OG0006395,PCDH9,M2,0.6642,-7577.196181,17,2.99733,PositiveSelection,0.97985,0.00936,0.00743,1,0.01272,3.77019
OG0007857,KCNV2,M2,0.85932,-4100.844986,17,4.3963,PositiveSelection,0.84966,0.06533,0,1,0.15034,1.366
OG0006810,WIPF2,M2,0.48582,-2724.080681,17,4.24195,PositiveSelection,0.81727,0.00472,0.05805,1,0.12468,1
OG0011482,SIAE,M2,0.81361000000000006,-3901.235177,17,4.03429,PositiveSelection,0.67632,0.09466,0.31897,1,0.00472,6.455
OG0007488,AGK,M2,0.80386,-3270.825315,17,2.09344,PositiveSelection,0.8493,0.12594,0,1,0.1507,1.80261
OG0007772,COQ8B,M2,1.22958,-4163.275946,17,3.60961,PositiveSelection,0.86988,0.08669,0.12236,1,0.00776,6.93206
OG0013580,ENPP1,M2,0.62128,-6291.603346,17,3.46597,PositiveSelection,0.78353,0.05815,0.21355,1,0.00292,7.44642
OG0007733,EMD,M2,1.97835,-3138.891447,17,2.23714,PositiveSelection,0.62431,0.10237,0,1,0.37569,1.58606
OG0011903,BTF3,M2,0.34009,-887.203813,17,3.33575,PositiveSelection,0.9934,0.01551,0,1,0.0066,5.86575
OG0009567,PDE8B,M2,0.45902,-5865.88941,17,3.25174,PositiveSelection,0.90698,0.13858,0.0874,1,0.00562,7.71248
OG0011525,PSEN2,M2,0.40887,-2825.704763,17,4.322,PositiveSelection,0.85381,0.03347,0.06507,1,0.08112,1
OG0007924,RAPGEF3,M2,0.64808,-6525.985091,17,3.20387,PositiveSelection,0.85907,0.06174,0,1,0.14093,1.57914
OG0013145,USP36,M2,0.62116,-7899.877831,17,4.06194,PositiveSelection,0.68551,0.05409,0.31092,1,0.00357,8.09553
OG0007134,EMILIN2,M2,0.89729,-8501.357867,17,3.2448,PositiveSelection,0.72827,0.15037,0.23692,1,0.03482,3.09572
OG0008361,SH3BP1,M2,1.31193,-8599.576953,17,2.15577,PositiveSelection,0.60542,0,0.37938,1,0.01521,33.01169
OG0005994,,M2,0.63031,-2918.308251,17,3.35487,PositiveSelection,0.83636,0.00759,0.15976,1,0.00388,2.54536
OG0007713,FRMD4B,M2,0.50595,-6604.192837,17,3.79898,PositiveSelection,0.91819,0.06953,0,1,0.08181,1.20274
OG0012548,FYB2,M2,0.86295,-4965.410471,17,4.97258,PositiveSelection,0.60974,0.13313,0.33335,1,0.05692,2.70531
OG0010481,GRIN2A,M2,0.94162,-10445.910774,17,3.55108,PositiveSelection,0.94945,0.03323,0.05055,1,0,51.77375
OG0013882,CGA,M2,1.03176,-1009.260423,17,3.89708,PositiveSelection,0.72943,0.01522,0,1,0.27057,1.7689
OG0011253,IFRD2,M2,0.42967,-2690.869502,17,3.93036,PositiveSelection,0.91754,0.03751,0.03769,1,0.04477,1
OG0010439,POMP,M2,0.59823,-937.461294,17,3.55937,PositiveSelection,0.97507,0.17836,0.01475,1,0.01018,7.54688
OG0013527,HECTD2,M2,0.51456,-5317.143615,17,2.96747,PositiveSelection,0.76046,0.01768,0.23402,1,0.00551,6.0754
OG0012702,THUMPD1,M2,2.29565,-3555.399834,17,1.98101,PositiveSelection,0.69598,0.09445,0.18625,1,0.11778,1
OG0005669,NDUFV2,M2,0.79902,-1278.612218,17,3.45201,PositiveSelection,0.89255,0.16036,0,1,0.10745,1.72402
OG0009996,ATP11B,M2,26.41553,-8597.844493,17,1.92756,PositiveSelection,0.73917,0,0.23988,1,0.02096,999
OG0010995,,M2,0.34298,-3838.789119,17,3.71043,PositiveSelection,0.93971,0.05121,0,1,0.06029,1.36085
OG0007254,TAF9,M2,1.12294,-1972.7085,17,4.59863,PositiveSelection,0.98031,0.02649,0.01969,1,0,21.50053
OG0006763,BCL2A1,M2,1.01552,-1442.856752,17,2.95016,PositiveSelection,0.80829,0.11747,0.1,1,0.09171,1
OG0006000,FNBP4,M2,0.46174,-6048.997379,17,3.37041,PositiveSelection,0.93897,0.13883,0,1,0.06103,2.00303
OG0008523,,M2,0.98617,-3130.546093,17,3.60402,PositiveSelection,0.754,0.02327,0.20993,1,0.03606,3.09856
OG0008544,NAB1,M2,0.42579,-3057.317929,17,3.85078,PositiveSelection,0.95722,0.08214,0.01973,1,0.02305,1
OG0006452,CLINT1,M2,0.38125,-3928.347662,17,3.41837,PositiveSelection,0.96348,0.11628,0,1,0.03652,2.39301
OG0012872,L3HYPDH,M2,0.55662,-2385.012106,17,3.5524,PositiveSelection,0.71025,0.01264,0,1,0.28975,1.03338
OG0006680,SEC23IP,M2,0.52315,-6614.050016,17,3.56554,PositiveSelection,0.85028,0.09545,0,1,0.14971,1.03155
OG0013614,MDH1,M2,0.32903,-1890.516975,17,2.86736,PositiveSelection,0.90184,0.00785,0,1,0.09816,1.29131
OG0005904,C1QTNF7,M2,0.54973,-1953.867085,17,4.96149,PositiveSelection,0.93838,0.05102,0.02277,1,0.03885,1
OG0007724,HCFC1,M2,0.55134,-14632.00335,17,4.52825,PositiveSelection,0.82606,0.03518,0.17004,1,0.00391,7.49599
OG0010883,RSPRY1,M2,0.39379,-3355.738661,17,3.38423,PositiveSelection,0.994,0.04164,0.00227,1,0.00373,1
OG0012633,ARSI,M2,0.70229,-3966.372084,17,3.06987,PositiveSelection,0.84342,0.02952,0.06009,1,0.09649,1
OG0010338,ALX1,M2,0.36266,-1879.830724,17,2.73234,PositiveSelection,0.92005,0.01561,0.03611,1,0.04384,1
OG0012221,,M2,1.36119,-5811.757801,17,3.50586,PositiveSelection,0.73739,0.05809,0.23611,1,0.02651,5.34841
OG0009532,LMAN2,M2,0.32509,-1916.016658,17,4.93699,PositiveSelection,0.90331,0.0603,0.0523,1,0.04439,1
OG0009241,PCF11,M2,0.64316,-12034.649781,17,2.88552,PositiveSelection,0.89234,0.06507,0.04129,1,0.06637,1
OG0013803,COQ10B,M2,0.35449,-1374.501796,17,4.72415,PositiveSelection,0.84131,0.05019,0.06052,1,0.09817,1
OG0010385,PDLIM7,M2,0.57539,-3205.61529,17,2.83795,PositiveSelection,0.92765,0.06,0,1,0.07235,1.80534
OG0007558,RBM34,M2,1.02402,-3221.847093,17,3.69779,PositiveSelection,0.69261,0.15384,0.27663,1,0.03076,11.54637
OG0009482,PTPN23,M2,1.83177,-16865.277616,17,3.374,PositiveSelection,0.88136,0.06392,0.0711,1,0.04754,1
OG0012267,MLH1,M2,0.66654,-5235.978382,17,4.1536,PositiveSelection,0.7567,0.1092,0.2197,1,0.0236,2.92384
OG0011677,VPS9D1,M2,0.91373,-4844.052503,17,3.39793,PositiveSelection,0.89814,0.06209,0.04556,1,0.0563,1
OG0006202,KDM1A,M2,0.60296,-5439.236037,17,2.68632,PositiveSelection,0.92671,0,0,1,0.07329,2.59937
OG0008308,CYSLTR1,M2,1.26078,-2929.130273,17,2.91951,PositiveSelection,0.76638,0.02836,0.14164,1,0.09198,1
OG0013638,RBBP6,M2,0.70769,-12470.830483,17,3.37448,PositiveSelection,0.83317,0.04281,0,1,0.16683,1.12381
OG0011182,DCTN2,M2,0.75239,-2988.034017,17,2.27598,PositiveSelection,0.79138,0,0,1,0.20862,1.0412
OG0013524,KIF20B,M2,1.01458,-15561.49741,17,2.8869,PositiveSelection,0.84356,0.24347,0,1,0.15644,1.70229
OG0005300,,M2,1.02766,-1432.602514,17,1.72496,PositiveSelection,0.82552,0.06397,0.06362,1,0.11086,1
OG0013661,RBFOX1,M2,1.10399,-3415.071087,17,1.40424,PositiveSelection,0.74131,0,0.1798,1,0.07888,5.01725
OG0007942,SNTN,M2,0.73367,-1074.09559,17,2.89477,PositiveSelection,0.81912,0.18446,0.08373,1,0.09715,1
OG0009795,PHF19,M2,1.20345,-4946.138842,17,2.6109,PositiveSelection,0.91831,0.08395,0.04001,1,0.04168,1
OG0008672,CNOT2,M2,0.13815,-2597.37012,17,4.81382,PositiveSelection,1,0.02775,0,1,0,1
OG0011424,,M2,1.01109,-5999.101157,17,3.00575,PositiveSelection,0.68757,0.10229,0.14789,1,0.16454,1.98582
OG0006228,,M2,0.79512,-6526.748079,17,2.80134,PositiveSelection,0.84243,0.06959,0.05213,1,0.10544,1
OG0013620,SERTAD2,M2,0.12174,-1503.609962,17,8.3214,PositiveSelection,1,0.09168,0,1,0,1
OG0006405,ANKRD33,M2,1.19593,-3765.405843,17,2.78293,PositiveSelection,0.59423,0.08462,0.39172,1,0.01404,9.91577
OG0010624,GPR27,M2,0.45066,-2290.33477,17,4.5665,PositiveSelection,0.96244,0.03128,0.01681,1,0.02074,1
OG0007596,FILIP1L,M2,1.12492,-6958.534201,17,3.24238,PositiveSelection,0.76869,0.04912,0.2294,1,0.00191,319.60838
OG0010857,ZNF319,M2,13.89546,-4073.287587,17,6.67192,PositiveSelection,0.96348,0.0153,0.03123,1,0.00529,787.95407
OG0013802,GTF3C3,M2,0.41372,-5464.660876,17,3.68453,PositiveSelection,0.90434,0.05154,1.5e-4,1,0.09551,1.11357
OG0007634,GSTT2B,M2,0.89606,-2031.234905,17,3.24186,PositiveSelection,0.91781,0.09514,0.03599,1,0.0462,1
OG0010262,RPL15,M2,0.31739,-1116.74611,17,4.43494,PositiveSelection,1,0.00661,0,1,0,1
OG0007848,PNISR,M2,0.32539,-4608.963422,17,2.82438,PositiveSelection,0.88828,0.05955,0.10167,1,0.01005,4.42766
OG0005569,RTN4RL2,M2,0.72494,-3152.306539,17,2.01569,PositiveSelection,0.8034,0.00875,0.19206,1,0.00454,11.9466
OG0010020,VEGFA,M2,0.5254,-1413.002028,17,1.84849,PositiveSelection,0.60912,0,0.29662,1,0.09425,5.61832
OG0005602,SBK2,M2,0.5732,-2237.696706,17,3.39847,PositiveSelection,0.82927,0,0.07039,1,0.10034,1
OG0006344,CLCN4,M2,0.38544,-4338.083377,17,3.40528,PositiveSelection,0.97272,0.01293,0.00619,1,0.02109,1
OG0012337,SLC35B3,M2,5.81945,-2698.153426,17,7.60686,PositiveSelection,0.84853,0.03908,0.09301,1,0.05846,151.44015
OG0011664,PABPN1L,M2,0.88171,-1948.011899,17,3.15001,PositiveSelection,0.91272,0.12331,0,1,0.08728,1.84216
OG0011210,,M2,0.70883,-4133.599137,17,3.32979,PositiveSelection,0.75519,0.12807,0.11359,1,0.13122,1
OG0008718,SYT3,M2,0.49123,-3075.559662,17,3.4463,PositiveSelection,0.95087,0.0186,0.00982,1,0.03931,1
OG0007609,MGLL,M2,6.78878,-2283.818036,17,3.11612,PositiveSelection,0.69539,0,0.27137,1,0.03323,210.72527
OG0011641,CACTIN,M2,0.56234,-4833.834625,17,3.84061,PositiveSelection,0.93189,0.03408,0.026,1,0.04211,1
OG0013762,,M2,1.78509,-7088.485873,17,3.32838,PositiveSelection,0.58443,0.09183,0.39337,1,0.0222,4.5794
OG0012863,TRMT5,M2,0.58405,-3534.746904,17,3.72113,PositiveSelection,0.7812,0.13059,0.10319,1,0.11561,1
OG0008516,TTC38,M2,1.24776,-4065.889831,17,2.60711,PositiveSelection,0.78933,0.07871,0.1975,1,0.01317,1.34681
OG0013771,TNFRSF11A,M2,1.01593,-5481.813937,17,2.78972,PositiveSelection,0.74169,0.14503,0.25144,1,0.00687,4.15852
OG0007002,HEMK1,M2,0.76569,-2689.139012,17,3.05598,PositiveSelection,0.85665,0.19812,0,1,0.14335,1.78015
OG0007431,RGR,M2,1.10765,-2450.330758,17,2.39181,PositiveSelection,0.8243,0.04013,0.16273,1,0.01297,5.88235
OG0009016,PTBP3,M2,0.34636,-3160.941099,17,3.8658,PositiveSelection,0.92632,0.03625,0,1,0.07368,1.94958
OG0010715,ISY1,M2,0.42661,-1683.729016,17,2.33676,PositiveSelection,0.86694,0,0.06521,1,0.06784,1
OG0011645,FZR1,M2,0.3329,-2781.92035,17,3.38752,PositiveSelection,1,0.00757,0,1,0,1
OG0013032,PPCS,M2,0.97155,-2210.057038,17,3.80241,PositiveSelection,0.92209,0.06777,0.03419,1,0.04372,1
OG0012530,PTGS2,M2,0.59405,-4026.645473,17,3.09091,PositiveSelection,0.91075,0.07446,0.01652,1,0.07273,1
OG0011064,KLF4,M2,0.39762,-3008.271705,17,6.03131,PositiveSelection,0.81172,0.03488,0.0547,1,0.13358,1
OG0007168,CSNK1G2,M2,0.29826,-2408.374479,17,3.7225,PositiveSelection,0.96236,0,0,1,0.03764,1.18912
OG0010166,,M2,1.54134,-3274.255108,17,2.36113,PositiveSelection,0.81637,0.06039,0.10465,1,0.07899,1
OG0007535,CUNH7ORF31 CZH7ORF31,M2,0.95975,-4126.786219,17,3.57786,PositiveSelection,0.44222,0,0.55284,1,0.00494,10.5157
OG0008016,GPR6,M2,0.3965,-1945.474516,17,2.86684,PositiveSelection,0.96537,0.03258,0,1,0.03463,1.07942
OG0011932,SLC22A18,M2,55.59201,-3753.829162,17,3.46389,PositiveSelection,0.60115,0.05138,0.34521,1,0.05364,998.95574
OG0008320,DISP2,M2,0.63731,-10094.696533,17,3.49285,PositiveSelection,0.88912,0.10119,0.09679,1,0.01409,11.3153
OG0011626,MISP,M2,1.00446,-7347.819039,17,3.9336,PositiveSelection,0.42317,0.03233,0.56347,1,0.01337,4.37143
OG0012342,DSP,M2,0.62892,-19577.713493,17,2.35388,PositiveSelection,0.87828,0.04183,0.06313,1,0.05858,1
OG0010537,PTPN20,M2,1.33063,-3627.49158,17,2.3953,PositiveSelection,0.65574,0.05662,0.29095,1,0.05331,1.99787
OG0009231,CFAP52,M2,0.35286,-3659.429198,17,3.33678,PositiveSelection,0.85254,0.03155,0.04399,1,0.10348,1
OG0010310,GSK3B,M2,0.48855,-2838.94079,17,1.79139,PositiveSelection,0.84642,0,0,1,0.15358,2.44771
OG0012024,TMEM161B,M2,0.30305,-2722.660463,17,3.24413,PositiveSelection,0.96729,0.07984,0.01083,1,0.02189,1
OG0009018,SLC46A2,M2,0.86404,-3615.442402,17,3.20517,PositiveSelection,0.72069,0.05119,0.21414,1,0.06517,1.8292
OG0010095,STK24,M2,0.3455,-2398.306278,17,3.14068,PositiveSelection,0.99409,0.02032,0,1,0.00591,2.68488
OG0010894,B3GNT9,M2,73.63679,-3894.775682,17,3.09713,PositiveSelection,0.80635,0.05622,0.15428,1,0.03937,998.89264
OG0010422,MIPEP,M2,0.41893,-4250.563465,17,4.41171,PositiveSelection,0.95196,0.10605,0,1,0.04804,1.73839
OG0007220,HJV,M2,1.24474,-3280.419277,17,4.95517,PositiveSelection,0.89812,0.08918,0.03493,1,0.06695,1
OG0005856,TDG,M2,0.83542,-2906.011885,17,1.9144,PositiveSelection,0.80236,0.05645,0,1,0.19764,1.7133
OG0009253,,M2,0.82594,-1920.253907,17,3.77756,PositiveSelection,0.76153,0.06945,0.23082,1,0.00765,4.20563
OG0013570,ALDH8A1,M2,0.4681,-3161.693005,17,2.96325,PositiveSelection,0.95702,0.1072,0,1,0.04298,1.31943
OG0011723,CUNH11ORF65 C6H11ORF65,M2,1.29091,-2657.858803,17,2.73932,PositiveSelection,0.6041,0.09284,0.35643,1,0.03947,7.25023
OG0008437,NXNL1,M2,0.71946,-1539.012055,17,3.10677,PositiveSelection,0.60577,0.0033,0.21515,1,0.17908,1
OG0010830,,M2,1.29679,-3185.888339,17,3.73644,PositiveSelection,0.67274,0.12318,0.13239,1,0.19487,1
OG0013453,HAT1,M2,1.97833,-2513.479167,17,3.10343,PositiveSelection,0.85206,0.03159,0.11672,1,0.03122,85.40935
OG0012152,UBN2,M2,0.43501,-8482.795484,17,3.81112,PositiveSelection,0.87757,0.15499,0,1,0.12243,2.44249
OG0012477,CATIP,M2,0.99247,-3057.897986,17,3.46108,PositiveSelection,0.53109,0.03855,0.44941,1,0.0195,7.06933
OG0013466,PYROXD1,M2,0.85952,-4049.251739,17,3.26295,PositiveSelection,0.83773,0.06552,0,1,0.16227,1.2594
OG0013674,WDR24,M2,0.9487,-5605.157655,17,2.42985,PositiveSelection,0.96695,0.02234,0.03305,1,0,33.10251
OG0007148,SAMD1,M2,0.36811,-2737.199986,17,4.56893,PositiveSelection,0.76871,0,0,1,0.23129,1.55768
OG0008602,HOXD11,M2,1.09148,-2307.944217,17,2.17859,PositiveSelection,0.86207,0.15736,0.11705,1,0.02087,1.62592
OG0005926,PRPF4,M2,1.04438,-4010.530123,17,2.91235,PositiveSelection,0.94514,0.01479,0.05486,1,0,14.99455
OG0011786,EIF4ENIF1,M2,0.62945,-7294.101874,17,3.5775,PositiveSelection,0.95504,0.09208,0,1,0.04496,1.63927
OG0008638,MOCS3,M2,0.76549,-3214.494217,17,3.01693,PositiveSelection,0.87058,0.08952,0,1,0.12942,1.2015
OG0005207,DUSP12,M2,0.66688,-2176.642957,17,2.89643,PositiveSelection,0.73342,0.08431,0,1,0.26658,1.05992
OG0011461,ZMIZ2,M2,0.55315,-6237.344873,17,4.32956,PositiveSelection,0.93942,0.05379,0.01048,1,0.0501,1
OG0012015,,M2,0.94202,-5818.281229,17,3.4987,PositiveSelection,0.76794,0.05943,0.21643,1,0.01563,3.3143
OG0010271,AZI2,M2,0.50627,-2581.66871,17,4.53504,PositiveSelection,0.60258,0,0,1,0.39742,1.13971
OG0007003,,M2,1.01037,-7607.513748,17,3.53232,PositiveSelection,0.85848,0.06295,0.04799,1,0.09354,1
OG0011537,,M2,1.73917,-4572.788943,17,2.15699,PositiveSelection,0.76053,0.07118,0.0601,1,0.17937,2.57092
OG0012622,LTC4S,M2,3.21031,-1175.796365,17,2.93312,PositiveSelection,0.60152,0,0.33086,1,0.06762,35.92816
OG0014031,KCNN2,M2,0.24876,-4420.727533,17,3.04116,PositiveSelection,0.91423,0.03384,0,1,0.08577,1.87984
OG0010289,IGFBPL1,M2,0.88931,-2030.529614,17,3.07852,PositiveSelection,0.63498,0,0.20069,1,0.16434000000000001,1
OG0013918,RGMB,M2,0.48939,-2995.792531,17,5.23998,PositiveSelection,0.88581,0.06138,0,1,0.11419,1.81519
